group,ASCL2,CDX2,CLOCK,E2F1,FOSL1,FOXA1,FOXD2,HES1,HEY1,IKZF1,IRF1,KLF1,MEIS1,MNT,NFAT5,NFE2,PAX5,RBPJ,RUNX2,RUNX3,SETDB1,STAT2,STAT4,STAT5B,XBP1,YY1,ZBTB33,ZNF143,ZNF263,ZNF76
healthy,0.0984086040614075,0.21596109084602,-0.145883900759516,-0.131911094961223,0.141932835038911,0.1231805158047,0.174643557294723,0.0600421034357486,-0.156870338820021,0.0342631495461654,-0.138154986712652,-0.110809970904114,-0.131716465438862,-0.0721496536339424,0.139769633998314,0.0823401942544577,-0.181817388327885,-0.120229674916084,0.178529810520215,0.100900188410577,0.156712004294922,-0.121965881637025,0.0061055290766761,0.10935058555119,-0.0857765047360984,-0.141359412489555,0.190370141201521,0.0960656563676969,-0.210957950297334,0.0728203429352238
healthy,0.0516419925222237,0.167982267665581,-0.0061414480658467,-0.0195131346752562,0.0425960966951986,0.0164943591102284,-0.0065470166857447,0.0388009077011478,-0.0244134466904302,0.0334435589671039,-0.12446990156042,0.00832781291017,0.0960776276988076,-0.0847046875569361,-0.0824916965494113,-0.0302121858412565,-0.0950787348339623,-0.0815481147349277,-0.0582655937392385,-0.0108885910184805,0.0509374971834973,-0.0594245180798202,0.0515343898833066,0.0643422606245127,0.107323338700021,0.0297963236015641,-0.0287675106151832,-0.0034122663377004,-0.0723456186387644,-0.0071459681095129
healthy,-0.0827990053170165,-0.106570368068819,-0.325541401491078,-0.188315308340028,0.0433374451646021,0.101376901749372,-0.133503925958043,-0.0138675432589036,0.102463906327861,0.0441389737931848,0.0019983316493431,-0.124269876963001,-0.193420935905657,-0.100081280130567,0.0804053992754955,-0.0603013044955649,0.0233321689827158,0.184823717875791,-0.0528789297980044,-0.113366891645431,-0.0299969344286022,-0.0385172935488786,-0.10579079912869,0.0189841506687603,0.0702490433653722,0.0350586426173231,0.0658790653629623,-0.09933465072312,-0.238537115835059,-0.189358393541608
healthy,0.412057962506306,-0.435425064303289,0.41441674314815,-0.437743274242659,0.416663548651166,0.418064049300572,0.454783780695831,0.400939155786254,0.402822447795102,0.404071214017255,0.402551435502575,0.415900008030603,0.455880812490731,0.354036178069995,-0.113894944469593,0.0096387874937969,-0.435419384404943,-0.240706789192891,-0.439427769809384,-0.439162437415203,-0.326816482366071,0.477930989285405,0.427322283605162,0.415023680857163,-0.504960002687701,0.520635710709644,-0.4103442560338,-0.411808858393115,-0.401517694003535,0.498290179200958
healthy,0.0317435013691238,0.187243131239518,0.0173640994266951,-0.170656296782684,0.230008249881272,-0.0626164659720033,-0.227940725061441,-0.0846985637657548,0.0039951419450856,-0.114265723219268,-0.161266935946763,-0.0630128711066325,0.214882673567776,-0.401822671469049,-0.40685157582405,0.469677903337915,0.0273441816397105,0.16195870176994,0.01090502752715,-0.267169288090327,0.432221504440313,0.172778230150405,0.149110511818137,-0.284393479822447,-0.0501180452566382,-0.177107596032531,0.340146696110577,0.116216658293619,0.0654223925132016,0.19036773641836
moderate,0.160313864151816,0.122155824309172,-0.0508719201186617,0.030875135876389,-0.0801251499148885,-0.105849398845751,-0.0306057856898481,-0.0208853786346164,0.136284954056713,-0.221180765977076,-0.207991604525992,0.204502242518886,-0.139629917661014,0.110543580491146,-0.109712745459925,-0.0634077332185559,0.0940727295097557,0.087584379568992,-0.0164921842127596,-0.180639934802096,0.145343015071335,-0.126019170923346,0.12434690680723,0.228334654686954,-0.0178685404461399,0.0788093103990661,0.014392820097188,-0.012902396381792,0.152944901639969,0.0491616335085407
moderate,-0.0486735385157428,-0.112627631798675,-0.0637529586360917,-0.0283580425965095,0.0546675303092603,-0.0521817391872728,0.0711009482268035,-0.0534644582128899,-0.0100241562996794,-0.146934239047068,0.0538538764072932,0.14548475459361,-0.0732778646719562,-0.042004714578739,0.0879166116321764,0.0465550497428894,0.105429223026305,-0.0025515409322474,0.058616105278145,0.0846265807855999,-0.0770932962750645,0.0815400754880555,0.0379564688747556,-0.0121263570513548,0.0537670567714727,0.0354397454556685,-0.0268351873320566,0.014865882668391,-0.15326953212839,-0.0068603949750794
moderate,-0.0487102624131636,-0.0289299883819373,-0.0478747899110558,0.0220053330310007,0.0025892427257379,-0.0537540389864959,-0.0174495796825113,-0.0139898342858573,-0.0499741459589767,0.131557623495107,0.0348042056764964,0.0410535355968943,0.051356296958781,0.0234425268604238,-0.0421115556634072,-0.0709712044187072,0.0467450932934132,0.0444469704544227,0.0228224686064222,0.0714869642482607,-0.0607050757036164,0.0381990598716709,0.0561624855671677,-0.0490214727953666,0.0405972963783077,0.0811018825372716,-0.0475135272735381,0.0501221141978403,0.0136482271854843,-0.0831506323303451
severe,-0.147812080180229,-0.0057343667046844,-0.0543780338847827,-0.0491890581163632,0.0850388776339403,-0.0100028824103044,0.0245958713371271,0.123749996447306,-0.0651138143311115,-0.042653958511296,-0.0443726797587729,0.0026602458207878,0.016146688821582,-0.0233809338115415,0.0152247045340974,0.0091943910689576,0.0276580524609915,-0.006768127469067,0.0383911208859214,0.0646000819535061,-0.0011936052458729,-0.0098553415803252,0.0063177945993041,0.0311811261733823,-0.0058819349981715,0.0596765341224576,0.0472215243537568,-0.0263265392105133,-0.0327124295775002,-0.0277346619161038
severe,-0.0229874028453014,-0.0898962024581831,0.297871721096044,-0.0976780766437646,0.281975509586824,0.116701000601211,-0.0720116512639705,0.173816540988383,0.149049901165714,-0.0561486521783284,-0.148525958238665,0.0149567743851698,-0.116875535276133,0.107162595891116,0.396079502005642,0.194356730459671,-0.146029604033848,0.468901807526729,-0.26645242948943,-0.0249754036280128,0.141235153458836,-0.100490287774849,-0.119019770010572,0.217853842336203,-0.13106842391902,-0.163778255413218,0.0902062980456671,-0.13770277497977,0.0790425179939624,0.0591967392972693
severe,0.0399696245243682,-0.134494286714538,0.0569697270611807,0.0128172014628793,-0.190442428222092,-0.123778766002356,0.062420097773152,-0.195523434375145,0.0421513522105748,0.0577418389817188,0.0861333742466932,0.0986989483472772,-0.121863023873155,0.0623321538305524,0.0861498861706098,-0.10552483411248,-0.170380081708473,-0.116741455820046,-0.114122162150048,-0.188102042484338,-0.113173444434575,0.0885444740933944,0.145876386616139,0.0871434732445519,0.0834415716934086,0.066976311909549,-0.0728681971088573,0.138752927265567,-0.0088518270388048,-0.0951427824724419
severe,-0.035995322561049,-0.0829328278882564,0.0232344675302868,0.0556014108881325,0.307414584111732,-0.0893254572836713,-0.0901044513686818,0.135246618059602,0.0603313313984284,-0.116268173894927,0.0974795568344845,0.0453255920292102,0.103516407849838,0.0840228688461298,-0.0708656227463144,-0.0684478526782819,0.0884164160321186,0.0683887148196422,-0.0826920577565275,0.0841342053535206,-0.0817786313428656,-0.0713397434296309,0.101963836924548,-0.0727526692956056,0.054204408582615,0.116440431813876,-0.0806751305056331,0.0662408034424058,-0.0209971882614757,-0.0328461673805799
