group,AHR,ARID3A,ARNT,ATF2,BARX2,CUX1,E2F6,E2F7,ELF1,ESRRA,ETV5,FOXD2,FOXK1,GATA1,GFI1B,GRHL2,HES1,HSF2,IKZF1,JUNB,KLF1,KLF4,MAF,MEF2C,MEIS1,MYB,NFAT5,NFYA,NFYB,NR2F2,PBX3,RUNX1,RUNX3,RXRA,STAT1,STAT2,STAT5B,TFAP4,TP73,YY1,ZEB1,ZFX,ZKSCAN1,ZNF263,ZNF76
healthy,-0.0093455453851784,-0.0613028002851194,-0.0574444126173229,0.0511359939786762,0.0664448168495249,-0.150262187175325,0.157553426260731,-0.0145394917970644,-0.143964731504479,-0.0447060210303716,0.0605921307057111,0.0144166873244116,-0.0087628732631711,-0.0208197336851338,0.025589971008133,0.089923358725657,-0.13468361759673,-0.0934734369656345,-0.103259809056091,0.0057015125878151,0.0669505558641538,-0.0656500978503057,0.0340672301101618,0.066271525025155,0.0641853876522047,0.140122499789232,0.113567883780958,-0.136481544316164,-0.0061314724916763,0.108328066003798,-0.0630904372014413,0.0387043731573964,0.136457502720108,0.0068624331781555,0.0681174387703161,0.0753869442528877,-0.0453904371868869,-0.0832796079052246,-0.0172069549626429,0.127771177898779,0.128753998345538,-0.0381705535585743,-0.0265111488026055,0.0159664086061658,-0.170099100413699
healthy,0.138466134412882,0.126864286745562,0.159383220211049,-0.191104875176162,-0.320171234452744,0.265870800331063,0.0645217390548948,0.0994270275025107,0.299470903180714,-0.030629387529991,0.230371697650655,0.161347027178888,-0.100177995617401,0.133226758256448,-8.96064855205932e-05,0.0876204824508363,-0.01075360034032,0.18806017285011,0.379634454477944,0.285402684953981,0.186053343808183,-0.0365680779098146,0.101596764971477,0.0129580020919115,0.151820241014946,0.117117731770037,0.2305133690666,-0.095616970699213,-0.445147345392558,0.269809786343649,-0.112429832837182,-0.169852655641629,-0.0354260747648388,0.0171796458715147,0.234233545358427,-0.0928328670512338,-0.0251477724341074,-0.0963095712868378,0.186406837283172,-0.0449013440502549,-0.170344532221169,-0.0464989153364478,0.271440377756769,-0.0016430595938271,-0.0151580194283093
healthy,-0.298744288279287,0.465343053253786,-0.214443803342758,-0.0670574525861105,-0.102703264386657,-0.216544477334687,0.174071475060372,-0.277759430380745,0.129738501022369,0.257245035928313,0.191073805182548,-0.0761384911970539,0.172583497649422,-0.0043982861706014,0.150679594879412,-0.196566192390612,0.126718782158971,-0.0154158836178544,0.140953036656365,0.223098142549091,0.403296583419256,0.0686220170696827,0.171270576404466,0.151193822367019,-0.0078884684801086,-0.0856243471918585,-0.108009654418353,0.29480552454442,-0.270833770813604,0.0410397299152391,-0.0504271168166721,0.158950998722632,-0.159574636313986,-0.2406037591485,-0.331239089091939,0.317551885113277,0.158480535276523,-0.0620245878137805,0.05996767786335,0.0679436744264556,0.119388305207968,-0.15974969247998,-0.0553833945163798,0.0780750500333635,0.174246531226366
healthy,-0.658380505246413,-0.739142309249827,0.010677346531368,-0.712244107565596,-0.650332014052272,0.57302893194619,0.560720189201544,-0.659748773038195,0.553751738974407,0.57438262647155,-0.390128770976994,0.702565839410002,-0.708581359938366,0.685848683572901,0.67817019142068,0.621463992523424,0.620458437140351,-0.656691625593362,0.668940456020498,-0.295199323134301,0.573320397274616,-0.554331431127611,-0.76505762507653,0.642720720850772,0.678432510216264,-0.570655108771336,-0.4036398082014,-0.660815050364689,0.607100419213369,0.578498764609666,-0.607850942434068,-0.248778611826861,-0.593288201149588,-0.57954723016609,-0.607538426831921,0.816498826666122,0.59828035452481,0.23091583532386,0.554742721091058,0.628319095122839,0.617253937779481,0.716488976223768,-0.588123597455048,-0.763879619374139,0.642443828788766
healthy,-0.34122638897983,0.0954805299956267,-0.620360242602524,-0.18482999304164,-0.25268975677941,-0.119633217978954,0.182592772904722,0.451105636811671,0.414876604836681,-0.15216193429496,0.372802932019571,-0.297697361886802,-0.150629167557557,-0.05514863756193,0.224147782229882,-0.121707871946752,-0.194282054588961,-0.256986148391829,-0.039673886511074,0.443286978201684,0.222390519354172,0.600287191339458,0.374335698756974,-0.0176113349878426,0.484485890204013,-0.123588994760838,-0.279040958668912,0.50305713971427,0.374126685110965,0.349579193574064,-0.0578503324677573,0.169440395698417,-0.405014257243489,-0.204632100689508,0.567673321315818,0.269465037183215,-0.299222387378057,0.0773273077773889,-0.267026544646436,-0.193004748974458,0.244251798477543,-0.199275158354745,0.0831796898656566,0.0026010587058967,0.0884824434773806
moderate,-0.200152922824105,0.0912045757723061,0.0634801058887214,0.0850932671126676,-0.166848385336413,-0.164428707429043,-0.120260639473617,0.0288185180705108,-0.100284986618269,0.0888574852928415,0.233561177418202,0.0426080928515042,-0.0891849287802462,0.102638332126592,0.194970849614285,0.174735249396879,-0.116442744417898,-0.10049969412045,-0.103648010156834,0.103456140783273,0.0920776614281937,-0.0293339033552176,-0.0090697918434842,-0.149909912655887,-0.134328053908517,0.0470685102901049,-0.13959231528821,0.151626845344397,0.0428532027032487,0.183015016549073,-0.0640472769937373,-0.0088722493042147,-0.148805681863844,-0.0845208592393058,0.0495946691538411,-0.137882074025919,0.0666249307462079,0.119684013092421,0.0784053320718331,0.116518823024701,-0.129570158934713,-0.0321208823757359,-0.141657638537509,0.0813943630710298,0.100546679569776
moderate,0.0039588188505226,-0.0864394398038314,-0.067633332415506,-0.0081833813707713,0.102504608127624,-0.0649859040520688,-0.0549112463449278,0.0747789840091065,0.130746931152034,-0.0995735107204491,0.0856714869055393,-0.0522455938512452,0.0721741284089475,0.0027077771226105,0.0793284439333204,0.119102757572037,0.102719712615767,0.132953694071013,-0.157612436074216,0.111734831340689,-0.0441095653434885,0.08311652359638,-0.0847123300177872,0.189646573214604,-0.172000835037314,-0.0677856980946069,0.134670198010767,0.0580795562015268,0.067712353439275,-0.157325779468142,-0.0683926213830256,-0.118387983283313,-0.0581644029718496,-0.0932609408840505,-0.0421552514418438,-0.0349244543216869,0.116545254834893,-0.0768892486646545,0.0765519528769977,-0.0762275036073828,0.055183263895558,0.125057716196899,0.227540515119475,-0.0765096788699531,0.0893475329810246
moderate,-0.0032314406199855,-0.0039873017454707,0.0226514943260736,0.0066913651008461,0.0165597098484033,0.0516704288803514,0.0326590737739053,0.0161883308105346,0.0183727931379119,0.0029154103575808,0.0681410033889477,0.0442751868868281,0.0132788618983745,-0.0061175762694778,0.0095686728095944,0.0307295017314954,0.0711311712437004,-0.013361104250927,0.0669498095981412,0.0630864769081206,-0.0228266326574504,0.0154522107634743,-0.0280353316794912,-0.0991881334267887,-0.0058392434538808,-0.0473226521290295,0.0122603479098051,-0.0097996789392534,-0.0039524634769958,-0.0045662352767053,-0.0173402245577609,-0.0289082688731721,-0.0109161562083738,0.0057793509523403,-0.0162761048536513,-0.0092603368328304,0.0013540121594946,0.0214820585181529,0.0104577543446256,0.0333480993294464,0.0145564502242805,0.003119195106266,0.0153296439802001,-0.0389817232434508,-0.0234794996233119
severe,-0.0359073504428432,0.0489513237797805,-0.0055333523420079,-0.0494811576236584,0.0511542890263005,0.0620132539889882,-0.126431866275126,-0.0141351733745511,-0.0395000940827524,0.0482044671345902,0.0796553025135945,-0.0279884450768381,-0.046622550892501,0.0483270298049128,-0.0613095540814236,0.0658613987092597,0.0475472990077429,-0.0461146377138956,0.0378844068719596,0.170734085311041,0.0618555169344776,-0.0676905146085391,-0.016733340421461,-0.0440672530541907,0.0524273032513927,-0.0531116291793442,-0.0279885956872803,0.0217759834049228,-0.0739025176031986,0.0639497277498551,0.005568958019735,0.0374521480568538,-0.0002614391899094,0.0544265747207368,0.0142436402766675,0.044190979532476,-0.0362954256309444,0.0328850164691323,0.0626658901107104,0.0513309961506018,-0.0944160979732766,-0.0461714041587548,-0.0255703807351086,0.0382354866587078,0.0051601054365363
severe,0.182526172475331,0.262903861035831,-0.180729545236634,-0.249617608238657,-0.275271687453411,0.228081405415587,0.170366910311048,-0.21922638243442,0.169668203161022,-0.27598864820097,0.550745854627609,-0.180718728289948,0.0829484035464433,-0.189960457115154,-0.0499168286619691,-0.24914808514655,0.297577245609553,-0.0359866295073694,-0.0696678972521964,-0.586154791576007,-0.0299369140434074,0.22300589121257,-0.122594879359245,0.192568693384916,-0.216588061531686,0.475050889893576,0.550189457932427,-0.536533400770411,-0.474587789363563,-0.0133937462048703,-0.312362321581963,-0.591523715457893,-0.0506838177879528,0.445161638021505,0.359613110915315,-0.197510685902272,0.331780769061583,0.585039970008139,-0.18064875616607,-0.286677481675069,-0.423206278514337,0.187325178478676,0.229260452604406,0.106873461439291,0.0231178432463741
