group,ARNT,ATF1,ATF3,CTCF,E2F8,ELF2,ETS2,FOXD2,FOXM1,GATA3,HES1,HIF1A,HINFP,HSF1,KLF4,KLF5,KLF9,MAFF,MAX,MNT,MYC,NFYA,NR2C2,NRF1,RELA,SMAD3,SPDEF,STAT5A,TCF3,VDR,VEZF1,ZBTB7B,ZEB1,ZFP42,ZFX,ZNF384
healthy,0.713639558655296,0.797141520629056,0.0654285132081735,0.717147661230552,-0.63988703040936,0.26906753122751,0.0593746840898007,0.719772113666162,0.410155371402122,-0.844434372415136,-0.0473986517050166,-0.424540032068461,0.707700650138526,-0.737026333113887,0.211480500940426,-0.866837073217559,0.481616208119011,-0.547047889564322,-0.429768103380327,-0.545513502718188,0.557590822684168,-0.413689587931961,-0.264773993863853,0.108413906588632,0.837618246240181,-0.7564310175201,-0.427842967287304,0.516131463524664,0.126930524524644,-0.0698195938727734,-0.862147314197414,-0.218056225121719,0.244845590258187,-0.145683128123765,0.0331957326417142,0.255461584846554
healthy,-0.0840666996994133,-0.190381235437081,0.532648255756814,0.0423813667923043,0.353731107840596,0.566541694035012,0.415703781342659,-0.242588553529856,-0.223835899413141,-0.357921641261168,0.102116359592082,0.0314083243535855,-0.292931319673702,-0.152060202785648,0.405254265567393,-0.186356521853864,0.411605779485648,-0.377829575150075,0.121452180922805,-0.102129188451926,-0.459397240247173,-0.457724029378056,-0.0376929644279687,-0.0279839741156574,-0.341912043038284,-0.207044150171422,-0.310291769542795,0.238398566018213,-0.118272807317019,-0.38418450099914,-0.0942642785036852,-0.216127665327685,0.294269478937298,0.461892044055284,0.167269362040558,0.341643865276635
healthy,0.221582213238678,0.0514400892102567,-0.0992105530894684,-0.283704505563935,-0.0998530097497997,-0.0691566483010881,-0.0843360480384077,-0.220515081836771,-0.199357568429589,-0.037229819011403,0.307965411313395,0.0646812298706445,-0.134676338558945,-0.384570201235951,-0.155245840785485,0.12127186145949,-0.394620836786558,-0.0709206818430148,-0.200729594517754,0.044623515153182,0.254630619409958,0.22551317687223,0.0350737780157148,-0.0300539047883803,0.0814395485189478,0.0421408012793593,-0.103228629490524,-0.120215619153521,-0.0501333976977184,-0.131714504463858,0.112560584709234,-0.181238112789058,0.123591238894245,-0.0254478172066829,-0.0298361228696239,-0.134719894942696
healthy,-0.361518122067533,-0.280101727043195,-0.0965069631729086,0.035563630465434,0.153333509256702,-0.125568061591699,0.13562331494323,0.11688695875855,-0.267502110187664,0.238126203434568,0.0684493668994624,0.222321044645401,0.121944933281453,0.0335695745895248,-0.22265851270557,0.139146093038941,0.246184973082419,0.209716572134328,-0.196237272349773,-0.0143031426748454,-0.431641880853057,-0.201058938302966,-0.0780578999411303,-0.0379906489605037,-0.000103587318229,-0.213635895432635,0.0175078753325566,-0.0085386702705835,-0.267434131010076,0.0752165321731444,0.0011928727114813,0.405329892746955,0.377328136512242,0.259666700694745,0.453193707976165,-0.174017792589642
healthy,0.213138506752139,0.063472980243369,-0.395889208611173,-0.204807485425878,0.169602947573558,-0.449351091072107,0.293643454739297,0.358411172802103,0.291855483464835,-0.216606554482774,0.282846266137917,-0.40374241002788,-0.468810692227341,-0.408335646577788,-0.0105813989648064,-0.523282161916527,0.284048522684538,-0.484964087879369,-0.4140386584015,-0.0295323531195471,0.276711675041059,-0.402285829981013,-0.218571781530135,-0.220860693032354,-0.0116834674658751,-0.246123494056852,-0.403958199664452,-0.411772867217485,0.185147508179541,-0.325742163179514,-0.407040908758351,-0.442299394019814,0.245938531511218,-0.0033601529123493,0.458483616762781,0.383157620053373
moderate,0.24934192416576,0.298916298620003,-0.464285764028189,0.550221865574635,-0.190101599937965,0.526250472396808,0.400782622519904,0.426527002303177,-0.150470901627812,-0.267664765720796,0.530516621814242,-0.392302623747511,0.0088949222597275,-0.348316822451061,0.349821789345763,-0.503750724744239,0.412401928920456,-0.505869384338784,-0.476556141012567,-0.457556441031266,0.529641139050987,-0.485257509578483,0.636665755816299,0.226337864830437,0.486816370166372,-0.416460181967665,-0.422815726124741,0.240853522613246,0.480025185322699,-0.465851578641006,-0.609557228143104,-0.494512157752683,0.456314133453092,0.374754141843244,0.394636858114805,0.451383584904053
moderate,-0.609629522909052,0.853282628163826,-0.853221824887528,0.822529499154145,0.866894474919268,0.805461600164404,0.857868183624326,-0.853352866431273,0.854454513969319,-0.865338899473688,0.85075105530043,-0.85007368284059,-0.85004567739067,-0.774790540601549,0.84327374993344,-0.862813017557335,-0.798954900791715,-0.85051173600111,-0.854491055839804,-0.819710233941567,0.854646209027598,-0.590400861184274,-0.855412390213657,-0.851366725913387,0.852839782626848,-0.87259620480895,-0.8591877345294,0.859836352730499,0.854242002025806,-0.857709585915953,0.806099135994946,-0.489601908594201,0.847009856666942,0.865929410110245,0.866809709760685,0.856848306009577
moderate,0.807133019868992,-0.758692467489967,-0.742642781164252,0.809151203164548,0.744090410248611,0.769934334859253,0.811076187456667,0.711473267375449,0.803881724239651,-0.719109319376232,0.768157060309005,-0.795440611885768,-0.804238779573348,0.755155540317082,0.805350796819731,-0.810871454102211,-0.758267973520969,-0.807251824741975,-0.826700211985793,-0.85146257829301,0.796176361444161,-0.806303785030359,-0.778532935807049,0.674283329712449,0.812507094340506,-0.812953790665955,-0.814744920104623,-0.071512599578693,-0.50302972466412,-0.798477736114327,-0.688505924780227,-0.804842846346728,0.809572798012913,0.786669754096319,0.809648720438531,0.823090906766747
severe,0.767162495567448,-0.670490736883394,0.722935726693419,0.806167902801126,0.765743451381225,0.795222849379477,0.802068549702094,0.805320358723939,0.806431317574825,-0.812878442708632,0.792850099300668,-0.790631142314217,-0.830979866431172,-0.820400560497976,0.782270191651656,-0.825788980329351,0.660179796204017,-0.806483687363833,-0.818212147426854,-0.8271979662887,0.768652795214078,-0.807212953257149,-0.803790776607293,0.568430510504206,0.819990279201479,-0.818613314096279,-0.82156835414273,-0.254996824138208,-0.632942446036644,-0.805845841248431,-0.802145637703306,-0.77753678051179,0.757609402282635,0.821273192022071,0.818312134817463,0.813834425548567
severe,-0.0653836929091051,0.639945395717764,-0.518689479516855,0.774831450021427,0.7853559956095,-0.0151846273346438,0.236026385495344,-0.709553737319157,0.691325480338366,-0.769374315856675,0.812554647541384,-0.787753247572424,0.0686057620728314,-0.649648171459225,0.797319230970238,-0.746010589875649,-0.354993738699445,-0.778280716369775,0.728179504724309,0.791653522340915,-0.807656194978161,-0.593680464402796,-0.627240298909178,0.771532858408037,0.746564869743348,-0.800437351496589,-0.798808371384495,-0.771061195698382,-0.580711263564396,-0.723822465422204,0.828313193248508,0.0272910883423188,0.0328247449567344,-0.738748406245594,0.776487179131412,-0.699936287495021
