group,ARNT,ATF1,ATF3,CDX2,CEBPD,CLOCK,E2F1,EGR1,ELK3,ETS2,ETV1,ETV6,FOSL2,FOXM1,FOXO3,GATA2,GATA3,GATA6,GMEB2,HES1,KLF9,MAFK,MECOM,MYB,MYBL2,NFAT5,NFATC1,NFYA,NRF1,PAX5,POU2F2,RBPJ,RFX2,RUNX1,SETDB1,SP4,STAT3,TAL1,TCF12,TCF7L2,TFAP4,TFDP1,ZBTB33,ZEB1,ZNF143,ZNF250,ZNF384
healthy,-0.0727163951226637,0.082466383609985,0.17517170569292,0.113850264443881,-0.0495736299148602,0.0958872077276321,0.107966190390535,-0.0844388577783045,-0.1337935059531,0.0109700984554013,-0.0058771344911613,0.10723830742356,-0.0236662202387413,-0.028639091224055,-0.151070220692677,0.125522126125255,-0.0520614629582349,-0.102829468631405,-0.0320240554454759,-0.163599021921108,0.149210128878633,0.0866680957474744,0.0821173814617571,0.158509913269193,-0.0419120641140352,0.1501988237244,-0.0989905413837059,-0.0820864425803483,0.0805251374714987,-0.0393491488631296,-0.0900853482096179,0.121886084688664,0.128027693605325,0.129966433790801,-0.117436765117096,-0.111421803210313,0.0895459900153391,-0.124852747522813,-0.120917533849795,0.0283696048925318,-0.0037518935719605,0.0822210893633017,0.0369234827309968,0.143305718052772,-0.115400099998564,-0.055841114778936,-0.0902847642396327
healthy,0.207724338776261,-0.0433143552712448,-0.140614694621891,0.142444529665384,-0.21436311741747,-0.0574468817446015,0.0688911626327343,-0.23848918893879,0.139752154459209,-0.0931756739445498,0.114015117804811,-0.0482850423562177,0.116579061799403,0.0679441028945838,-0.0626554349963656,-0.114543021016411,0.167795997376968,0.0976088220357033,-0.109159509490346,-0.030084839245892,-0.0551641649367891,-0.0093797457205774,-0.129079837380894,0.187400271610714,-0.011852287438115,-0.0735507516060472,-0.16064638462409,0.0937430838632498,-0.0476402708716978,-0.189304302177298,0.0221296750994598,-0.0390155575150383,-0.0587277525096436,-0.102952138584509,0.0079738850947444,-0.230115005919839,-0.0140526871349661,-0.118067377190229,0.102435935965605,0.0385237196597459,-0.106993110339327,0.174496720332446,0.150153017786996,-0.107684133578501,0.0409409244565369,-0.0768647724194153,-0.106539815612913
healthy,-0.0656214344577203,-0.0493785051365024,-0.0039643759699243,-0.397373630207558,-0.234151461801394,-0.13408400502722,-0.019040016811109,-0.0427932361642391,-0.135009026086869,0.252894150414758,-0.0042947406340847,0.0727903476700002,-0.144787820146015,-0.0391702370139471,-0.165435611656038,-0.0954203271649851,0.109526898324633,0.196280659133144,-0.0919845346577173,0.0049664821178774,0.204484714959793,-0.0115517510901407,0.0859388613035826,-0.157594956959966,-0.0683854854811953,-0.0230154049365053,-0.163783788335236,0.211014923154696,-0.190378143800146,-0.0376725838697535,0.0088757973104417,0.0064531231065991,-0.179652304370406,0.280501624183093,-0.0877668791119366,-0.103910699033906,-0.033642134966997,0.0902225897821954,-0.0576266095850395,0.228579311132556,0.171833673985277,0.0356243229519592,0.134788782977428,0.0347103140477822,0.151890660425463,-0.0503365626625674,0.325618425151927
healthy,0.371937770013059,0.403768087366214,-0.0943528391045885,-0.333047877194465,-0.385978317459282,0.24219043679806,-0.382310973628419,0.365978643332769,-0.429538567324368,0.0569056477439051,-0.395359152080892,-0.28599550376639,-0.27729016784102,0.392909343475859,-0.15154997477075,0.157939783044037,-0.362367795756501,-0.225260392504524,0.372497001054916,0.105763444960115,-0.19480236098761,0.362122978653258,-0.0150345540125696,0.23209070780639,-0.137614231970732,0.277835479515803,-0.40016051493514,-0.0276586011624333,-0.217455721507475,-0.355367991690852,0.120554000655739,0.0653964616590748,0.0036190354392526,0.375926078072923,-0.401789080882804,0.0478654282224597,-0.0251793162506557,0.131992445245413,-0.3767964479082,-0.105624251289374,-0.0996159974311759,0.36941099549597,-0.349092813499351,-0.131513455260806,-0.414071694146204,0.189859348103726,0.139865075505235
healthy,-0.412391027973519,-0.0772564324653489,0.298898511631318,0.0738885619117566,0.0471265811809915,0.220469619557358,-0.0389665770593204,0.0769180716387029,0.133542362535082,-0.197484689914734,0.141592202666682,-0.0669875748194658,-0.309167369277201,0.253440128014255,-0.414688734052138,-0.162877459319643,0.168543035951855,0.151239420654309,-0.0991397222072653,-0.360755592056059,0.0716616755410402,0.0003619673959468,0.11409841828759,0.391475607572938,0.0955200482477969,-0.311590977058758,0.130756787357578,0.305366711619759,-0.134250559614109,0.0305783761010741,0.371480843375092,0.0721180692141905,-0.0238347661374559,-0.0879738149279487,0.359591001303882,-0.174334514287004,-0.0606059322517944,-0.205078136373184,0.208595515199015,0.432952349834586,0.100634804929654,0.17449976027211,0.358528705685342,-0.201316822997911,0.148036796085823,-0.315187044448925,-0.30716867974306
moderate,0.146264492397346,0.006719296788326,0.0132863025224911,-0.0836206009837443,-0.16537236069482,-0.0091173713132663,-0.0428329509358756,-0.0520938776787814,0.0138445089294258,0.0132362182752335,0.165408031161616,-0.087485678053357,-0.139093563821249,-0.128070807206065,-0.0482656358259018,0.167103907068756,-0.164768729040372,-0.355382240009329,-0.133749399926376,-0.0583008300889116,-0.1397117548499,-0.139286329935694,0.0668677114635708,0.0416990668729629,-0.195277169713592,-0.143897283745716,-0.145898032948662,0.08377609510023,-0.0558114682877199,0.0003976165094779,0.159071645914823,0.0605263760295489,-0.0293185030196269,0.0216490614708272,0.132812504196427,-0.0541896995952719,0.0233289220663443,-0.144135911888899,0.149881623324285,-0.121383686634727,0.0354835244320531,0.127523520329782,0.227377241174661,-0.0717797531321055,-0.0968029495744275,-0.0570191683778407,-0.146418093795185
moderate,0.105305325671521,-0.0509711166952097,0.0012848814170388,-0.131123364727006,-0.315194113278513,-0.440504583190902,-0.0592470261915891,0.114229080846158,-0.170508178099674,0.0300429237336186,0.0062226215483281,0.172904531488008,-0.0701038087376178,0.0288017324886244,0.090952278395581,-0.0158688410112084,-0.0507450087945249,-0.101536260107915,0.0309186789691395,0.0319923161522716,0.147500423031586,-0.304940885686504,0.145333480580999,0.0229386915658873,-0.236264739649823,0.022437080346639,-0.0527597112641725,-0.138147122900868,-0.0149788226611025,0.0374861676143288,-0.1002103910037,0.273676889206358,-0.385898624347233,-0.247749699789786,0.0207190506603601,0.0157982761285245,0.101746002961339,0.12132280335051,0.0296752356534213,0.0593923598223082,-0.0627988419993583,-0.130183350406828,-0.104994389773568,-0.0172197831694832,0.0357511723285961,-0.104034106816874,-0.0428798769981943
moderate,0.0332442849503616,-0.0301459015446043,-0.0160561328127039,0.0655413929152691,0.0161504662387863,-0.0244231466540047,-0.0396975536309435,-0.0087166744647032,-0.0171531214228415,0.0061843826752656,-0.0034059106479654,0.119682564653482,-0.0197638157219146,0.0310314628992282,-0.0136221264457694,0.0736367844035015,0.05253914712466,0.0141039012167964,0.0135502939025336,-0.0120992191614811,0.0333114324655826,0.0491490717803249,0.0311793986915091,-0.0494989964772209,-0.0058013395198859,0.0404748266412485,0.0160020842533611,-0.0027055786370989,-0.0304235566111028,-0.010169638697132,-0.0027877464705131,0.0045016699504605,0.0019564340068479,-0.0034989646835014,0.0021396463754736,0.0836797406715917,0.0282752140223072,-0.0126381567378782,0.0117889464655384,0.0163483711102339,0.0184165673937383,-0.0194177565146052,0.0106045495290371,0.0075363479023955,0.005941125457797,-0.0024944382200351,0.0095074653060829
severe,0.0995343697049435,-0.137961420370454,-0.0868155009598076,-0.043425426563983,0.027266014425539,-0.0248119360628358,-0.0166291498626198,-0.0091299672251775,0.0073948239718813,-0.0143828814839265,0.0467976027271721,0.0718323749920994,0.0274065294987438,-0.0386424631185043,0.0452788617600824,-0.0572576170893568,0.0144465538801253,-0.0076056034555303,0.0130616672335776,0.0849737719162211,-0.0350526130083835,0.14948509300618,-0.0166057513052776,-0.0328505571798738,0.0088613512369817,-0.0222910989489847,-0.0098285901321913,-0.0040716033096884,-0.0162410802523638,0.0797267829090671,-0.169320587599591,0.0324449592731364,-0.0162433279986184,0.002172690776522,-0.0317319562891662,-0.10926867822359,0.137355828037785,-0.0830283578435658,-0.0049235266355758,-0.0031682224044051,-0.0023900691482582,0.0247363169296626,0.0456655703496704,-0.1158809496806,0.013314370278105,-0.0247961056052685,0.0023113430386106
severe,-0.376998022529028,0.373586681403841,-0.381975136413053,-0.104963951937279,0.133218910057765,0.339615028748764,-0.0253497527012668,-0.0656349069666885,-0.0368920827445946,-0.404626062559166,0.0891566842539531,0.0669239290520759,0.401684317931228,0.0518149662465028,-0.0401329075624231,-0.40833682220025,-0.0848873483758679,-0.133940559429978,0.0653337968207581,0.112927807808129,-0.361232030618514,-0.31200390501896,-0.392084655818161,0.333983592367853,-0.354298039111948,0.351836040761459,0.0984548978950827,-0.430292488402669,0.416670130070375,-0.125285841853522,0.0177052765807078,0.494237456966074,0.101667303328351,-0.38396381668022,0.134684199992624,-0.402993639577015,0.43987963245349,0.146779693056846,0.105323254156356,-0.379798685212187,0.383228972593747,0.174075835274447,0.0724964967078284,-0.389436916490013,-0.148931446459225,-0.374145257640842,-0.363780978752716
