group,CD69,CD14,CD16,CD11c,CD123,CD33,CD38
healthy,0.612970571196679,0.639244878118833,-0.202523497922151,-0.27171761327334,-0.163908392120346,0.570942212680287,0.609026352603565
healthy,0.502940026670015,0.606596616033232,-0.461529008914802,-0.294129307293227,-0.496086363431746,0.425699169495529,0.400067433718526
healthy,0.629800021579281,0.7093607311074,-0.519840039193404,-0.398138335202695,-0.408183015567179,0.464788553518214,0.628949889928088
healthy,0.683180137838895,0.686000257346543,-0.76659370418925,-0.426226202325471,-0.426331096703515,0.68658333798387,0.644629172294072
healthy,0.655849870762978,0.698091570943364,-0.756960816675883,-0.303984972084337,-0.683990779674296,0.648364425645929,0.496669990884728
moderate,-0.445421492221618,-0.481890927127257,0.1496942332807,0.0656202161267594,0.0501098565443763,-0.597565131194714,-0.563269299919294
moderate,-0.574559945716391,-0.595245043422125,-0.164638360802698,-0.25851063452988,-0.20024713947654,-0.420047519701535,-0.286210183995794
moderate,-0.498314382389267,-0.599056418041173,0.394002676025294,0.291518414771706,-0.0798832553231237,-0.592330953867414,-0.527689245809681
severe,0.43722776452481,0.531937246634741,-0.645166652214824,-0.350894153646569,-0.113041266336821,0.527532753883354,0.305281816347873
severe,0.242030675699538,0.4151918669773,-0.382257321768692,-0.268282166281378,-0.282570710411226,0.645670226674318,0.444655522292866
severe,-0.465190129421557,-0.450629712432508,-0.475981220198002,-0.363721752465287,-0.266352685756074,-0.0462627688338164,-0.0272775869498002
severe,-0.195790731618844,-0.306474333432392,-0.202292760322443,-0.604956328931212,-0.392489472176533,0.132755637827082,0.22739542408387
