group,CD69,CD45RA,HLA,CD14,CD16,CD11c,CD163,CD33,CD38
healthy,0.566971817694741,-0.048481026096891,0.0735250946157102,0.672140067110752,-0.304073267306164,-0.0637475222871319,0.360545133893972,0.664690298219059,0.618919450873906
healthy,0.472786656563438,-0.215709897252602,-0.342712008633655,0.66672896521673,-0.496963979487777,-0.120806418041793,0.286976611301516,0.374045858770176,0.364418178377926
healthy,0.105062584434625,-0.50910397991541,0.0602121259300358,0.295116625981094,-0.655628064213037,-0.22095604124656,0.31562357305664,0.21192669305466,0.264752308516883
healthy,0.396145673701374,-0.120289056736681,-0.429142941709632,0.189292917352421,-0.376998760473368,-0.123297716806659,0.231466521864566,0.553596018262506,0.489644133748846
healthy,0.199960719205921,-0.6023365650776,0.0631093167707349,0.314975313368623,-0.594670718601182,-0.0239809969842069,0.493462573873162,0.50418880251149,0.0867310431636942
moderate,0.552185685082421,0.196797248608954,-0.738041506793879,0.77952444573358,-0.285860543257515,-0.0543112841111675,0.199851702929638,0.704459372549536,0.63296910567672
moderate,-0.62361616938869,-0.18288736129391,0.48976799071797,-0.536568061264146,0.0237269850662544,0.0880802103289521,-0.149275643687159,-0.574582270969218,-0.531959502995304
moderate,0.110336238404717,0.169267548680366,-0.0716348931386364,0.247056228392944,-0.446712487788629,-0.366415774932873,0.379368156255997,0.435279147363773,0.44837904672108
severe,0.0931795880091892,0.0430320041877898,-0.484032485744434,-0.0967724360668204,-0.331645497952757,-0.616055027477389,0.0927885837266404,0.207856419390985,0.184220881625544
severe,0.255140944652804,-0.105583286714499,0.242803749296205,0.408309956253303,-0.519775961900139,-0.121934431555385,0.144236956940379,0.67440471364399,0.476895287350083
severe,0.364609402061523,-0.050088058974011,-0.0641113885787783,0.411237685202699,0.0676525635031488,0.159101124941199,0.0307639281536274,0.291898213716262,0.072344916348251
severe,-0.325726237189917,0.323602185662318,-0.0639112068112312,-0.220975192207418,-0.12559407756065,-0.643019569954953,0.620502213246323,0.0092566815015557,0.0249253988797043
