group,CD69,CD45RA,HLA,CD14,CD16,CD11c,CD123,CD33,CD38
healthy,0.493182983181244,-0.115425968244177,-0.125764350852537,0.605962044411827,-0.404241018173601,-0.222767412799179,-0.339350878311395,0.528556094657657,0.543917246586184
healthy,0.550970121759132,-0.107748404060285,-0.475996577189063,0.643258390315024,-0.484836382282366,-0.286904124428224,-0.469274793685509,0.426225376424456,0.426258305586319
healthy,0.622470950843257,-0.166049738603265,-0.623053853766314,0.715677987707788,-0.482251607668287,-0.422021976146774,-0.400195732442995,0.477277166985266,0.623199787200092
healthy,0.597263919206761,-0.687512261015952,-0.418492558162882,0.703745126872632,-0.794674883926381,-0.447129593399517,-0.430518212728859,0.554850644069933,0.489824026645698
healthy,0.645718537164399,-0.520074292099736,-0.472514684383818,0.672149020715785,-0.736112527630379,-0.3694716525015,-0.696333561580088,0.539132865140693,0.474057298387492
moderate,0.293160184658177,0.0341168449986164,-0.49698127887404,0.647162132506563,-0.621080581848645,-0.396163805105864,0.0948082130460917,0.694763239681046,0.460333633891852
moderate,0.0072089534756856,-0.301630111275235,-0.41617535449729,-0.0456967165501759,-0.391888307324889,-0.480463437034258,-0.19473848705286,0.0219500667363781,-0.111278428214752
moderate,0.314150323421217,0.094512759654961,-0.553201398715211,0.271074954424135,-0.309307757469707,-0.435693507607714,0.245465279807113,0.418672817319536,0.49313460052354
severe,-0.633836865027474,-0.164309166882371,0.42947541509974,-0.706742762013915,0.394506279469929,0.129269502464243,-0.0659031350834941,-0.610486337740599,-0.533826576145277
severe,-0.204741198732854,-0.39018348538268,-0.420273238068829,-0.0537852218738237,-0.521714559903381,-0.47492353784357,-0.498316752434712,0.164063303049857,-0.02560014866769
severe,-0.304706090633955,-0.256126138078487,-0.285351875155025,-0.0506652971573914,-0.402702210158137,-0.222677444754705,-0.252173359912917,-0.159197969123766,-0.261859919284692
severe,-0.630148457612474,0.173243405940834,0.0806986667498614,-0.575464849682365,-0.183019979508143,-0.605468694312671,-0.157132016404754,-0.25267304337508,-0.145453987973941
