group,CD69,CD14,CD16,CD123,CD33,CD38
healthy,0.614238540322928,0.709733087689142,-0.395758207076929,-0.271250088648547,0.634640781353176,0.632945031027756
healthy,0.590125829848623,0.707922181548933,-0.435994425182068,-0.445646869555945,0.421158410620402,0.456496736271335
healthy,0.538897704785557,0.738748820786711,-0.696357311886048,-0.425964182126668,0.439636947093902,0.573208791525615
healthy,0.568159834755454,0.790958420958756,-0.737988111064418,-0.482617166080897,0.534592071309697,0.447924093723378
healthy,0.554586576743132,0.651765750281886,-0.817703654294213,-0.710186652107613,0.588864015699239,0.377018199289204
moderate,-0.0408447187721088,-0.0895041292682451,0.247882561851115,0.142430205734838,-0.126290453421827,-0.238507352529004
moderate,-0.270539652194012,-0.314567959051304,-0.126299821177356,-0.0952194223889696,-0.221562995322455,-0.257894472590239
moderate,-0.577835520038435,-0.369602105459072,0.0051951938482885,-0.135805931562604,-0.493318493304534,-0.466279341774424
severe,-0.293307758841887,-0.177808781039091,-0.356267539873802,-0.381267283252384,0.0065966023856406,-0.226925457949852
severe,0.310784958387288,0.535670621976668,-0.347049437219276,-0.088936073310336,0.700819930326008,0.529863960192686
severe,-0.117892024606436,0.0658265372427981,0.208290920336194,0.0463154319176633,-0.282877790887796,-0.275490240741094
severe,-0.0208997878849682,0.1690435039203,0.262835039021515,0.451415816486809,-0.289598890375901,-0.362054085215807
