group,CD16,CD163,CD69,CD14,CD16,CD69,CD14,CD16,CD14,CD33
healthy,-0.0544116835673187,-0.282024032492249,0.618594110499084,0.675218427506614,-0.310451228659277,-0.381210271228056,-0.452595309287377,0.268473545511257,-0.695367639913791,-0.669317106876453
healthy,-0.412227835146634,0.0011173924842871,0.582073799428544,0.666165441704925,-0.433970118599757,-0.604002068074545,-0.713094242308514,0.427051671164256,-0.302731046411548,-0.336363054974353
healthy,-0.413162927135071,-0.0625064656344425,0.553019523633846,0.649891898783083,-0.573046589485092,-0.742942451572659,-0.824626885247903,0.505661606774134,-0.80308306155731,-0.540952670922772
healthy,-0.758304053295546,0.128975471131394,0.713412318228706,0.744011884818798,-0.70060115543273,-0.596395614446927,-0.696965009689267,0.824090744387937,-0.544748909195062,-0.705784506900831
healthy,-0.626018936894772,0.225501208029303,0.697328173898574,0.699736449992299,-0.618471473781385,0.453754614422707,0.333052251923989,-0.0673626780527226,0.362281332333254,0.0585348901197409
moderate,0.316868634437089,-0.44479206851173,0.367559025523482,0.664343323200569,-0.652377765066036,0.232058981397367,-0.058558237523984,0.375039496676777,-0.636821820498078,-0.616251003857434
moderate,0.0944463788768968,-0.109561380289037,-0.0258610806927047,-0.164296271112693,-0.454738409897155,-0.565314973895923,-0.57574892748775,0.138988454948052,-0.431161311713928,-0.59837212632516
moderate,-0.237913277750509,-0.0513934042169221,0.362715940583101,0.684763369787405,-0.279470912268252,-0.331494466248767,-0.433468269232064,0.464961244927912,-0.36964851715226,-0.416542902119104
severe,-0.103164613871148,-0.442329867707602,-0.51410689440694,-0.35390498622385,0.434735728090807,-0.434118929062793,-0.3985639696629,0.714662938911584,-0.219555720750561,-0.181549012793073
severe,0.180815682093787,0.0673213691529774,0.218143506558506,0.355838728927867,-0.522074237628422,0.102574268231904,-0.26103454296725,0.0517834592797094,-0.0962497227938595,-0.394584120662075
severe,-0.162809429484461,0.170794480056424,-0.249023808203701,-0.125318829248048,-0.349725146772365,-0.34599262194524,-0.356628975650863,-0.505340771010363,-0.421881943263228,0.0185542057580935
severe,-0.100127504433727,-0.784826020945607,0.58557756310442,0.384181019096792,-0.0812224302801763,0.473814059452282,0.129745955487708,-0.0670179352391817,0.252670346093468,-0.164683267894002
