group,CD69,CD14,CD16,CD11c,CD69,CD14,CD16,CD123,CD33,CD38
healthy,0.67875302524608,0.72479415666237,-0.261660394508363,-0.0947991962922303,-0.593444718268165,-0.703823366549131,0.327639691564091,0.203295822796977,-0.662833076116595,-0.602898736249825
healthy,0.618076961204982,0.72813407563257,-0.458365742115381,-0.264328807975084,-0.565091765601478,-0.700510121972779,0.463437558730227,0.482582693221513,-0.432651786776226,-0.430398947736213
healthy,0.72449394766716,0.787375501816768,-0.398685379091488,-0.226305319816119,-0.300048378493832,-0.530446206989004,0.52551866544799,0.255012179516404,-0.344177686907191,-0.400001818043199
healthy,0.74924876617166,0.712306931607731,-0.688774967468495,-0.352084466264059,-0.673014805155521,-0.737313983096962,0.717824624240535,0.377944906669135,-0.725180388603712,-0.668347724844415
healthy,0.704673751179556,0.716147533094336,-0.645427010658733,-0.155922021222906,-0.6875220759099,-0.76385742452379,0.540382226669733,0.657862965904062,-0.633156059028974,-0.57836618010758
moderate,0.0189294853098741,0.407873567677678,-0.158402635899331,-0.015077260722811,0.307536009095469,0.618700601439665,-0.409734501379745,0.154267366882327,0.665505148884551,0.492286941966695
moderate,0.655284656896399,0.590398255418259,-0.144424591903645,-0.130068958615655,-0.558217718228269,-0.573534653684441,-0.0930565764934619,-0.142419178596542,-0.493750187810353,-0.382399546759889
moderate,0.562335281389139,0.422048855820547,-0.0755255782102895,-0.0258447322826716,-0.3521513148971,-0.304126603103557,0.294072531335817,-0.356231755628572,-0.518465547186619,-0.634635222881159
severe,-0.176925742787604,-0.120882643100257,0.474360952557453,0.684167283782146,-0.472672106339832,-0.469868867227128,0.386126902675697,0.200781072088096,-0.577323509042684,-0.45278538937256
severe,-0.103500388666964,-0.418600401312312,-0.0767945788981717,0.218674516982641,-0.304654131169313,-0.512770699340682,0.365481455804952,0.160835449373866,-0.766483276031533,-0.534256297629601
severe,0.300055882932595,0.564319926401435,0.114261217222416,0.258356508602942,-0.272287058374496,-0.44177536002199,-0.0810501079117978,0.101356543193182,0.184864069040167,0.343956907351491
severe,0.642450610538098,0.586572112373594,-0.0380514888369301,0.37575308148958,-0.450826038931232,0.0634698543083989,0.0503376270590427,0.240963626753597,-0.364661015413351,-0.579081286156153
