group,CD69,CD45RA,HLA,CD14,CD16,CD123,CD163,CD33,CD38
healthy,-0.628586723369365,-0.0264266899096293,0.191573113852233,-0.690670849840369,0.363171287665808,0.237245314685647,-0.224073131852728,-0.613942792577919,-0.646672380400595
healthy,-0.457769450827671,-0.0181074793053551,0.469472535442556,-0.457923599341472,0.359852256274871,0.401137411890818,-0.0253834937235498,-0.276070876550197,-0.34393973445215
healthy,-0.650319812052451,0.188513638758078,0.606566634526127,-0.701166751474209,0.49401847926611,0.389443942473851,-0.252606999554132,-0.495021502473432,-0.628510855642347
healthy,-0.662551667588751,0.499878324497017,0.572023262996736,-0.65318077462328,0.664617954621468,0.291111356126181,-0.0976025804108664,-0.522998405267744,-0.551914160532087
healthy,0.539149377753742,-0.618122970605128,-0.0163024247145216,0.664119999345334,-0.715855586844887,-0.626689932211905,0.664332119075786,0.62361084328566,0.258633241028947
moderate,0.355785857213711,0.285640152861692,-0.606653837183655,0.722202463999762,-0.408918707410015,0.102311420279474,0.334647358588994,0.605015802279659,0.425081206939577
moderate,0.584049707083269,0.18680865589905,-0.37786918534632,0.539928131528901,0.0030926201416918,0.11726317445658,0.197002034029373,0.589591607917207,0.48661712142999
moderate,-0.418386608694526,-0.250377243172383,0.34535329902962,-0.428528535515431,0.0346316759016897,-0.0594662293168854,0.0932661166933843,-0.188647447564793,-0.281146925911383
severe,0.0803998408235142,0.157788651531577,-0.245870963577038,0.0029066680761464,0.0543128098047102,-0.143334457651387,0.557734833992714,0.150831339581338,0.195120911734675
severe,-0.383110480597749,-0.428115701423157,-0.19909612384178,-0.352788115519946,-0.338063877273401,-0.436396261030884,-0.450508986513183,-0.232307108189523,-0.265049018121752
severe,0.239812218659268,-0.160568625521746,-0.0650448890357451,0.415693847396968,-0.230640510887521,-0.116267693736922,-0.0138836128097528,0.195035257967222,-0.0205261817506297
severe,-0.376067439200204,-0.0626808425957832,0.332363442141646,0.0947734014795296,-0.0164592310063821,0.178577844111045,0.700291131520679,-0.204669648525136,-0.447270336093193
