group,HLA,CD14,CD16,CD33,CD69,CD14,CD33
healthy,-0.306212993386181,-0.618347021835981,0.281453231895904,-0.597773508617089,-0.582176108909736,-0.629297648961334,-0.503700085662059
healthy,0.512696481357068,-0.715903923363797,0.434765285505911,-0.461030756658315,-0.439300734862939,-0.498680196856728,-0.174614907519655
healthy,-0.763718878757728,0.34270134858732,-0.136511932264265,0.219284253396676,0.346864618024337,0.387234446586751,0.277461431289426
healthy,-0.525998784020445,0.145779371012668,-0.14600498708059,-0.0770782075970257,-0.735782511648306,-0.694987983169844,-0.583184487665554
healthy,-0.487076257469079,0.642670071125866,-0.702482574658345,0.478106613837842,-0.775491358753655,-0.766147026337738,-0.64274686141592
moderate,0.448440921958033,-0.805904485422146,0.430252115734965,-0.763879263717977,0.513434149538819,0.691165729178268,0.717675631799261
moderate,0.40684302828618,-0.513605438811191,0.114186624266626,-0.632337717353746,-0.464964252528961,-0.254874169728438,-0.125350214522751
moderate,-0.435430695018915,0.321222376531745,-0.368594528069546,0.526925729272474,-0.550571482442693,-0.579707952987817,-0.605303535394003
severe,-0.715837541017708,0.537080760204241,-0.667648478733666,0.614957117248196,-0.730044037221582,-0.811433984032569,-0.602319843940046
severe,-0.268185319899827,-0.409566458253408,0.470025276657239,-0.665863004152396,-0.29918285707208,-0.513025394380312,-0.412003145503074
severe,-0.151659897094807,-0.565038160884251,-0.434936798104758,-0.0593110393292444,-0.390906244445014,-0.56793804737807,0.124876175183102
severe,0.1079062105633,-0.44168999982529,-0.167386863603439,-0.298245793728591,-0.562419965935874,-0.669922644844882,-0.263414481911047
