group,CD69,HLA,CD14,CD16,CD11c,CD123,CD163,CD33,CD38
healthy,-0.616478753653022,0.0862279864445524,-0.717294334999777,0.347971951620319,0.118574708258564,0.259020056955281,-0.282918827934791,-0.643740655024092,-0.643685625419211
healthy,-0.536201915412768,0.466120268280882,-0.641458407138999,0.514757085331209,0.282926746002186,0.536574588628159,-0.310945754093162,-0.427274650357896,-0.423686933890363
healthy,-0.561960095172009,0.322641896201568,-0.758175805831591,0.677162331604949,0.32877585154924,0.423088961399902,-0.456934565372949,-0.485113625409666,-0.621743353767542
healthy,-0.599960972858066,0.392485396278869,-0.697808337350327,0.813916645954225,0.428509016268983,0.440429282468768,-0.399915466734568,-0.659060003856241,-0.572416518790318
healthy,-0.471882016712504,0.220163086248491,-0.584551279548069,0.806133400232373,0.308840439975819,0.658224281994465,-0.569667357367679,-0.624123572366258,-0.367474611809867
moderate,-0.421132667966303,0.54419970915263,-0.693353862429873,0.3780571423318,0.382124314487763,-0.234924863857859,-0.216506999600171,-0.614779022758554,-0.619954160631539
moderate,-0.436203893748593,0.597273072490158,-0.334584930747671,0.338189247082912,0.417253555699244,0.0950029678823365,0.086265329417551,-0.52504339455082,-0.350094374852785
moderate,-0.375025070525104,0.613581963021765,-0.477577784982856,0.560946728103913,0.468374534510538,-0.0491537785102559,-0.0412784879341204,-0.525062625022453,-0.435913564249275
severe,-0.353994341808491,0.556593231850066,-0.445694685838084,0.717334431506809,0.602796571766467,0.321178434827602,-0.190442010828387,-0.492439662268982,-0.178135830964417
severe,-0.241018540409764,-0.16061752561266,-0.433602919542853,0.44470223597898,0.178403851161695,0.262039660647129,-0.199024566860015,-0.699104940828912,-0.448501195251189
severe,0.314126549568839,-0.125993730038202,0.526288491043479,0.191851019879972,0.328230957187073,-0.014426200605607,-0.178321675306547,-0.230753294009138,-0.404598512352542
severe,0.2599705206231,0.116253288154587,0.0794910524879033,0.313170218320199,0.495915016152939,0.473625987468208,-0.659369225503144,-0.0806663771924383,0.0377827457457603
