group,CD45RA,CD11c,CD123,CD33,CD45RA,HLA,CD11c,CD1c,CD123,CD33,CD11c,CD123,CD33
healthy,0.437729516129684,-0.814890149066798,0.757263452829454,-0.700957109500646,0.40373955132957,-0.692265217375414,-0.831191621564061,-0.659545611906266,0.717995391692777,-0.702366942518822,0.844130328976153,-0.648961724728109,0.744071449653843
healthy,0.474484894200339,-0.795448822215427,0.688334531834046,-0.258576956826223,0.448094638603019,-0.722896181257846,-0.804002585277571,-0.655147288104145,0.599018546487408,-0.221403619751469,0.606284941810603,-0.586454875232755,0.31845332653684
healthy,0.659945592763805,-0.799538111310581,0.826567830814065,-0.438697300522949,0.632161047803357,-0.56954668166827,-0.779819627431788,-0.785672395833178,0.783299676079552,-0.40004540253159,0.789189143338072,-0.597688268305455,0.528470092514718
healthy,0.758815280729443,-0.754770479221735,0.892164308461019,-0.669108403584635,0.757345746520478,-0.380122131772253,-0.803901988511886,-0.804249858463123,0.848159915306004,-0.73199558162712,0.749272837901056,-0.644977711330532,0.789681636756508
healthy,-0.561347344664299,0.823979595933758,-0.583894578745426,0.837830040367377,0.68655227478421,-0.0744148138113751,-0.74028200254615,-0.631451617898084,0.815223989146476,-0.727209919800062,0.682650852323484,-0.651002986350977,0.700901930970922
moderate,0.530643430450133,-0.832594407944543,0.859650615053011,-0.791773380816197,-0.493749549033415,0.436309637791486,0.829917001232428,0.742305594975075,-0.706574076105168,0.816435452448098,-0.657998117920352,0.867203808140407,-0.584953158477578
moderate,0.584210625289439,-0.73202072336206,0.866967620025081,-0.724744132868905,0.0737634972425525,-0.639419173290588,-0.659784688341309,-0.533671886946795,0.419188746916366,-0.658010253914114,0.154571678598015,0.253269046214539,0.144980472993125
moderate,0.649701963284006,-0.677580192088346,0.79020418622208,-0.531346866374201,0.508514188604095,-0.401201142981559,-0.787927307041584,-0.745761058990761,0.595886758482557,-0.631815200322215,0.694665532289843,-0.359823443695467,0.517481019049012
severe,0.46435312407928,-0.74564419876818,0.84253602917352,-0.705112936721829,0.50772755362481,-0.303491684957024,-0.577961444566316,-0.429978874365205,0.653579825841319,-0.486157444000455,-0.233807360063749,0.579280019789353,-0.222152619454166
severe,-0.317405657460743,0.382766915828319,-0.538813734782019,0.417329070879335,-0.493665213021494,0.270350753190614,0.663122731388582,0.186136622656516,-0.765226373066724,0.704451085273231,0.802689421670648,-0.731014698256871,0.787649659446914
severe,-0.0702993726228869,0.316818894122127,-0.579622108766485,0.568116183098852,-0.174444579205634,0.758302455815084,0.569480875699976,0.166645297384986,-0.811590439589355,0.592655661155531,0.749674337943305,-0.644634071303356,0.640916634667
severe,-0.519625253993221,0.347592578043225,-0.558243759059343,0.339976714594869,-0.516185117502526,0.424514340560114,0.773745012306389,0.487270337168229,-0.618697743119761,0.704718746310101,-0.421294677203697,0.638802156151694,-0.384824735090512
