group,CD4,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD33,FCER1A
healthy,-0.321550331604956,0.221206156434474,-0.4285493954113,0.498204690838371,0.801242250949284,0.59975891647598,-0.749937416369174,0.720194800400445,0.479586716880388
healthy,-0.25405476084272,0.0866879254124791,-0.463091398583442,0.624902465811922,0.737580115113981,0.443691401058597,-0.791273308226968,0.285971993535577,0.335860994018173
healthy,-0.26317493472626,0.337941103792417,-0.642712267759745,0.473170765585178,0.80690778061904,0.648349927695457,-0.831798211496503,0.476644264512773,0.578942376733528
healthy,-0.605018251732218,0.526209003878739,-0.747280198948522,0.116630490903626,0.716377776642313,0.6165761692029,-0.858255143649634,0.758042141255709,0.633112353402621
healthy,-0.613397125266588,0.463408812698094,-0.555022434437791,0.0736612728507807,0.757405319202068,0.57480713610566,-0.683611945916836,0.697222374738378,0.30917327831441
moderate,-0.139057695173488,0.465678183761199,-0.510817490497644,0.340047094694951,0.832922023111848,0.637808462463024,-0.832321172399965,0.78387654706874,0.435804879763582
moderate,-0.4709653104741,0.463152018148911,-0.457488510418849,0.465652553394799,0.795864575866159,0.350491838660072,-0.818200565893649,0.825913003444334,0.324317802502822
moderate,-0.219935005804015,0.291627902812797,-0.569066992217393,0.314087311246264,0.761359693935002,0.647642065439336,-0.704213864041573,0.567570646500821,0.41403476004613
severe,-0.372326432122109,0.164819834285681,-0.515881283869154,-0.0388562374717732,0.459708113801223,0.279858499168219,-0.839783559865283,0.495481825851637,-0.0071255734593282
severe,-0.242030830522614,0.013190347854261,-0.604688769392241,0.420752966316413,0.743658679094276,0.306943193469197,-0.835712414337706,0.744939555483528,0.0882490705209083
severe,-0.0114761476480706,0.429173996342691,-0.174553233568266,0.789366625744628,0.642329664626205,0.245063408221152,-0.751140720037528,0.645715465931417,0.441329368813134
severe,-0.334114295602262,0.641245180996301,-0.520775329529879,0.239848010965279,0.79675976311587,0.43818064748901,-0.743961740937154,0.745600300021483,-0.0872662685392776
