group,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD163,CD33,FCER1A
healthy,-0.0884807633883198,0.457091828678844,-0.0380843878472776,-0.341316417667204,-0.0894470556381441,0.655550172280361,-0.226014253965766,-0.267690266410682,-0.191573615872816
healthy,0.0933642296351674,-0.447344607237003,0.648845835864486,0.756279027132914,0.472854442106639,-0.765038711983135,0.217622071235444,0.287065519507895,0.345989812324845
healthy,0.326870314683374,-0.653100496452921,0.438800818536788,0.791224645382973,0.627124957562142,-0.826866716532133,0.303265546364988,0.461152386408122,0.576752825028056
healthy,0.50872587554183,-0.75379677273968,0.200271972956296,0.752394220427129,0.676035785155639,-0.861081919177884,0.47831016305614,0.763159436124685,0.666376682806891
healthy,0.700480302259795,-0.477609228500246,0.148374983345045,0.737012481748982,0.66948732011582,-0.438979012416361,0.75212144721081,0.791695226698086,0.713053738750703
moderate,-0.376816613839018,0.493862581758344,-0.347929691490045,-0.657376778809945,-0.574077441464126,0.689782920813578,-0.425247586552674,-0.67607742315138,-0.591060368179357
moderate,0.454875965227981,-0.454055814306378,0.540923947418124,0.817021848594052,0.382424404334341,-0.806690779945804,0.122155426316644,0.822755287428857,0.297762006006536
moderate,0.371029860456182,-0.580952569227564,0.296020914762305,0.698409957853936,0.700263698716512,-0.676489284888231,0.137588810536266,0.712544564359723,0.630130795669778
severe,-0.326639401745675,0.497249897462751,-0.174585933060616,-0.619643867084019,-0.558262451061548,0.783806869677688,-0.133509366603013,-0.550467494028303,-0.10156340977918
severe,0.220828812600672,0.190636590920246,-0.0253539296059749,-0.0248347320266808,0.268641817727625,0.309371518134502,0.231302651896704,-0.0776444897909592,0.117236226458927
severe,0.476981411594105,-0.157385844272414,0.744236686563769,0.718546555650441,0.306915080075945,-0.686346007166611,0.351520777334415,0.682524683016436,0.480072023327264
severe,0.675327302454136,-0.476812701834979,0.353815815711908,0.824930241591354,0.44773580443801,-0.688399675969502,0.397489043233846,0.754699538881008,-0.0833559255341614
