group,HLA,CD11c,CD1c,CD123,CD33,HLA,CD11c,CD123,CD33
healthy,-0.659701325890512,-0.822305042487671,-0.607611703565256,0.738572024681367,-0.708133278809201,0.604497511173385,0.767041328032208,-0.768916610505336,0.655133154477095
healthy,-0.634679738001751,-0.738274103646338,-0.484079963154911,0.719078776688309,-0.282500062238707,-0.669525018398982,-0.771291845157817,0.740947853267151,-0.267129231702389
healthy,-0.545451028081646,-0.835763492147668,-0.691997666085796,0.813236555663534,-0.492617982949199,-0.614276876132853,-0.848034882974998,0.735240361965895,-0.540419981980793
healthy,0.422607026159167,0.82023522065456,0.86277977514341,-0.738999173341836,0.783564350052237,-0.310889768494813,-0.790018791605825,0.817092941964621,-0.788246019304237
healthy,0.040620128554242,-0.661448366938927,-0.531836809019933,0.677990050579234,-0.675054276883018,-0.142576029390837,-0.745673084199377,0.749522168822368,-0.699992360856815
moderate,0.321187586603537,0.772697317701369,0.682877663524788,-0.739398805944553,0.785921363818797,0.218962276876903,0.755683923150969,-0.802311929205433,0.752707213293012
moderate,-0.493877447963121,-0.794184452079699,-0.360490965002621,0.844098954302185,-0.793802702303948,-0.541710244466727,-0.825553831805823,0.795266235749869,-0.83244575069016
moderate,-0.179886232141575,-0.606532607378029,-0.56927397366332,0.664392845493457,-0.738614520761347,-0.284864296476689,-0.663029829236908,0.367257627838643,-0.650448520597325
severe,-0.208623455965135,-0.668162768797025,-0.482243909566446,0.820651196871237,-0.659187793206181,-0.478317640462029,-0.802438598016963,0.64395232908138,-0.812970559956535
severe,-0.0600386201075496,0.339354388794632,0.283059261901505,-0.375812749995558,0.414865955196562,-0.313159640678875,0.0100207500340817,-0.200387270965858,0.134360545675999
severe,-0.781491967283467,-0.638092374890004,-0.226371669502038,0.769335379561213,-0.621121455701279,-0.757487835974274,-0.755161084909411,0.623506541289285,-0.675380968293269
severe,-0.2124965876698,-0.770008024415953,-0.452544735688217,0.754357194173379,-0.71983177574056,-0.333257607789723,-0.809152760220006,0.650269894338445,-0.775451025000125
