group,CD4,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD163,CD33,TCR-G-D
healthy,-0.285636169947118,0.241360656090461,-0.432704793956794,0.611390663733253,0.816936399882564,0.603261500132444,-0.753664582134849,0.369055289380564,0.709041991113283,0.107335191788808
healthy,-0.222863961339678,0.0710659042461297,-0.435820532417165,0.662669645913219,0.75150654190241,0.504873401984574,-0.726965848029488,0.194335515352499,0.244750565243166,-0.105229074995828
healthy,-0.288419958845735,0.29833487718525,-0.657783170439329,0.41586552205707,0.759341745531794,0.613883475115286,-0.841094640309456,0.276594715419979,0.425651378155375,0.0195431302648369
healthy,-0.600361294173721,0.47265653448509,-0.739421133824147,0.07903272471462,0.693281690887467,0.581133025807911,-0.878330183787429,0.471258388614195,0.698050828007018,-0.0656575454016053
healthy,-0.532367712631753,0.626766132705742,-0.697399916681717,0.0872204446275691,0.779441906718383,0.631600413388741,-0.757175917027086,0.642746024484196,0.805161072897361,0.0753866245332194
moderate,-0.251238984007094,0.176271227545405,-0.34166401764189,-0.0145003643050154,0.529663348934598,0.557057589907385,-0.68960200600909,0.0441501474112622,0.405856584230889,-0.215483438941556
moderate,-0.492634990627096,0.444094293326158,-0.479487564766226,0.404555487833066,0.77958598943074,0.358225712111573,-0.845585301678697,0.140811337468775,0.799439742513954,0.0417347436583604
moderate,-0.30904158134719,0.276460804313796,-0.597065880948351,0.0828427506288641,0.335977814269349,0.152878453101392,-0.815550959182828,0.0748482144540016,0.400413331199013,-0.0021312189209212
severe,-0.233668601702742,0.344918937836925,-0.476473919800262,0.363084035056045,0.775100390262576,0.633017200891739,-0.833346457741261,0.324894954681962,0.754198940884608,0.0829616042282938
severe,0.192110761250379,0.0544973904581337,0.533447580740768,-0.537950540668904,-0.729841946703784,-0.394270330159982,0.77370274657119,-0.111282562450721,-0.748964254311589,0.0103688387879654
severe,-0.116012430963672,-0.495120910866642,0.102950008593795,-0.0015749316922321,-0.147381628901463,-0.533123264982772,0.0244405874198762,-0.0475455433279991,-0.157216256083124,-0.615849255936172
severe,-0.321584193447217,0.642499686903063,-0.521989873996591,0.257110895979368,0.799803586788734,0.459333453016873,-0.738333251761389,0.38800415185724,0.747910528257228,0.179175229965799
