group,CD11c,CD123,CD33,HLA,CD11c,CD123,CD33,CD11c,CD1c,CD123,CD33
healthy,0.828968360426358,-0.726759108753493,0.725776520831418,0.640169913162023,0.835703660646938,-0.707697880478943,0.737128456640866,-0.819779915533093,-0.672680120732653,0.704883146960032,-0.738478091958581
healthy,0.683571257971734,-0.80389051784399,0.284181606895237,0.578814646366741,0.690990294565965,-0.803140082252799,0.282524013074561,-0.79033895932596,-0.627381216355052,0.584123334128205,-0.249014133991852
healthy,0.803659150515583,-0.80964582536255,0.506159300101912,0.212074687953308,0.631389202414148,-0.756395885351552,0.423122320303718,-0.828839830935184,-0.811412914149228,0.757704117946054,-0.459280250089377
healthy,0.743401600220694,-0.816165942225078,0.786336882083211,0.0526098930912659,0.683888957229572,-0.785432212559139,0.757919292972368,-0.818458051711183,-0.814063916307258,0.814127881378582,-0.758496452067774
healthy,0.78613397495139,-0.62636665465439,0.822520427216323,-0.0833911342824547,0.692597757271218,-0.765279150788351,0.744595057026796,-0.78730141731684,-0.680357631557664,0.759549901803476,-0.783420878816288
moderate,0.746838313633729,-0.888325611564441,0.696525590651948,0.341402268929065,0.833125370457072,-0.77674640589615,0.78652012231467,-0.815818251963571,-0.558858093165882,0.849564614702777,-0.771415591956515
moderate,0.835243925910916,-0.740925180472201,0.856343072792069,0.474808241015244,0.798043106061599,-0.822729823060084,0.817614707918935,-0.846615982012302,-0.494156715202628,0.719022232925029,-0.842330391180312
moderate,0.646421399811316,-0.672884299174565,0.746733911856694,-0.385366474171709,-0.684657554218618,0.492948382269709,-0.4040984673397,0.432026929714281,0.252161002734793,-0.85626820621343,0.327460504293445
severe,0.652717590795441,-0.326348700294503,0.727931158036332,0.330889062568855,0.751356016605719,-0.839891897789036,0.730930391876499,-0.182154881706555,-0.120376513570867,-0.164022473154577,-0.187268071764699
severe,0.737594758126621,-0.842351703090254,0.736165712038354,0.465090168089298,0.762622506205323,-0.831216391129063,0.765143543600395,0.775779767084743,0.334423422632835,-0.794007367513448,0.774818919583055
severe,0.618264031893678,-0.754616714692799,0.624447918282295,0.756510292165302,0.586701655781717,-0.749619972375846,0.654113420644147,0.304813239869557,-0.037982920954001,-0.628666220855704,0.449345109304525
severe,0.799615574574028,-0.714260207044733,0.741977917751221,0.311599785283517,0.796228380181139,-0.718817555627435,0.739079249701567,-0.234945300869464,-0.227345342417688,0.096433683068408,-0.258316684926187
