group,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD163,CD33,FCER1A
healthy,0.219658025672762,-0.431856301915248,0.664565078499892,0.818139265479362,0.613106841283407,-0.746754175731235,0.334076781534121,0.697281458024339,0.501011567840669
healthy,0.0902560863405438,-0.428362752850849,0.698824628311212,0.786935828523972,0.550904049838889,-0.700852598307624,0.152041883680672,0.256051946788913,0.346872401676343
healthy,-0.310282331594401,0.645687814654861,-0.534953598188236,-0.813531409928375,-0.724115442232014,0.823620212187817,-0.192790456075789,-0.444996809543877,-0.559752430588676
healthy,0.608411590624443,-0.53077613524109,0.266582090249141,0.704939377028809,0.616125677020905,-0.531286057745201,0.489723478780703,0.773758786535097,0.67571455463611
healthy,0.68206011273364,-0.676849970717643,0.0830377403892087,0.768813579409475,0.66845027822111,-0.755768462124572,0.687226997429206,0.809640766409004,0.505175211906049
moderate,0.449060593777028,-0.506850041852648,0.370222307641214,0.809209463243794,0.584484123819845,-0.853476897349841,0.178315709855777,0.761281886847118,0.214545747732159
moderate,0.37560357594233,-0.558990363828731,0.363154582235929,0.704409728108894,0.228917237433122,-0.86158511267363,0.113656354016287,0.741656975305575,0.228349165960701
moderate,0.423642116238769,-0.573320692567252,0.255064003590605,0.618402542085583,0.586929821244876,-0.705300541076588,0.196465402392408,0.723438648024751,0.628442003750789
severe,-0.365205337536914,0.465834348426193,-0.413843787522549,-0.804058921247557,-0.654652662136871,0.812099361343711,-0.269429884356616,-0.754454231282886,-0.350176872385078
severe,0.045103526488125,-0.450115514648108,0.213529636840168,0.641826626982283,0.21085915276676,-0.629942807344297,0.300267855744913,0.649538094463162,0.179958573316483
severe,-0.398140154213774,0.179279698342756,-0.711271737005669,-0.565949800919808,-0.169043071448079,0.75809270934807,-0.302503066953829,-0.545212670245951,-0.153340492340638
severe,0.613894778836473,-0.374993044101769,0.262427832480017,0.744337813146594,0.260581565271759,-0.645405769927927,0.293010971557192,0.696096024518254,-0.209704509913855
