group,CD4,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD33,CD38,FCER1A
healthy,-0.32676788883791,0.183574814225471,-0.423055890723753,0.284452622711133,0.610811615594596,0.404494950395056,-0.680468724236312,0.587550388630894,0.244007408692647,0.446945960967896
healthy,-0.254336393373961,0.0251109659105963,-0.399385971165003,0.489664800693604,0.577841811724142,0.302982495868336,-0.732157478469676,0.193548870978701,0.0091368082201251,0.192163497304753
healthy,-0.289277703383586,0.0039108237948359,-0.355257166462173,-0.137042792467646,0.160163008232967,0.0620570422472015,-0.43210509443383,0.0371729091045729,0.0155490971562564,0.113628686540273
healthy,-0.617091643604558,0.579928521775196,-0.698271411893221,0.0239217225347704,0.664564793557502,0.518519872756463,-0.791166720230736,0.765441989178616,0.0932757592822042,0.628429347229885
healthy,-0.617060501406235,0.515800281629137,-0.755975402370756,-0.0050292892166369,0.708819390329339,0.577012315454127,-0.801605346073809,0.720090831175941,-0.0137579611372792,0.334687083915242
moderate,-0.158487674499099,0.454732126194834,-0.485226881573793,0.163264615854834,0.805560508104498,0.541758974170087,-0.84283684541086,0.724057184131995,-0.60398608882984,0.184957128042817
moderate,-0.572807426301565,0.332846724121783,-0.556722143829263,0.223576810086343,0.643728602693871,0.240466907981364,-0.843789783513679,0.668624979117063,-0.270445260477221,0.206380809238367
moderate,-0.26294444822846,0.25134487451049,-0.658023717437276,0.185261678140075,0.65770455866686,0.55030572316508,-0.799833974552123,0.540994646352663,-0.453783038708995,0.406010044910454
severe,-0.15838964971759,0.419928187258704,-0.413498040400004,0.50598158283374,0.833381204090826,0.694973307456909,-0.710848567256791,0.831634172764841,-0.157969925779708,0.470490889463853
severe,0.117351705036672,0.117009580227467,0.416998424239954,-0.633011689172524,-0.582779799734909,-0.145609735398171,0.51257887534234,-0.525609568149497,0.202422348503019,-0.127778473621282
severe,-0.354400843956532,-0.45753062321753,0.226544346087665,-0.35441393874162,-0.482670760335236,-0.476285120714446,0.228709585833552,-0.507258277518287,0.151714493169838,-0.439916593192702
severe,-0.399757422416984,0.631527802445208,-0.531263441845956,0.192070499417469,0.79894495067002,0.445573769279868,-0.750166249044423,0.753724056309787,-0.354061577387235,-0.0590973079791196
