group,CD45RA,HLA,CD11c,CD1c,CD123,CD33,FCER1A
healthy,0.389837412930598,-0.502727505404977,-0.816234680392029,-0.623603511315143,0.692061397897726,-0.74677761644589,-0.485963644638061
healthy,0.458406827316604,-0.653457135011786,-0.761906474538308,-0.503587999767024,0.760918407868218,-0.27444095593727,-0.359105238552122
healthy,0.609762848221426,-0.591709218138273,-0.850188078644628,-0.737658429029904,0.785170444852355,-0.507006846072469,-0.59960815467497
healthy,0.766220971252172,-0.223072906829431,-0.759638244675004,-0.716873054932016,0.864144976430184,-0.759113495609039,-0.671074525277865
healthy,0.143395463965359,-0.0085171684707787,-0.507718221970605,-0.519318372798584,0.154056706257704,-0.510591351597453,-0.471762114179692
moderate,0.537233238313474,-0.242722998448361,-0.837644200350937,-0.578629657249762,0.746578862247691,-0.835810373588139,-0.314410164682134
moderate,0.429557161591523,-0.536226663266524,-0.821363081030798,-0.393714025050082,0.794491236795992,-0.837272613158831,-0.338451323115242
moderate,0.423194674155622,-0.0610309612936967,-0.580025443372726,-0.312550045547306,0.59756142986398,-0.551709532093933,-0.432446540353646
severe,0.33109804685341,-0.317452372102951,-0.762278851056751,-0.579239276369977,0.674388996911189,-0.788373587086248,-0.419503858856194
severe,0.595640735940913,-0.530244619170641,-0.784127711334644,-0.308233345073124,0.809429210562449,-0.777813295511133,-0.172249052109203
severe,-0.267289732074655,0.598691275005764,0.672751231963035,0.259068588544219,-0.505105473344107,0.6928857959737,0.580650779997186
severe,0.517379195642238,-0.282346490098269,-0.805039252145461,-0.469352502623953,0.729780742206989,-0.752619302470997,0.0622299331902755
