group,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD163,CD33,FCER1A
healthy,-0.178082557190548,0.460851427093207,-0.545821269777125,-0.776031354699341,-0.568403892348548,0.784626650842866,-0.334686317699993,-0.672312486296959,-0.457492379733818
healthy,-0.0682295861983775,0.492727614879265,-0.588951666851768,-0.704000143871432,-0.409047994243284,0.802717632360167,-0.299290954666457,-0.273919070357013,-0.298044473466885
healthy,-0.23580150432527,0.667802204453711,-0.310403228674909,-0.669650230029325,-0.514453236881271,0.807370149584013,-0.201255557512107,-0.351374527190046,-0.472261403028657
healthy,-0.467332122626001,0.768064651839179,-0.183406401208881,-0.735105836091265,-0.634165683804241,0.893546071933419,-0.435937816404547,-0.714573136473966,-0.614032009618004
healthy,-0.600777062820863,0.4781947891145,0.172898670214228,-0.483145913099762,-0.434953476801,0.459984407769282,-0.629984745577901,-0.585344210137557,-0.518832132460913
moderate,-0.436435762614993,0.445134174041594,-0.193665691173449,-0.797200672800849,-0.56619599323825,0.886245091312823,-0.183631446667835,-0.727593248456679,-0.387601876335374
moderate,-0.395883326258767,0.546744549067072,-0.449048692555783,-0.770129444722198,-0.341763677641447,0.865355133445491,-0.0346334153170633,-0.765968846541667,-0.219464855771581
moderate,-0.377063355299805,0.632031801588691,-0.149034251962748,-0.548361458220992,-0.529680093491659,0.777042541933019,-0.153177897027377,-0.694898930819633,-0.603181164905841
severe,-0.0543005029257757,0.365294996533681,0.224433543158195,-0.138479818514611,0.0254917560651522,0.548751593454201,-0.140121483848816,-0.302429456203817,0.0596132809076721
severe,-0.0225517632440625,0.583582057907025,-0.350273546517062,-0.734699517346309,-0.297234802649649,0.814585939690642,-0.247230099629764,-0.744537085600721,-0.0915002673557111
severe,-0.42846371474467,0.162872889585328,-0.763570330785653,-0.623587806177623,-0.204246754283495,0.768792255396327,-0.299177059909095,-0.587147911636143,-0.32086307840945
severe,-0.40651117366981,0.595258928539067,-0.0547798980606433,-0.552560220331255,-0.215617134769646,0.722072064240951,-0.187590892395022,-0.514899046435437,0.172062229578486
