group,CD11c,CD123,CD33,FCER1A,CD45RA,CD11c,CD123,CD33,CD11c,CD1c,CD123,CD33,CD11c,CD1c,CD123,CD33
healthy,-0.813439009252219,0.644669371045764,-0.699966936346538,-0.520812986632485,0.405928591837027,-0.824821692486895,0.692863924512499,-0.709373006630849,0.796402771506267,0.586201317302825,-0.696979136176223,0.67533314656468,-0.799559934504838,-0.489968410572324,0.70408119501523,-0.692450412975
healthy,-0.695734281720979,0.631961491549337,-0.326807122109483,-0.415660253562073,-0.340609395337992,0.579503792408958,-0.672280124743306,0.182948369681832,-0.715804910840733,-0.434633789629114,0.787173403798856,-0.271060668417556,-0.745385196434611,-0.470404308328436,0.73435579264738,-0.269015201709084
healthy,-0.837626719127723,0.657032159802562,-0.539477930400886,-0.598257525087377,-0.654387651178484,0.776231512860296,-0.837024166453187,0.429899538450232,0.836949342256743,0.772484500707351,-0.783476244629575,0.483117480511292,-0.850592139656616,-0.728221689007267,0.771624159587833,-0.522924195736845
healthy,-0.739748736606276,0.692430966309001,-0.736502602573514,-0.614663658795508,-0.757481068535994,0.735247601047099,-0.889366295386539,0.703810712889313,-0.651336693219472,-0.474715653756187,0.591173350303354,-0.781275171414062,-0.670855341754284,-0.539799076004544,0.874046032015552,-0.691656170253289
healthy,-0.598296984511167,0.775442579705074,-0.580841277323393,-0.145130080800521,-0.70232662678814,0.722805921043545,-0.754003315974897,0.767669718917328,0.703006112400243,0.571749574476864,-0.848939454785779,0.691474636199856,0.770529420223902,0.87630423117924,-0.421203365423552,0.76518421192254
moderate,-0.325299266984574,0.351664458399828,-0.302305256435195,0.138223383804684,0.522380738257847,-0.798782263263702,0.820143344622832,-0.766648118649753,0.803606114175402,0.639291895965308,-0.859390550021559,0.762072699954874,-0.137575776118706,-0.148230111029774,-0.169822465538311,-0.153948717420023
moderate,-0.824375423206039,0.752146883379797,-0.816968701539962,-0.301879251022869,-0.597731990937138,0.554680319899101,-0.80837994924633,0.556981043138931,-0.815232090103295,-0.392980157257569,0.723523682922963,-0.820010398740911,-0.777406336959824,-0.305634235556143,0.816159895393512,-0.780392111328464
moderate,0.520784857930327,-0.525897848999766,0.739694681706806,0.769244252754292,0.473061295615785,-0.794063434707974,0.54198188276071,-0.516712472879905,0.68114777683687,0.61763348592534,-0.770340900098098,0.570676381201987,-0.473948459149721,-0.195780403625618,0.774285550182817,-0.357872086020449
severe,-0.741049047742069,0.598356927487334,-0.761155747017537,-0.431966187557905,-0.490897795212368,0.428014305891291,-0.596883360213062,0.317174903962049,-0.793376494225629,-0.647055898616832,0.756061498819222,-0.814309835088438,-0.82770564723131,-0.649336386223985,0.791744409167889,-0.782823733741142
severe,-0.78547882369879,0.771720628812541,-0.777990382259567,-0.225668469409749,0.567691650404426,-0.776439238595814,0.730337877558796,-0.791980235385908,0.768252141055931,0.312394083995787,-0.775362568759327,0.754598832670875,-0.691463921693642,-0.222809181998131,0.746210934406514,-0.633906164214972
severe,-0.721154118565027,0.675266274202934,-0.659184912775861,-0.565273260744032,-0.205519726918378,-0.417047093651504,0.0306865153160667,-0.20264155657471,0.503585587879307,0.2807575448422,-0.793287155232692,0.612123647080496,0.396349563016982,0.152694611926988,-0.810395566426605,0.605088996704248
severe,-0.823289326594061,0.686305974958406,-0.768737323481353,0.065929597409164,0.491983201673726,-0.808414889945521,0.692612308873085,-0.745592369268871,0.747487629173711,0.502524359292303,-0.530744497092404,0.720544397922445,-0.703913413284684,-0.457873046924133,0.749487480016787,-0.665642452191793
