group,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD163,CD33,FCER1A
healthy,-0.217930328446549,0.435852662077743,-0.650705674195754,-0.820867983039609,-0.60984573572282,0.745311035766072,-0.364478585495532,-0.712037365473411,-0.502490471446173
healthy,-0.0909890161461166,0.467714743613655,-0.663953492332553,-0.766757100509575,-0.51397735707307,0.745675628773397,-0.228062322325628,-0.267580771284659,-0.346111929305312
healthy,-0.352385812617509,0.612084214929702,-0.566431674272676,-0.838002974339771,-0.716924441534852,0.802574726499905,-0.28373286639477,-0.500685605541298,-0.603312173364918
healthy,-0.537121824594523,0.706676022548689,-0.0819272553669325,-0.694185890979867,-0.562795952867873,0.783608717522143,-0.590838462380999,-0.764467635473653,-0.675275292831699
healthy,-0.72511594786803,0.517346762699544,-0.121381526823898,-0.767898252333503,-0.681947549676823,0.530408226855424,-0.746995565210701,-0.827707242987769,-0.704166377687625
moderate,-0.502758662708814,0.571719522689211,-0.347681242880458,-0.823884363324119,-0.579082614044352,0.773693468570407,-0.235255429169555,-0.805623907532051,-0.394473488547414
moderate,-0.466589227379245,0.445619742369772,-0.551581993999392,-0.823089237461367,-0.40321217189351,0.797520359187605,-0.121640217712893,-0.82706324767254,-0.307213625655644
moderate,-0.432893828181204,0.539504101299899,-0.238455486861449,-0.649688448411062,-0.664918874634076,0.641580563114517,-0.214468283926138,-0.770469477265398,-0.698356496891863
severe,0.378393216528322,-0.465288348628372,0.425156521946669,0.756028828939094,0.616745489969173,-0.726064471429342,0.166922014702538,0.644938362698294,0.388100161269812
severe,-0.0509442709254361,-0.377505851186381,0.456853358471113,0.539013409939185,0.13841714020628,-0.368383837095256,-0.106494655591694,0.468587635153524,0.289614038838815
severe,-0.462010860989662,0.161569037233745,-0.767317582053378,-0.707899007082551,-0.223973895438944,0.689441814906462,-0.37671119134535,-0.651114151103886,-0.438014779857507
severe,-0.65584010619829,0.513377071417528,-0.320617271827567,-0.818979466609127,-0.527083302917175,0.685455134180576,-0.418979259560604,-0.775957800092003,-0.013879085562267
