group,CD11c,CD123,CD33,CD11c,CD123,CD33,CD20,CD11c,CD123,CD33,CD45RA,CD11c,CD1c,CD123,CD33
healthy,0.827064637402282,-0.695667164631986,0.723076962856128,0.80738847461147,-0.691870463799796,0.693350217743454,-0.0780495887794887,-0.820608214645078,0.722800063654441,-0.686157957402795,0.426831292410139,-0.804885617624344,-0.616073222684067,0.738170474038995,-0.677751686157869
healthy,-0.713271117349059,0.439462099960336,-0.210329341191171,0.715239011003527,-0.802107478726169,0.293426536211363,-0.0385901849452666,-0.0294324128365392,-0.0831323377713829,0.13255103154294,0.341025566295205,-0.679647868055677,-0.554963691768957,0.393579923080175,-0.235826489136661
healthy,0.750782573729639,-0.798015359177495,0.41121890690727,0.815736130613694,-0.815873699821619,0.492537680495012,-0.0661381045685188,-0.785405519767859,0.60739230731309,-0.525357476182205,0.619232094498298,-0.827969831215569,-0.726053291064299,0.813155681707752,-0.504333767886044
healthy,0.794281849512867,-0.845890065231652,0.757532128397456,0.742343941462358,-0.866322566611841,0.749618562002974,-0.0426236917445263,0.754815538635463,-0.809117739602139,0.774436154318673,0.750535250167641,-0.800470139946846,-0.780094481307065,0.823671855553597,-0.770366762377376
healthy,-0.578481508992504,0.853265818339117,-0.582436060006617,0.711187227528709,-0.756418830879919,0.684748245540977,-0.0167987511779516,0.740235175354112,-0.76851236963275,0.760743886483079,0.572035892592962,-0.714948086974186,-0.593155175376322,0.716537413649652,-0.651654553803239
moderate,-0.664121132426538,0.457409161623364,-0.646286363649171,0.869761783821579,-0.799417292333617,0.823134769203809,-0.0158922806822787,-0.719883493316827,0.598590552176087,-0.65281622045322,0.494744237012787,-0.83704545539,-0.622623085924374,0.826509284305772,-0.787141475470764
moderate,-0.74711676038818,0.734379361388347,-0.807661079085844,0.816607612845802,-0.814929137722467,0.825993502741858,0.128130523272376,-0.643246179035642,0.858579750306913,-0.648447958844615,0.109362487983719,-0.605599003139957,-0.311924419659752,0.390011862358582,-0.669033782447025
moderate,0.432463126699606,-0.310714790711924,0.475124256034802,0.583363041823323,-0.425034646271451,0.255027087154743,0.0238365388135218,0.488287949429343,-0.78612401269843,0.635237056946124,0.618078457894084,-0.704750742246251,-0.611031654424801,0.761760601544854,-0.597156643344044
severe,-0.741967849531681,0.84169991195194,-0.711107121006219,0.133148598186567,0.0913374452854165,0.281527911794504,0.0097878744978312,0.813361432467995,-0.793428649396795,0.772284866359899,0.464252319723301,-0.822906920793144,-0.681103344079473,0.798311859822865,-0.779137728751247
severe,0.343697249965101,-0.397261520213134,0.418697468480876,0.648887797552046,-0.781163889028544,0.715816834763676,-0.164211739315826,0.665213738618808,-0.811910886455392,0.685486704395406,0.430956867304548,-0.682070473828628,-0.375240594002064,0.614939948536962,-0.664590468080111
severe,-0.444643801164199,0.655279304935124,-0.691740620331055,0.554487388941109,-0.72517938495597,0.529398339942758,0.763437716473596,0.323446449863365,-0.291657676543856,0.356749478770655,0.187809065809366,-0.617612141165031,-0.153730014363324,0.671681654714686,-0.603071306286254
severe,0.815206189474859,-0.664902022988432,0.783624524731198,0.582587465399176,-0.694127295110575,0.52453147419901,-0.149876128424641,-0.80697781826293,0.72574678311589,-0.752273929209698,0.483742886246087,-0.827407560863386,-0.492761213431858,0.679116912305028,-0.775548132659879
