group,CD4,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD33,FCER1A
healthy,0.336915167823509,-0.173521684191226,0.46558048441315,-0.476209735066173,-0.754968419483746,-0.532913088127312,0.772442641781093,-0.681427337634176,-0.455893227214598
healthy,0.223597717308396,-0.0607058559999565,0.417761782824322,-0.610931884192635,-0.702766782471533,-0.435334545177816,0.749694773071102,-0.239524636844761,-0.300447156153859
healthy,0.375814692463615,-0.216917580106515,0.63615602492165,-0.172963944973783,-0.56120081631727,-0.367235300789962,0.768933667953222,-0.31337542806096,-0.395199933360613
healthy,0.602330470449602,-0.510523805586359,0.754951843736403,-0.11349466535793,-0.710735004986745,-0.612182499616233,0.877245462067786,-0.737146030605393,-0.621230076067617
healthy,0.560147606848829,-0.579322743091157,0.695930956744093,-0.0483783814721006,-0.752151134821367,-0.608158972158654,0.815165337962029,-0.759417801009107,-0.394180208076614
moderate,0.411135129972458,-0.192446438000987,0.444218608969672,0.244541190545796,-0.360839864099819,-0.0490212490945677,0.658337666358419,-0.355764222519553,-0.383985238329037
moderate,0.531360430209239,-0.407449124703497,0.520398971106777,-0.342884996473094,-0.738913952183379,-0.316600877339454,0.863335027856879,-0.761582534422241,-0.272223066685031
moderate,0.0906198566254738,-0.24693201857675,-0.0028950910342267,0.234801153223236,0.305003632615249,0.197270582855856,0.101771878828613,-0.215562979610588,-0.247781558748036
severe,0.258878491669162,-0.334954246843048,0.486698280031009,-0.273337331349003,-0.749368229763182,-0.587182374288343,0.827677725904968,-0.742583798882438,-0.373751634559971
severe,-0.0985489631349082,-0.109205696687615,-0.273179771534054,0.358590793729175,0.351626992768957,0.47730771276771,-0.431553768915614,0.418327196188695,0.460575488241166
severe,-0.0063635510655178,-0.359675673828636,0.255066116278558,-0.722350566840681,-0.640265343985492,-0.140269782690959,0.690365125986769,-0.656894561490571,-0.509577298784729
severe,0.389180011142298,-0.627699865461967,0.530993154288719,-0.175679232335275,-0.782087649467628,-0.425871029628463,0.75883377752738,-0.733691085362342,0.10642940045433
