group,CD95,CD45RO,CD45RA,HLA,CD11c,CD1c,CD123,CD33,FCER1A
healthy,-0.204697273604296,-0.139061696576943,0.43992703293759,-0.592183529901388,-0.800981189459869,-0.592602069834654,0.770478276152057,-0.698164022401253,-0.496308068215589
healthy,-0.0732733152613628,-0.0307867697019396,0.498710130532204,-0.492526620680352,-0.618778168924537,-0.343092370014884,0.806746899960851,-0.250217535173574,-0.23057226425872
healthy,-0.314420992945111,-0.246250523320499,0.627249013731385,-0.502711324296096,-0.759397144288747,-0.726120844341072,0.823366931058059,-0.427971477208035,-0.598800795136695
healthy,-0.298821532061041,-0.127774681606401,0.160011340398649,-0.152238290998048,-0.30278384760497,-0.284546207374367,-0.0162169289379745,-0.445193117751668,-0.506674041383969
healthy,0.644908376032098,0.641870317531294,-0.576415370319631,-0.0866351341859018,0.530987925543919,0.461380867477563,-0.672414659731074,0.618829674893173,0.353259323780594
moderate,0.510846267936605,0.154449899920315,-0.506612673130298,0.341007009777448,0.87490195282585,0.658485940136085,-0.799349449281934,0.839798331117255,0.327644799386572
moderate,0.379252792205321,0.031797836101618,-0.542655871386963,0.495482452327009,0.772640613498923,0.297079869446542,-0.836300360311503,0.761151927990066,0.189430361827308
moderate,-0.265965683227926,-0.0184573679383442,0.256255671109456,0.0556749391887536,-0.235073967788236,-0.386258624811115,0.253866675758359,-0.474943348503792,-0.607425840176452
severe,-0.365203045288361,-0.156516181487991,0.487939058860263,-0.387388519410038,-0.769916212483211,-0.682779247939256,0.802439849155118,-0.774921724903182,-0.385790175548727
severe,-0.0744532672856135,-0.343776802573771,0.0863749100825202,0.0554215022161062,-0.0793617667225669,0.196328820327537,0.138442062313444,-0.105302220137397,-0.0969725788598345
severe,-0.502606186168863,-0.106608888219068,0.218232287346319,-0.685203902099757,-0.661343144211724,-0.207134982132221,0.696393804217005,-0.67221810223263,-0.515608763933492
severe,-0.424370728250445,-0.365984524418655,0.5452358252966,-0.41140333377542,-0.595805332218764,-0.301452498995602,0.608789478066907,-0.554815229285177,0.009866403720632
