group,CD4,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD33,FCER1A
healthy,-0.285802660199964,0.204508923214907,-0.427422622116032,0.598393370242417,0.824701434662658,0.633122612392595,-0.737715622756795,0.730847063653232,0.467124504489111
healthy,-0.288914166926236,0.0385236772972147,-0.389941182931552,0.413259307817435,0.516688319810964,0.170101027360077,-0.795745478652602,0.242840097790948,0.218744563885269
healthy,-0.295038638647086,0.351732883093617,-0.634433596366308,0.431303359535554,0.790280022933267,0.565895027301962,-0.831517395360079,0.48814753986183,0.562950945253282
healthy,-0.630333669062924,0.54868850963065,-0.716168514789689,0.0370981047001615,0.680275626997905,0.541716114251496,-0.817191383951204,0.757250462502876,0.631885327374284
healthy,-0.57151702815313,0.0296511847836011,-0.349308209501178,0.0007560259871536,0.297637852821574,0.0428839746324911,-0.439931776035899,0.222774613193141,-0.338743044484943
moderate,-0.1290021324922,0.42432136937056,-0.401175747316834,0.250289387922162,0.704316124332463,0.486668104028005,-0.773376867662552,0.642287108789944,-0.0170434066048621
moderate,-0.473236197927898,0.456864420841924,-0.470292136847712,0.454901182262816,0.79628854445173,0.36608117969335,-0.83191077801025,0.818983215322979,0.316111222778516
moderate,-0.239648878857018,0.204943431817796,-0.624723018331661,0.275035961728066,0.69219628751007,0.521486829584921,-0.763861759431571,0.424669549725312,0.24976663540539
severe,-0.314897161012856,0.237243713869988,-0.530697525244757,0.285490001627862,0.67371555226638,0.454117037773641,-0.831876606543529,0.712951551299815,0.243573415876831
severe,-0.286156750144435,0.0337465234155755,-0.577882762814907,0.318420259321739,0.710765526895725,0.232888491403808,-0.808446209072388,0.701070338257659,0.0653619324066038
severe,-0.135157473485571,0.486105798276375,-0.32177989493459,0.653053572382467,0.534387424807847,0.355905963774147,-0.688681441075622,0.618449379201773,0.393131985146888
severe,-0.306119948343695,0.646165093369488,-0.515916304401105,0.274856202632735,0.803140346403765,0.447071196446748,-0.733141378971842,0.747886482655908,-0.0721558185328229
