group,CD137L,CD269,CD49f,CD16,CD25,CD279,CD31,Podoplanin,TCR,CD32,CD103,CD62L,CD27,HLA-DR,CD64,CD66b,CD35,CD278,CD96,CX3CR1,CD24,IgA,CD66,CD370,CD54,TCR-A-B,CD41,CD124,CD81,CD28,CD15,CD71,CD1a,CD36,LOX-1,CD337,CD307e,CLEC12A,CD94,Ig-light-chain-2,Ig-light-chain-1,CD82,CD88,CD224,CD258
progressive,0.156390841635009,0.0838600533167861,-0.0468340737397444,0.277365817640819,0.106613630332026,0.153819532066411,0.0004884412960618,0.0752430087670807,0.0333473008999749,0.0231635989779913,-0.294712068747818,0.179431354652405,0.0784204385273264,0.0777725295864842,-0.191606421752988,-0.0035798711948418,-0.22754149569918,0.0152210723854508,0.140853816812558,0.116013802855929,0.180338136653228,-0.089725789524732,0.0172200261783499,-0.0511529077238499,0.226059046967551,-0.0393520072879333,-0.0457778389087919,0.14625848500865,-0.0570430621596161,0.0608047286058996,-0.0725641400458506,-0.285574652454712,0.171382349230961,-0.159468443970669,-0.210602308814198,0.0661462676012129,0.212057574842569,-0.251346692670994,0.0917505007672066,-0.0023218950889172,-0.143892013502558,0.0978725416633298,-0.0882659457364368,-0.181939012728785,0.0275362892168994
progressive,0.0870078474245401,0.0343686178463732,-0.0594483034058645,-0.0456421410389388,-0.0023869493504192,0.0339211856941314,-0.138304748454768,0.0686278911006853,0.0759622059990339,-0.216644497945031,0.0027983147091995,0.0808424801124484,-0.175528196059762,-0.298576137260795,-0.0683666218743447,0.109178209791254,0.242865856652,-0.0826060796026584,0.0414360158808311,0.0635918956076498,0.0111286824501857,0.0440193852472897,0.173065202803803,-0.0430532266268743,-0.467144320284525,0.0284051557313248,-0.200499699429862,-0.0044445660842735,-0.0041853441287096,0.129238406799741,0.135605100308153,0.145448280530169,0.0053808668349165,-0.0305173872198361,0.109132135821218,0.0367459651318234,0.0466483974909631,-0.0136410988617068,0.0725914834065938,-0.0585187899781898,-0.0165423163070765,0.0381207027094269,-0.101511894772458,0.263379013153965,0.100895579422141
progressive,-0.229844795753107,-0.177333289541492,-0.419752843546702,-0.0153755973343295,-0.134915678299436,-0.251241552883561,-0.400727329876358,-0.27554005537135,-0.228173252693349,0.0945643322176994,-0.0927809473091424,-0.206907564925741,-0.0420205870519196,0.335115257134065,-0.18839053068721,-0.194730873056525,-0.546876990727001,-0.12039929686818,-0.199538816144856,-0.266897359202633,-0.185405125800108,-0.247326011313795,-0.169798249727754,-0.160081783982639,0.10653762894215,-0.0921578410111567,-0.435242225389638,-0.151904177789209,-0.0332862463218653,-0.213457881642604,-0.2083975439813,-0.441838271737917,-0.259069500984739,-0.418992565165643,-0.16520239686765,-0.221084112430651,-0.154411146675341,-0.347284033820084,-0.150796309500618,-0.226456906124488,-0.279082295464549,-0.400079791222099,-0.0593789306081162,-0.306824513069305,-0.239598298007824
progressive,-0.402481292510411,-0.408179509984326,-0.109450633399679,-0.511144490161079,-0.187981019628141,-0.401505558716389,0.0156570363331976,-0.454970296507682,-0.467713177699157,-0.435776969579611,-0.400338649668085,-0.189097763959425,-0.305972551670302,0.0439883582409293,0.174338059303265,-0.582693174037385,-0.388353290733235,-0.459678558656405,-0.462529678248401,-0.441318155240683,-0.508672229267493,-0.300313348478929,-0.549596770996567,-0.407431933248778,-0.026779638423568,-0.452896307401892,0.0539191102447217,-0.400299125346163,-0.103625464730806,-0.434805918150866,-0.456853469898872,0.400963616670938,-0.40724026998695,-0.113414325345713,-0.439108792663094,-0.409373264195039,-0.212571521335667,-0.203843858218787,-0.463696993160138,0.0111858033916082,-0.0793149002504076,-0.368617814900233,-0.439705081947668,-0.432487588721388,-0.427112147595694
progressive,-0.0667015988588575,-0.134455044902916,-0.338605973162992,-0.0463391425554829,-0.009590096953469,-0.0418514256418017,-0.0402552766466429,0.0252397106114398,-0.0386157703555819,-0.111542173450205,0.0063877241643368,-0.153307310506458,0.047619378319408,-0.204019619030562,-0.0139842501001629,-0.0257365490378885,0.0317040452187625,0.0952671575025259,-0.0831478206275995,-0.0793416392819378,-0.133160589204118,-0.149689920728192,-0.0100984153871979,-0.0798662259154892,0.0158284645249538,-0.0182626334787858,-0.233738118282326,-0.0955587945445113,-0.409915379411458,-0.0494238716479164,-0.164070217683476,-0.0518928655169156,-0.124748037648892,-0.287186508504569,-0.0811610153792045,-0.14042317232079,-0.0046061981570932,-0.0191273510972663,-0.0416568393229773,-0.0990836245360551,-0.179460603528758,0.177194497077486,-0.0083009545417793,-0.113555951631234,-0.0361393519582638
stable,-0.291130181582867,-0.229259369577267,-0.167508378834353,-0.464957217058014,-0.157902526977225,-0.243761038970979,-0.179382721410956,-0.277114072349853,-0.237134445843146,-0.301837734776505,-0.0822908309447725,-0.130211485472371,-0.16737724852634,-0.452438493435129,-0.184400089906431,-0.436815468156896,-0.0398071516480758,-0.167728132537925,-0.271670178115189,-0.325036085746134,-0.255476318318939,-0.405651798700472,-0.284733264153996,-0.175219650727841,-0.376119413852104,-0.277220696996254,-0.135260058718102,-0.207091326166549,-0.134175558454702,-0.143929409952437,-0.41192333573733,-0.095471864317263,-0.170475417739378,-0.150514299495887,-0.166941343659415,-0.209907112742909,-0.195465117818275,-0.356309739931628,-0.231086566291904,-0.403352873669467,-0.401424779547637,-0.23135134769112,-0.291533363703346,-0.249372641674534,-0.241321670352129
stable,0.0045524113917753,-0.0395056486520413,0.0636643209939049,0.0115894950866338,-0.0318666608599249,-0.032544923916616,-0.193213365366922,-0.0952325883406612,-0.0061546043474225,0.0745420495661328,0.0297796044775732,0.0146338568904654,0.0113665092815188,0.339376054268239,-0.156679026864684,-0.067471835179449,-0.411980395961744,-0.0594998531645457,-0.0425103031741133,0.0252714969335517,-0.0899141824498237,-0.0960232490448355,-0.0295039363997849,0.0401380166404116,0.202430524399359,0.0090277502171409,-0.0307016713570658,-0.0280915591750829,0.0295090799207544,-0.0359427647662014,-0.07201489432389,-0.0222365727395034,-0.0147114632366041,-0.283391992958664,0.0265846194305699,-0.0756304584613925,-0.0245223612892602,-0.0852546093327107,-0.0473751932497942,-0.259230552144729,-0.210216516073339,-0.109871942969673,0.022382111910254,-0.0863377571589622,-0.0098460749983506
stable,-0.0131790888509949,0.0447397727404883,0.0992350050823162,-0.328388928512103,-0.0219417533201443,0.0803362124030618,0.163945064329159,-0.0416572455748671,-0.0101595287307747,-0.300355590812492,0.0203828831187616,-0.0270195254705845,0.0375381466285561,-0.438221835850897,-0.102810400056457,-0.272496992261235,0.141743853471228,0.19669909447005,0.0351408443589176,-0.0067923182473836,-0.0337448172250742,-0.0564117180328086,-0.0477436066670588,0.104671360703864,-0.394453749476967,0.0516278044294861,0.0700171323052185,-0.0254663202419074,0.0218196253341653,0.0697042678337517,-0.0837634227519467,0.264620588443015,-0.0068475105445003,0.162559947787234,-0.0421107040067969,-0.0121855645108069,-0.0788492448980911,-0.02678898307184,0.0161067929191104,-0.0480685924197037,-0.045819903448498,0.0475691507729964,-0.153724850917383,-0.0304760729318566,-0.0297542782380466
stable,-0.201980452077058,-0.219473630374612,-0.205501419165125,-0.0935566952150587,-0.278922727284949,-0.278110936220002,0.0006539867958633,-0.279386883079655,-0.235588887537536,-0.0405906857690056,-0.265770191402953,-0.247659175789134,-0.211993763877339,-0.126777673235706,-0.0371098865735967,-0.12364910717532,0.0211960095896028,-0.156426646234123,-0.282583586501188,-0.29955706548691,-0.126417452800587,-0.238505192411676,-0.202389649203411,0.009161080349906,0.04031211728351,-0.213359371561354,-0.181730409376815,-0.215959375088775,-0.335676479855134,-0.0273865856247848,-0.206186143178721,-0.103759676801211,-0.247237454697897,-0.141204807629775,-0.212040868616276,-0.287904474052166,-0.229092076400845,0.0578036295162107,-0.258511400405813,-0.167566190828946,-0.244830601015555,-0.155957892399838,-0.204079410075238,-0.110690663163636,-0.239881557600971
stable,0.0468480341692713,0.0079618715774145,0.126357767103912,-0.0341656057079167,-0.0499615029143886,0.133692000099016,-0.210302526161475,-0.0156503567792327,0.0216753311366254,0.0781717769377355,0.055601216289047,-0.0833549543655654,0.119901685210102,0.261110033782021,-0.459114952477218,-0.208660822695758,-0.589177086120967,0.0437244511733575,0.134705581292554,0.0006220026300084,-0.0412428691642119,-0.0775906269739484,-0.142586213644974,0.0342816530417193,0.168965747696194,0.0751840635347872,0.182434146236131,0.0162859103725027,0.0023172004622406,0.0471027443996578,-0.0827790415865999,-0.39234018693543,-0.0403728596035398,-0.241673947899137,-0.0425434481285341,0.0694252564429346,0.0041359477745684,-0.489928974629103,0.0561715702156326,-0.3495963913,-0.276521875599117,-0.16166632323351,0.0631195139955082,-0.169658347235222,-0.0632033933634369
