group,CD275,CD137L,CD19,CD269,TIGIT,CD32,CD196,CD62L,CD27,CD107a,CD64,CD1d,CD35,CD278,CD58,CX3CR1,CD24,IgA,CD79b,TCR-A-B,CD71,CD26,CD193,CD144,CD1a,TCR-Vr9,TCR-Va24-Jz18,GARP,CD360,Podocalyxin,CD224
progressive,-0.114526792064887,-0.112437859999026,-0.216586620501456,-0.21126918081463,-0.295762620486232,-0.207024254463429,-0.0326991313910119,-0.542582493880753,-0.223197164543437,-0.287294922611183,0.400281231650639,-0.185239269008288,0.449032230464081,-0.177281117958909,-0.117886721312186,-0.303747504616037,-0.0408054199797448,-0.131102237853301,-0.246788926321149,-0.243164517326111,0.266725363908325,-0.177277158312837,-0.0334995731147779,-0.221823265965955,-0.297126198921285,-0.253329019218835,-0.362859676721071,-0.228833191217212,-0.257652262454728,-0.259988220214907,-0.0307869465079623
progressive,-0.0941795685951396,-0.0734044355193131,0.0001564134679348,-0.0387774766521945,-0.0304361119943618,0.228746101809316,-0.0581240356290791,-0.153171221936911,0.0962396025441425,-0.0125247128105372,0.0703826722212027,-0.083832859066966,-0.293383045276846,-0.0628477638982514,-0.0390457135267609,-0.0475735958690794,0.0022540369941031,-0.0070204865211834,-0.146870296756953,-0.0288319856890329,0.102475066867447,0.0206410813739666,-0.13563567897324,-0.0642507877256479,-0.0360304450739263,-0.155359780811736,-0.0883667447738439,-0.0717144440356717,0.0475479545993849,-0.0584772869024656,-0.185350803100316
progressive,-0.164921386000181,-0.264264365540281,-0.127737222218385,-0.22325348818072,-0.232900476343579,-0.101625424102417,0.041192872671974,-0.231963433121558,-0.0516614861680421,-0.296678961308942,-0.157807811392189,-0.200261638393146,-0.193415558870305,-0.178896847013387,-0.256467628186051,-0.294880666078552,-0.226454790111505,-0.270147783147309,-0.215802954318917,-0.139796172189471,-0.450137897024494,-0.243107621420621,-0.151381647651176,-0.20191934264609,-0.200323745039877,-0.232372916128505,-0.233428931723562,-0.213873447019115,-0.2117817425016,-0.257870658783438,-0.240784886435972
progressive,0.140127418986604,0.262385878469232,0.137208942366396,0.19604208737545,0.0772306411772855,0.357629845497575,0.131463697997349,0.0009876686123713,-0.15723699088476,-0.007416247287253,-0.289089995934169,-0.0066727141326373,0.204877306741295,0.246369197931088,0.130481747665726,0.298789665227916,0.314625874275162,0.182724114783583,0.223788942090368,0.195191789091719,-0.578483209180406,0.191964361423551,0.311172195554341,0.159016364591465,0.262757238945082,0.144731179709745,0.137247559227596,0.201575216012006,0.212275124690399,0.167657158817123,0.260104181002123
progressive,-0.34152058913614,-0.296802333902088,-0.122237832222948,-0.300787873267515,-0.0196890032172225,-0.264237708860511,-0.191984160279609,-0.163723925492635,0.0137915212755474,-0.325625612076317,-0.378797817729088,-0.213121662893769,-0.173274102108275,-0.206773308620279,-0.433993844066509,-0.402185616830975,-0.251581404970975,-0.192560551838738,-0.355498069327053,-0.167822020876094,-0.288366529408151,-0.321333102389199,-0.268666828703196,-0.286967335051015,-0.330402569278325,-0.274263513562354,-0.33224344606584,-0.362460901001724,-0.238004993580448,-0.166969352991612,-0.223873540588141
stable,-0.0179287744768914,-0.0492078597872162,-0.178087493032132,-0.166627340465137,-0.110113787684481,0.0312699149901617,-0.0089787980752349,-0.338677877274908,-0.233915744513433,-0.0759070860122035,-0.0048433130011191,-0.0629720021167815,-0.119404033634683,-0.104391544397314,-0.0773519383506677,-0.0965436397591122,-0.0188124215307247,-0.0088425825437545,-0.191261290777778,-0.149608325861372,-0.155697085901216,-0.161301675101103,-0.218744510157022,0.0118927744062236,-0.150590554716096,-0.0085413480354876,-0.0853135293783599,-0.0684622383347123,-0.0987602328532384,-0.132233550005741,-0.0478003708248252
stable,0.0593740130369247,0.0871168284351106,0.0428731662100226,0.120370553915446,0.167984511565708,0.268173280802902,-0.0745497251487451,0.0442249255230728,-0.119071046819237,0.11090039278652,-0.216056251135429,-0.0869714756737305,-0.227020769108821,-0.103994974078698,-0.0154005854526648,0.0992982900966108,0.208546557466485,0.122679182387557,0.0062687179415108,-0.075351924981456,-0.105144446191748,-0.0589439709758573,0.0551578461301368,0.0664291806214477,0.0084617158433271,-0.0252052156691596,0.145458021057618,0.0686914452280873,0.108247326598834,0.0364443302100997,0.0277080088138299
stable,-0.0499135529065309,-0.235323320343099,-0.0963181523071624,-0.214708375126268,-0.135111439485659,-0.113307780216442,-0.0890159163445271,-0.130110095559946,-0.16932271769035,-0.0875398501952037,-0.308895073375185,-0.140288880656238,0.252774359492521,-0.209302209906635,-0.10809461784749,-0.154573303343374,-0.134416232036309,-0.11255092412128,-0.170522897134986,-0.121624224859763,-0.121374259708611,-0.0862025819766138,-0.150126832568371,-0.147072712308639,-0.154382465159788,-0.0983543627946417,-0.145626818450463,-0.163705593485574,-0.266008427271764,-0.139089714018689,-0.0948300256929946
stable,0.0937687938772835,0.126708093841813,-0.0095978199386808,0.157142706021276,0.121948796297861,-0.0265830271820069,0.0560035417332882,0.0759189714705128,0.0397291643371567,0.0504141538493191,0.204989272172432,0.12872628888635,0.18992413977772,0.0293439812498485,0.169524146634442,0.121255612358019,0.045607993808222,0.0968764913450432,0.191627153354696,0.0409183937615427,-0.0651671389453254,0.0738840405065838,0.0274577814396077,0.1125826258493,0.0832925464166619,0.111944725575077,0.12519458684055,0.0609338546739992,-0.0664217107989699,0.127185902108003,0.200119473519765
stable,0.0454260051720594,0.0022800142461557,-0.0576902834445679,-0.111066880400374,-0.0136129983804941,0.142119167646603,0.0279815239447827,-0.205145476824486,-0.167470935601359,0.170216174339315,-0.0712411694219406,-0.0299821521709977,-0.238506322530461,-0.0427830187379741,-0.0283805482696323,0.0200457886796596,-0.0109535354713261,-0.0719207116456521,-0.101169791282456,-0.0577715457779418,-0.478378656399503,-0.0581937694058205,0.043047420047544,-0.150007173660902,-0.0813843627360217,0.0217530551280026,-0.0891199801930155,-0.0395158158671042,0.123656007086348,-0.0508120350339829,-0.0621320202818009
