group,CD3,CD33,CD49f,CD32,HLA-DR,CD35,CD54,CD62P,FCERIA,CD41,CD226,CD49b,CD36,CD257,CD94,CD85j,CD224,CD16,CD20,CD32,CD103,HLA-DR,CD64,CD141,CD1d,CD35,CD58,CD96,IgA,CD79b,XCR1,CD54,TCR-A-B,CD357,CD71,CD144,CD1a,Ig-light-chain-2,CD85j,GARP,CD360,Podocalyxin
progressive,0.152502661803463,-0.374895864376566,0.115105491121229,0.0287915833844087,0.244997688023823,-0.646938151413413,0.108901465739525,-0.124947284405258,0.112020915971647,-0.0757983598668076,0.177019095586962,0.0279017533567682,-0.365606720254182,0.0793546329229205,0.0963291192710134,0.0986704190316885,-0.0884664223587772,0.0042473101868029,0.01058370613825,0.0009742008095318,-0.0114174811480394,0.0604441829994795,0.108977644943847,-0.212208588532133,0.0129556834781433,0.192407620796009,-0.116320513894954,-0.150082443680917,-0.151053007814403,-0.0826167427101598,-0.341139567070066,0.0933271294820164,-0.105727449595726,0.0998413862865891,-0.0206205400647713,0.0040241544160366,0.06585323470797,0.107057123136593,-0.0224723689509129,-0.0473623201455165,0.0244906709050701,-0.124721142963276
progressive,0.0430460322190617,-0.214754857269192,0.0516675821686426,0.333221183293624,0.319704472012623,-0.241020749164457,0.595762792997981,0.145729170495631,0.0711264198120894,0.172253789734052,0.114079417317426,0.139329020456906,-0.048869192956529,-0.0427394145324244,0.0515537202208829,0.228768424508363,-0.125231163764621,0.272827918397783,0.0533786490453792,0.0861584762766803,0.105011009737637,-0.0094056302289539,0.118272376162178,-0.0581192500860508,0.155690476022055,0.455873426057825,0.176247246227441,0.160660198817007,0.180444662637479,0.116080441651922,0.14460666760183,-0.251357188993939,0.138436669726139,0.0747490394535035,-0.024422577844715,0.139275120907335,0.131220355465131,0.156462169952192,0.0574045314704086,0.134264782598049,0.0704306538960622,0.161546886047334
progressive,0.0340517784494356,-0.0804215373141006,-0.156104766130152,0.387893776766974,0.6449667787397,-0.374596794818104,0.378601474913094,-0.133066693403485,-0.014914201550233,-0.13336474943528,-0.0635713304328971,-0.0792646663037746,-0.0708221193770585,-0.0206439203955323,0.0717589943222598,0.292660416523883,-0.11040799186401,0.146136344794932,0.100824339216207,0.566879344211381,0.115950389612345,0.679675933268931,0.336355746482126,0.316193195853405,0.252614276595542,-0.0504921527344755,0.265113669954642,0.185488244885052,0.228767690195289,0.17059266496259,0.18579813885861,0.528206822725687,0.173496749811504,0.110836438297495,-0.240473209191219,0.247115039117173,0.148279677728286,0.349937829595276,0.463302823167144,0.171679801300811,0.153304636534581,0.180221806095173
progressive,0.0014929393674649,-0.457894698718973,-0.409839836739226,-0.173730918224958,-0.226972532490028,-0.431899977161916,-0.0564195010318634,-0.405202459884272,-0.17222878066629,-0.421528904869519,-0.0805034122697757,-0.188560144498018,-0.382706223620122,-0.138344019010334,-0.0220272338016027,-0.199763669662752,-0.0974139006884966,0.479638733493982,0.219398466645527,0.494201312475632,0.432567724448363,0.0122485524894775,-0.325062007704321,0.102611787662507,0.195083271869669,0.227451057622726,0.314325993435015,0.295099101440754,0.320906238025837,0.385914649259295,0.361259480385736,0.107032837196622,0.310290703401334,0.189258557087225,-0.528967680548721,0.259444426330669,0.317868996741986,-0.0695449485350896,0.13841416143047,0.278810094568713,0.33690821591789,0.352743553332525
progressive,-0.458788301990419,0.100056764606617,-0.152391857953461,-0.284713591576226,-0.285857280934956,-0.242279580045798,0.0084745844591946,-0.249455481225104,-0.478066234569443,-0.164276508786521,-0.303603885858544,-0.168110898872352,0.204377713415559,-0.519488246252693,-0.455806499413309,-0.284336766165256,-0.39138377375189,-0.0406857036419284,0.0486378232870084,-0.154256920289206,0.190944310938852,-0.142774110167571,-0.021107996386345,0.148722271772241,-0.120873318624707,-0.0656517856386535,-0.0460170146390154,0.0446486102368072,-0.077853287181136,-0.129977374239989,-0.135023442581299,0.0569856403587902,0.0531801201083055,-0.0938237133117925,-0.184694092739581,-0.128967502132647,0.0667661083123068,-0.062514934137186,0.0804098985343736,-0.112930863283856,-0.0046245995057952,-0.159285562820817
stable,-0.0058348468386364,0.153294453772333,0.215126895331065,0.21106391380717,0.42842312688737,0.0478680516478425,0.435382848923165,0.168498275733839,0.119605418287653,0.311027781027969,0.163986297506784,0.141710332269542,0.269601793604835,0.164374400311074,0.12410923194214,0.260409576485955,0.22500851152182,0.193509264326151,0.160362783731834,0.0522232564518839,0.129924701112055,0.281919604085583,-0.0725623987462559,0.112640058105773,0.0740742415420626,-0.450949396092296,0.0041416119602249,0.183020887749832,0.213189049293885,0.0266418189091095,0.155939534591351,0.17640239513179,0.238549000664912,0.0636275861462002,-0.123614354607944,0.198009455551689,0.106541540215183,0.0138693625815559,0.111095254449843,0.0574070786190863,0.196194884606562,0.170235206071966
stable,0.0940585745780385,-0.182677300089869,-0.099188710617676,0.0785232030828521,0.0894218544462337,-0.0977861107827071,0.119219158682288,-0.0326637586134245,0.0244766325382326,-0.17190521805386,0.0251108294675583,0.0141130392163984,-0.156333755649568,0.218096130152995,0.0649437295440937,0.0397025073009469,0.0988991145421519,0.186079842807489,0.054219497962222,0.29053582189576,0.0576389807288909,0.527206324316629,-0.205907338582464,0.204704371371856,-0.0040657487176714,-0.220451222079102,0.0818325831956792,0.0545445650208547,0.0486406918057155,0.0605057530887023,0.0140211571791944,0.457717615764863,-0.0109779891770821,-0.0428857980300649,0.0643866794447656,0.0908335045839687,0.035787425559958,-0.0188992879941838,0.199960858996841,0.0635477549468959,0.179359238774322,0.0735730346626147
stable,0.155304763471657,-0.0023759001353725,0.121156920121597,-0.0932532363602029,0.358758479414618,-0.485163896911011,0.356997245343261,0.105139759262078,-0.0301481771792966,0.136959063163343,0.0586713798773096,0.0002625190838813,-0.0562313826352255,0.0286326166673035,0.0953971975448119,0.26573880905523,-0.0581707952808981,0.311185944883849,0.0503273705635657,0.303451259344885,0.0060682060122793,0.643449025450255,0.241479570355575,0.12900017838136,0.0790943258615218,-0.26663944585144,0.0054375548748603,-0.008991369194018,0.0644801867871658,0.0179855245215304,0.046652949298882,0.532120485721919,-0.0031864389165355,-0.009518401842063,-0.180712207578757,0.0080638307429792,0.0165520968382601,0.189331496214023,0.381796584199387,0.0559537226821485,0.0382150856875148,0.0036450323996187
stable,-0.19202242535733,0.0040587270384387,-0.210111975415403,-0.49711534757585,-0.675158110768574,0.186618625151998,-0.582960198068895,-0.105001363229686,-0.209193743381808,-0.147689133687707,-0.255237831852864,-0.291495049626536,-0.0204171735766839,-0.193927684783362,-0.217918018009185,-0.467313022524928,-0.1362523629478,0.131667237544307,0.165695272359953,0.266574987417093,0.111733819292138,0.560600047413928,0.138791987548438,0.352227367596242,0.181785345982848,-0.206074929259098,0.149517813716503,0.177431835561459,0.137933880060464,0.111602900543904,0.135145730024261,0.446063138419893,0.111960088401575,0.0710597293016421,0.0895964535381767,0.131980532758364,0.0818737517115747,0.251060019744162,0.332509921501626,0.152220748490491,0.117478464921985,0.145506182048886
stable,0.03596150769192,0.136497011459359,-0.0384371574883529,0.0031524431039363,0.309442114465659,-0.147393912175696,0.335664359364987,-0.0197249234395108,-0.0842683960534369,-0.112641728500571,-0.0790193713244354,-0.0799150078378223,-0.0926675185851779,-0.0991811375769297,-0.0597442001358906,0.0647179420261579,0.0399341222675734,0.278044977657491,0.105612826448939,0.26177640284648,0.0613509489118797,0.473890232586226,-0.319164929182409,0.144650784792483,-0.0365062217476365,-0.43430417006475,-0.0170645635424641,0.0823218219219519,0.0928055588568943,0.0587234716157223,0.0588840994886562,0.37297078708837,-0.0020014920106025,0.0282326025249229,-0.474982592223741,0.0200144469262944,0.0331298881132037,-0.0520834568882497,0.141071076140683,-0.0298949971218185,0.0605611773696697,-0.0534351187175887
