group,CD80,CD252,CD30,CD40,CD33,HLA,CD49f,CD194,CD4,CD45RO,CD279,TCR,CD32,CD69,HLA-DR,CD1d,CD35,CD58,CD178,CD206,CD54,CD62P,CD267,CD41,CD163,CD2,CD226,CD29,CD49b,CD71,CD304,TCR-Va7-2,CD158e1,CD158f,CD307e,CLEC12A,CD150,CD85j,TCR-Vb13,Podocalyxin,CD258
progressive,0.141942919303738,0.0703993145971795,-0.0208662998660802,0.0953595007804946,-0.354385825078856,0.149394319026099,0.092739239841663,0.0244999749601353,-0.0279917228021732,-0.105272312361341,0.0269822922681411,-0.0300817014436299,0.0152778383711048,-0.10982829837232,0.21286749423769,-0.0480552448685987,-0.56813356715849,-0.143182945311519,0.0843788679608351,-0.0891731091802018,0.0690739646229956,-0.140814547967749,-0.0899915656276637,-0.0409466478578856,-0.112531076500004,0.162477790653948,0.0648186117023069,-0.160422543998072,-0.0712383785657168,-0.368631808542527,0.0764450775300804,0.0580024006820525,-0.0502170867789096,-0.0569924200273371,-0.0011229999816201,-0.402476989784538,-0.0398602557801574,0.012361777647866,-0.0199611156098435,0.0274971083161408,-0.0240761284129568
progressive,0.0139642017627311,0.0240876610153814,0.176794413410815,0.202663392618443,-0.0709911286868928,0.284057151337761,0.299587921115123,0.141394600038879,0.207108039512796,0.111559890894993,0.0507538961450459,0.13714459968273,0.0546889432837026,0.0443561042648368,0.147320805385151,0.167202883156625,-0.298504510983091,0.137016023322836,0.0994628476766902,0.107255258938002,0.250238989284837,0.318192045224978,0.119632394305707,0.340328240583171,0.250376206489706,0.126349392615807,0.235569106743858,0.32889215962791,0.191874077071962,0.245871409747847,0.136794447015026,0.127221185264947,0.0057618073870426,0.145515599621956,0.117107936027033,0.103424415276739,0.157784038899817,0.216009980162286,0.0671832173257187,0.108612376214727,0.0646838543140812
progressive,-0.0778312388064039,-0.154123442392851,-0.137376965102885,-0.0630871572464345,-0.115897895862917,-0.145787575626979,-0.07473932701372,-0.140056455371019,-0.139400768798193,-0.140604964724071,-0.138973354081217,-0.176910566206485,-0.495263113438615,-0.159689021187772,-0.234951813069963,-0.156464139478106,-0.286955496456208,-0.250027347778302,-0.120252425687469,-0.128597020239604,-0.365482089129193,-0.171273445292617,-0.121621270383013,-0.18974814902322,-0.0036330022550394,0.0946608481631753,-0.189738502322622,-0.0718590187640178,-0.172688529070237,0.425808023573887,-0.155396016375596,-0.175878858137208,-0.100580036241954,-0.182007113622609,-0.118427654148959,0.0107873398703721,-0.170802422659021,-0.210440874105763,-0.179325931640366,-0.198718697328366,-0.1681006907447
progressive,-0.205688223454237,-0.319967324246178,-0.185336258756245,-0.190666305298166,0.302177039670881,-0.0612485272628395,0.0448991221596704,-0.162939520995181,-0.371046288278594,-0.15915350713002,-0.338100907675268,-0.29525462904088,-0.316150681316014,-0.239278640338766,-0.0545637837150916,-0.172267913270111,0.062034976203724,-0.268300669709419,-0.146346293621159,-0.131661659523827,-0.142361568412081,-0.012445242670339,-0.247991553723652,0.0697511394365381,-0.158035986457512,-0.022691141652797,-0.296902286042971,0.0007845701321703,-0.202526892981822,0.0552187695528176,-0.131469348564156,-0.274117204419528,-0.102288262365061,-0.344516999489415,-0.279035833750363,0.171217298063262,-0.225813315868513,-0.164052761885752,-0.112238831510248,-0.258258511880178,-0.305504924581079
progressive,-0.0007379786804966,-0.165493646657565,-0.179747303788779,-0.1772905162645,-0.266541092587893,-0.138045143809799,-0.0882770005325535,-0.234192825412451,0.0361687784581446,-0.171835365978507,-0.0348134432594668,-0.0667445268148224,-0.225029160471093,-0.168634104026798,0.033053634918488,-0.214788253158425,-0.12860955696891,-0.0802126008845501,-0.089995373344932,-0.222325489371108,-0.0957192434407448,-0.0512675826991267,-0.0836514485533811,-0.016703204332372,-0.0420309873045434,-0.0623901526550912,-0.0938044441656558,-0.207474952309272,-0.0189812206880534,-0.135313934395064,0.0125457456983425,-0.0969610092369951,0.0325143448699079,-0.239674543796275,0.103157698180128,-0.324162006808212,-0.176616627383663,-0.159701620994587,-0.0964600227122003,-0.174585984070941,-0.140472949345869
stable,-0.23710397195609,-0.211551765927557,-0.199010367566872,-0.191719108339277,-0.113032545916907,-0.179233748043018,-0.232990325828606,-0.0615750001422088,-0.0265272799922042,-0.093777254735507,-0.179010850107711,-0.257061995169921,-0.315181573527823,-0.224495562978378,-0.194023966826312,-0.263476173511721,-0.193936901377562,-0.280742923466509,-0.247473644847483,-0.243025746098728,-0.315296206961541,-0.225646792708083,-0.237283062815597,-0.402059660142035,-0.140213609112766,0.0918752186407326,-0.300472394292755,-0.224000271643849,-0.282878301873152,-0.0068107636560345,-0.253576146762481,-0.0945833364566987,-0.25754040912397,-0.274327912029249,-0.115129873599112,-0.236465724882038,-0.239525098355097,-0.236221785305307,-0.242064155070557,-0.2264634601273,-0.232667899344214
stable,-0.0318421644852814,0.0050509294181905,-0.175533523843588,0.106272459076923,-0.192810356030574,-0.15691873979904,-0.0360844066217926,-0.025357981463999,-0.124371698482662,0.0014367426062993,-0.127263931266521,-0.109438799790164,-0.16373650291705,-0.0641531159927929,-0.0786829913416216,-0.0412959434690656,-0.214574339261098,-0.13626677802314,-0.0481454568426581,-0.0991081871848355,-0.206558621023687,0.0714877751531808,-0.0913881879638865,-0.0547161640656517,-0.0072494956480521,0.0783744712285057,-0.0885533975180791,-0.0903167810576121,-0.104453871666708,0.0163047110909615,-0.0146796695599005,0.0260028771087693,-0.210981277389229,-0.0703971499560517,-0.0615667601134059,-0.0940503441961509,-0.0553484446248636,-0.0968282589405764,-0.0401265214173447,-0.0809649552477357,-0.0473845774021168
stable,-0.0905183598502695,-0.0673767119122543,-0.0496995456642607,-0.102400456362315,0.057700263196868,0.0404623179732857,0.0317159279760596,-0.0209438494579397,-0.022702217772645,-0.106733376780992,-0.0081411940255503,-0.0762444020773548,-0.326296497708021,-0.0640656540254417,-0.229696570873974,-0.0059541816386251,-0.170294920092622,-0.018529624480055,-0.0474282486402493,0.030176621529335,-0.146477066567267,0.110979324277661,-0.0431528821617183,0.0089582624757827,0.0809188774741624,0.297811025060819,-0.0447462413105894,0.061527296601836,-0.0199019000265384,0.3405268141124,0.0109064448565517,0.0126108940641307,-0.0160318996448492,-0.0623182740164201,-0.109084950484686,0.16520382662119,-0.0459148532650068,-0.152973358058843,-0.0874752515007729,-0.0386194934019762,-0.088889128794816
stable,-0.0069304517907682,-0.109783006229754,-0.0296775644118115,-0.165303248586719,0.19694667663808,0.115624867257215,0.0802914919714666,-0.166698990032013,-0.122505815432575,-0.128010553538413,-0.0810177834471216,-0.105125681892779,-0.282935824597889,0.0616893322092547,-0.0776944932746171,0.0359247266034546,-0.0488304383800732,0.0138100616611402,0.0490649933870971,-0.0806890179792823,-0.145438301370427,0.0536353795875607,-0.001680846883525,0.0736588773514064,0.0582978643826304,0.255233703108924,0.002428994578982,0.0916470296867302,-0.0144096864267701,0.321697007110631,-0.0380756992650529,-0.0424262259733422,-0.149295967679536,-0.0979438993938288,0.126276959394613,0.218029651822753,-0.0602991829498038,-0.0739639865293182,-0.113834802451291,-0.0428181099115069,-0.0572660786614225
stable,-0.0324871666009465,0.0567252854826628,0.0585011402176242,-0.156011627155628,0.105836244186133,-0.326192476449163,-0.169953440680389,-0.0315731020700679,-0.253504590347575,0.0369871153256973,-0.0083937422292513,0.0402172543108717,-0.219985303686345,-0.0793045214629052,-0.579413703418094,0.0560538214410196,0.495310523934407,0.0360571488146947,0.112887799442496,-0.0010771069610049,-0.519847343650285,-0.125150393704606,0.0558204500380049,-0.162295227890741,0.0603274892978964,-0.0258912859852426,-0.0953400955917493,-0.144698721380968,-0.147229322366869,0.565789286052242,-0.161413478442504,0.00013248048726,-0.0141297137443656,0.0045891334891352,0.131735493155915,0.376980331499366,-0.0660005969716478,-0.148336106464488,0.0356478673634056,0.0417219145269692,0.0092903191830105
