group,CD33,CD49f,CD14,CD16,CD31,Podoplanin,CD195,CD32,CD69,HLA-DR,CD66b,CD35,CD58,CD24,CD11a,IgA,CD66,CD62P,CD41,CD124,CD226,CD29,CD15,CD36,LOX-1,CLEC12A,CD85j,GARP,CD328,CD82,CD101,CD88,CD224
progressive,-0.234426786245798,0.12606791884706,-0.178448203078076,0.361166235372997,-0.136235518252917,0.133159241152284,0.0624430876929746,0.122769049314725,-0.0897525889704431,0.190281118819895,0.0588931664521588,-0.31155499588883,0.0490723055054691,0.253068110021104,0.0168138510093988,-0.0378472032133382,0.225066541842651,-0.0417875295897925,0.0110182749580615,-0.0969503702208751,0.188672101507659,-0.0179562749124533,0.140745876662078,-0.28357196557433,0.205342096905322,-0.259515542397472,0.151652287129491,0.190848306898194,0.0686693626976723,0.0925000789946434,0.0454797508725062,0.0646607789521231,0.0693758841608911
progressive,0.202559832997963,0.249400081896427,0.0469909457632634,-0.0296034823255203,-0.0305593189809315,0.173748116591691,0.0213783970237043,-0.106785531818998,0.203031097942651,-0.181268544512389,0.0467558620284984,0.346732947746606,0.165384128574878,0.0595893272054976,-0.0237351731800422,0.140736453334585,0.0797852115387056,0.0944408500117203,0.116822879083242,0.109192310543629,0.203847820018249,0.163924205442886,0.0936590060898412,0.0979898897019287,0.144061511466137,0.133664337258098,0.017092005330789,0.190263354746786,0.153673857287926,0.143879865597011,0.123990017300564,0.0030325733885747,0.311290865073895
progressive,0.49958549617802,0.510445468437176,0.432392721592365,0.421236780457882,0.532517507538079,0.505718945686992,0.26135929436645,0.525464430584037,0.32795394657676,0.36333323991992,0.377969843356837,0.485187387214299,0.540055749594697,0.314617651177127,0.520988840781178,0.544094962894424,0.284622051221412,0.508614549978003,0.539345424008031,0.347794864358935,0.525267249051722,0.607238071900515,0.42160010246883,0.524240159499249,0.291790947096086,0.491858181823922,0.50743899588626,0.436980837389832,0.487736434031533,0.433125682401142,0.488489298942509,0.509448862109841,0.456896413042193
progressive,0.424009309489684,0.441303510165828,0.50092322413847,0.581289552521657,0.367965163308631,0.547635478225514,0.502570415124343,0.646577157153043,0.506948663296619,0.224564311934291,0.720311024952761,0.68789965980069,0.513097127459422,0.586038357654882,0.362994121222385,0.465394792721886,0.673526385786175,0.459936221403207,0.312021781017975,0.513649167379093,0.422107262474426,0.493557739467615,0.543845016037331,0.459622913848812,0.521275018615142,0.553208667579009,0.359138875483739,0.510433397072388,0.502492265583479,0.529080448949598,0.514366938303574,0.55684040875875,0.560126546061902
progressive,-0.0729911921798135,-0.0996169626767237,-0.241502729467562,-0.097446389138479,-0.0766054270857307,0.12995606163445,0.0418617715514461,-0.030144610345569,0.12608960184784,0.0340759122871011,-0.0688340814550821,0.148206338470315,0.050103727096006,-0.0598486660024979,-0.104311011713363,-0.0822907666330426,0.115543365347538,0.202696941660037,0.0167111111746595,0.112107149606753,0.0269721832763225,-0.0852060892634112,-0.112841074465074,-0.0634904597530105,-0.0636785722369551,0.0601658647128501,0.0434034069775487,-0.0393890483837024,0.0492317509390309,0.21923434919468,-0.0279243395993535,-0.0838151566102401,0.071220283498563
stable,-0.0776114472435521,-0.106488095211078,0.248012378411323,0.228629890707824,-0.0657922392394491,0.13223093936389,0.0966309437396401,0.0948175906830816,0.0226755528230347,0.064395013827238,0.257065596688126,-0.0687152917511264,0.068577771688495,0.169115961864685,0.068808824789248,0.163793855341129,0.111334716704455,-0.133649440449046,-0.0821362788524609,0.168788282595127,0.142428842553426,0.0263758955048501,0.167086062007407,-0.0814108355768074,0.0802499927678446,0.173546238104498,0.0911478750603328,0.0838873512501722,0.0834652517022848,0.179661757896736,0.133105793582778,0.146394528671948,0.118747858209638
stable,-0.134440125008371,0.20725368327175,0.004215746428836,0.261045591580999,-0.0144381176629092,0.116751833867186,0.0667132877071936,0.252406254370133,0.0362672700994335,0.492837210476636,0.265925116157766,-0.360106658144646,0.0681885581059382,0.212087174928851,0.239198872567865,0.204160431277134,0.221763332416453,0.135859701728284,0.132089818062754,0.0053407758059515,0.205539194022649,0.196469693319901,0.20292688515231,-0.104190791846868,0.0241173822407189,0.170386252947369,0.217381742822142,0.171819764452895,0.181465929692019,0.0328799840954891,0.21757612623504,0.187575735505836,0.158111420729988
stable,0.106543092664476,0.219671031607528,0.0630643219201692,0.0021632100813407,0.38711878820488,0.11376275714358,0.010759515672799,-0.154109025030701,0.0665644614359919,-0.3789151349979,0.0084389199921493,0.253595356027059,0.185118894171902,0.0857885649548503,-0.067715659148668,0.13194686421375,0.0561085905050587,0.201085092247497,0.200030696922546,0.0430295308272942,0.147832190558849,0.141154283157918,0.127993248242416,0.305906335257711,-0.0889837084584766,0.122622270769845,-0.15224526617052,0.0774089385528558,-0.0965123481396804,0.150566562594929,0.242034002694643,0.0142959039979347,0.103540181059856
stable,0.0445461472355291,-0.0240235002231461,0.116953607034258,0.0016962209288038,-0.12382227527354,0.117216051832969,0.102037661879312,0.121698045845305,0.0388039217035644,-0.132075443364851,0.0452143447213169,0.117050442272168,0.0082332097044051,-0.0092796896211035,-0.105060572104349,0.117946171878901,0.135953591035138,0.0762840352939063,0.0471090654733846,0.143648691674361,0.0620898068054035,-0.0630970315472446,0.163706442534772,-0.0466308930260066,-0.0496764729883814,0.0510203236157757,-0.01657701465133,0.0892428090571467,0.0717896849270982,0.059962323473205,0.0532028706931539,0.0129336740567882,0.146644769108634
stable,0.123152389490524,-0.0786679584587793,-0.180544654713607,-0.0940190067652044,-0.0276589563078393,-0.261632368806586,-0.233770871836553,-0.0605320835995889,-0.0705499508170827,0.334400461208868,-0.0786020925608398,-0.327339095925701,-0.178740376617605,-0.16742384285093,0.251250291061975,-0.184422947144426,0.0284497961573691,-0.0315795380325401,-0.114371407593625,-0.116840503722057,-0.164914084941459,0.0588224908278399,-0.0411456110472557,-0.0450525089662588,-0.14613326419612,-0.0506929749517029,-0.044882493874188,-0.139132525025249,0.0598230429408064,-0.232183416678478,-0.0363490678314138,-0.0962904692563274,-0.176651874754044
