group,CD274,CD252,CD30,CD40,CD269,HLA,CD4,CD45RO,CD294,TCR,CD32,KLRG1,HLA-DR,CD66b,CD35,CD58,CD39,CD178,CX3CR1,CD11a,CD79b,CD54,CD254,CD357,CD226,CD49b,CD81,CD28,CD26,CD204,CD1a,CD49d,TCR-Va24-Jz18,CD336,CD307d,CD150,Ig-light-chain-2,Mac-2,CD85j,Ig-light-chain-1,GARP,TCR-Vb13,CD88,HLA-F,NLRP2
progressive,0.136112133253925,0.0164247463163712,0.0460959734150072,-0.018486680950113,0.087620208583709,-0.130482644107011,-0.0137207829032675,0.127901003722414,0.0508807506865384,0.0467388922189382,0.0382966237152468,0.0755669990938341,-0.109691079444837,0.202569286063924,0.330404431581921,0.0319624765777207,0.189627847571819,-0.0370875788687505,0.0044129242598769,0.0536899075055694,0.0254712434239254,-0.114158960082602,-0.0451821919225639,0.126632467818049,-0.0580018335352589,0.0750723081906695,-0.372751067680538,-0.174943682259556,-0.251623279168448,-0.0114582620406278,0.0169095135899405,-0.128103927177656,-0.0134358221519453,0.069924575673609,0.0957409218747792,0.174206522202414,0.21069389090141,0.144455036218592,0.124276018099952,0.233105983710135,-0.128585036649769,0.0830163476750312,0.116301195411393,-0.0102540241274099,-0.0862322253663256
progressive,-0.0772035598542212,-0.0004428413650829,-0.104726923770626,-0.161511266145459,-0.0424238526440861,-0.385266198968285,-0.198981378201984,-0.0382651141152783,-0.0834717000277023,-0.0594709507590449,-0.171884792387618,-0.0935677666598174,-0.286189687497475,0.0704228845012447,0.300965182614364,-0.131793640543392,0.0181008288032835,-0.078233801042923,-0.135947225582018,-0.178068101712829,-0.0536429498291308,-0.355893300693265,-0.0269332113528586,-0.117124937995848,-0.142283044664334,-0.151237770708573,-0.126092344928211,0.013373258115573,-0.196583766037012,-0.0696246944498004,-0.0886943976214032,-0.27603495900239,-0.116150366693943,-0.109062732041466,-0.0202273913173329,-0.0367272317113258,-0.198587109448391,-0.128183608662092,-0.266331738402209,-0.190064264873833,-0.0295536931713607,-0.0198937319215909,-0.154624453549443,-0.0527520275662831,-0.0930697360466586
progressive,-0.146763791418973,-0.26362536053464,-0.342830336002049,-0.194687105537458,-0.281971291287058,-0.529654830469704,-0.469944886588759,-0.120929390710025,-0.286533780576066,-0.26621302598027,-0.61189821694646,-0.270837340245735,-0.656180515085908,-0.273041731113955,-0.157518368808944,-0.398005859427903,-0.353611692844092,-0.251117027950191,-0.313394444372083,-0.474495449948363,-0.303850825761595,-0.60068508074208,-0.274789700489755,-0.205366777552607,-0.300510249762913,-0.272909527764719,-0.300677623868972,-0.161495645574511,-0.18500120733408,-0.287238227667216,-0.269207952048476,-0.455084711157762,-0.29197653366438,-0.2812492343673,-0.332318646022367,-0.315460284409184,-0.460062396298212,-0.277790624488011,-0.571022505806219,-0.38921183413013,-0.271567040745913,-0.25814989639695,-0.507461352430316,-0.278568046082374,-0.271650061874287
progressive,-0.494427733900179,-0.293377154316234,-0.233642009813059,-0.466688348025858,-0.249812262075208,-0.243708512478232,-0.409696754864353,-0.203518743285903,-0.217014614399349,-0.315112398624812,-0.556332131397007,-0.281621719308091,-0.264056423182581,-0.428055734402825,-0.43573291528601,-0.386660521414494,-0.450380991011583,-0.21618886921142,-0.395978639378678,-0.416382637443158,-0.3296038120365,-0.391196561088755,-0.152745346888487,-0.299958665259701,-0.263536244660132,-0.301406048267165,-0.216700821318711,-0.269542208269903,-0.251333147859941,-0.324486823976074,-0.283717969006126,-0.366524460801862,-0.273262112542689,-0.2701650849329,-0.270937827208406,-0.265498105848443,-0.268797425394717,-0.254104744289656,-0.330924687262805,-0.293397016555025,-0.397927035334634,-0.207679308421122,-0.368236883280776,-0.14830117801018,-0.246196025841046
progressive,-0.401680996842045,-0.498480803374514,-0.537565031001494,-0.385598920616312,-0.494305796343501,-0.280356784588725,-0.273502112405848,-0.468131268808185,-0.480239866450825,-0.558689439527779,-0.466715728232538,-0.506281513858684,-0.337458514157621,-0.173494991521609,-0.28837803602673,-0.456585380240743,-0.252693607907153,-0.486345050420763,-0.477270111762411,-0.287957103523582,-0.514176422920392,-0.22473885170269,-0.477195519391269,-0.546804553330196,-0.564567952188322,-0.54245747217093,-0.457403263104457,-0.466159050851619,-0.504073453197031,-0.659309697007147,-0.456015535119045,-0.346614821393247,-0.467425490995874,-0.465339953930761,-0.460999538273986,-0.538469476109711,-0.368647452110362,-0.482847179754814,-0.352138538011841,-0.501421128319591,-0.46283023723235,-0.470869776812181,-0.418234630188499,-0.480676903024039,-0.538058338269041
stable,0.0251568747558034,-0.0330947349576301,-0.0654392847924618,0.0011164758830792,-0.0036341110435281,-0.10785241444442,-0.168362920053524,0.0919103727603823,-0.0606522741015523,-0.0902238305772168,-0.0499707714931187,-0.0370391373799091,-0.174149658085151,0.0069871598345251,0.295518574907234,0.0043897577039601,-0.0045621273369254,-0.138268196892343,-0.037447710947827,-0.0974995148611522,-0.0602150176166789,-0.179404973962354,-0.0362895478999652,-0.044945559373973,-0.0768575567918233,-0.0962593875514745,0.0354204277187999,-0.0086852176034675,-0.0447888910257522,-0.106131082455803,0.0133932895891765,-0.2437740617332,-0.0140559238684096,-0.0274185282385673,0.01501112180356,0.0114059255487934,-0.0502964346116528,-0.0260515206854937,-0.115921259511412,-0.0035606638775837,0.0025506619248109,-0.0177647783885004,-0.0594083254882275,0.013832003874281,-0.022087021033947
stable,-0.293736572943674,-0.24267287423319,-0.266028650859308,-0.0111235094973291,-0.381153094785284,-0.364095220768227,-0.249466985659762,-0.218197934892745,-0.302064068507596,-0.369023618955872,-0.211184103302127,-0.381427024852733,-0.430563344811168,-0.261341487962411,-0.108699921541289,-0.335527516135729,-0.134296296630452,-0.28609665754641,-0.383473019938456,-0.259551337327316,-0.289260442344595,-0.329129836121034,-0.285417511814287,-0.252927751420279,-0.310250824638534,-0.173853295531946,-0.136826655384041,-0.187683337289258,-0.276900575222177,-0.307856119637727,-0.232283191194786,-0.248076033648246,-0.366154005124656,-0.279697671683666,-0.283144533862551,-0.333330893318217,-0.274242934495732,-0.306001972034652,-0.382151330655721,-0.297268392365886,-0.368271562370821,-0.371357600304823,-0.280605666510581,-0.355576058107656,-0.366460120676128
stable,-0.0669536998888648,-0.0294564151961106,-0.0249107780006107,-0.295918580550519,-0.028644402174214,-0.296601848272846,-0.35818369786952,-0.0549751149289871,-0.0591450869972875,-0.0511072416619801,-0.298126247620569,-0.0864307818356487,-0.608507274686939,-0.254483238697969,0.190983529871164,-0.050627675680746,-0.107602666015828,-0.0301479212059673,-0.111248063185043,-0.148052140522943,-0.0979764623007029,-0.491093308036595,-0.0655778849212462,-0.012792970785619,-0.105247105123686,-0.0201810902556917,-0.0888057174672891,-0.0436371055906036,-0.053455742615848,-0.0821382266468022,-0.0507232993104996,-0.250303017870913,-0.0577489091665176,-0.0668673514515829,-0.06173905930046,-0.0471837050634482,-0.151753952639241,-0.0636730790802619,-0.37513068893788,-0.153433717228689,-0.106587727597567,-0.0662000744126948,-0.175868600653855,-0.0911484808771437,-0.0973261150942843
stable,-0.0510575968866846,-0.0769580554926042,-0.160677161047838,-0.0896953026903297,-0.0844757790554026,-0.218770088616779,-0.212872160826107,-0.0510590410514018,-0.0883791931807498,-0.136518711663308,-0.173073675878203,-0.0460105174317994,-0.583442855819155,-0.119731673543713,0.382379695739962,-0.0439234491048714,-0.129006449703581,-0.185265284812283,-0.2100748514513,-0.262853986120578,-0.130175763783493,-0.379037884950611,-0.0427797108950564,-0.0547223939663848,-0.181952835453146,-0.0985829615527342,-0.182722612214473,-0.107462757090868,-0.0879718237596186,-0.127415833124117,-0.13043683515099,-0.382400586101521,-0.157213787654808,-0.139520857945926,-0.118882559625403,-0.120458227747718,-0.129999590382114,-0.12850397873028,-0.317374978065502,-0.129863391954122,-0.0967385470854506,-0.0738301861101742,-0.139210959269804,-0.0676639674900608,-0.150430765239088
stable,0.0628490242150214,-0.0839132882214514,-0.0742404347048254,0.0603203104820317,0.0840786123410852,0.0442222813110158,-0.128806229844973,-0.036688152523625,-0.0512815193729976,-0.133293380657247,-0.24075786970004,0.058830294166352,-0.236070093060642,-0.451012328103686,0.161404278911997,-0.0225597140663043,0.0454414802355213,0.0038181128104249,-0.142940824478015,-0.0098143601980075,0.0038565913580788,-0.267776254369687,-0.018334745952807,-0.0737772653531002,0.063610565602355,0.0995673936218997,0.0732784942677805,0.008742190300018,0.0797396291952926,-0.159825298466149,-0.0811057951701774,-0.211047579943047,-0.0421941891719703,-0.0905807099918802,-0.0518063825695102,-0.102480094505399,-0.0232150244275835,-0.0297197405292899,-0.0642559437190194,-0.0843753450350169,0.0149998334126281,-0.0273010146573622,-0.212292039187989,-0.0415463838870236,-0.0174540626826145
