group,CD49f,CD294,CD31,Podoplanin,TCR,KLRG1,HLA-DR,CD1d,CD66b,CD35,CD58,CX3CR1,IgA,CD54,CD62P,CD41,CD226,CD29,CD49b,CD71,B7-H4,CD144,CD1a,CD36,CD158f,CD337,CD307d,CD150,Ig-light-chain-1,GARP,CD82,CD101,Podocalyxin,CD224,CD258
progressive,-0.194820260041036,-0.108141388032035,-0.302661989048899,0.0168985480682569,-0.0540009006873829,-0.0598764293265572,-0.15746969614122,-0.239755889317689,-0.0941710499946979,-0.46526405436169,-0.190386331041803,0.0724246494949355,-0.159303276712509,-0.164818484720045,-0.310884981141287,-0.310571866126721,-0.0727013339456694,-0.29775844882299,-0.240678237318154,-0.547488557014591,-0.0534558147458047,0.0867700049739836,0.0776462652961068,-0.482452687426143,-0.0846787793405247,-0.0745332345458643,-0.0826646598679132,-0.0771629161836484,-0.373264561453029,0.0531761983743308,-0.0341091978768689,-0.0761025197049931,-0.115504970676324,-0.17365021943818,-0.0999030808879275
progressive,-0.279752637780219,-0.118493932465345,-0.283219570319492,-0.110741044874241,-0.0155619516672375,-0.0878172346047749,-0.109779159417942,-0.137058974855542,-0.212647533711925,0.0955573713901556,-0.138485968294939,-0.109547431452054,-0.0815788133052962,-0.191264004995398,-0.444906049489597,-0.406400316335439,-0.192893585832743,-0.286223610370633,-0.131638166831313,-0.115614514537814,-0.0794576080393404,-0.126112033337926,-0.0666295790036719,-0.200652761061953,-0.127792202977456,-0.128422587445584,-0.0636123561673961,-0.140123711850572,-0.116601879611849,-0.0254525377656883,-0.0468223479575071,-0.12253538954099,-0.0183564727930629,-0.026308005378042,-0.0137615960590117
progressive,-0.543976982272141,-0.52590615128389,-0.516023441187299,-0.589260235974324,-0.538487926051383,-0.514924283045489,-0.124390191782767,-0.508879441433004,-0.528693668575718,-0.503070222771868,-0.588487565894585,-0.550539965255491,-0.58062615975237,-0.196641545945619,-0.561895439553418,-0.56560231365048,-0.611711392025108,-0.589102857650432,-0.552575543227648,-0.307183759186385,-0.550912160995963,-0.503730472301985,-0.504507540834258,-0.533371562184129,-0.568824573900251,-0.510911447207255,-0.528756496101984,-0.510819202949928,-0.548669200882716,-0.510181070296939,-0.541906366447784,-0.520641143775709,-0.519467568390328,-0.512636001677404,-0.500708741807738
progressive,0.0563720389253499,-0.11763569254774,-0.0261537011408469,-0.365923473801375,-0.250220527778637,-0.311481583582723,-0.0076350513124762,-0.151451210763019,-0.409786960184113,-0.366334188545056,-0.267570109015362,-0.329228044682736,-0.230202792216487,-0.1001213806493,-0.059826640418525,0.143976744103356,-0.150744861021104,-0.131000666953706,-0.0913805029440378,0.476164082012465,-0.157523740540903,-0.185990097797063,-0.298386411759649,-0.0812352160455782,-0.219509626388668,-0.237166251240696,-0.270441116137042,-0.181632842219336,-0.063815497573936,-0.252557555844412,-0.260734296071103,-0.251302309573821,-0.182438630189603,-0.268038201991661,-0.259251852634075
progressive,-0.114288952735685,0.171785531876482,0.0535984512848306,0.027424676166876,0.154502610309988,0.0236228745968783,0.148063801202836,0.147871289182789,0.0224972049675711,0.0012759041372614,0.116767730009024,0.0486056889294754,0.088441650072607,0.0525661841641822,-0.197680730229703,-0.237948511800427,0.0224748451484157,-0.0431379264985202,-0.0180072156214574,0.0115034243013326,0.186903174316266,0.0423929017689,0.0898533429372957,-0.0566448158769881,0.165249311525231,0.153270592410231,0.112125295227438,0.281143543751382,0.163760420712716,0.156374958109798,0.0353495370511397,0.138349356500943,0.176126692639893,0.0135655802272133,0.0592740727796863
stable,-0.022073318398698,-0.122409386472719,0.0638893630446718,-0.124137964813658,-0.100379349264317,-0.0495694828714109,0.233412167823956,-0.0738963655756958,-0.0627461188911231,-0.143976069865564,-0.0860675092026824,-0.0769352608584926,-0.0642329504478035,0.282353951474616,-0.0820727570671436,0.0689569216338248,-0.086015876879252,0.0338752137840686,-0.0595011485452228,-0.115240300485145,-0.0967409328226472,-0.0223985401489106,-0.0946886086443912,0.0646146334065754,-0.162771080415849,-0.0909844005722573,-0.099573531818568,-0.0812608644588179,-0.0643846334572435,-0.062049464220251,-0.0144075340368747,0.0257227232483063,-0.0936641011943005,-0.0072186676574582,-0.0826978485741479
stable,0.301436494517446,0.117888857293866,0.230334654507406,0.0934167539814148,0.105519899079232,0.135095468510917,0.639029722573468,0.0935441064160733,0.10275726902118,-0.109325648853874,0.170751297287742,0.207424858747194,0.0828972033842212,0.556300132377378,0.217517099427975,0.298294916143238,0.230481362718988,0.3776080490715,0.186894724473405,0.0392195179160232,0.0972712795422952,0.146473689887279,0.0950913968800578,0.008954727134964,0.128238395947018,0.0815035234314011,0.131242616818261,0.147838521215895,0.0556488570577043,0.103098280700971,0.0477118694714533,0.32343185597681,0.135009124481086,0.155703151096628,0.172507209080793
stable,0.138314280177331,0.0871968576118276,-0.0744643087796198,0.111070274820843,0.0578769572046414,0.111737425848853,0.63962540719067,0.17080728996004,0.162134626235768,-0.297769731662717,0.0824347281220149,0.101487687338269,0.130341261623848,0.539219181830164,0.0701075581576655,0.18626402817119,0.127411313530932,0.201248055782431,0.0754825721885355,-0.145947272844591,0.103094235883335,0.0922507747844936,0.0989436139280258,-0.0595755786478463,0.0784576945080648,0.0657260543768028,0.101693998400698,0.055718552218854,0.240550143206363,0.124068446418876,0.0081108964886537,0.0402717178463204,0.0924298484339381,0.0536936231700412,0.0778652666820883
stable,-0.345785283940078,-0.208813320017266,-0.219007292177855,-0.268328291469926,-0.180569882568519,-0.132731501768015,-0.494234755875984,-0.234474017510763,-0.184852531119004,0.136003411711871,-0.179792958764637,-0.235654477899471,-0.198702359077343,-0.426695979832613,-0.314077368102699,-0.307380959055645,-0.335014927695335,-0.448776498369716,-0.320255218854621,-0.206282054514887,-0.143614596724337,-0.206188664466256,-0.16790396962331,-0.199416172925285,-0.144315534187311,-0.18420950893254,-0.207632075864789,-0.17259179984718,-0.224734465290931,-0.213756335606811,-0.203100647762083,-0.330540816483294,-0.253611747844572,-0.177261168107111,-0.218383573744349
stable,-0.003500780610445,-0.189847267556329,-0.0205022095273657,-0.254477669441094,-0.3043254724997,-0.225956722868944,-0.0425092863044112,-0.130962765686533,-0.37681904419323,-0.240118198916697,-0.243523531415126,-0.169197762872772,-0.295310459160073,-0.192220563671575,0.0410761727104894,0.0491232070487505,-0.126801979892121,-0.0892380528926216,-0.0210692521377155,-0.0274141417046938,-0.275375946578322,-0.264841582717284,-0.0974187504861264,0.0823450944501749,-0.346895037274794,-0.198357569680365,-0.194095332576385,-0.232375971428414,-0.149202021551583,-0.157531013736694,-0.247308932854987,-0.178102666073391,-0.226609003502576,-0.134451391875145,-0.157437887183163
