group,CD33,HLA,CD117,CD4,CD31,CD95,HLA-DR,CD64,CD35,CD58,CD11a,integrin,CD54,CD41,CD29,CD49b,CD38,CD71,CD36,CD49d,CD305,CLEC12A,Ig-light-chain-2,CD85j,Ig-light-chain-1,CD328,CD82,CD101,CD137L,CD155,CD112,TIGIT,CD326,CD31,HLA-DR,CD35,CD278,CD370,CD54,CD163,CD28,CD38,CD204,CD209,CD158f,TCR-Vb13,CD101,DR3
progressive,-0.364545372634672,0.107212316077213,0.0777623880899953,-0.112881610068911,0.0400587868351238,0.157400539149689,0.164414262521508,-0.319808391937113,-0.380494209055255,-0.0556201054220498,-0.043813331746431,-0.151222275856147,0.19116540046695,-0.0982100840198538,-0.169907140490291,-0.179930283433127,-0.0983069690456249,-0.253004773788304,-0.284316837191753,0.134766181608807,0.0484711465410202,-0.354983218548708,0.09086305597253,0.0900079592954842,-0.0121616505257505,-0.0306273662017548,-0.107482253758671,-0.108016054707623,0.0220061664995161,-0.0597662969200724,-0.069291773910998,-0.0829348695299309,-0.0455923721337838,-0.0039009298104396,0.0409729416437001,0.0671502925423774,0.138043982655774,-0.0324082222603269,-0.174448417825833,-0.226657371507369,-0.0300013301722775,0.0744074141175334,0.0338800425104573,0.135776582904661,-0.0715368118758107,-0.0247354293533277,0.0227332898945687,0.0308424257954266
progressive,-0.0462836031540276,-0.279875567605757,-0.0160528946035577,-0.213354374181879,-0.28345223190212,-0.113914166961382,-0.0672716325693591,0.0025401461114363,-0.0234306881250728,-0.208564957122301,-0.143700330209774,-0.101738329928407,-0.0782031239739959,-0.352107366545553,-0.289562040232953,-0.127308698309582,0.0301599319352758,-0.519410555947489,-0.114620413635259,-0.198812771092955,-0.195139244519031,-0.109920780415207,-0.301858523456029,-0.233946088131184,-0.337068584831044,-0.115814479340862,-0.122643179079497,-0.0725789201776512,0.011530819158906,-0.0262508519496142,-0.0311723306279827,0.0275733370942212,0.0011883086029947,0.106169569890494,0.306011066240614,-0.352249903509299,-0.007379669562904,0.0455463797442787,0.450904520533224,0.127246698444766,-0.0235582957934464,-0.280991470343747,0.0337665352842181,0.0072699114799364,0.0414309553033863,-0.0191017522419758,-0.0360000886164255,0.0257580374539317
progressive,0.624613075950973,0.418779376073725,0.192033339175268,0.145296287731054,0.527712741580982,0.453724984713786,0.163651145978548,0.500932763842267,0.468609008991572,0.478047730020823,0.409334269987366,0.183046686201027,0.307178266357312,0.419111330389607,0.482443536304389,0.392578761583807,0.458409474752483,0.357094949256093,0.539364015657842,0.181408396808706,0.534196648921639,0.474404311440227,0.509556584571131,0.35091262332913,0.484087774505636,0.389444701072808,0.466934033447099,0.453396710090549,0.16071654218051,0.0344184117615272,0.147891464684833,0.18106659776654,0.152424118684803,-0.0276379388100305,0.290073255286161,-0.333271428239615,0.139635629417707,0.102153955837852,-0.0559174827244534,0.109915409147588,0.108391435944581,0.130745572742583,0.168760870634531,0.212472684763806,0.143575198953142,0.140620690980244,0.0925480231681997,0.0843876187214677
progressive,-0.219145660047554,-0.286539177256598,-0.155148287375005,-0.177160785993139,-0.303586822038854,-0.268533642844753,-0.226250968278571,-0.233657789519941,-0.301255408536904,-0.253139280490778,-0.293303217342914,-0.0948792526873782,-0.189974827159105,-0.271575682509993,-0.278662176656661,-0.179502097908521,-0.0100342493075927,0.0312344026973346,-0.189491678268299,-0.232542944141139,-0.145979558628048,-0.248401026192378,-0.282246539267013,-0.272425917152925,-0.258757926580454,-0.171105938003631,-0.256411736010948,-0.342753438992851,0.283573858843451,0.493146599837661,-0.077849977643741,0.100851040232797,0.218199512216815,0.191150265530274,0.0044060514662074,0.501429474732987,0.197668098546703,0.195684366349817,0.172515730006274,-0.0297089602141405,0.169100512805202,0.0981322462689847,0.0822048346546278,0.0463963045062706,0.172251731858341,0.152751713578181,0.304742386137716,0.210369419573049
progressive,-0.0056774004432778,-0.178487732071464,-0.307856872659834,-0.0035075666920552,-0.068319905760979,0.067259248745109,-0.145615090296624,-0.313323340066379,-0.284218509535906,-0.253708168316385,-0.261091208045415,-0.295752199119652,-0.133787552041791,0.136096522873824,-0.0399681099741505,0.0182091435011175,0.0101339288925297,-0.0392564975629719,0.065282513123697,-0.170873848955714,-0.244208852067338,-0.244852996323366,-0.276929671301022,-0.103449067044714,-0.272902396873201,-0.256569741782334,-0.230179261785011,-0.049621318337156,0.0101634879874499,-0.0043491787072181,0.115260366649836,0.000818379087496,0.335313198846976,0.155801069729008,0.291872075685167,0.0967988572247414,-0.0594426615804237,0.0392112736017912,0.208066888818012,0.124967060347131,0.07401048734333,-0.0715310208373771,0.198423694599612,0.00020780257534,0.139241981289252,0.173862894566803,0.0585079519524024,0.115962921851571
stable,-0.318668399179176,-0.529355413710377,-0.209349980779204,-0.502581405603003,-0.321416834766858,-0.419795544479414,-0.655169395438576,-0.293701902889805,-0.123212992709425,-0.411885635247299,-0.521807537315054,-0.2550286757097,-0.576759857984334,-0.412111377062186,-0.555534223281691,-0.370962668847275,-0.292539730727905,-0.268615948367495,-0.353371284473781,-0.515379020186519,-0.434135226866345,-0.467536407681489,-0.372563517053401,-0.439324730678781,-0.302524637773682,-0.478825805568188,-0.340487180218392,-0.460694383871409,-0.0620181397899433,0.142208506264378,0.0193916914515895,0.060281470907573,-0.0077303526492224,0.115331576587868,0.134826943583054,-0.0726662645353976,0.0084961222431986,-0.0161409066449606,0.0638649547708368,0.132021930766472,0.0497805615047894,-0.0312851320205235,-0.137198068772025,0.0119020450886527,-0.0615487335592348,-0.0136527878992873,0.0507802414765717,0.0536919626120785
stable,-0.115594918182456,-0.462444185310176,-0.27655973690843,-0.404318686137228,-0.177076610853163,-0.32510067661498,-0.630904407347522,-0.140324049672845,0.0680706981496273,-0.348657908106248,-0.448291049376978,-0.11714478531403,-0.424003078495149,-0.221872610221841,-0.40319315480671,-0.207736789248795,-0.1160800795846,-0.0665203696710802,-0.074549650831915,-0.413047029404484,-0.359772135835654,-0.284004659695586,-0.146389232783941,-0.370181757422592,-0.155086584194329,-0.331168709961001,-0.247935892871819,-0.374454633788133,0.233926252567447,-0.0578518937962719,0.0445184532109313,0.105025933572754,0.193918422000181,0.176537196854068,0.629690605467114,-0.247486652299165,0.0587025407117054,0.0415363466102407,0.377658867231456,0.1424495636419,0.0863646849946933,0.0406048802466127,0.203606935122987,0.134614753866465,0.180692890256858,0.14471348375872,0.215922114318334,0.223010548513384
stable,-0.105211952072265,-0.264071610532616,-0.114957966058034,-0.365248723666535,0.0389535097511083,-0.124631887803112,-0.485859596237745,-0.247187147230415,0.142327926385542,-0.0715249182203504,-0.14949723249309,-0.0625398369184476,-0.294743781202256,-0.00576458464129,-0.127632642909872,-0.0705277431604206,-0.115831403320716,0.20621469102124,0.0584147837619207,-0.276585503498509,-0.180656702220707,-0.0957544618555913,-0.205737592437497,-0.315448402512256,-0.194725825701822,-0.173192364238879,0.0038449670948695,-0.0743785559872506,0.0009934503229593,-0.255977691629926,0.002272488751061,0.0637154707681947,0.124285148976991,-0.357373321969752,0.371956066631047,-0.451019082602864,-0.0021849640518816,-0.0673333121682534,0.205734182829252,0.0064746702499492,0.0861442280573347,-0.145335270838097,0.0039327114176909,-0.11463708065635,-0.0854700691734939,0.0418283841444532,-0.147593766340458,-0.0592371616017567
stable,-0.259091493604306,-0.427464975785304,-0.245003338558001,-0.326770706554863,-0.360250180313784,-0.262810842397218,-0.638712185451092,-0.149518512378008,0.11802980270816,-0.343792358293196,-0.361842829456856,-0.229470098616366,-0.456157387167603,-0.297334081232707,-0.392363442327674,-0.27634075612819,-0.259312182348092,-0.170859865727682,-0.248098101925777,-0.403830441227457,-0.504557548741518,-0.110608104031514,-0.376640763803858,-0.473708690758537,-0.400512393355451,-0.239851178229485,-0.234137874806979,-0.241470781344508,0.0119184104407153,-0.284000802526041,-0.016074634675442,-0.0289776041656312,-0.0035781927987371,-0.193250178593712,0.359411495957079,-0.557047709307897,0.139797106794424,0.12178747716003,0.145737995798799,0.140884417664259,0.0313265205300114,-0.0983005434867093,-0.0272582406142864,0.0364919935361426,-0.0574409237930205,-0.0758485445607336,-0.0647252518924785,-0.0096693254850542
stable,0.0845046446577461,-0.295109272480347,-0.176778949446329,-0.382325167907103,0.180851947288478,-0.193488438851262,-0.649576076512769,0.235753120365552,0.460773276225397,-0.0427645010481083,-0.251330284051673,-0.213847010128404,-0.512796020970527,-0.0444724822613616,-0.105660584930501,-0.0492577226320879,0.100115990845382,0.556979604313806,0.155446159830763,-0.404696742051107,-0.119192482491638,0.345606865620669,0.0435521250152556,-0.236650505083691,0.0640975382909104,-0.118180219342186,-0.008337227056537,-0.0995863304120855,-0.251350413711072,0.302766395014147,-0.0626912736047071,-0.184387867047645,-0.0936546638987022,0.207158594207808,-0.481021631828972,0.346879344894747,-0.144845561963651,-0.133468026812077,-0.354109686309194,-0.135184681239222,-0.131027231838247,0.0799888901570987,-0.272704292824134,-0.100813734788252,-0.250944306434282,-0.179488105529714,-0.0890095062665874,-0.205901566953142
