group,CD49f,CD279,CD31,HLA-DR,CD1c,CD64,CD35,CD57,CD24,IgA,CD79b,CD169,CD54,CD62P,CD41,CD357,CD309,CD226,CD29,CD49b,CD81,CD71,CD36,CD49d,CLEC12A,Mac-2,CD23,CD82,CD88,NLRP2,CD224
progressive,-0.0564327859972782,0.131425615899654,-0.23750127993103,0.315865334466478,0.10112687285323,-0.300882581063921,-0.615461040727045,0.0299854701364913,0.19682262160755,0.0901932828142495,0.0464336021423734,-0.198846873797664,0.0944565660808434,-0.178831377616642,-0.245607485101591,0.130486297570408,0.0476033829480305,-0.0371632848334818,-0.186330883514612,-0.059525062539137,0.232959360342974,-0.31573219229944,-0.402619588677434,0.232561168637565,-0.394715924827014,0.210786227933085,0.140967128176764,-0.0537180266098753,0.189446932529991,0.122764819007598,-0.179274757742519
progressive,0.0581100408745545,0.034614983365586,0.193145820125968,0.380191730133814,0.0974228001342826,0.105025354527984,-0.325856536160085,-0.0087291806864855,0.0977518947461214,0.0769486069842727,0.0751884386514691,0.0826789035208316,0.423208567498884,0.186400425654488,0.128525375000426,0.039185549762049,0.0682565165905557,0.161672703269162,0.115962242467107,0.152093061326202,0.0923232295240793,0.0409167466650117,-0.143343468547806,0.415867122374109,0.0370159773569844,0.108225484249894,-0.0180199023232274,0.0113537752568985,0.190848500244746,0.0922164654713947,-0.167051217386309
progressive,-0.482215907714095,-0.320745117645975,-0.402054658821128,0.161548783035069,-0.0965024683315367,-0.200060488819517,-0.597347439875197,-0.198344949202694,-0.292935497508001,-0.385253630919862,-0.27814109455539,-0.221337143262652,-0.083132213812901,-0.450593347437188,-0.494860267492487,-0.246941276918894,-0.167106486401841,-0.436946275065442,-0.440022947318316,-0.400526575473545,-0.114133172030902,-0.315589187671383,-0.44284520913302,0.0161387175119902,-0.409168923462888,-0.272956750988923,-0.214952347794109,-0.438225642982002,-0.23071675703127,-0.22373725814462,-0.411421195281084
progressive,0.195630600390638,-0.141186384645687,0.123140718772676,0.0396454436432242,-0.0734886208953967,0.217267880805789,-0.10222671443908,-0.403994335362942,0.109157577273934,-0.0735660115511449,-0.0899022141720155,0.104433449094047,-0.0609308956449982,-0.0550591273403813,0.258449983094555,-0.162282360096923,-0.231468856083685,-0.152616823596996,0.0699214312618702,-0.044860834531314,-0.0216869325414476,0.197686722776976,0.102105834544123,0.0406415573364343,-0.0038145480778848,-0.135781505881203,-0.0674092749194874,-0.150897052287854,-0.06961914449554,-0.233148698148066,-0.0958352154432786
progressive,-0.18515087024028,-0.255685620096079,0.151709796531843,-0.0997592143781795,-0.218813731597144,-0.0197998837937146,0.0346429699188322,-0.142169041244957,-0.188038820104362,-0.109247269922738,-0.1747024735797,-0.068259341497186,0.206688778821844,-0.002464520939706,0.107319570368419,-0.0477033908091705,-0.205860523251256,-0.192145711429613,0.0448116527828698,-0.0318254175825142,-0.100824069104974,0.0920435793199841,0.0650674667192146,-0.0551526005909789,-0.0129279412659888,-0.054341171489443,-0.201566174873885,-0.0187977292104159,-0.0365328879476692,-0.0342514034263674,-0.303083101757636
stable,0.0281055267232876,-0.0740648521614504,0.0017595046893973,0.288250426776801,-0.112107079212958,0.0528015054187646,-0.366620706212933,0.0166994747082201,-0.0869402688598463,-0.0044620741548035,-0.131189011178142,0.0143487681804545,0.304130737911475,0.0083218528140208,0.0456430745194845,-0.0369394688988957,-0.0728461578955644,-0.0191582892740637,0.105023975502781,-0.0247095096873071,0.0317310555477028,-0.115764739736785,0.113377356721604,0.198344135482941,0.0637636355749157,-0.0372866744399135,-0.0043624974592917,-0.0881067501898225,-0.0051788117693687,-0.0891048206462283,0.0083236614320606
stable,0.130547152544064,0.0610995664217451,-0.0553978177070928,0.457128265965248,0.0213542100293679,-0.216800687248124,-0.505570860624232,0.0571296690577512,0.0977792398080162,0.0204651148006684,-0.0027530972131109,0.080960061430181,0.109992952105239,0.0435138730464275,-0.0729290124521589,-0.0280785479337243,0.0718708202357188,0.109606039295292,0.0468520439443059,0.0541521477993904,0.121472291858146,-0.0065351736469876,-0.264330568743037,0.28782458908746,0.0210427665232364,0.10882546425277,-0.0815567878977734,-0.02379711147803,0.0547467118260411,0.069158746365393,0.0013170616408352
stable,-0.0299871497242184,-0.0141376743014689,-0.121492528843261,0.26599654285186,0.0856056064629163,-0.0607205454964101,-0.514070733828921,0.0756774063201664,-0.11971281434812,0.023697398409037,0.0284472879765616,0.0421799771395925,0.137962265040556,-0.101571070549723,-0.0792331887227326,0.0627359936053444,-0.0478500574193375,-0.0176394022090349,0.0107407043158082,-0.0841182254394138,0.171874068030478,0.127496626744185,-0.205298276950997,0.229135476185365,-0.0514282684139501,0.0558834353978202,-0.0023865285920704,-0.162465400531418,-0.0195059473931491,-0.0029669796218959,-0.0838773573320045
stable,-0.0824877492136679,0.041899517561147,0.065573854620942,0.454663743383145,0.207247528735274,-0.13370202518439,-0.341153796223151,0.036461408723156,0.127383961696802,0.112887712326901,0.0936738305789798,0.0116696548165618,0.286064913677927,-0.123123852679852,-0.10622344529005,0.0702406091470107,0.0780139846822922,0.0058532029019706,0.0141990571710257,-0.051792412485508,0.0981942256714823,-0.0283767223490957,-0.0483175973116478,0.284229943912205,-0.18713171249397,0.0638798122499554,0.0604554792255127,-0.0658404845001018,0.191961547890032,0.0133011209664305,-0.0227230119802605
stable,0.109963690312593,0.128412668847978,-0.226979188409183,0.579249659954775,0.0866613930090341,-0.336604337395334,-0.596425882988939,0.0828574936661374,0.0536720540578485,0.0475464884563095,0.0770484756140485,-0.203722008126518,0.430523406404227,0.0522742240337509,0.103427110420295,0.0442905211791252,0.0695170107835767,0.120474964017124,0.0687229465254013,0.127999642179232,0.0403061857993341,-0.601000027310267,-0.164724257013881,0.309402468965893,-0.479660615125562,0.0253061206142547,0.0734191114155203,-0.0625169276337639,0.215663819750854,0.0485302666970824,-0.0846996856120988
stable,0.0627030563715893,0.0406828006440746,0.219131040417443,0.521313168446061,0.0971411874466207,-0.211771773265568,-0.365544670412754,0.0581697322525905,0.0470215393190845,0.261168430383351,0.0098799368513922,-0.0419172629191722,0.311302853125543,0.111981334260446,0.114219475889367,0.0648080921691856,0.330017673150198,0.133456095133231,0.284088763333089,0.0752163721376582,0.167550541625773,-0.034934070650748,-0.213270924847162,0.433815720786913,-0.331348403824529,-0.0437158158676486,0.106950305558411,-0.0811686043799472,0.168467907220314,0.14228479627362,-0.106008045084997
