group,CD275,CD137L,CD30,CD33,HLA,CD10,CD4,CD16,CD335,CD31,Podoplanin,TCR,CD32,CD103,HLA-DR,CD64,CD1d,CD35,CD11a,IgA,XCR1,CD54,CD41,CD98,TSLPR,CD22,CD144,CD49d,CD305,CD158f,CD319,CD150,Ig-light-chain-2,Mac-2,CD85j,TCR-Vb13,CD88
progressive,0.142862495061543,0.160921329014442,-0.0981858096197648,0.421413818674582,-0.029106043616755,0.0672686862594724,0.129558658274041,-0.242149360464041,-0.032444419632983,0.0320325082403783,0.111569946017907,0.0950315777275889,-0.104601520704536,-0.150403357430903,-0.151490755181429,0.574805997953761,-0.0015346589986819,0.572013946453299,-0.0008351032765716,-0.0155326291545346,0.123948544404691,-0.219625881778911,0.0474759959811813,0.227745028662744,-0.0599373955289692,-0.0313958819142267,-0.0427220065545137,-0.121541307658236,0.0400609298720558,-0.0537398489213407,-0.0919619074888069,0.0827263453019638,0.158796575741191,-0.200256837444555,-0.0048973176624133,0.0346929069122519,-0.133626571589952
progressive,-0.0962178912863633,-0.299378429743248,-0.280336682521284,-0.215645406341726,0.0432877349531555,-0.16195386570232,-0.0975799360786834,0.0438005911428767,-0.12198336404149,-0.0880514344219169,-0.239933860833299,-0.310649210342319,-0.049659759216126,-0.182881350275927,-0.0243588890176063,0.0259384922115653,-0.315365554449391,-0.279770057506397,-0.142114947539053,-0.271594946698641,-0.212822175442471,0.131193893547671,-0.120361179970731,-0.079672798939281,-0.0272475633794282,-0.0418994303908519,-0.284584045915683,0.0182319446566164,-0.0899588748380597,-0.331660738000439,-0.289676629989906,-0.2716287276917,-0.205843911285178,-0.276409485267193,-0.212626244598014,-0.302653593880121,-0.207466245180029
progressive,-0.0781680859194777,-0.122852400757011,-0.17684019735128,-0.0698657575840892,-0.357058453622859,-0.156837864226211,-0.453201733640644,-0.314101367782867,-0.0443672494144128,-0.078316717332791,-0.147804127649011,-0.160847022713632,-0.609736307557165,-0.114640558244687,-0.669085798264961,-0.165230300381378,-0.172298819407509,0.104103525238666,-0.255107054690232,-0.22514658110728,-0.169731580398121,-0.519267617014508,-0.0034378147459545,-0.208895803666668,0.0097652462012054,-0.0147482668583396,-0.219029119677739,-0.274513438026548,-0.187519677822322,-0.155920466273818,-0.195691373032853,-0.165172229228084,-0.231889543315882,-0.168006962383797,-0.428051769273642,-0.15014505801156,-0.445621570756375
progressive,-0.0986266782720927,-0.183564423446741,-0.10350393010405,-0.174892622450134,-0.12535243217757,-0.19251090338464,-0.225141455313092,-0.210151107695729,-0.0973815279882923,-0.220831423430717,-0.163678861071192,-0.181358907447258,-0.215814301125981,-0.141219797277958,-0.191512161273252,-0.214382715056934,-0.277289846724832,-0.162480501749842,-0.125468874043582,-0.186553986245867,-0.184579749549568,-0.190281601992798,-0.187494526907528,-0.423285318143041,-0.459978109263356,-0.390755207149277,-0.193763950279079,-0.236376541540616,-0.22507193594054,-0.14038852284811,-0.289041661578175,-0.170903685510704,-0.182115339136329,-0.225227459955041,-0.214080509536972,-0.23717236152451,-0.226915025930757
progressive,-0.0505751333210845,0.0204417058899002,-0.0263504108394868,0.0607303810483027,-0.0573738863545591,0.2588502900447,-0.0400046790186342,0.127845533633624,0.114948449296521,-0.0587115526377248,-0.0423796393265973,0.126840294725142,0.0445370213432371,0.206714633089068,-0.0958087859421051,-0.0060950757025036,-0.0058350452496501,0.0864296672547375,-0.0426760942123437,-0.0127084042310384,-0.0043355786370593,-0.186124051206612,-0.0732648006360988,0.153598865346944,0.0050999568696497,0.164615566529539,0.122307004216566,-0.11741274658398,0.105116036026574,0.0900810126760155,-0.0315188915745065,0.125682303467876,-0.0718544766116812,0.126569545909556,-0.125978536920543,0.0876628939449484,-0.0088419777445499
stable,-0.167409867238338,-0.2007626658143,-0.252277151112807,-0.384625265454184,-0.265481421336521,-0.135907008285865,-0.0251145674233791,-0.150673078930071,-0.197363875758786,-0.411869514410262,-0.290607893965147,-0.207504432460401,-0.30322307916959,-0.212947191075456,-0.152482295389651,-0.280199958972618,-0.299293848361147,-0.464204489569526,-0.302285903431851,-0.199666563313492,-0.24474363392122,-0.276703544883701,-0.471014057109939,0.0083471116132614,0.0371776026982416,-0.0164603252076757,-0.238892071782723,-0.217072033700068,-0.192846033294367,-0.275445998444304,-0.200198027298225,-0.22410366705851,-0.369579441337262,-0.250235513802675,-0.330130159785806,-0.26776538916098,-0.289930780410334
stable,-0.0107342772796719,-0.044247030420477,-0.0510402267450394,0.256579849277354,-0.128073145079709,-0.0278714464289904,-0.168841825876828,-0.0820462246159114,0.104005003939902,0.0310519210503888,0.036067316140955,-0.0237580773104338,-0.100338466521304,0.09704375171436,-0.399582841156943,0.32665538197462,0.0684093000508214,0.455683556379812,-0.114636829760654,-0.0353065303334405,0.0130281397157321,-0.227331472701864,-0.0228229096914736,-0.0501443835940777,0.104203595713516,-0.138570712412577,-0.0212807230463639,-0.296180188241134,-0.0503944443900233,0.0263102576151862,0.0685123317371318,-0.0102096692222952,0.147878763560748,-0.0261100960010807,-0.0712374907671649,0.0383449132044175,-0.0250982916612275
stable,-0.0834286016231443,-0.217411243945702,-0.144688680565845,-0.202042471753831,-0.532542338364236,-0.134638629034981,-0.503316098307919,-0.284167898726922,-0.104581339489402,-0.267456266248264,-0.144875401225492,-0.140496387432004,-0.147972442683265,-0.0963191377778809,-0.582886481866198,-0.307875076240756,-0.326528951824343,0.234109837926262,-0.273141317054807,-0.224118998080091,-0.175359998506486,-0.467763008477924,-0.365618542175726,-0.28467638062732,-0.091208498079715,-0.115726988054752,-0.204646218348536,-0.571513396341534,-0.408036680413477,-0.169927248913652,-0.255914159519939,-0.199558697427184,-0.423900319923254,-0.180661761931546,-0.492821256077188,-0.155859525436548,-0.141424484771151
stable,-0.105070454216735,-0.138653169278088,-0.198824150471123,-0.203175982475492,-0.264568889068023,-0.14490009113324,-0.348187652927371,-0.259859165178042,-0.0419699545658652,-0.288144573187789,-0.22057660297772,-0.152128824713706,-0.465459369000844,-0.058827509193031,-0.673943027238351,-0.131687674116301,-0.208439095543204,0.0436048410163613,-0.417878007150574,-0.181518989007182,-0.0830209250932789,-0.66155100395992,-0.185550689242483,-0.0929006785181757,-0.0186676873710106,0.0288155055712445,-0.165237075994462,-0.446396362119803,-0.407146775482897,-0.134307270890285,-0.149756344389891,-0.0884710134550116,-0.283003510977364,-0.130883649883077,-0.388316805740154,-0.1608729405918,-0.299579827457833
stable,-0.092705914127189,-0.0982507338580777,-0.0404580665080624,-0.0791716913317462,-0.0515417199505628,-0.0871342805327649,-0.33045526709729,-0.0782803109622471,-0.0033029960576127,0.073542610424676,-0.0506873372913347,-0.0997566030145205,-0.164428600471027,0.0079392958969201,-0.481886228570129,0.0735920768712195,-0.0539676171178494,0.280853196256343,-0.298941598881335,-0.0703160347608445,-0.0461298392395925,-0.44882957026494,0.135852578302293,-0.106468299938607,-0.088065032930625,-0.0323152604909711,-0.0755262431130181,-0.406376364078371,-0.242969671051415,-0.050644492024383,-0.10589210263354,-0.109521968977615,-0.0594920117780463,0.0059490346769871,-0.153541608223739,-0.0816837307731243,-0.150376900572398
stable,-0.12237088096229,0.0069595854746842,-0.0626457131744917,0.191970405479135,-0.164975093527295,-0.0836627267088846,-0.111979629828127,-0.107785955888478,-0.041503934448739,-0.201275712000561,0.0216854797371852,0.0472805489254891,-0.124710983641945,-0.166605533097837,-0.514577352388792,0.238062373325111,-0.005190691454614,0.432906860396601,-0.38878617364137,-0.119116768575113,0.0812289130613486,-0.318384800843134,-0.0747814216813369,0.0220065137762611,-0.188251438174434,-0.282075580078698,-0.0694221560843031,-0.370119625681634,-0.230734883960009,-0.0370146389635323,-0.0955204811567115,0.0214614878423269,0.106075820204614,-0.0019898297555411,-0.221670253830117,0.0009098584403545,-0.172884303961983
stable,0.400622699155284,0.428398555252633,0.424293164948356,0.131587618911211,-0.0077819390789138,0.117632983345631,0.0772445446756809,-0.069166075729696,0.0270298881539102,-0.318404172223982,0.404537171803658,0.49140684811599,0.122209752117895,0.210947294615705,-0.101169231985009,0.168460902519905,0.43676384318653,0.20352264200304,-0.275746024257239,0.487506111304121,0.419103305273959,-0.0821856426652392,0.0790316387345661,-0.0329452733111395,0.217421618669238,-0.0148377725601191,0.414678907306326,-0.457264026513663,-0.224016886135032,0.431972164712661,0.439832983847063,0.434389850116351,0.385360731443441,0.522278756083339,0.192247609364054,0.409261302214233,0.133402680566314
