group,CD154,CD33,HLA,CD117,CD4,CD14,CD16,CD335,CD324,CD32,HLA-DR,CD64,CD141,CD66b,CD35,IgA,CD79b,CD66,CD169,CD54,CD41,CD2,CD18,CD71,CD36,CD49d,CLEC12A,CD85j,Ig-light-chain-1,CD88,DR3
progressive,0.0712136919426137,-0.498206302889411,-0.0594583586978432,0.13115297873296,-0.0152983415172663,-0.119240195292785,0.271353733608957,0.161536798923681,0.0335069275735419,0.0181280339827758,0.155882366682868,-0.57329352516053,-0.0718600815699937,0.0096584001849784,-0.560471462279757,0.0351212564265737,0.002999331200281,0.0922710845454458,-0.382473206131676,-0.0412211334109883,-0.0657213115031325,-0.0098220013313631,-0.300856924982653,-0.299751273749243,-0.370735128381215,0.0954369607844321,-0.356923484788089,-0.0509149894069453,-0.257376608419348,0.143671603523266,-0.116856764743519
progressive,0.0671324263692966,-0.251216399450153,0.264938111222208,-0.0217174949449884,0.196108796381589,0.184305853237821,0.212577093261484,0.0601311818691423,0.0168068392251749,0.339803243303693,0.295025638143386,0.158729657544498,0.130538800674504,0.0539009940012706,-0.316018138306043,0.082087266511127,0.0434727388783285,0.0430345107888759,0.0220966828735821,0.519866409301972,0.422683825762481,0.0045333597774242,0.104786683260074,0.0388714838437896,-0.0748897543226674,0.327921679523241,0.0081680736859606,0.229904781121991,0.109859213662279,0.188457710738215,-0.0050741220972123
progressive,-0.0802063508931499,-0.1542806781307,-0.370595373215354,-0.125050820867243,-0.40828430058982,-0.371887251199055,-0.299915077216617,-0.0634640102133178,-0.0149960848312701,-0.632211518878321,-0.656764351495,-0.210897250808773,-0.315636498577478,-0.185896518674441,0.0004012329273133,-0.252460850433751,-0.164816756049176,-0.0895879779749889,-0.117915289664269,-0.557007046755426,-0.0580896960969454,-0.004972296102026,-0.133249229034661,0.346538877035454,-0.142705926595387,-0.244553260237202,-0.0370571767162813,-0.430219254923765,-0.224021981173987,-0.469421767336238,-0.19136372207622
progressive,-0.174769153802249,0.0060068323733582,-0.0408819710254172,0.121540753552614,0.157224996534909,0.185794036489571,0.470818744937972,0.0133399986383013,0.0103879111663883,0.291873714259429,-0.160980975575991,-0.136672875145287,0.0656971244824706,0.501640426806357,0.248437521186884,0.0380731627110414,0.103068660831553,0.388581438329622,-0.500699888719351,-0.0363753747657057,-0.0667606450336395,0.229765706277905,0.0445042771039096,-0.461161980398353,0.0535280598118347,0.0165549925434952,0.240118136335316,-0.110817933846829,-0.0686241015474863,0.128310829827208,0.020833937660225
progressive,-0.145209536357831,0.107937866824742,-0.0796967372561638,0.108032645402912,-0.189889089958934,-0.184812967775545,0.0931666088373472,-0.0003528039485903,0.0045411872841111,-0.0977743164040979,0.0366276433932514,0.156345779066548,-0.0056729606127545,0.103302603200856,0.0105271966743088,-0.159919021493219,-0.260370188627773,-0.12085894856513,-0.103850571300545,0.0780730993518797,-0.108339553023508,0.0220310322177268,-0.0201937074518381,0.216930385883696,-0.0389034875071918,-0.110162887629858,-0.0152181691017474,-0.0502547049019065,-0.128476533789611,-0.0401502401647339,-0.0320857310178996
stable,-0.161540712179749,-0.0066621810610451,-0.216808137591397,-0.0215176608736927,-0.0590993531067524,-0.036728750687004,-0.152530754669452,-0.100123951478811,-0.0746766715937448,-0.0267132329246191,-0.0513332266962806,-0.0878222818761625,-0.0058151670557164,-0.034626433330611,-0.049619013404037,-0.0338304382403256,-0.0318575106386437,-0.0280552309454359,-0.0967999629143414,-0.129315954754519,-0.214491288650781,-0.0714604772594355,-0.0393979855195491,-0.119405128580295,-0.180747403260143,-0.180281752128101,-0.206827690647063,-0.0778950253486231,-0.0618692254222823,0.0152883992851559,-0.097622644644186
stable,-0.0055947297019222,-0.0976924584101763,-0.0360490815423583,0.154704672143458,-0.0641949498678253,-0.103957642220093,0.0788469280260441,0.0102880767611907,0.0416960616021285,-0.0568581495802815,-0.221985105428766,0.0780616332723463,-0.0049043614276278,0.141077406337563,0.0474178634436482,0.106170037951562,-0.0118859350819596,0.0162668689043678,0.034563522181216,-0.154623611039347,-0.208756933423828,-0.0592523566460231,-0.075414559599716,0.11432399111943,-0.0400375294348718,-0.0612468917769627,0.125366498372176,-0.0581800159289844,0.0484022108780743,-0.0030968078405672,-0.0067391761870877
stable,0.0117192208746172,-0.227415401511062,-0.130912289881847,-0.175248630444741,-0.213384035365616,-0.258457843043154,-0.172305577787877,-0.232902621247243,0.0138154453387147,-0.458006789338708,-0.251121436714394,-0.2308452090543,-0.134707618085078,-0.133638212775311,-0.220942642239867,-0.173343061165907,-0.218177961418893,-0.0661377074557326,-0.183741015193694,-0.334043054679031,-0.401375208688714,0.0986646344918643,-0.377270544662833,0.148278843844965,-0.1746808680919,-0.0974635150299762,-0.198456426133134,-0.257898451177023,-0.208295917133555,-0.265513424338062,-0.195343992835363
stable,-0.121600289745344,-0.0696365498000151,-0.266308089035004,-0.139109017701169,-0.334870721706001,-0.0530705788169122,-0.196349317100181,-0.0661021592555919,-0.035913690433471,-0.317021071090297,-0.591110231796879,-0.138959424436431,-0.367008639539854,-0.115917765647256,0.302528129336935,-0.172433163175006,-0.172437869087811,-0.0716067409113309,-0.176993454226119,-0.522097732949763,-0.132369960868686,-0.239813375965799,-0.0180930741270188,-0.0409128325781204,-0.007833527215281,-0.397200882417778,-0.113507262662799,-0.400818401739816,-0.167777627485621,-0.256423701123995,-0.173334025575576
stable,-0.0200691516098053,0.0020629346640169,0.201389743223447,0.172073425045707,0.405325417358995,-0.0721605090433403,0.102633362690971,0.0833420575194072,0.0615885493083681,0.30654648481085,0.645624917527945,-0.159048908203129,0.208411808302298,0.0706040484334929,-0.401469065528799,0.0711317330414394,0.0972296338297495,0.255454648589852,-0.0891688881173742,0.539780257484693,0.0520643565866398,0.135553509296791,0.163639976369362,-0.416001662118499,-0.0420656567485167,0.391828663137701,-0.219384278440213,0.278671603887093,-0.0463429476359985,0.2361055869423,0.143638332555867
stable,0.425143374943305,0.0156382863125694,-0.114839030728658,0.0468112259868129,-0.0374776376589565,0.21891264978469,0.413297022645633,0.223298463885264,0.0302523401517496,0.0650399682502513,0.170549377069607,0.0322575953401782,0.249986129727989,0.34080593892754,0.113710789314692,0.360257741644702,0.0182170049188418,0.105753019116503,-0.0410765715453269,0.126007418435685,0.263838029275643,-0.361429789677599,0.13039385495794,-0.204812582355049,-0.079696395895534,0.160278175309421,0.103962166912891,0.154474949955974,0.358853737302942,0.107997600993774,0.052841944619625
