group,CD274,CD10,CD16,CD279,CD326,CD32,CD62L,CD27,HLA-DR,CD66b,CD35,CD11a,CD244,CD169,CD54,CD106,CD184,CD29,CD18,CD38,CD15,CD71,CD158,CD207,CD49d,CD305,CD158b,CLEC12A,CD94,Ig-light-chain-2,CD85j,CD328,CD88
progressive,0.387981503403431,0.177130937526173,0.152468558240676,-0.00984355218297,0.234962859343471,0.0251185830349574,0.0328691251790209,-0.361108731831025,-0.0694324360573953,0.389315937012525,0.20074057090876,-0.0539923858577135,0.142254558091794,0.0391271857547593,-0.209672308945974,0.0318475983562259,0.216080559961136,-0.0681417612062332,0.116992891068988,0.0227481700763622,0.362410882713964,0.222186319197911,0.0420335744790299,0.113573982329641,0.0665162670723346,-0.0073589395853438,-0.132184859086419,0.121243619853385,0.119763201296261,0.241233717807481,0.124197029105397,0.0537412403720913,0.0787870165202037
progressive,-0.0259279279412638,-0.169721097783017,-0.189574343919116,-0.0269323554348192,-0.172962355107744,-0.226644713093599,-0.167984976778536,-0.097929392284141,-0.216356952521482,-0.0811210174258238,0.085600009530449,-0.287944714066534,-0.0723099807669662,-0.147576627730302,-0.428475707927498,-0.0258971443977174,-0.0600909824305697,-0.207898920510949,0.0015114854786215,-0.0240303780691586,0.0051906735047758,-0.238333335161336,0.0199416452892273,-0.0747737472368627,-0.203291014926767,-0.293855380614796,-0.161573211162244,-0.164643527151305,-0.116038697683222,-0.159819906685744,-0.214341043866256,-0.0954365004522422,-0.222852458882201
progressive,-0.0441030360432147,-0.229737844849643,-0.321864771705185,-0.11043503533827,-0.0128377801631105,-0.411667965271851,-0.0827169472963275,-0.0404612306834428,-0.304249075958365,-0.362516859340137,-0.316696803742199,-0.256284347928189,-0.226657593738902,-0.239617818161446,-0.361151886547993,-0.12274872561945,-0.163028453164703,-0.17760613222412,-0.344582983000817,-0.0898564886434392,-0.227759958120443,0.105390596335879,-0.0391960391296408,-0.0839575871405464,-0.0740026966858552,-0.276577486393275,-0.0503082595621353,-0.187457591519828,-0.141539591478337,-0.334082492721025,-0.301316638947009,-0.25266459200648,-0.390747421856339
progressive,-0.0656611198494037,0.0406868554817722,0.0896022457037193,-0.139279681678442,-0.181142762561835,0.0889238609440783,-0.361282835579482,0.0401809809277044,-0.134431922370705,0.0774134234111072,-0.0751120592153399,-0.025918812679718,-0.0118110741216419,-0.42187685949435,0.0336595152085985,-0.0593275482845554,-0.126947561386501,-0.161418541158425,-0.0899889042363998,-0.408163430280877,-0.0133180269400827,-0.488447985534904,-0.271273287010807,-0.244107675121378,-0.131436333481589,-0.142347328396058,-0.193999661095136,-0.211098713842093,-0.0795013699977844,-0.169888052236675,-0.168838573828584,-0.15004598197581,-0.0924797678969711
progressive,0.193527992890913,0.169750994182492,0.0994592357179538,0.0898214575889668,0.0139070753029442,0.123681446774523,0.33593383472113,0.175546302685906,-0.0822338934426158,0.152427374829569,0.108985124294251,0.051897066121945,-0.114035690267078,0.049999568254628,0.02404168329522,0.154457949351627,0.143863524926186,0.0860390049379342,-0.011021384910461,0.0825231455284827,0.183964953722395,-0.0409842366332038,0.132990585454442,0.0553035866522198,-0.077792653679343,0.11069995258281,0.044906589643084,0.140943779947527,0.100846524921871,0.208710747782751,0.10508089290559,0.130309339325894,-0.0321573134318312
stable,-0.0023428164449661,-0.0407892882364851,0.01789409031012,-0.0126045382312175,0.04801732567756,0.0701747678519009,0.0061308994776785,-0.0878221108896322,-0.0758723046390283,0.0532596832458304,0.160696442031657,-0.0762371413112405,0.160012415572405,-0.127288848015613,0.0302795434876846,-0.0545596580301857,-0.0080809098396642,-0.0334512329731593,0.0872353654097573,0.0521201212433851,0.0023692721519903,-0.35186841436475,-0.0809757426551657,-0.102340841772297,-0.1011061900373,-0.0765854376855681,0.167763544831176,-0.108783562942197,0.0410482038360343,-0.0718507622661927,-0.0687244976824922,-0.03492069084071,0.0061276021708557
stable,-0.117066136472107,-0.10820954914702,-0.0746335192388625,-0.202120865113703,-0.0767563033927956,-0.151606091493845,-0.0816404659815181,0.056779026758748,-0.11064545702773,-0.156067401123624,-0.388139359698903,-0.326045665911765,-0.204918897340422,-0.141861685323548,-0.211194475157867,-0.242871847901811,-0.152014983483913,-0.360397888459401,-0.218319512138272,-0.261697072820644,-0.0958811882542746,-0.178399024953358,-0.0130272446324507,-0.0974656405636959,-0.204765123129166,-0.295078835708358,-0.371952933690074,-0.361891057045168,-0.192346610186511,-0.39308115607623,-0.206741433687402,-0.34922226648692,-0.169609647086207
stable,-0.108764971279581,-0.158972132980608,-0.162456676590299,-0.103352630048488,0.0442595339436593,-0.0988540743317064,-0.137624095157647,-0.151285764784927,0.10246531278058,-0.185998319312472,-0.15689377708446,-0.139469334858901,-0.0625322098746785,-0.0026067228154953,-0.124213760431977,-0.11979405299494,0.047097103651375,-0.147293177418077,-0.166097770748604,0.0460897604596994,-0.151397433283201,-0.127681416504766,-0.128713917814735,-0.103540594311881,-0.0646492685542379,0.0005596066253116,-0.0361960183199567,-0.112866392436277,-0.177328173067349,-0.0795871007703852,-0.0073335266786303,-0.121350271300949,-0.165443328514613
stable,0.0267133443708758,-0.0624150795671193,-0.20767169699386,-0.180276668491478,-0.0129243412508639,-0.353910787990496,-0.096679770556839,0.0121891761881992,-0.509734566820634,-0.0934983017905928,0.0118213890411854,-0.414867793081169,-0.161600044548602,0.0214318858252048,-0.507492875208845,-0.132778035027823,-0.16849971157177,-0.410725401860692,-0.217873252498852,-0.156431752994501,-0.138895756739399,-0.144423800222735,-0.0068536534948219,-0.119193907969151,-0.447687606538876,-0.40948208191485,-0.035321754104643,-0.419937480222767,-0.192632290951489,-0.347477238899761,-0.368772462710341,-0.315770624809951,-0.185899202116256
stable,0.0045902633421842,-0.0514695659898823,0.0168216434050536,-0.268762573235059,-0.0079667526161194,-0.108982047754286,0.0175939247583052,-0.148562939507568,-0.282656939506099,0.0528435581070593,0.528307574563641,0.051429404791888,-0.21192882441548,0.290720327360257,-0.0714384790399138,-0.0167417394326638,-0.0154119341995847,-0.0235997321837419,0.337521220670143,0.208842663302722,-0.0050594464852007,0.359448598754359,-0.114400699621474,-0.0559653850582101,-0.0770411128307508,-0.0273697678091919,-0.0528886886986596,0.350753543271718,-0.149036032659729,0.261755088545289,-0.128830366826617,-0.0335027232709113,-0.117408581495983
