group,CD275,CD8,CD19,CD4,Podoplanin,TCR,CD32,CD185,CD161,KLRG1,CD107a,HLA-DR,CD314,CD35,CD278,CD58,CD54,FCERIA,CD49b,CD71,CD26,CD204,CD36,CD49d,TCR-Vr9,CD158b,CD94,CD85j,HLA-A2,CD82,Podocalyxin
progressive,-0.0949778176265838,-0.104676120554312,-0.214714560043805,0.015450794660636,0.0368342230992687,-0.103011228012045,-0.220320779025959,-0.112715577157892,-0.0490507181779321,-0.10503304383356,-0.0491083296929752,-0.323226574829583,-0.034516300000071,0.39944887537329,0.0611845737405517,-0.0487761738509504,-0.32369917118076,-0.154832384892544,0.0096310956268209,0.408266865840102,-0.0998238363524084,-0.068538481636225,0.175341460384416,-0.360685022797567,-0.0181005964149575,-0.154558281890196,-0.0736735343400731,-0.0881188058423759,-0.0460545751909704,0.0026268306414461,-0.0274905253359358
progressive,-0.0748010868326077,-0.0052082947621153,-0.117809271438988,-0.254341952725229,-0.136577480646636,-0.104591081069368,-0.389348328747556,-0.0552939707913831,0.0053616339875867,-0.0616346011292538,-0.0960823097125546,-0.368907452963914,0.0096797469165418,0.284108607665959,-0.0455003317264367,-0.143337005881881,-0.601666698388804,-0.0512171641785201,-0.100296747925053,0.0032610351635496,-0.169361332279289,-0.13878376287742,0.0478849804225641,-0.387617310139879,0.0418084497627054,-0.0698403958639115,-0.0387606529705602,-0.308891036962829,-0.117731715682246,-0.0762109534260545,-0.0356094835046125
progressive,-0.0968219392032509,-0.103441283493972,-0.203271908830893,-0.514831823658617,-0.186215382973753,-0.194195957318274,-0.586987472217771,-0.13493113894063,-0.10331791026525,-0.181876620736918,-0.238208796093488,-0.749642950525586,-0.206948281366238,0.168722722410896,-0.173540011501539,-0.243683651481228,-0.520530673143313,-0.155268070810386,-0.0944594464387492,0.222018692696302,-0.0987161746088556,-0.20504466024385,-0.0874402607481723,-0.392418425091335,-0.147621711742032,-0.0811838334215676,-0.237213495985538,-0.490544632183788,-0.172421149864118,-0.0261490802096977,-0.18900647918479
progressive,-0.382522250663704,-0.201078825179026,-0.50112581757492,-0.505816385843424,-0.371166033865454,-0.340315796776887,-0.363978651146846,-0.354281651440153,-0.464983187458062,-0.350428643235121,-0.0954323061811669,-0.349403940068944,-0.286402075089621,-0.115222629349244,-0.199259043551793,-0.400843320073812,-0.461398372663746,-0.368350466818171,-0.227083962403347,-0.0806685210700347,-0.329534139196453,-0.517340197340371,-0.105070590512457,-0.358124904235556,-0.277447863892829,-0.128852914050014,-0.306700425843115,-0.381714736722072,-0.348799707036238,-0.310213621352585,-0.45642585451282
progressive,0.477609329132063,0.457166588362401,0.256380431046859,0.261293698200281,0.47907641692982,0.452633433934549,0.167099805027307,0.604627324130472,0.200569348452388,0.49710365425204,0.488780416140734,0.265974382346971,0.47543675165129,0.0388696492589862,0.480388513865824,0.457541844858337,-0.11812937122326,0.475563477652024,0.175914817515688,-0.0008739851034427,0.47920711306686,0.339176139031386,-0.285474101950358,0.107650036909921,0.460125022934279,0.512179562963446,0.476953590134904,0.323417612629975,0.46460432993885,0.470445399299044,0.389210638260657
stable,0.0082018161717366,-0.0313880160374,0.0674535981860612,-0.208708512296518,0.150910451859407,0.0265968622318439,0.0919702356309618,0.0849995102040165,0.115964200527655,0.0824598844015283,0.142023246263906,-0.235804892692934,0.0203483419554768,0.496634197213314,-0.0178062959630023,0.130305603022135,-0.128526547752685,0.0692236716778844,0.14167244109653,0.308021982714425,0.0008294351170425,0.0341932356831909,0.127650174219178,-0.0513674304351133,0.0243484730673281,0.0457762391124224,0.0289029912592539,0.0364338556648437,0.0690119131531567,0.134560949282864,0.0206053760651429
stable,-0.0568104414749207,-0.0351379384582857,-0.124216868204456,-0.2076651938727,0.0835620234827451,0.0031572857625547,-0.0934209891106332,0.054689141023577,-0.0428510748251455,0.0057323131059834,-0.147222825848128,-0.524232989327393,-0.0287381229342472,0.319425241664234,0.0795652008520096,-0.0235635462658556,-0.241304923917146,-0.0012281719281412,-0.0014116888603956,-0.0688606632285233,-0.0140620671375274,-0.061926103686797,-0.00928888410049,-0.35272914979258,0.0530525544110848,0.013283497937048,0.0272852425446757,-0.125225087397157,0.0796930328564669,0.0768435705557735,0.0210693714859302
stable,0.0564038679627771,-0.131092307426691,-0.0659502315120414,-0.473435131575234,-0.0551620216902261,-0.0248206299589194,-0.277049581496146,-0.091444670513784,-0.0513131546814265,-0.0855375147501866,-0.105352049733904,-0.679247317200174,-0.122894647025881,0.311378394514974,-0.0065132153928231,-0.0482330058755245,-0.515211496192231,-0.0685092534151688,0.0106494658547494,0.141809034905455,-0.0402271204219286,-0.0720350021367214,0.0743184898950363,-0.32931193112282,-0.0092663474443745,-0.0391131742773357,-0.0916865352148456,-0.430467725437575,-0.0802624027099554,0.0190916215078986,-0.0678957059266946
stable,0.0283689767081745,-0.0115794603382121,0.0271457697364225,-0.142414478678387,0.0829257010141129,0.0448537919614811,-0.247033537352974,0.0554512664025435,0.0242483016250938,0.163959234013076,0.0829901786493514,-0.485092387833781,-0.0763946370368389,0.533075839205916,-0.0593675468043179,0.178645959293836,-0.361823221220743,0.0690284771054745,-0.0204272341531141,0.147580346109544,0.0901048400383284,0.0765614654238384,0.221121918698944,-0.233891999644066,0.058671143786089,-0.0557349399873951,0.0394219695483166,-0.0988384654703827,0.0414203948480597,0.211346375975799,0.0542868406481867
stable,-0.0974704024331218,-0.0533633336535819,-0.0603856972364186,-0.30869927734221,-0.112209068064449,-0.0976653122053577,-0.338128236886367,-0.113294162300422,-0.126962831545694,-0.0936915071463658,-0.343084103687552,-0.653116164393943,-0.134550014189321,0.349127361772735,-0.0519045904942953,-0.133658786365711,-0.585257102083143,-0.0613176667155025,-0.120793849435861,0.508918369767084,-0.100717548280955,-0.213257617803992,-0.0815317450227324,-0.45888259902161,-0.0950610563328439,-0.0686384400476977,-0.198443274847555,-0.286125604351804,-0.130081316836729,-0.0286633924095943,-0.0782055741354707
