group,CD47,CD40,CD45RA,CD49f,CD4,CD14,CD16,CD31,CD5,CD32,CD27,HLA-DR,CD1d,CD66b,CD35,CD24,CD66,CD244,CD370,CD268,CD54,CD29,CD98,CD71,CD49d,CD307e,CLEC12A,CD85j,GARP,CD101,CD360,CD88
progressive,-0.353608928394563,0.0925148737815606,-0.216473679309925,-0.145719915184893,-0.0119510007606721,-0.221518240173798,0.0736463831460536,-0.255190775518134,-0.0271805642839491,-0.0898700246793168,-0.151427564582917,0.177337769861587,-0.0240605550308376,0.0975399527213354,-0.303702160502386,0.103563543893816,0.0530528747700632,-0.188246334428526,0.144072991378743,0.0722240974295938,-0.048096826389812,-0.164382132824921,-0.351036640692162,-0.0477973544065468,-0.036233896233232,-0.168571768325373,-0.113180004905991,-0.122702820625064,-0.0752306603955536,-0.028726132827378,-0.0150598951262659,-0.000585850486281
progressive,-0.0812112061688224,-0.123795379309538,-0.147676720786981,-0.0247334813999643,-0.307076150490546,-0.17008963421577,-0.225755756110645,-0.122861380578533,-0.109869667067252,-0.383934877952265,-0.213587056928246,-0.352040325235298,-0.0928234670279337,-0.0320660889382436,0.328167896776411,-0.13127202430562,-0.0160079930095839,-0.249519608696679,-0.188040711047295,-0.051862263747013,-0.549155444749481,-0.120476049100314,-0.139077372727367,-0.155444742147559,-0.398817974818564,-0.0119461071708195,-0.0222116934139772,-0.276892585884467,-0.0943351479786282,0.0021177016858474,-0.0525114343538097,-0.196034667948922
progressive,-0.213320377779439,-0.0904114846404695,-0.396499970590669,-0.41530385178375,0.0001155384409416,0.0204228618607386,-0.122719861729263,-0.365832102177094,-0.197869619586181,0.173941410322987,-0.142708775361467,0.184410583043837,-0.171237738650888,-0.135314679365291,-0.254692302984343,-0.162733215899389,-0.141860527411916,-0.122542978253455,-0.0829144319459575,-0.146480134171051,0.0901778880982863,-0.427813985691941,-0.0653847719737683,-0.663829779241901,-0.205362178929965,-0.102675204170728,-0.425245961625013,-0.070992821458323,-0.182685327076517,-0.374509202910841,-0.199689348130257,0.024726783006871
progressive,0.226877438054602,0.077518947890651,0.156811432469742,0.225221973204673,0.298846891066441,0.380466999493048,0.523039750800524,0.114606258172731,0.320324762254115,0.450025709531098,0.325533734088654,-0.0789752029439362,0.118791455789278,0.551513143193601,0.451109761172083,0.359856764630392,0.497233546413176,0.166723780751618,0.351074216874514,0.370560321928686,0.0293691789315074,0.224855996270519,0.0332947946529634,-0.433735768704661,0.21039126105454,0.0858550698605789,0.289896636075089,0.0707181523465719,0.279063131086537,0.247518342636771,0.189640640674184,0.380693194552181
progressive,-0.188354691701806,0.0626107856697997,0.0743671724092493,0.0086403475939895,0.105591371274187,0.139978494737116,0.0183061845719098,0.0504379130357141,0.118444059447382,0.132891641123484,0.141551974168896,0.0371823675467624,0.0123232672063507,0.168434011421528,0.103940760259319,0.0975617426130168,0.173486005447153,-0.0541039442423108,-0.0140928636586142,-0.0480687161705468,-0.252506976108238,-0.0435287257960452,0.0469748036148647,-0.188109108606737,-0.121816334496103,0.354022714492217,0.117354433239214,0.132889102127983,0.167160668148245,0.102482760980449,0.121674532027583,0.0317031698674617
stable,-0.205298638461978,-0.231215588614188,-0.218487461300729,-0.298428315844488,-0.383232272528234,-0.0809226462167621,0.03162028673532,-0.138397422623972,-0.375962688779642,-0.164264840768936,-0.419118174359916,-0.342947059145068,-0.259295757454007,0.0498098292039588,0.0873681076600839,-0.121266848739494,-0.102767399099298,-0.182823375458611,-0.232280759675145,-0.0805324605726595,-0.200437910015195,-0.286170647992636,-0.261816939494775,-0.320993004808697,-0.18671530464508,-0.150065289750181,-0.0967574767087241,-0.234402611138163,-0.202607096499456,-0.242266129696761,-0.189887393776712,-0.221419683204691
stable,-0.0556144076719991,-0.0643404354235601,-0.232998749595524,-0.201673002414587,-0.108964452226665,0.169079303759323,-0.0138318229591462,-0.178763868285402,-0.155804115273309,0.0319842400112902,-0.176540351855937,-0.0078531874852194,-0.161027829367926,-0.0026783058637222,-0.0734878689599407,-0.142093381973302,-0.0715501783215834,-0.0496793073590995,-0.245617289890554,-0.129360124749508,0.0286505535854749,-0.254762890929759,-0.0297905012797307,-0.32453765870031,-0.0585572541205089,-0.004903988629782,-0.399526086255431,-0.117220438985805,-0.139100117397667,-0.194714048592876,-0.132479177178053,0.0436089142974037
stable,0.311912841468572,0.404263947538872,-0.0630652632930916,0.0916756390119716,0.394382161108808,0.0832616067187053,0.246277472846465,-0.0573933651063551,0.080710853455373,0.351497523146443,0.0537785084057102,0.616574955775233,0.140408877228271,0.193957783247333,-0.153532509817425,-0.0146534721192069,0.0363866480155106,0.0846962394231815,-0.135164358579243,-0.0068194314527534,0.459438981618329,0.104656384992961,0.121171394611754,-0.245436872435092,0.213532602024619,0.0049329719380293,0.0938463735438845,0.365160562203205,0.0943032131608728,-0.0063758650798459,0.0143596082691931,0.14556311188534
stable,-0.112959462075986,0.0168476852609193,-0.166408420809422,-0.0538704233002587,-0.0394885898577282,0.105085555690302,-0.0545619794724333,-0.0651255252950853,-0.107932559208798,0.068608080804896,-0.0850795820089388,-0.24560045317167,-0.0429789353738982,0.0175307210668967,0.226834689084881,-0.033805269611368,-0.032063466743774,0.0786839968860536,-0.0118872078945757,0.0576607769594534,-0.138029029654714,-0.187071711204305,0.0587852278069922,-0.202569955745975,-0.20602531986275,-0.0891864216121432,-0.253149748485175,-0.0896447604278055,-0.0314766930058093,-0.105982826343899,-0.0458302488604036,0.104172816775972
stable,-0.201748122918197,-0.284287606027201,-0.0918606072315858,-0.317186399241368,-0.370502651113884,0.0185089635579951,-0.223298552031275,0.0186307118391818,-0.182008152382211,-0.388435573719982,-0.122020700366316,-0.571663558752425,-0.142688436615666,-0.149083456815542,0.407370270070416,-0.160996847955456,-0.242047041711685,-0.388291067331522,-0.225862302112098,-0.129474597247187,-0.484099478133954,-0.29076483878913,-0.169470555121932,0.557164848092022,-0.395019042659941,-0.0515762704596817,0.336867629434925,-0.338838113979569,-0.183913462911078,-0.208997137976908,-0.234014582464551,-0.356515857268049
