group,CD40,CD33,HLA,CD4,CD16,CD20,CD326,CD32,HLA-DR,CD1d,CD35,CD272,CD278,CD58,CX3CR1,CD24,CD11a,IgA,CD54,CD62P,CD122,FCERIA,CD41,CD357,CD28,CD71,CD36,CD49d,CD158f,CD336,Ig-light-chain-2,Mac-2,CD85j,CD88
progressive,-0.0676600302419485,-0.216675561222804,-0.212011217572702,-0.299623453901642,-0.0152047119710513,-0.121369256077756,0.0780759067101144,-0.0871448953877884,-0.211478580961632,-0.135491288677624,0.0609351087566235,-0.139030425380719,-0.0934751345793051,-0.381332021875475,-0.0902871130662583,0.0742666626432786,-0.10196150713795,-0.0844582595019988,-0.215537453389005,0.0312137486366411,-0.0311592635160876,-0.133870258291313,-0.0518530287452857,-0.0882732639318315,-0.435105460121144,0.248543599255061,-0.0990481497645201,0.0338293736967645,-0.240380806698019,-0.138345255181424,-0.0600272367746712,-0.0122291727470435,-0.154864506241397,-0.114971512285227
progressive,-0.0543156177067253,-0.0263100195543652,-0.311893634453177,-0.1476828320377,-0.208504848249369,0.0130024057806864,-0.0478921784456726,-0.151334963265336,-0.214906863289695,-0.0752471791746323,0.139113767203935,-0.133446878373269,-0.0617778241375321,-0.100921298591947,-0.101084852497028,-0.0348239440199696,-0.229363643278668,-0.0870714226523107,-0.409489759826024,-0.314228546160202,-0.0095280627232383,-0.0731494619192845,-0.496623753058757,-0.0591239985230465,-0.0007235213499941,-0.196202294151746,-0.162554672671191,-0.203147004075422,-0.0835003580007101,-0.0398817797405767,-0.176629704676865,-0.0994261405674741,-0.21857550723858,-0.137912986905143
progressive,-0.187521187011941,-0.240681147837377,-0.445449163085404,-0.489449499270432,-0.487599316797319,-0.117299011392007,-0.0849988933147687,-0.666880848437208,-0.669601117023091,-0.259706476488869,-0.106844765023768,-0.260281194831937,-0.22931911826984,-0.356422065718617,-0.27095019387148,-0.2061586471227,-0.444903801326931,-0.361429691221589,-0.627391104529746,-0.208083210513036,-0.201751626624237,-0.231766430527744,-0.192780866535386,-0.181327357826054,-0.16034505630862,0.129860688146863,-0.222688990048096,-0.406706329033533,-0.279450492658881,-0.240767058962644,-0.349900305971895,-0.268670302633277,-0.528508740910425,-0.517491419615196
progressive,-0.0204112538251879,-0.136980130135702,-0.225764290836489,-0.1741306183577,-0.126487473918526,0.0759377335988829,0.108726237352552,-0.112393700009741,-0.239031674373998,-0.07215915472441,-0.108986213554394,0.125541228260801,-0.0159867245225763,-0.0982423748150215,-0.0703777559649024,-0.182796307556242,-0.148628543679294,-0.066461126329594,-0.114336785075288,-0.0090786102123133,0.119386699638022,0.0566981721960305,-0.139903717789906,0.0079517361349682,0.149676131097734,-0.0474757493648887,-0.180380807187529,-0.248370095668932,0.05523046466925,0.111927148016079,-0.228003733702951,-0.0231813269521734,-0.159636824192979,-0.0760953439834972
progressive,-0.184060131597781,0.141060651849914,-0.106765422297985,-0.101567279350083,-0.520457809644317,-0.113410056311387,-0.254767192346794,-0.442741552813462,-0.230289770014688,-0.303283800346979,-0.213403854834092,-0.339066822803688,-0.24566343120955,-0.465924743428237,-0.40072839395033,-0.429320334678853,-0.282448983375613,-0.485501310567312,-0.234148016504113,0.0409340286625456,-0.542167684111715,-0.428205446599771,0.0516633075066123,-0.418169287584728,-0.347120842401381,-0.201947206077915,0.127140213138971,-0.230275525602249,-0.412939488409433,-0.419081654516383,-0.448467776868083,-0.449683725309926,-0.421410138478877,-0.531604660153009
stable,-0.320187547371396,-0.138461995253783,-0.405085705564074,-0.343513927327984,-0.275723984743641,-0.151864959284158,-0.141639263646662,-0.337452432286168,-0.548215743420312,-0.29186883511916,0.0427423419389347,-0.273564221524219,-0.288445492077058,-0.312336642436562,-0.311997361505628,-0.271038160646395,-0.365478398380615,-0.301062968421881,-0.514830155569521,-0.190789223952986,-0.233297784602314,-0.309200475002915,-0.29470184851644,-0.228558673970969,-0.241745493187724,-0.0275796332362252,-0.191079345479205,-0.465833945268143,-0.242765234214845,-0.267746234586533,-0.246300616728503,-0.245998465740368,-0.342660725701838,-0.339265957129419
stable,-0.0193150758325656,0.165432049465118,-0.257838835975256,-0.339089017827882,-0.27943014042538,0.0008618338614238,-0.158546880797077,-0.311713947315414,-0.568174831018625,0.0358567387180917,0.241935902566796,-0.0661118086934136,-0.0012035977477585,-0.0925451232255961,-0.224564448575932,-0.224753852785667,-0.207035822894231,-0.170583282865538,-0.378401519836062,0.0081870754707618,-0.101288808839817,-0.011323149682208,-0.0406852924847125,-0.0981137888572158,-0.0800570874132309,0.0973723769975206,0.162130832414011,-0.344509223944832,-0.1392849114897,-0.11184242312429,-0.0127963698738072,-0.166977392577228,-0.190692008137199,-0.235912994869706
stable,-0.499597323386562,-0.223546870412389,-0.385047721372443,-0.475028181272121,-0.233765073022577,-0.0522402778541896,-0.0930776542044715,-0.403490591133577,-0.71203716974342,-0.214825082558636,-0.0396956622447352,-0.13278380869309,-0.0146243345013697,-0.204850242405147,-0.159084467444716,-0.15870320756683,-0.242048286780861,-0.196966581525226,-0.478592152563059,-0.103634644170126,-0.0436667742003066,-0.161109007544434,-0.205222303471919,-0.129833192052984,-0.112960234678765,0.0887226675756291,-0.156716344221626,-0.304249235256194,-0.135843909765791,-0.162849281055589,-0.277221092154119,-0.134091614510096,-0.477818077400836,-0.290852529765498
stable,-0.214074396242024,0.0100443944604654,-0.21858657460455,-0.288515188829103,-0.18945295258731,-0.123313253523697,-0.0499352583487691,-0.352678071686035,-0.696379867715999,-0.151968045202636,0.308319446370558,-0.128913875654979,-0.272345597687197,-0.101939652190844,-0.208245507870696,-0.135081548458086,-0.279589221002414,-0.156534737353063,-0.541665611583522,-0.110584814988622,-0.150187124496752,-0.196140392674833,-0.0895783431039065,-0.0621927101500421,-0.0973895450835828,-0.0273850594470095,0.0174830217386513,-0.326693867012726,-0.0991025430251168,-0.128327147885157,-0.135357526269933,-0.119175314561824,-0.345680073217201,-0.261325451203968
stable,-0.106206349556364,0.0239483199174956,-0.0748077621690003,-0.318483879280871,-0.351998099668555,-0.161038475389152,-0.0676837304615369,-0.281161179520336,-0.441926139187886,-0.0201496651219644,0.282670816821775,-0.16307352398146,-0.0429319459028935,-0.064439407271026,-0.0768893000072161,-0.113045255273245,-0.246636222792379,-0.195011420501152,-0.455084082438898,0.0549853019210537,-0.0732831941528791,-0.0570398623315949,0.0386494253628659,-0.0493873407921622,-0.127375428095498,0.456081699157422,0.114417437896289,-0.336612002062975,-0.107628914894575,-0.0828004383542699,-0.0828044553483066,0.0118822945447762,-0.1951482988234,-0.235221793768633
