group,CD273,CD275,CD252,CD4,CD279,TIGIT,Podoplanin,TCR,CD196,CD69,CD107a,HLA-DR,CD1d,CD272,CD278,CD178,IgA,CD79b,CD206,CD54,CD184,CD49b,IgG-Fc,CD127,CD22,CD71,B7-H4,CD26,CD193,CD158,CD207,CD49d,CD73,TCR-Vr9,CD158e1,CD158f,CD336,CD307e,CD319,CD150,Mac-2,Ig-light-chain-1,TCR-Vb13,HLA-F,CD258
progressive,0.0842518863871475,0.169854580216573,0.0307105787233757,0.0759813209759203,-0.0009374811602828,0.142456964440128,0.0982948682956697,0.0358228359717203,-0.042179818475474,0.134328148794185,-0.0386848266219133,0.0440020953600544,-0.0276963136886592,-0.005970591020219,-0.169306904236588,-0.143129505192338,-0.11410128470493,0.0673234495570783,0.0455536674960814,0.0760751505572445,-0.0665381611292312,-0.0035761309087921,-0.0150573061802852,0.0536676670847683,0.0221853364293592,0.0736126843722508,0.10877859179854,-0.0229839532367078,0.0688771928205784,-0.158978068680205,-0.0141085270831336,-0.0035602875125595,0.038369644462209,0.025511395750665,-0.0012264415962285,0.0251975498434172,0.0312256335476715,-0.0610208423747839,0.0057874870970195,-0.0675851170024729,-0.126174109516143,0.0289983264295642,-0.0602526307654905,-0.0471711554797353,-0.129772507104057
progressive,-0.0702864249427808,-0.0799105075459991,0.0066831254004271,-0.210517972524539,0.0197662161279809,-0.0662626426019438,-0.0715259402083953,-0.0782782116705823,-0.0150030245416497,0.02448250572127,-0.0927807747904364,-0.262418814083649,-0.0698698689166383,-0.0886524219561159,-0.0080567530367307,-0.10638210781249,-0.0983354374375618,-0.0351905643386798,-0.10160100358658,-0.439240901494086,-0.0637129210593909,-0.125652071665279,0.0656373280090636,0.0273470984620789,-0.0882031535276609,-0.120035730257372,-0.0149848568905825,-0.152745237491118,0.0279446118546115,0.0188209298874459,0.0170611444803115,-0.268797345744698,0.012643284652106,-0.0785368992963569,-0.0016784220110622,-0.0833983798784094,-0.0779807933447247,-0.0216378119607991,0.0111742533829275,-0.0486842152150636,-0.0799225410598927,-0.192652444176064,-0.0075199542336844,-0.0558143997819617,-0.0119022995990646
progressive,-0.0135144110887316,0.0137123930538994,-0.0418015788744288,-0.429132632164273,0.0325305357884367,-0.149430608659038,-0.0426348559133707,-0.0366722542586336,-0.0504528858616326,0.0775236858383575,-0.154164101141075,-0.69582455325739,-0.0982866939432216,-0.109827364519517,-0.100776858773875,-0.059235414773715,-0.0848861775311332,-0.0831620479278388,-0.074099316733789,-0.428424732934452,0.016348887852614,0.0396251232005105,-0.0570726415895633,-0.106373066999251,0.0084511347270964,0.109196852470939,-0.04577404802045,-0.0176633306585386,-0.0627854197644444,-0.0393924004580196,-0.0732489583062328,-0.407901999026447,-0.0527839565484439,-0.0234511953177151,-0.0234328456394884,-0.0522335843041284,-0.0600678771070404,-0.0038750701368376,-0.0692167272304209,-0.0697193922920409,-0.0677687349910898,-0.128505837997518,-0.0336590037995578,-0.0603949530261478,-0.0242792644083706
progressive,-0.213714315709771,-0.129595618674018,-0.261728212461449,-0.282325693495907,-0.20886530347594,-0.186222428840607,-0.274156114332039,-0.247324415086023,-0.122215396059505,-0.243925578725122,-0.184165629867461,-0.271885394876886,-0.192407869921965,-0.24266656299678,-0.147994249930634,-0.295028958098362,-0.25811709682027,-0.295425252217386,-0.199483108136087,-0.36231912417008,-0.278530266151423,-0.352965498090712,-0.164485808101213,-0.0755407249371824,-0.0912094487496289,0.0290770308342259,-0.198969039849192,-0.183356906694123,-0.361746642017953,-0.0417230954904858,-0.189454985791318,-0.153140462154806,-0.244902259161919,-0.115913605786256,-0.0922937464516496,-0.258551306870901,-0.295481348470448,-0.289750575724232,-0.278942631954762,-0.293004829021521,-0.303715132815712,-0.279936534137508,-0.291865203763536,-0.215122759025214,-0.252532747840993
progressive,-0.0591855170369229,-0.0141148245259238,-0.224570799585001,-0.196147453817019,-0.0280845614547343,-0.0182758022563757,-0.0655845266811661,-0.14834005672371,-0.0550359906235599,-0.178164980217379,-0.076457315974354,-0.188011864886389,-0.0990295060822579,-0.0452512723751124,-0.151624129414032,-0.146481197520092,-0.138690972549356,-0.0915076165542136,-0.266189030115126,-0.367563320443491,-0.210489747457265,-0.173887619978708,-0.0781518004993041,-0.118293847740702,-0.205486119219427,-0.281989675134884,-0.133328142579545,-0.0371543140002862,-0.0414905821249356,-0.195149405524914,0.0024215138097777,-0.291616732658833,0.0048190940111315,0.0502333772070274,-0.163443259587918,-0.0253670281845758,-0.0192947573597734,0.152037063089865,0.002278763089481,-0.121967847879423,-0.108412107520258,-0.187607297886704,-0.101133373814624,-0.196287022371241,-0.122217436436536
stable,-0.179164215423286,-0.272150627129643,-0.123652282451862,-0.418985959006596,-0.150661049511978,-0.161703711362606,-0.154414750358034,-0.199494053796507,-0.213933762316904,-0.165712862536405,-0.190723038055793,-0.445958941763677,-0.190804908352334,-0.307756381264116,-0.20510720034716,-0.154795407793773,-0.161753989905801,-0.0861780928525154,-0.172422996332599,-0.341076010018617,-0.164142483719382,-0.184245406417301,-0.200171082739073,-0.0499769264851766,-0.240291654741376,-0.240632565769606,-0.206707237473574,-0.250408780113264,-0.156523042126867,-0.118364238691579,-0.090504513344839,-0.372349329275096,-0.0835842773337513,-0.149601879595097,-0.11685703627839,-0.144575486366462,-0.183242183405269,-0.16384873903285,-0.21472769810704,-0.163203173599978,-0.168709301703532,-0.153845546800461,-0.16908760469668,-0.150559625131446,-0.173568372098425
stable,-0.144952118427744,-0.180920325841031,-0.137980182878274,-0.40823124314324,-0.17225816638695,-0.196079927153748,-0.124265575245959,-0.175737816381491,-0.0140619137895485,-0.0186411914980432,-0.279937556827501,-0.674901589550019,-0.16502921578653,-0.122642778502111,-0.0478001530591905,-0.132190747833674,-0.199855634622895,-0.136465394931621,-0.169073193451127,-0.413756186251654,-0.0840811078961091,-0.138527169800865,0.0322477161108576,-0.000520864964039,-0.133129318567063,-0.036729380184355,-0.122658428024436,-0.13296058099701,-0.170801240837605,-0.0619577064066678,-0.013471794708027,-0.423896128186175,-0.0206315106651125,-0.0539410323243992,-0.0370989019149428,-0.202398539194315,-0.156584745759317,-0.133018122308716,-0.111262315882728,-0.197486831818393,-0.194893920076225,-0.132115545494661,-0.149546195769702,-0.224005009991125,-0.243986237562798
stable,-0.082256704352263,0.0320135219282938,-0.0049188869975024,-0.371652129488424,-0.0092875322795589,-0.0685387092890763,-0.0620884893366012,-0.0524390933684411,0.0290402483088613,-0.0137450254715193,-0.114913210724999,-0.652486454008672,-0.0949420374498159,-0.0186536973751455,0.0588865116672906,-0.0183378221945902,-0.07723213371073,-0.0546159435315218,-0.0864880612350029,-0.508886676982236,0.0246316817232764,-0.0206856496709291,-0.0369563495309356,0.0848861482042545,-0.0050481920989825,0.200563096670888,-0.0305167230249192,-0.0203852983760422,-0.0113009350184896,-0.0506453612148142,-0.101801033340949,-0.284244169147736,-0.0835905163935927,0.0184331216171014,0.0096514038638509,-0.0265896828068469,-0.0546938385576952,-0.0383304497601673,-0.184286688520203,-0.0629671815283664,-0.0513903608475905,-0.176772371314547,-0.100486175885527,-0.0225835925526026,-0.059220465801763
stable,-0.0517808062471943,-0.0286684725044443,-0.0696586790713279,-0.291187605046947,-0.0618855646280694,-0.054634323451962,-0.168138022707838,-0.113862566114984,0.0413331401176862,-0.0613008818860446,-0.117801782889437,-0.639625304049929,-0.154679271525476,-0.0666247804167037,-0.138604396587808,-0.0457370852134413,-0.132923329992798,-0.0979466780634917,-0.0812897722393191,-0.477213791017844,-0.0481694864919821,-0.0974114834497134,0.0387546860894697,0.0094908740324655,0.0276179005841575,-0.0235983529687765,-0.0906688521655789,-0.0574901900138983,-0.0335994738310822,0.0468991226534944,0.0019007838587098,-0.459163151876287,0.0365425193945976,-0.0470164146980274,-0.128928541622552,-0.0928442536512133,-0.122955074019832,-0.0111998244730156,-0.0652691734034869,-0.0757971052545584,-0.0986682885366761,-0.157243876940572,-0.0921809479988277,-0.0270561810216416,-0.0268302315435605
stable,-0.0935230260588435,-0.0694210212781529,-0.04047396333165,-0.363986954787568,-0.0459994910610634,-0.0308689891833767,-0.0601123292165416,-0.0021907233476353,-0.0663662106685393,0.0272008685835038,-0.28196766811036,-0.709982461889963,-0.147787428985396,-0.148234957234428,-0.0262179109705863,0.0831420967321838,0.0141132261863563,-0.0069676315509983,-0.0512157578252997,-0.547489978081043,-0.000867581219445,-0.160015685095853,-0.0402279531379426,-0.0252206178791771,-0.0504854459123026,0.332225405604316,-0.0727031588897368,-0.055722957922663,-0.102131053660826,-0.100699077141396,0.0586427773379737,-0.396725197473131,-0.0238138998870647,-0.105122504427222,0.0539018067579002,-0.0237167068825261,-0.0622414228852825,0.0106399442948336,-0.0886652389602934,-0.0907982177593259,-0.0260901393625648,-0.0246371293449303,0.0046498893618948,-0.112669492939439,-0.060895103896189
