group,CD274,CD40,CD8,CD33,HLA,CD49f,CD4,CD16,CD20,CD31,CD32,CD185,CD62L,CD27,HLA-DR,CD141,CD1d,CD66b,CD35,CD278,CD58,CD24,CD11a,CD66,CD244,CD169,CD54,CD62P,FCERIA,CD41,CD184,CD29,CD49b,CD71,CD144,CD36,CD49d,CD73,TCR-Va24-Jz18,CD158f,CLEC12A,CD257,CD150,CD85j,GARP,CD328,TCR-Vb13,CD101,CD258
progressive,0.236821262275822,0.225316183390507,0.0122114348766353,0.0358777541358655,0.054598559389835,0.122964972056876,0.0227420319522274,0.153937008119215,0.265595816442636,0.053233500712683,0.145149338182349,0.39915614745567,0.0597132383016333,-0.174843770638816,0.190023177782913,0.167686797900239,0.231766441397513,0.361349429446191,-0.0205725871765481,0.0385297991905274,0.173960895271165,0.317622364257074,0.165107150956196,0.373076132175913,0.226991242939768,0.0238338187338636,0.0017502964835622,0.145475185831762,0.273911300534725,0.17891203698329,0.350904901693764,0.248401713679016,0.335772912463965,0.334469125339064,0.189728985254449,0.0088989087037203,0.180651379625153,0.14889046163272,0.182083794305984,0.191921447709895,0.148742783063052,0.350490260447826,0.146600312312006,0.328054459219566,0.163659682264011,0.198046422852707,0.218602901376383,0.172080204213523,0.284042952700027
progressive,0.0203088795257562,0.0450932101616198,-0.100031738776342,-0.108176553847011,-0.0757425747303951,-0.333108113157575,-0.1153832282511,-0.0091441898715812,-0.0091280166072762,-0.25283453737356,0.0455146217938491,0.117407400030415,-0.0129951588866273,-0.108915816899585,-0.0333903147417282,0.0327044620645333,-0.0860288851801609,-0.0206030774270138,0.0043614852264839,-0.0059946959333253,-0.0120108228557112,-0.0169921373666098,-0.0746481952253049,-0.0285812627681614,-0.0958712847010307,-0.109682408306618,-0.235108777986351,-0.35309885030982,-0.006746303273222,-0.597418853214633,-0.0601807256304154,-0.297132609526732,-0.0865788518720568,-0.044990537558744,-0.0755506492232397,-0.284716402096568,-0.0116291373072565,0.0256208473495855,0.0357447225601182,-0.0291437806114723,-0.041467154251274,0.0023728430851468,0.0219781020076024,-0.0847310713356933,0.0388092508917259,-0.0519623931731423,-0.0209078152250192,-0.0233858165386973,0.0061439449712645
progressive,-0.090565386399342,0.0756966231080845,0.0195566070299247,-0.120966674137766,0.219850938747987,-0.226608618915472,0.36490668077105,0.167576329181793,-0.0235874628507568,-0.115365468009747,0.376477361929575,-0.0104716528882219,-0.0439884199205558,0.0409542249629215,0.610073314501332,0.217008067177009,-0.0042070111831105,-0.034005756099584,-0.390757363259458,0.0322015386879241,-0.017523338605201,-0.0536306892522641,0.0845136106200878,-0.0433717137715319,0.13879131548946,-0.0461772901484926,0.361332849071244,-0.186695999931676,-0.0339806948264382,-0.204652980804708,-0.0603597618192515,-0.102489251545885,-0.112201048855756,-0.363913456384208,0.0412924813186598,-0.1404825588504,0.29053145251075,0.0142535253071612,-0.0150360054237761,-0.0376042054160525,-0.145608157870722,-0.0149409632476696,-0.0160263724204915,0.262774922092427,-0.0300801250144907,0.0655195610214136,-0.0336372039756267,-0.127761787077344,-0.0532543617898806
progressive,-0.134309102263918,-0.0206075158811993,0.0937992410342349,-0.0873651378146161,0.200489913295343,-0.0111074797786484,-0.151607879813693,-0.193877417154502,-0.0464041135744419,0.0061843263649708,-0.239117303679553,-0.0071564711954586,0.0466288319198428,-0.017903612486391,0.0264092501393153,-0.0532062801038221,-0.259495942371132,-0.185361991288986,-0.310517590780304,-0.350403364592506,-0.160511399898603,-0.182515847990083,-0.105271225616875,-0.123169809837975,0.0449464397790953,0.224276905231561,0.0054317191142142,-0.0690227438441386,-0.120983834059893,0.0967783528033085,-0.0405268785553897,-0.0797195398665032,-0.181133811889963,0.436720811534119,-0.197059485884114,-0.0331177230617986,0.043421819601385,-0.0521851242183005,-0.132351667618977,-0.173794809949746,-0.168764444452896,-0.105654788281705,-0.113484416478095,-0.0789050031253083,-0.250578448794284,-0.243586120930324,-0.213764818230301,-0.0663208984616482,-0.241535797954666
progressive,0.0088811948352482,0.0645030154978976,0.0753509506033969,-0.257453295502033,-0.0602023718104146,-0.348957789424958,-0.137940265458107,0.0287713987405401,-0.0682790099715583,-0.335694312602598,-0.107684169293731,-0.14307189300314,-0.0662170544363033,-0.236235825897214,-0.0360927308166516,-0.0239250947581388,-0.10117905124546,0.0903333466846092,-0.169786104110746,0.0729611121585557,-0.0809674965124855,0.0872578631032886,-0.154779754415849,0.028939514017092,-0.0546922898519994,0.183007918866356,-0.165503882384637,-0.310339450291862,0.0561156970960871,-0.28946554272472,0.0020678206896727,-0.231313709458298,-0.145692944859887,0.0386940719639972,-0.0790671942159123,-0.170487993005465,-0.004001043864754,0.112098976172642,-0.0472703284584021,-0.110159620213822,-0.0888095073345614,-0.0160793297512359,-0.12226848539244,0.174605367113778,-0.0737043338680248,-0.118490714030193,-0.0784743423696254,-0.218072219916332,-0.0565458284852441
stable,-0.180644644208721,0.0660707016722826,-0.122774893225391,0.0295946193166272,0.104359396289576,-0.0892591244656444,-0.0328239520996876,0.0972926434284059,-0.140352084125956,0.063446012384519,0.0043067801037532,-0.035765058543281,-0.239213384211454,-0.195008747344709,0.258035210528916,0.0137165289386964,-0.0891799233716758,0.0592421424011452,-0.197585163890126,-0.139249778709664,-0.0961794632844593,-0.0300530398035777,0.168716453612933,0.0323662470779531,-0.0273998424266228,-0.03294597416693,0.366788261529964,-0.0593112856065112,-0.0572018199199476,0.06056907977781,-0.0736732657942756,0.0671592692853151,-0.0872479253635077,-0.0845173540333465,0.0330837933384635,0.059590838366977,0.207712746586082,-0.191997410569946,-0.0681797706003607,-0.132400186540417,0.143643063040853,-0.0746218704014805,-0.0971600169966018,0.0529981746095679,-0.0573854914566966,0.100581713983457,-0.127859283703217,0.0880733129380274,-0.0950309151273254
stable,-0.39709867823211,-0.243887671573533,-0.10608069752542,-0.416453496331588,-0.389621828528635,-0.415875000989234,-0.285454921584649,-0.222894862000818,-0.364874318848881,-0.369430312868651,-0.345278342732751,-0.140150330586737,-0.35974248448061,-0.0575552181572161,-0.295942164683069,-0.385715514091612,-0.490630705769149,-0.268322296769048,-0.278716106820305,-0.282412408893797,-0.388466982532093,-0.309380289792875,-0.452521086266756,-0.147468605344818,-0.196115806323554,-0.21995345924661,-0.263990028492481,-0.377855261040139,-0.374025384393417,-0.282413143536461,-0.244822949541307,-0.49468965510447,-0.383758326349749,-0.359933728449565,-0.384187539326127,-0.329307257735865,-0.311956566195792,-0.207939461916972,-0.35189027162443,-0.36557157374925,-0.532840976587396,-0.265211935820882,-0.362655278804408,-0.366291631368617,-0.373321585727931,-0.358901362451832,-0.361589340048309,-0.464586109461198,-0.360504056206203
stable,-0.022383156121125,0.0756318591181584,0.0475419700069116,-0.190900868115879,-0.0954124387177526,-0.0674167013803342,0.0326422494464964,0.119497125680647,-0.0869389027432429,-0.414228794006137,0.108722342050168,-0.0039665684917351,-0.0005036507162657,-0.0325014350848017,0.157953988985371,-0.106287476997839,-0.0961997678871019,0.034563390483802,-0.279022951364983,-0.0733695505101656,-0.15964923930309,-0.0197791684172819,-0.0758153991282072,-0.0627386974734502,-0.0760514931493341,0.0093854679885217,0.175541846293376,-0.147365594653083,-0.0897689601750015,-0.0825367190134789,-0.108751535405017,-0.0703410006545785,0.0789446133566804,-0.250599787915658,-0.0423438763223028,-0.372733275793884,-0.0493572788635444,-0.109361124695701,-0.0535439426990974,-0.0753110305439766,-0.135844792645656,0.0143697876009769,-0.137580764057515,0.0647040469380438,-0.0243708724602649,0.0345551481658099,-0.0219261985241943,-0.221665238505325,-0.0506698359194119
stable,-0.0974544581624164,-0.0257328806438401,-0.0330197035637997,-0.29312501926223,0.0039724570804522,-0.117344584038694,0.0531585424937281,0.073345949344184,-0.0099834906762445,-0.16699153987518,0.0456189631313052,-0.052107807574885,-0.0695559438636601,0.103843646028916,0.340415413023825,0.0782931745669707,-0.141326032580712,-0.043845526460489,-0.510667551978227,-0.0281219695641281,-0.18635500310548,-0.101188550113566,0.0024274052812297,-0.0887500202915103,-0.0854833390473198,-0.0596664158664866,0.188254569490216,-0.149372547203534,-0.128234758804369,-0.141489009781993,-0.146520229256299,-0.0835132812824987,-0.139437479443238,-0.238688197686247,-0.135504369433261,-0.263648760250368,0.115603731702138,-0.0192902668733959,-0.0647604058888259,-0.117992305270907,-0.190834585044695,-0.112840725722924,-0.13948288590393,0.0251407135636858,-0.0785488762426673,-0.0245205773561629,-0.190770063970227,-0.165092700785844,-0.16809841616229
stable,-0.143536981405413,-0.350308064795636,-0.106003318715486,0.048585745523018,-0.323736906971765,-0.204423709776112,-0.409705893277907,-0.039625930247894,-0.184947410237171,0.0336556935938462,-0.282756543731765,-0.210959043996746,-0.0096483750204789,-0.183123587171433,-0.546044546744296,-0.151688053129258,-0.183974268237153,0.0704554344981372,0.407232145862887,-0.176548377922121,-0.147052220385469,-0.0855077121051605,-0.285318333496954,-0.152775045592228,-0.361072204830159,0.0959297683163895,-0.445304820239553,-0.170217076245978,-0.184232816352913,-0.187530256706523,-0.166910008446754,-0.232149043634489,-0.294570153399938,0.331312641374642,-0.211056941120399,0.110083395340021,-0.268939003647529,-0.143815432079997,-0.232455534929966,-0.240511269272759,0.285842445365629,-0.0778893097087485,-0.229461468662385,-0.317221940408117,-0.244777394050438,-0.220942514778112,-0.177771597100354,-0.18684841905792,-0.180561993664438
