group,CD47,CD33,HLA,CD123,CD4,CD14,CD16,CD31,CD32,CD107a,HLA-DR,CD1c,CD64,CD141,CD35,CD58,CD39,CX3CR1,CD11a,IgA,CD79b,CD66,CD169,XCR1,integrin,CD54,CD106,CD163,CD226,CD49b,CD18,CD38,CD15,CD71,CD144,CD36,CD49d,CD305,CD319,CLEC12A,Ig-light-chain-2,Mac-2,CD85j,Ig-light-chain-1,CD82,CD88,NLRP2,CD224
progressive,0.27669740234877,0.528961485412557,0.0487034975426716,-0.22292967205657,0.144293586000594,0.28468762791419,-0.150091381531474,0.250689194924699,0.0941617741915789,0.201628608679082,-0.0783876197515954,0.0062589821346925,0.429515738667168,0.0686941760644163,0.715416980595708,0.320756646767812,0.260283037896274,-0.0330310674078848,0.0503560700156339,0.0986410840882079,0.170770712251608,0.210318895583871,0.329105313683433,0.257539441692854,0.20915535492103,0.0481430606365476,-0.0066142468029545,0.0845329465438936,0.100382980421317,0.237994486580687,0.338920706162029,0.183576002111263,0.06665483587378,0.280716929074069,-0.0577367204084471,0.358006393042782,-0.0661575813900991,0.315059146613852,0.046186937785744,0.385909089252333,0.399957939877346,-0.10440763709293,0.12021466729658,0.322774287369945,0.194616470161616,0.02182786755627,0.07706279503744,0.391902040868664
progressive,-0.092574987445346,0.313125298605345,-0.277075429174174,-0.212258602784224,-0.207840782527138,-0.135494712771711,-0.162413173367326,-0.137544698824644,-0.334254832810587,-0.0500092106866113,-0.330016051347776,-0.0894476919931782,-0.16484911997599,-0.161379408670012,0.410315526111125,-0.0473718108970586,0.0354796697512408,-0.0391377015621365,-0.139930439592439,-0.0559147006799051,-0.021861245264827,0.0020247984052421,-0.112903064158431,-0.0281199366721111,-0.0728070278387795,-0.523303189766456,-0.0569175890679398,-0.196586861766333,-0.0766022235567899,-0.0879567366086932,0.0274469794444253,0.315537705362168,0.0476343952843486,0.0129601331692111,0.0179983825736695,0.0820737415566738,-0.390966535479928,0.0041595925636633,-0.0030730778381548,0.0152756086076578,-0.0640493910080927,-0.0496596670022171,-0.225750053069617,-0.0484470045419203,0.0127090526568578,-0.157922058875356,-0.0673886352900021,0.203584807922745
progressive,-0.0387610778529683,0.150623911711984,-0.178287000885091,0.007487088733698,-0.343228373207369,-0.0835137608963135,-0.105035742771294,0.163069393563634,-0.291792353250058,0.0011832105367477,-0.562950230753066,-0.0057443892195644,-0.0167622718339823,-0.176030190331677,0.447321834293751,0.0745023951349498,-0.0591581193965708,0.101884519084015,-0.0489987050015817,0.0558805207411848,0.0239309609658665,0.0842964150505396,0.0797719674124447,0.0452877072367335,0.0540274661950519,-0.299160944484883,-0.0269495331383984,-0.0710471434772906,0.16632664090385,0.163143915957915,0.181849438407358,0.194505989339098,0.0736236197314153,0.334014429753333,0.0053153583265946,0.201755448866712,-0.275134107702947,-0.0304149924497328,-0.009854179890545,0.166771007361617,-0.0322645975020368,0.0254839151975026,-0.211986857139483,0.047872686528949,0.230940890884093,-0.141247347677538,0.0053758803779893,0.171169262105548
progressive,-0.308457647541405,-0.163934212039277,-0.326712942450504,-0.155146836306297,-0.217421311800116,-0.169921932951661,-0.155364368965912,-0.244386895551708,-0.234143771981297,-0.101143357924271,-0.26447583238049,-0.108908918358243,-0.206950817055971,-0.199894329811248,-0.202487357087448,-0.17303014364368,-0.338847309206887,-0.149133171726396,-0.384084433575094,-0.190289125905197,-0.114532277168398,-0.190267823304824,-0.176861849545908,0.012078653253495,-0.0878872394393902,-0.388593486396977,-0.273938623727587,-0.162138804348064,-0.0829978587865677,-0.105622970410856,-0.318622794772859,-0.0285750108660366,-0.154764502214568,-0.0386698730179859,-0.151775215125058,-0.203841638662974,-0.269170074012084,-0.236866531998208,-0.174634342145975,-0.206463541946034,-0.228463609537672,-0.113648126679011,-0.289286770161694,-0.23728160057851,-0.0902954821751794,-0.221958658773887,0.0324692327318029,-0.156150012869152
progressive,0.059896630905431,0.31252210161352,0.0431522297908039,-0.124753623293656,-0.0719211334733968,0.183457273077119,-0.378915391002433,0.331377286673354,-0.179622507043404,0.015585621034797,-0.0625649598852704,-0.351060212713233,-0.158864807031304,-0.171322614858538,-0.0268690400670349,-0.251107533116482,-0.133472130879227,-0.172864545134053,0.0513486214940312,-0.0490965253237631,-0.0383906262290529,-0.125077223654034,-0.168128945446197,-0.190037560130995,-0.311095329216276,-0.0087636707514942,-0.0874795475111802,-0.0191884078361733,0.100343155262946,0.0034644489157377,-0.004229324673146,0.122822255714882,-0.355354185917603,-0.0530500865335112,0.0749592935403972,0.118606056753679,-0.101514289763667,0.079340136310788,-0.0673354503791746,0.140991163971715,-0.108403430023073,-0.20241033256339,-0.182476062307158,-0.0810556541555657,-0.0888601953188214,-0.310164258166456,-0.0910694146073746,-0.018399428902063
stable,-0.057672183473155,0.140568763861172,-0.0429811741654033,-0.07440109208564,-0.256315637126462,0.0330586084574393,0.159809004543901,0.136131635426067,0.0237103806460346,0.140961435410608,-0.235396926271231,0.071428782190068,0.127744085881448,-0.0567963822395377,0.40999357941042,0.081625586203115,0.0145667161769647,0.0155849155891326,-0.0767944077004949,0.0812119735918812,0.10345740648843,0.0839713005964299,0.154937471087129,0.0778708584080446,-0.0839486093787453,-0.182063528016318,0.077102695756182,-0.0372902353644861,0.0441641918254688,-0.0094050959662004,0.0889467645696096,0.0769266306997641,0.161837417396149,0.212341176290341,-0.0030067910505163,0.0628392367972647,-0.170261733237174,-0.101753301593368,0.0173585062310995,0.086624867297265,0.118283059699547,0.0760047603958009,0.02886778864071,0.121334632964559,0.0916556581804854,0.031153324482566,0.0375136886723998,0.0428384457694156
stable,-0.109581869400839,0.125519425259919,-0.180938989177609,-0.0203648137152967,-0.217040451215722,-0.0188609244990784,0.0041741318733077,0.0294614625686726,-0.0957493906707618,-0.0533796363889391,-0.447515250221807,0.0514418811450987,0.198134877989494,0.047760928250644,0.436288368699362,0.0926249266481979,0.0094278451211833,0.004718064104373,-0.195682320159824,0.107815200080027,0.10007492847175,0.105591573508116,0.0117446946090237,0.0426724351547343,0.119379409244994,-0.292929251898803,-0.0580813346345774,-0.0118585854452327,-0.0642275858133249,0.0473294044586862,0.0894744194589835,0.160315910448162,0.0586124485558225,0.0446867112667155,0.0850446949924857,0.0789616454969898,-0.25593585186292,-0.112213259749912,0.152820425888967,0.0100043079939823,0.177059971979433,0.0686971221494273,0.0213594004036122,0.136076502121795,0.210470946212848,0.0080496939738398,0.153997872512255,0.103753271496865
stable,-0.133189449123158,0.101617687678211,-0.217707191014296,-0.159722529682824,-0.34807565204704,-0.0353170954178883,-0.268492738701977,0.25380390562601,-0.132285754986215,-0.0339958897571571,-0.539714373426754,-0.162786532001642,-0.140871784717416,-0.108439393955306,0.474227129024709,0.0745101065876449,-0.0501236603810381,-0.0322694168778187,-0.133344550484327,-0.0200765011953584,-0.0113318540736401,-0.0049820049702273,-0.116238795363275,-0.0399611353988037,-0.140169053940204,-0.427806981533181,0.0001961380860295,-0.115964818095801,-0.0084306796979153,0.0375478442095457,0.137594841500535,0.0802629110341665,-0.004044573828745,0.0800032329414711,-0.0155225991519015,0.231112449730137,-0.279361000681128,-0.156490908949207,-0.115871727529886,-0.041039114757866,-0.0946356779439712,-0.0104236960859475,-0.330765893519363,-0.0769474160532369,0.108454201124044,0.0020938027787174,-0.0387551256845334,0.0373789638436461
stable,-0.0459888205521045,0.183989011945874,-0.0897949853839382,-0.0365104364128993,-0.211011599696436,0.0307097965018568,-0.108459974957765,0.041353085471663,-0.266251731474028,0.0157270621421837,-0.429132690073446,-0.106587250075337,0.190850179229062,-0.102033800673562,0.382254183645291,0.106890355256141,-0.0822161282205949,-0.038342413816014,-0.180513112179137,0.005425006701769,0.0553658745094419,0.0153077829582351,0.0326223722515083,0.028201788148684,0.0093721696498693,-0.370641096339559,0.0494592169541557,-0.0291237768456363,-0.0085776933171268,-0.0020915639270982,0.0487645586340336,0.0880035266082015,0.0467416391523834,0.208109867828394,0.0898436573739479,0.162661232152634,-0.210485341983675,-0.0984100556589118,0.0843504038775454,0.0281652625281482,0.0629055937977242,0.0407666285652029,-0.112060725932728,0.076886607906546,0.137237085820778,-0.0593883824038769,0.0530713798851135,0.161436933526304
stable,-0.0501205168816776,0.285030872575935,-0.125007426400218,-0.0814882285796213,-0.191895935559146,0.16147186893201,-0.0889688539800527,0.22774945869746,-0.163958589363021,-0.112291596781249,-0.454386491405941,-0.115452033506192,0.401749572816105,-0.0758882660210171,0.648939147052266,0.145263899531676,0.0441809939539848,-0.0014215369597786,-0.0499110331836931,0.0714371923818403,-0.0300463555972205,0.0274436242140121,0.303980951293291,-0.0484222684727272,-0.0578617390281832,-0.324517589361353,0.0358372167506717,0.0863969547947726,-0.0059633169027678,4.32336863194744e-05,0.189168257819931,0.23043168083807,-0.0702797831166552,0.513271760011092,0.0552627337032295,0.166790520239261,-0.254223297536058,-0.0544783773990593,0.0352039136290444,0.497082473081511,0.237486933275983,0.086212015058498,-0.106328161779554,0.20749094401285,0.206897712435372,-0.0837765353501235,0.007859022611273,0.207338395294632
