group,CD80,CD47,CD33,HLA,CD49f,CD4,CD16,CD31,CD195,CD32,HLA-DR,CD64,CD1d,CD66b,CD35,CD39,CD24,CD66,CD62P,CD41,CD124,CD29,CD15,CD71,CD36,CD49d,CLEC12A,CD257,CD82,CD88,CD224
progressive,0.219158957643106,-0.0392661654523963,-0.407698758688345,0.017184039344192,-0.0913425843862085,-0.052536678884685,0.353995195383186,-0.13455237594892,0.114254410994547,0.0533835713871866,0.153005332039606,-0.312789987484313,0.187821184576886,0.280983628589612,-0.42112638411175,-0.0618266637747497,0.18979110401404,0.205674020101552,-0.0884927902213874,-0.127815938716007,0.208496841454139,-0.175511076836595,0.400054604481236,-0.0726345305486655,-0.260316150828608,0.110840518138211,-0.379443727512294,0.0243541045943083,0.0347428052677704,0.221201345404372,-0.130686640881876
progressive,-0.192423055901744,-0.14737828886698,-0.423638302165987,-0.186760950891572,-0.184959634433234,-0.0194609971563911,-0.0677354237275647,-0.173386351059828,-0.0596866740762959,-0.0883075252588686,-0.0705834359882491,-0.0035696744854065,-0.224435736733314,-0.131880086076674,-0.398266178482528,-0.0874296814619034,-0.0790390904894199,-0.0901723374335165,-0.128851172085833,-0.13157988424393,-0.113415451843589,-0.275306687430935,-0.120186314666805,0.045100052424247,-0.306146925541097,0.155939734375479,-0.199677060107314,-0.0521209951760712,-0.131838277587239,-0.162870751622308,-0.32719019947825
progressive,-0.170211696183025,-0.171377180812355,-0.371322194998418,-0.0948130701218785,-0.424299131568464,0.1166348555014,-0.131819876332902,-0.387183430852562,-0.0818122087329579,-0.0511496278418276,0.258249565767827,-0.171605012502892,-0.248491658247357,-0.311850798308359,-0.62043254822596,-0.150935825295163,-0.234798073819129,-0.219076560242848,-0.407382023277762,-0.460760214150144,-0.155327426688087,-0.369992853721694,-0.277642939731833,-0.284080891353657,-0.429286945861429,0.105970855558907,-0.344303441990401,-0.135268576718953,-0.400019827285084,-0.169486921495286,-0.350013003286039
progressive,-0.155825104892264,-0.286954905559625,-0.212683354648889,-0.0820887243429926,-0.165439189067033,-0.323929442866654,-0.497012668006409,-0.104623826191929,-0.442465233272139,-0.526152759088366,-0.121362590590696,-0.0287749003403011,-0.105306166713921,-0.603821094850681,-0.531100925152446,-0.410170916550132,-0.477685970748308,-0.451373890403884,-0.183931106451756,-0.0293095514781832,-0.330867646924891,-0.220969217799652,-0.384358257490787,0.456969352060613,-0.205863268303482,-0.198230439115162,-0.378316598022277,-0.268403277916037,-0.26770092731628,-0.409303925437697,-0.367621667260015
progressive,0.145982667945243,0.0546864776120976,-0.0626690055899098,0.124536550806344,0.0544231226082533,0.0144106535670168,-0.186960495306957,-0.0316806334018592,-0.010301299068578,0.0024468284557969,0.0444135931193158,-0.123019282085882,0.0978656639496954,-0.0788213989921731,0.141992724823528,0.403637710834706,-0.0608299878605673,-0.156378335600258,0.0710511085061241,-0.012560018973715,-0.0557512490858932,0.0640200303763726,-0.176816148850472,-0.0185640909934978,0.266920376052517,-0.112069889227998,-0.0568568803570473,-0.0848911515379581,-0.0204347211946633,0.0423301292737073,-0.0935570875058754
stable,0.0845598426245672,0.0865300460542869,0.081985707879068,0.0603576389963674,0.135979679870684,0.164021743694228,-0.0731660398737129,0.104045417409226,0.265042608664145,-0.0358330310090035,-0.0149438016003864,0.0294854322328371,0.0504520485300757,-0.114671304090218,0.0514195357822118,-0.0288978672427373,0.157020550643323,0.0640089703776762,0.158838635961723,0.0169442953288975,0.0989114837091041,0.0934729913501976,-0.0652646883670872,0.26321413950811,0.096829000399169,-0.0364480790609002,-0.0298730740994111,0.0660353149779832,0.0937865449570037,0.087345359344953,0.0148260392760917
stable,-0.18450629431241,-0.244872346786031,-0.491796714045343,-0.410832703257706,-0.311347747103838,-0.276950559702976,-0.242467463661097,-0.438485354109552,-0.186796781572012,-0.300402755503225,-0.313831316992489,-0.207278362836386,-0.429258153589723,-0.225836891772382,-0.315012419217098,-0.240770200036196,-0.148070736122116,-0.0754754639937602,-0.271384635798743,-0.325515099187891,-0.295909826863707,-0.415296555263908,-0.220583203464978,-0.188872527300686,-0.482062786144508,-0.187084255343349,-0.390760429337413,-0.149156948980751,-0.229223741647693,-0.255707720952326,-0.238757990496277
stable,-0.0586603199541858,0.174756238593805,-0.0378353562618416,0.301493453508429,0.148217449369797,0.340392295110011,0.160917402268985,-0.0953127731203507,0.0507228870902922,-0.0551801312258044,0.430179300355045,0.148855889590796,0.0428938709189979,-0.0084012480776898,-0.531262552129683,0.0428258114230997,-0.101695118200304,-0.034692934910902,0.101065889067638,0.133805579007937,0.0086741648639502,0.115697711613457,-0.0303595436694349,0.110560369111742,-0.125216109092324,0.350992421903383,0.0876497180622682,0.0459127224600107,-0.127591802770767,-0.0972247768474219,-0.0661303150319299
stable,-0.0860263885923997,-0.0637897297009114,-0.314541103165437,-0.0401037274863829,-0.109990166447263,-0.10396988658834,-0.0497898884893109,-0.23492268633893,-0.0939046746486325,-0.204448697841537,0.153779562448286,-0.180173548211494,-0.186870683893001,-0.120767624369035,-0.595960663830595,-0.166138725410623,-0.183664954557937,-0.154985551572278,-0.153015067568186,-0.18336086456313,-0.15191903919464,-0.103426434491333,-0.207056851127439,0.0076882715501544,-0.268251800643536,0.0536754945807839,-0.108045273330321,-0.185976819575535,-0.319630335686463,-0.226625411634409,-0.293208629379681
stable,-0.221249317947017,-0.0584397839533735,-0.09376967971873,-0.0378281328207852,0.0152301439606066,-0.307939819368779,-0.0478804094161656,-0.0420920484109057,-0.036271611813169,-0.150215015407553,-0.210484980516577,-0.0028980265587635,-0.164504240506756,-0.0982086315478677,-0.0711140975018176,-0.148143491963424,-0.0292466896180257,-0.24117220852927,0.0626658513604697,0.043409545001086,-0.180823859808253,-0.0655194306394893,-0.0275884243072579,0.12981800020275,0.06463235372491,-0.132136818776115,0.0024293993445096,0.0857015835148378,-0.230114092200933,-0.133691334568056,-0.191060834192488
