group,CD3,CD49f,CD4,CD16,CD31,CD5,CD32,CD103,HLA-DR,CD1d,CD66b,CD35,CD57,CD366,CD272,CD96,CD11a,CD66,CD244,CD169,CD54,CD62P,CD41,CD226,CD29,CD49b,CD71,CD193,CD1a,CD304,CD158,CD49d,CD73,TCR-Vr9,CD158e1,CD319,CLEC12A,CD82,CD258
progressive,0.116351179832898,0.0443438107106794,0.156854399334745,-0.339238261850433,-0.103133719607647,0.10072201653061,-0.127995505009105,0.091080360976405,-0.213012999438039,0.0041560936831257,0.0345329011391926,0.359717737542878,-0.030114163141369,-0.0507023507927719,0.11242509987794,0.0257701312909572,-0.0661112467925285,0.0926042893863582,-0.155357213081576,0.0517326276628916,-0.381518399169831,-0.123101487231391,-0.0788458277912894,-0.0298859135470387,0.0690625958171282,0.145676105301222,0.250751054505584,0.225332409887536,-0.0375539275623346,0.125608792453118,0.0882063587822598,-0.233039416213879,-0.0175945459615068,0.146735149023519,-0.121498140426378,-0.0506986527557512,0.240593013683238,0.161979089453196,0.162897779867134
progressive,-0.0934293714300436,-0.0922698423095929,-0.204106601378691,-0.404242469033157,-0.290924955804711,-0.155969685185975,-0.476513173468904,-0.195769841328756,-0.420289192869026,-0.181603957750714,-0.259371961096069,0.0921571078708829,-0.0158673303388376,-0.10113501916289,-0.213580980426898,-0.179470792876684,-0.325282393218802,-0.162022243165997,-0.329606146992599,-0.0877766403428333,-0.606730444687935,-0.226802098998598,-0.2981917048301,-0.195231074873673,-0.24585454311419,-0.147016164410884,0.007827809822759,-0.0289907313691794,-0.19730319684388,-0.1285702633527,-0.107493533498391,-0.325496136176323,-0.17648555971766,-0.0209733422869418,-0.154567628785327,-0.0725953500632602,-0.166326469923324,-0.147276829832162,-0.133143234036996
progressive,-0.0431883704546588,-0.453061919133409,0.0848095252779706,-0.172002768298029,-0.444298407695118,-0.0959173441171829,0.0439560697856798,-0.126036516016746,0.262162530947599,-0.234474707963191,-0.272165156972372,-0.559072378196699,-0.178269095426349,-0.2001018027826,-0.163541327900846,-0.221391057378025,-0.236456647045808,-0.206643235971258,-0.126455906620391,-0.273322353390137,0.0244843945605375,-0.41940027549859,-0.438392068978077,-0.359601479754374,-0.444352936910243,-0.331603679233348,-0.491785447050554,-0.140159221809768,-0.262670461074336,-0.102711828707297,-0.0492342114653341,-0.0293902743863989,-0.122269682384835,-0.225805039476438,-0.188246607061379,-0.112290387987563,-0.435924511392678,-0.405420225345998,-0.268999551123813
progressive,-0.0886010982505755,0.029113146633476,0.301628313597477,0.393846758920032,-0.0405386878497397,0.22139442392667,0.439348172757325,0.20455531512638,-0.0514881162637574,0.0325965920272516,0.523507937590492,0.314481299734514,0.174403712234495,0.188797455625665,0.114802928400189,0.106428073545322,-0.0163068960623656,0.41268263230137,0.169814783265417,-0.46139776191195,0.0320760156993882,0.147164768628271,-0.0297966908379314,0.190836435417572,-0.0104519170481083,0.111345269304221,-0.52399260916629,0.236840196336237,0.131405741400591,0.0659010443800923,0.0333684160230244,0.0270793023854551,0.144840157103516,-0.0017215340498232,0.11173332965261,0.0983839488223422,0.142815597894708,0.238020551454381,0.23248824583235
progressive,-0.0968046115878818,0.197463167932538,0.0087929411595356,-0.15172178477556,-0.0663237763404843,-0.0885535221548828,-0.179586931185404,-0.0072359367500354,-0.0758307917849465,-0.033133872957647,-0.236242432590287,-0.134440004357758,-0.15468055890236,0.106011601806169,-0.149876471554502,-0.0811046329368268,0.0246168779392393,-0.379501630854169,-0.0312936259423564,-0.206846227703472,-0.136361608069116,0.143041270810818,0.168348532564591,0.0636102873051612,0.187023122405462,-0.0131530277692351,0.128819739529204,-0.259751562733855,-0.0789822271317501,-0.155246859108038,-0.060885540575573,-0.0541523396247904,-0.0435756994847498,-0.138766476806538,0.0413756287354632,-0.138328915191464,-0.214116559300013,-0.204892875941382,-0.179818976844412
stable,0.452745261061777,0.0719527028472404,0.431521400702038,0.213383799663326,0.179770781087708,0.406124027306283,0.188538162263448,0.0933876390531665,0.261300266077996,0.158517442823911,0.157374216995969,0.111539754138845,0.111332969554366,0.136430532873121,0.114603717876295,0.160896851891029,0.35780166045466,0.170655389329388,0.233000723494122,0.0455006090957508,0.31862358760431,0.025445116308001,-0.0296526821310774,0.117332795507283,0.257127001310047,0.0330280098974977,0.327697938290938,0.0125445720084011,0.105704240909274,0.054909828261501,0.0036286107475488,0.308835041695559,0.217414153429608,0.127312985903443,0.0569567688211467,0.162732361617214,0.250808744216806,0.189746682367224,0.151701611412377
stable,-0.087102024087761,-0.103401904673975,-0.234730654769427,-0.091580473972432,-0.128438758939665,-0.100754275226245,-0.203300147423849,0.107175253034497,-0.314803539094389,0.0480402562155712,-0.0678270497277711,0.107482230241894,-0.0169779239046674,0.0208672904938698,-0.111944538547736,-0.108625102201707,-0.239359094538009,-0.241579431393464,-0.175687429346835,-0.127021163256114,-0.334946075039538,-0.0643109251266184,-0.141852240064376,-0.163987111895431,-0.165020636975229,-0.146404941439333,0.0316894697668319,0.0747184510177033,-0.0389470208980408,-0.123185943796753,-0.053740029447204,-0.37855518162639,0.0847709450028531,0.0046449102674009,-0.0257403406208739,0.0263791633373293,0.0300046672910467,-0.117761501560392,-0.0903086741810212
stable,0.0199960938700287,0.126505422547335,-0.0795379390906673,-0.223124531827277,0.178459655530075,0.0549579099280682,-0.252764761046988,-0.0894050958934399,-0.290453094742577,-0.0331188998417393,-0.187079035570663,-0.0838351946622581,0.0012382963865496,-0.0493340783513598,-0.0414498850139387,-0.0589037266089881,-0.0629611515999872,-0.124806001528571,-0.192940961795907,-0.291418236311888,-0.0942685019825961,0.200397217248653,0.161215820160136,0.0178426667924766,0.125792319169958,0.0311211691613549,0.525423340964053,-0.0366208561821436,-0.0566795854694008,-0.0213109400961561,0.0190382059676359,0.0823209534402156,-0.0570754186278918,-0.0445145121228899,0.0001926105299742,-0.0830875874556274,0.174686277813886,-0.0450406027588427,-0.0543981588631613
stable,0.158765633507983,0.135623859325104,0.11478196657893,-0.0903478600530569,-0.0886650911883219,0.0445288167087679,0.104990007836773,0.0037888045634763,0.155759478668882,-0.0141304000555846,-0.0882190341702422,-0.310961186548426,0.0642084375042475,0.0529136555028577,0.0401673599491636,0.0455356345377417,0.0349049085737829,-0.0290313387065349,0.0420967345836896,0.127296245585431,0.174783364319502,0.050836251620303,0.0928315834242175,0.0972061043957007,0.030671028160204,0.0747580144760869,-0.0745088201022552,0.029389211532337,-0.0390832844238178,0.103610063944322,-0.114064826087783,0.096695841432816,0.102767746337061,0.010639646037631,-0.0625120952146615,-0.0697400069251803,0.0041304810090631,-0.0317450012716791,-0.0186437239275606
stable,-0.159190888049833,-0.472972045311001,-0.307126638373932,0.107065101030222,-0.251723987581071,-0.178823559851278,-0.194613366174784,-0.003516124227144,-0.324731949080041,-0.153658075144166,0.237508105465688,0.205223622921388,-0.253414018592586,-0.140600041383295,-0.247323231348339,-0.201932609677895,-0.413596330653584,-0.0502107432890289,-0.315517973973638,-0.156669916081528,-0.4024797935973,-0.457903034054403,-0.469673799400098,-0.415752799984143,-0.475229991762616,-0.477701520790653,0.0848256124664349,-0.187536907428429,-0.134051674064958,-0.256376301440064,-0.173440406893238,-0.326911744432763,-0.0139828060150097,-0.241385271370212,-0.101179132124459,-0.117045793258702,-0.0016250473652563,-0.104213140447321,-0.116364592881558
