group,CD274,CD273,CD275,CD252,CD137L,CD30,CD52,CD269,CD10,CD279,TIGIT,CD294,Podoplanin,CD146,TCR,CD32,CD196,CD161,CD152,CD107a,CD1d,CD66b,CD35,CD57,CD272,CD58,CD96,CX3CR1,IgA,CD66,FCERIA,CD124,B7-H4,CD193,CD1a,CD158,TCR-Vr9,CD337,CD307d,CD319,CD94,CD150,CD85j,HLA-A2,GARP,TCR-Vb13,CD360,HLA-F,Podocalyxin,CD224,CD258,DR3
progressive,0.0247028673501644,0.0596697983285351,0.190288213926837,0.240786252871111,0.24717204871692,0.0789103918377483,0.256987680263832,0.0074476186042567,0.108689768995118,0.121047303336523,-0.061184501255191,-0.0189747197840359,0.0438176386752346,0.178105498166975,0.103511602122291,-0.0781993622786409,0.115132781685371,-0.0753948873103704,0.199562350873051,-0.0053335675853191,0.0467445275263768,0.101548353617217,-0.0394351766977566,0.0772564428228643,0.0849563963633397,0.14262358551965,0.204866268032598,0.16114418648082,0.0614062312400125,0.0693665837811314,0.186891328987036,0.0397426446043843,0.076077064747454,0.237304127379426,0.0970016428533178,-0.0259358971203138,0.188972077619269,0.060785729766306,0.0627832025049778,-0.118035500334622,0.133103210827525,0.27373521445057,-0.0270800602999577,0.0994987502727777,0.0668892959446782,0.0635629974771328,0.0047820836162677,-0.0284283067362105,0.028036912692948,-0.0052890395282909,0.132019963930998,0.190736054261191
progressive,-0.0712522318767807,-0.130771146683908,-0.0606547640013136,-0.232385636797833,-0.144044120582089,-0.146548488642301,0.0750265049301378,-0.137355772421276,-0.0763701953505463,-0.204499600489571,-0.101516288931588,-0.133729166940535,-0.164189098629475,-0.14663601481707,-0.202586313069394,0.0801980050061373,-0.170471840361728,-0.166905646583945,-0.150227584918764,-0.119100613802718,-0.170015150855991,-0.133188308293476,-0.465783053144099,-0.171931622297619,-0.0809181769192944,-0.157228897559638,-0.135366824887115,-0.149222418140017,-0.158628122556632,-0.132643575078013,-0.154267184690217,-0.130940619125064,-0.227332162572352,-0.154782770189713,-0.107157249001113,-0.112165865450336,-0.14786111730581,-0.149454598351267,-0.201069988041596,-0.138765431253825,-0.156155392641348,-0.148864867136384,-0.0330364565776229,-0.114187023623646,-0.195017794032152,-0.216171972007995,-0.0396051955642663,-0.137196674329931,-0.233284188254456,-0.374491687663134,-0.216974899520359,-0.17124829462436
progressive,-0.235584488233413,-0.269569373087304,-0.265563906875414,-0.31174552378769,-0.319628251328876,-0.334746259343882,-0.138101411123477,-0.301946111012318,-0.282010000367045,-0.33238993388411,-0.240085805933034,-0.331849562756195,-0.392341707167022,-0.251294942582208,-0.360665369606039,-0.37750452900992,-0.132986940521297,-0.225795746540568,-0.31097541990955,-0.289058611462129,-0.386444434221396,-0.312723678293546,-0.566715617942882,-0.193771618815708,-0.21674002999768,-0.46763612415761,-0.300643550258441,-0.362133812799769,-0.439969297071854,-0.231776739812344,-0.308568266362403,-0.244218863929955,-0.365811768783749,-0.246927189569025,-0.343848521175001,-0.188136267141409,-0.303951906999436,-0.340111736025532,-0.389212727714545,-0.258358470881493,-0.281008210152991,-0.349194287355466,-0.285266740192227,-0.334265231647404,-0.357449657584681,-0.340159396674441,-0.199621838365141,-0.322507050388276,-0.365047368607181,-0.421996680235211,-0.342888467132455,-0.301742660636437
progressive,0.036780561025603,-0.0199138871690412,0.219569878241028,0.0757731766170791,0.189788477370355,0.0344666595770265,0.201655302675701,0.110668993214554,0.100489615505931,0.0954978054874311,0.153229071279945,0.0231120067982174,0.217940711235288,0.173641223638132,0.16193871252249,0.149034605340686,0.168072536382833,0.144845925963908,0.0810188692733456,-0.127082179032364,0.131356370501513,0.15880890745789,0.131537417740978,0.180913379933921,0.122005557016645,0.0650604884763055,0.140982760186327,0.148411348588295,0.0617200251436574,0.13430909314674,0.180232270959533,0.138193824928346,0.0494815338146886,0.113381717664205,0.154861688842203,0.275279143175829,0.0552612429993261,0.0844235261766619,0.115345341881161,0.0749404204505775,0.120379397526625,0.123717061938116,-0.0231532259213518,0.0389823278152262,0.0759696959675834,0.0440838303313317,0.101078839403736,0.0186240369448378,0.124959139893749,0.199554836054103,0.097907600198453,0.151055090544296
progressive,0.124228126126197,0.154643340620172,0.125937858569998,0.128712000566264,0.214489554195244,-0.115617531538082,0.0781707706341603,0.136040412723962,0.0888806521611238,0.0518734174463767,0.0843888562467289,0.104270098862383,0.13398224590387,-0.0047959077373395,0.114451941332328,0.043363018029228,-0.0070724603804361,0.0123045171301422,0.0291675822369562,0.0326459850036323,0.0141323687525448,0.13964820207295,-0.111090563629113,-0.0783675240054762,0.171088253699093,0.154374179746225,-0.0196820468619869,0.165574481617332,-0.0511494517605882,0.0979824595344459,0.258692253039369,-0.106808493610862,0.0856931405840568,0.166769553741391,0.0896311595485692,0.176160048712809,0.175413602526967,-0.0982000430804453,0.088524757761491,0.234860517925867,0.129566506798541,-0.0229038315837531,0.13795447925545,0.100401799943744,0.12967428085181,0.124191735599169,0.14709983665711,-0.0424732719524177,0.0332872061589335,0.0901568066978316,0.203602149932919,0.19058781515673
stable,-0.262115753555996,-0.249507404178053,-0.306623133298964,-0.325355592774302,-0.276630987212686,-0.338412578925656,-0.173988009596754,-0.341224982137091,-0.253605644161169,-0.240715891875412,-0.169752858054652,-0.315044566364917,-0.384768031520878,-0.228863139421031,-0.305146333649584,-0.412325729828217,-0.252463657759479,-0.22718448922007,-0.298609965574523,-0.417414903730661,-0.367819767360821,-0.291848129284433,-0.60586460658832,-0.129115296210747,-0.246503840721918,-0.450590541738111,-0.260402336979789,-0.305945783134797,-0.245096951778281,-0.282189914964187,-0.241479466900619,-0.249568773766402,-0.298959174649416,-0.296937993398729,-0.293169691149036,-0.192260654122699,-0.328939340920832,-0.300044926999847,-0.327401795989477,-0.210711911141299,-0.257213712170683,-0.320150665762807,-0.402242947497824,-0.305088536135801,-0.309542904254786,-0.384625251724563,-0.241708002951623,-0.352697394993136,-0.302883975187415,-0.419570889847206,-0.349205445208902,-0.311352889346776
stable,0.0571055307658805,0.0457172469324291,0.119353704252003,0.0042585251751855,-0.0273566285263414,-0.0070596234166082,-0.0470764106878926,-0.0524869725504906,-0.0066161052226385,-0.067953846100478,-0.0114092317722656,-0.0309251328969745,0.001083067137727,-0.0185861050421104,0.0560165507178378,-0.156244893030431,0.0158893550870511,-0.142019456312916,-0.0739742985134863,-0.0431231071455429,-0.173253418551722,0.0920427146208556,-0.131741695843358,-0.0928752073759276,-0.0035189529171964,-0.16543485522861,-0.139342769243089,-0.0262933335133975,-0.0037392998279403,0.140744557982705,0.0186672948822304,-0.199641924405333,-0.0391730388910449,0.107477312595982,0.022723796641622,0.0141922592520675,0.0152352284697699,-0.0125153379407966,-0.129009362658392,0.114178023002169,0.033670734895567,-0.0655033176477885,-0.194047772974264,-0.0592037064560906,-0.0072777572307999,0.0123322217193538,0.0459960308364358,-0.0335143399825941,-0.0473072588384147,-0.0200660123778771,-0.0178597898135173,-0.0314432116878373
stable,0.0709134089938255,0.0777041144838328,0.157250004009675,0.0534444275669643,0.142796313195061,0.0443320677433417,0.166403433086346,0.0601496554353931,0.0318377978198619,0.069243534471202,0.15524461822873,0.0296872596301164,-0.0029125209768847,-0.033249890325634,0.0181850958054075,-0.198196168684019,0.0358868338059687,0.104571524077644,0.101757506071699,0.0354243670512502,0.093903350819244,-0.0486916946540933,-0.383620034326398,-0.0121521267277776,0.0664965470265741,0.025686992802733,0.0503039150496924,0.120255345958123,0.0476788088896778,0.0460655626840519,0.039151346847772,0.0627132463429289,0.0912500147001987,0.0730785144997096,0.0553093936061536,0.0191890580733931,0.0562703976210595,0.0516774497512958,0.0757364054368011,0.0606131878595145,0.110059482812111,0.0970468679395187,0.196276348529832,0.0746962505831702,0.027189199887406,0.0510413238616126,0.0724410258863877,0.050475942288662,0.0602272779215233,0.0014216031419538,0.0489127191986307,0.0540686423125293
stable,-0.0714534963074428,-0.123290009854354,-0.13652230555659,-0.172058345295639,-0.226261309566693,-0.147095465006636,-0.141391842363588,-0.193702685376062,-0.131994563398354,-0.0645870813695886,-0.113279305318494,-0.204507055458812,-0.196107608485837,-0.0419862796211251,-0.255169078250657,-0.246272000969198,0.0659497590482341,-0.105920553439202,-0.172249070996221,-0.15368992031019,-0.142418821014044,-0.359504111821252,-0.221613148477875,-0.159748840739649,-0.121621933058467,-0.246067558040374,-0.134308038298273,-0.177119740140002,-0.277290741096219,-0.0871506401673813,-0.1987296890481,-0.162116500917507,-0.167026233919639,-0.156395076013826,-0.187362462666546,-0.236347836248881,-0.204994999938487,-0.189907483221324,-0.204434384838994,-0.187220460413957,-0.133078979576581,-0.225132362068919,-0.24881144703828,-0.179201038594731,-0.180702420074542,-0.226740390333836,-0.10858147080683,-0.154609288549394,-0.19287863886516,-0.193770727759326,-0.188261988430643,-0.111870378705289
stable,-0.0352892533228272,-0.178539224716371,-0.139065858673633,-0.134144735322113,-0.160538015834396,-0.20500173891565,-0.113646509641795,-0.167733555423629,-0.280368727889524,-0.148413286449929,-0.0937954500743298,-0.22621798107999,-0.205954644214553,-0.004941439684742,-0.195882421540883,-0.286863767079678,-0.0393184773770913,-0.0590331580598139,-0.0592064212139458,-0.237936066933964,-0.0569217714599732,-0.346947964629987,-0.0639692409694415,-0.0244924390120149,-0.164946713641902,-0.20575929561484,-0.154365968216836,-0.201984124680511,-0.238587258168366,-0.29636114599233,-0.126018263029669,-0.138001418347708,-0.216414872922421,-0.0859493405487748,-0.0987091390255191,-0.0830513193445272,-0.0579924444807832,-0.150494328968188,-0.188382852314481,-0.0395852001581882,-0.139685829669077,-0.21422478253518,-0.180913296816853,-0.123345048376047,-0.134322115652606,-0.120745027725651,-0.0542019121346662,-0.196685996069555,-0.186226324388013,-0.0432664084820295,-0.181765057350321,-0.227786645939675
