group,CD80,CD252,CD137L,CD155,CD112,CD40,CD90,CD45RA,CD194,TIGIT,CD335,CD326,CD31,CD146,HLA-DR,CD1c,CD1d,CD35,CD278,CX3CR1,CD370,CD54,FCERIA,CD254,CD163,CD226,CD49b,CD28,CD38,CD71,B7-H4,CD204,CD144,CD1a,CD304,CD49d,TCR-Vd2,CD209,CD158f,CD336,Ig-light-chain-1,TCR-Vb13,CD82,CD101,CD360,HLA-F,DR3
progressive,-0.0255067793630781,0.0339585591042659,0.0220061664995161,-0.0597662969200724,-0.069291773910998,0.0016497478776634,0.156334172930298,-0.0469009165529437,-0.0983993559540215,-0.0829348695299309,0.131674365320803,-0.0455923721337838,-0.0039009298104396,0.297910876193888,0.0409729416437001,0.403025829712892,-0.0302848157765648,0.0671502925423774,0.138043982655774,0.048021836983228,-0.0324082222603269,-0.174448417825833,0.15409083145624,0.0353369160597602,-0.226657371507369,-0.0095145378663623,0.079567260164752,-0.0300013301722775,0.0744074141175334,-0.195273870754401,0.0516614198783656,0.0338800425104573,0.0433091372807879,-0.0117137052702794,0.202667393879908,-0.0487347564918832,0.122988796640677,0.135776582904661,-0.0715368118758107,-0.0027769310780671,-0.0107196356556155,-0.0247354293533277,0.103733410029169,0.0227332898945687,-0.251476238146968,-0.0261738758996877,0.0308424257954266
progressive,-0.003308485622925,-0.0548933396638,0.011530819158906,-0.0262508519496142,-0.0311723306279827,0.0391548331799997,-0.0275340772241486,0.0990064723461355,0.0815790427490852,0.0275733370942212,0.0800194414950682,0.0011883086029947,0.106169569890494,-0.0608162322874157,0.306011066240614,0.087533865411982,0.0007614291499339,-0.352249903509299,-0.007379669562904,0.0487616225265694,0.0455463797442787,0.450904520533224,0.0110187697263789,-0.0047919352802141,0.127246698444766,0.0432539470827488,0.0749507218427983,-0.0235582957934464,-0.280991470343747,-0.005890250127863,-0.0053992046600141,0.0337665352842181,0.0212318339578565,0.03783735367448,0.0270101350697792,0.358307352103151,-0.018267386242087,0.0072699114799364,0.0414309553033863,-0.0101609811647906,0.0764009553229578,-0.0191017522419758,-0.0277096762434296,-0.0360000886164255,0.0954553706027389,0.0581288908094641,0.0257580374539317
progressive,0.111792592725041,0.140725485879719,0.16071654218051,0.0344184117615272,0.147891464684833,0.156193622684046,0.188022574712937,0.418774830537166,0.0709129709018878,0.18106659776654,0.0571864626404492,0.152424118684803,-0.0276379388100305,0.102756915967604,0.290073255286161,0.0973428095963204,0.125535873502943,-0.333271428239615,0.139635629417707,0.138606466742712,0.102153955837852,-0.0559174827244534,0.11315870936196,0.170118792743772,0.109915409147588,0.0817753678649647,0.0329948064974336,0.108391435944581,0.130745572742583,0.24863064085426,0.154811455452892,0.168760870634531,0.180420960543109,0.116273267527416,0.110156607373055,0.294201712077776,0.0885468350979087,0.212472684763806,0.143575198953142,0.123198114379497,0.112190061860028,0.140620690980244,0.0216216894925174,0.0925480231681997,0.102267914970457,0.139627012407549,0.0843876187214677
progressive,0.149781506431821,0.230436094697791,0.283573858843451,0.493146599837661,-0.077849977643741,0.135019166068137,0.0470145742474325,0.278204092977953,0.220381668216878,0.100851040232797,0.140076916771771,0.218199512216815,0.191150265530274,0.233707028288221,0.0044060514662074,-0.0637886327176049,0.169263161672858,0.501429474732987,0.197668098546703,0.208868547798914,0.195684366349817,0.172515730006274,0.219874417513692,0.0482008685525148,-0.0297089602141405,0.136256321759014,0.174851035063915,0.169100512805202,0.0981322462689847,-0.416187335101177,0.0454543870845151,0.0822048346546278,0.188193140776868,0.136002908205008,-0.0195161367753948,0.122254686879777,0.22308364381826,0.0463963045062706,0.172251731858341,0.147873893959512,0.0591331983951882,0.152751713578181,0.257787916405883,0.304742386137716,0.0817136290796633,0.138643600763499,0.210369419573049
progressive,0.19356011315016,0.0227826022785587,0.0101634879874499,-0.0043491787072181,0.115260366649836,0.0441493106012669,0.0426322795994411,0.147733384615581,0.134996488552351,0.000818379087496,-0.177841906689989,0.335313198846976,0.155801069729008,0.0896887095161742,0.291872075685167,-0.0963144600483796,0.341488699739363,0.0967988572247414,-0.0594426615804237,0.0131031585853103,0.0392112736017912,0.208066888818012,0.0931453937379495,0.106340513918163,0.124967060347131,0.248218317886509,0.213247719031678,0.07401048734333,-0.0715310208373771,0.272428439952313,0.10579663897544,0.198423694599612,0.0885177402786581,-0.0230594617013981,0.0043451524135509,0.172683264118128,-0.169791947611535,0.00020780257534,0.139241981289252,0.188499203136837,0.236776157572308,0.173862894566803,0.0396001804884971,0.0585079519524024,0.128297662002607,0.0132724012092851,0.115962921851571
stable,0.0821906675222526,-0.0469736134558758,-0.0620181397899433,0.142208506264378,0.0193916914515895,0.22787520352782,0.0485165823966861,0.193512844580884,-0.0151873258624695,0.060281470907573,-0.127175069929267,-0.0077303526492224,0.115331576587868,-0.13838831739988,0.134826943583054,0.0412034249302933,-0.0532819426666195,-0.0726662645353976,0.0084961222431986,0.0308874955330903,-0.0161409066449606,0.0638649547708368,-0.0397297272884245,-0.0779521529226815,0.132021930766472,0.137306832362398,0.0723994727800636,0.0497805615047894,-0.0312851320205235,0.294941747746741,-0.0610341568588116,-0.137198068772025,-0.060536280926163,-0.0186407996360625,-0.146198038033034,0.0458794757273775,0.0274164661902455,0.0119020450886527,-0.0615487335592348,-0.0705927119080907,-0.0746729932233483,-0.0136527878992873,-0.0078712163886665,0.0507802414765717,0.0262426732124844,-0.0518628045149313,0.0536919626120785
stable,0.236514162636674,0.101448319265631,0.233926252567447,-0.0578518937962719,0.0445184532109313,-0.0078451323660497,0.0755742617899874,0.129664709416789,0.169212339910554,0.105025933572754,-0.0639605801389727,0.193918422000181,0.176537196854068,0.102282043411437,0.629690605467114,0.039174679770549,0.162344008859857,-0.247486652299165,0.0587025407117054,0.204517360410633,0.0415363466102407,0.377658867231456,0.0680757731217854,0.125756281159926,0.1424495636419,0.249156374569122,0.127345439210264,0.0863646849946933,0.0406048802466127,0.178650127463498,0.144470306981732,0.203606935122987,0.196231051582606,0.20494149027442,0.142910976608451,0.444145704183427,0.122186465440165,0.134614753866465,0.180692890256858,0.204445637163667,0.157871211995335,0.14471348375872,0.0495470664333114,0.215922114318334,0.213441611156317,0.207878858800162,0.223010548513384
stable,-0.0074535903100966,-0.0440746681758222,0.0009934503229593,-0.255977691629926,0.002272488751061,0.303418457743281,0.0876287964809808,0.0188694390386282,0.0547265798868055,0.0637154707681947,-0.0062391902490072,0.124285148976991,-0.357373321969752,-0.0342094944946436,0.371956066631047,0.0114905827251792,-0.0474376692283161,-0.451019082602864,-0.0021849640518816,0.0132247785743762,-0.0673333121682534,0.205734182829252,0.0527841203460687,0.04905614277027,0.0064746702499492,-0.0313460274978748,-0.0500082904006904,0.0861442280573347,-0.145335270838097,-0.227255541542861,-0.0250535329450525,0.0039327114176909,-0.0586843120649022,-0.0633189858030326,-0.0917646954302692,0.0627188857188626,-0.0457305760215736,-0.11463708065635,-0.0854700691734939,-0.024955323304362,-0.0794937104751995,0.0418283841444532,-0.126884992994289,-0.147593766340458,0.0394859318134014,-0.0378145551192708,-0.0592371616017567
stable,0.155886134752272,-0.0483243407258721,0.0119184104407153,-0.284000802526041,-0.016074634675442,-0.0018552351485575,-0.0151804676946439,0.0781870923982734,0.0116754789295147,-0.0289776041656312,-0.026960677436094,-0.0035781927987371,-0.193250178593712,0.0321789574121927,0.359411495957079,0.221866570803062,-0.0902094574248339,-0.557047709307897,0.139797106794424,-0.0211436736815138,0.12178747716003,0.145737995798799,-0.0110368037502214,-0.077123382853848,0.140884417664259,-0.0502343416381133,-0.083768171591651,0.0313265205300114,-0.0983005434867093,0.0735147895010885,-0.0602063798941294,-0.0272582406142864,-0.0571805011869541,-0.0136251025886984,-0.0502609259291838,0.154442119479537,0.128332596899734,0.0364919935361426,-0.0574409237930205,-0.0134668254072473,-0.13964416604485,-0.0758485445607336,-0.256563997326573,-0.0647252518924785,0.0388428817397288,-0.0950869020534976,-0.0096693254850542
stable,-0.167891011927771,-0.149597488832814,-0.251350413711072,0.302766395014147,-0.0626912736047071,-0.269081614419588,-0.0937422179420324,-0.0422359922843335,-0.172352158427096,-0.184387867047645,-0.16699598066227,-0.0936546638987022,0.207158594207808,-0.102379190865906,-0.481021631828972,-0.0479874495017671,-0.104554166607625,0.346879344894747,-0.144845561963651,-0.188867740472333,-0.133468026812077,-0.354109686309194,-0.149936909387148,-0.233673662252557,-0.135184681239222,-0.218442795367687,-0.250461091946569,-0.131027231838247,0.0799888901570987,0.412881257045591,-0.215741207698342,-0.272704292824134,-0.0646641193705052,-0.115998584270621,-0.295468936060421,-0.190265211410767,-0.110492627501714,-0.100813734788252,-0.250944306434282,-0.14256186281412,0.0601340121953891,-0.179488105529714,-0.0814771587225788,-0.0890095062665874,-0.162780109456681,-0.113930011288286,-0.205901566953142
