group,CD274,CD273,CD275,CD154,CD56,CD33,CD34,CD90,CD10,CD49f,CD4,CD14,CD16,CD45RO,CD335,Podoplanin,CD5,TCR,CD32,CD103,CD152,CD107a,HLA-DR,CD1c,CD64,CD66b,CD35,CD24,IgA,CD66,CD244,CD206,CD54,TCR-A-B,CD106,CD122,CD41,CD184,CD226,CD49b,IgG-Fc,CD18,CD38,CD15,CD71,CD193,CD36,CD49d,CD73,TCR-Va24-Jz18,LOX-1,CD133,CD337,CLEC12A,CD150,CD85j,Ig-light-chain-1,GARP,TCR-Vb13,CD88,NLRP2,CD224
progressive,-0.351972579783569,-0.451755104034515,-0.395283056803347,0.0121105757720797,-0.229483083985499,-0.149917523200499,-0.351937611646318,-0.107003945676946,-0.104185317330279,0.0704454565338426,-0.276477089699608,-0.0367092306913072,0.0476357238625315,-0.466842398814978,-0.119228223545658,-0.370727133293159,-0.0719751604150972,-0.315966499010996,-0.0834521477246304,-0.110082882047967,-0.273923460798883,-0.196038239691507,-0.0351527336297443,-0.0195385482125027,-0.426112674882399,-0.303761630391046,-0.353745899577307,-0.354050548119005,-0.388394741813705,-0.384711645220572,-0.110498173854678,-0.363455603001671,0.126609182239262,-0.231664478140569,-0.0407702172934115,-0.439732879766629,0.0607058243358429,-0.391703142474397,-0.0655489807916335,-0.107231045475833,-0.353672699698618,-0.018752401287322,-0.279766552758912,-0.320840844751825,-0.227196052970057,-0.407542746458942,-0.158763123058596,-0.0181866925548284,-0.0698435803341198,-0.157761917627782,-0.382672061523351,-0.192985680368161,-0.232626242747049,-0.310659645032816,-0.386941768571361,-0.2365786211086,-0.358771982781032,-0.223190891687545,-0.3906100832618,-0.173931768528143,-0.207908586816898,-0.458903119967723
progressive,-0.0973012467473751,-0.118668649522658,-0.202567418991213,-0.104513591447456,-0.0792485651524083,0.0044597869351699,-0.0758809623814367,-0.0959900108158125,-0.219591794143377,-0.225473656455948,-0.240387538500893,-0.352222928555879,-0.361065862574365,-0.0984206586007705,-0.143709091043817,-0.283826302363541,-0.0879230516223564,-0.202355794660694,-0.428950839052007,-0.0434637612438724,-0.166009587755446,-0.379562843793049,-0.365931170659169,-0.0117528174430137,-0.148269746637945,-0.28485351809883,-0.0651888721369285,-0.195647781104367,-0.279945122737842,-0.194927583054884,-0.356568937535063,-0.10050186916035,-0.439137706819555,-0.190289114832602,-0.106728033285239,-0.199133718216514,-0.34322480001503,-0.204079504556042,-0.293947991144856,-0.208132487728833,-0.314574950888186,-0.341014933941558,0.120123290872613,-0.178347436033057,-0.160265303323561,-0.202581223806734,-0.17064897796279,-0.110437289246312,-0.138091633368655,-0.184403489440394,-0.138042859654231,-0.0892655763804453,-0.206246203975535,-0.196645217936521,-0.180399601433364,-0.374395865123513,-0.319022340998359,-0.113116918968196,-0.217409886822974,-0.376153011693279,-0.195982372218116,-0.131714489773774
progressive,-0.0074076530531854,-0.059470093220091,-0.042110862152417,-0.0594446066084677,0.0859036065945381,-0.0489356393863349,-0.0717223871301878,-0.0102268573061599,-0.121761101854067,0.0544263453100983,-0.453387755333076,-0.253621250158216,-0.33918093962724,0.0051258647142286,-0.0231688138383522,-0.109924617743539,-0.0931478523645513,-0.0936401984210755,-0.542377775846952,-0.0996483903203236,-0.137968834004689,-0.144052693500366,-0.662520879958309,-0.0835289253037783,-0.128814980921961,-0.120204432370738,0.143357087373216,-0.0667453454597492,-0.172508390401972,-0.043549904694551,-0.265210708081704,-0.112917272762679,-0.536895406752397,-0.129730649171755,-0.171030944951776,-0.0722264297913719,0.0307252299249199,-0.0470019102826265,-0.058823986027426,-0.0415333191507102,-0.0971283131329101,-0.0896184309347667,0.134026472265959,-0.126445390710762,0.293193236134472,-0.0880086092038374,-0.0145224418379487,-0.367424999391023,-0.0935871763374831,-0.113549391327585,-0.0523405795418104,-0.0053363671411169,-0.124024147420579,-0.056328368381455,-0.126589160058589,-0.399683797012123,-0.125859366476766,-0.0987123832982673,-0.0934187514491,-0.361748508565419,-0.131572062018395,-0.0480481768104682
progressive,-0.218408093000833,-0.0537874182994634,-0.197984227169326,0.0246797159652018,0.0490979274079613,0.118039667697186,-0.176252249096682,-0.113796382516408,-0.343123252513299,0.0682555083554717,-0.358893959269006,-0.156321816750983,-0.44607678317579,-0.0298076794630573,-0.165074974490237,-0.253564854321319,-0.283962314014658,-0.277914041516883,-0.438302062735571,-0.19974208847396,-0.32595490884589,0.0198217704259063,-0.113677931738682,0.0260318417520787,0.195003792687473,-0.495687629480092,-0.102817437844087,-0.352352209464943,-0.265181382697698,-0.310561228683045,-0.252614673184172,-0.199863567711579,-0.287524712878918,-0.12480315466075,-0.368970511599747,-0.221011340526628,0.120553459888797,-0.118485905424386,-0.27063617018894,-0.211526179788054,-0.117245024551887,-0.0256291507471809,0.309533991478633,-0.306973749090802,0.413482705386001,-0.226332222582579,0.0612310102501084,-0.217190471536631,-0.217899331009136,-0.242875065731999,-0.196270110630945,-0.0595269769912734,-0.15288272342241,-0.0662315564019502,-0.220040244168748,-0.179456671202217,-0.0315897313571976,-0.262046425262834,-0.0579432629086167,-0.331431685494412,-0.127378602598189,-0.221480518845546
progressive,-0.0765641049315902,-0.164784668068478,-0.118300794326082,-0.0010997955438073,-0.12413781230971,-0.0090482333197047,-0.0472821280023244,-0.0430449405146504,-0.0135877121874372,0.0856920109047086,-0.0745678247787033,0.0663968575593776,-0.0235864329953841,-0.0389045868571424,-0.116769902240406,-0.112910959634176,-0.114514422940532,-0.156490913359313,-0.0762785924257075,-0.0265719677320746,-0.0038578524034214,-0.0836254364553502,-0.0312745553118708,0.0156713377827981,-0.0565161338394943,0.113040435803436,0.0102901866178515,-0.0489902997518281,-0.0575885344883992,-0.126866312994286,-0.157974771509566,-0.0160852875490308,-0.32795057822605,-0.157936559651142,-0.0938816596680057,-0.0793604554056513,0.0516949348757623,-0.184999957795207,-0.0395047128794623,0.0753705709256954,0.0090254047820718,-0.0834551592502568,0.141161178083516,0.0241816439438432,-0.231569636366362,-0.0097304441690356,0.277234638786024,-0.213319882394908,-0.0237570734372789,-0.185546935544849,0.108342071134423,-0.164564081421431,-0.0108922058182816,-0.145508440944315,-0.153012626855122,-0.0278200626790096,-0.0580827670073572,0.134530030501608,0.0092636731243466,-0.166342914942355,-0.193344999200533,-0.0203700910660745
stable,-0.157693853472935,-0.258306290314496,-0.353198888938567,-0.357717015635073,-0.18138526254479,0.0094324519993543,-0.318154701418617,-0.290154459052755,-0.315070303305801,-0.234565440864785,-0.288925464861891,-0.279871391947682,-0.435221399751636,-0.0795464540983095,-0.262323072364957,-0.272897335754966,-0.215949688135196,-0.285450873357469,-0.269261306353773,-0.159942431122967,-0.337377184229745,-0.242975030425214,-0.313156903220297,-0.202290084195155,0.0741758704794585,-0.377501785281472,0.0914303365315159,-0.261562638245569,-0.341447218953835,-0.294976530134078,-0.126986486577343,-0.274137652732811,-0.39258312960616,-0.35700539041431,-0.238832965512146,-0.324781417679593,-0.175933087927693,-0.240229667791005,-0.36577096290961,-0.290596033915061,-0.176773799652059,0.0861884655573935,-0.07556769155239,-0.2669473794457,-0.0094891972954011,-0.176066830550549,0.0136015708323809,-0.286168847877341,-0.201611211235154,-0.302440009172317,-0.126375888234088,-0.102224222180995,-0.298059003942457,-0.301058789221919,-0.240931187197259,-0.275890229296485,-0.210030408208656,-0.190535531171428,-0.229736486278824,-0.326805168505897,-0.303920777518934,-0.255721833619209
stable,-0.0694773728422328,0.0740482946905904,-0.0415783492568421,0.047663722871299,0.0792635601317323,0.208743990643438,0.0606666127970802,-0.0516540732157187,-0.0518798765051415,-0.0942046626866946,-0.183681717888143,0.0088173089370968,-0.0503795819490473,0.0430560340280952,-0.0211147354717908,0.0797659764547935,-0.0513912737351715,-0.0012922809732503,-0.182500645477153,-0.0044008483621437,-0.0047935800968092,-0.0574054381801258,-0.483419731206331,-0.020503234757504,0.280132812066405,-0.0050113053284719,0.481628681822175,-0.038294302395791,0.0275059485252881,-0.0279457997556492,-0.0303690520469881,-0.0240441631774689,-0.340044775923316,0.0750328544147416,-0.0464341995849712,0.0330611951758496,0.0550521683418083,0.0011635311918983,-0.0859739058805647,0.0337724536911233,0.0578319388565953,0.180480604382217,0.122807999973995,-0.0247621500395059,0.107888864946344,-0.072624407941148,0.270217463118019,-0.202108547463838,-0.0120789854916435,-0.0544633159281296,-0.0449078256682101,0.118204342887542,0.0803113471257537,0.0472133804183313,-0.0087657672140904,-0.070786632711152,0.113092471838706,0.0076388114089336,0.0892389498412903,-0.0355738258200251,0.0878969867133158,0.0366260562346868
stable,0.052809414640703,0.103875692101297,0.0800150837054971,0.0263069703865619,0.0290630255061949,0.0166928993091171,0.109618230400593,-0.0027479248069028,0.0804590839670492,0.0819888303601903,0.309876082716228,0.0335520696602005,0.274741544428303,-0.0523733379280456,0.0897744566116642,0.0229513410758424,0.144440318254142,0.0241657960230468,-0.0485883714248686,-0.0039125949287746,0.124061693727469,0.0933364639329788,0.371471731730109,0.133268134246183,0.173130362637121,0.0664715020309754,-0.392444502672031,-0.0775670697801842,0.118875480719412,-0.025793856393359,0.0441858327299768,0.124530914998974,0.358622602394182,0.100380025667251,0.0509151183169519,0.124301760565389,0.121091389186753,0.0769676672329273,0.0802446885394609,-0.0090280426145944,0.0155947596588874,-0.105878100878602,0.0727058509332096,0.0878512650730013,0.25207826080882,0.0569780833466327,0.0579712659706326,0.479540631530153,0.141934837179788,0.0428792382777265,0.0528244417865184,-0.034775813952888,0.125180317538811,0.176925321762133,0.0370281638227639,0.330441778175027,0.194628716468878,0.0564957205971698,0.0369813774831671,0.019202630157618,0.0203738228855091,-0.0023496953210007
stable,-0.0887988705976403,-0.0144735658092535,-0.100128399146133,-0.0179154147584191,0.0122291890737978,-0.115349727024434,-0.128289302520889,0.0655487371813646,-0.034560214123324,-0.189196003469593,-0.241929049656784,0.009876028321503,-0.115146991205411,0.072491354988993,-0.0763771724267671,-0.0931120652616714,-0.0794776942802955,-0.0941173949355152,-0.230955338862526,0.0946035832308779,-0.0023532565200553,-0.0820922917321481,-0.623559562434268,-0.269092359047965,-0.0506622560617043,-0.0348063923681062,0.275974331482177,-0.0934566779880485,-0.0496204171477851,-0.0024569154392259,-0.161689067788932,-0.0603408304403561,-0.491896690058885,-0.0426882132507692,0.0503643229679592,0.0124876840831931,-0.196792016890523,-0.0321842722756817,-0.120753128816798,-0.129791205651823,0.0070402245695815,-0.0744465241390805,-0.0521927311532711,0.0480821631869554,-0.132904289301005,-0.0163506871478932,-0.140486734714109,-0.413271735857782,0.0418002776367349,-0.0419198261507684,-0.0289028418358851,-0.0492862068621809,-0.033453812603478,-0.14987377143802,-0.0121909294161044,-0.273345957232614,-0.132636564834307,-0.022307899702009,-0.013940694983846,-0.131552819161115,-0.0146771571610421,-0.0211770840987676
stable,-0.0035585828967255,-0.147363337327335,-0.184852071294925,-0.0578875399421187,-0.0081004547586163,0.136012702808444,-0.0415379798902641,-0.0511245245262977,-0.106904197232127,-0.256504704973936,-0.324145940529948,0.0434514104608136,-0.206674129222137,-0.0878977007468792,-0.0743712234038644,-0.140193907530564,-0.109120180939074,-0.141521583590906,-0.367383246828348,-0.112500461839079,-0.118404591408601,-0.363983876733183,-0.630168045175816,-0.142614453879693,0.296465114936219,-0.15189029938986,0.463774406531906,-0.118123060319599,-0.107957752939695,-0.231863844760775,-0.372609717504884,-0.143060063419058,-0.537226218212738,-0.109706814460178,-0.0940128481530923,-0.142021927659457,-0.221174466636345,-0.0727069456284243,-0.241740364284703,-0.239547475530928,-0.0847899292254334,-0.0405017637275217,0.0632861778039925,-0.197531827227639,0.513401462947031,-0.120586345928911,-0.0268844554029234,-0.418888667335964,-0.0910403998380879,-0.124582986658382,-0.168449568292489,-0.0610919367915603,-0.111359694889172,0.321378138982919,-0.169859978064957,-0.292652827656871,0.0287827795821782,-0.119829544224876,-0.132797299482392,-0.325910949773533,-0.11711159407332,-0.0190939252220316
