group,CD40,CD19,CD33,CD90,CD49f,CD194,CD4,CD20,CD335,CD31,CD146,HLA-DR,CD64,CD1d,CD35,CD278,CD11a,CD244,CD370,CD54,CD62P,CD41,CD226,CD38,CD71,B7-H4,CD144,CD36,CD49d,TCR-Va7-2,CD305,CD209,CLEC12A,Ig-light-chain-2,GARP,TCR-Vb13,CD101,CD360,Podocalyxin,CD224
progressive,0.291985007088674,0.048599497564251,-0.0886046866225623,0.0992848877630761,0.456073886180198,0.293021032043596,-0.021635089563413,0.151167909619674,0.0342995731345063,0.0981370971600956,0.0426283320323161,0.232094022301973,-0.128593355687636,0.189184594073569,-0.389609811941028,-0.0239226411669624,0.163154192899962,0.0785563121960692,0.200059350139973,0.0725679526977293,0.215569333509356,0.303772655833007,0.334581421830333,0.0658685310841886,-0.0480551111573564,0.201018404432854,0.168328400130477,-0.042319254724359,0.100113159308391,0.0409796614289044,0.0620716305725136,0.104624437421471,-0.223426590344987,-0.0926587425427124,0.256840114262714,0.205869199941759,0.141977693174104,0.100470442950429,0.333059300490024,0.128410511930646
progressive,0.0423858548710575,0.0926845967095054,-0.293998755554121,0.0270195867111882,-0.0136239935273009,0.0716925633999881,0.195128190836576,0.0964594438695864,0.015486037582161,0.161706524789865,-0.0123726339309543,0.323425140628605,0.146105393418542,0.0070637555748638,-0.340919747369493,0.0527751163861084,0.158369744160277,0.284645337768391,0.0002835471711228,0.596246193357723,0.17377637314831,0.243747323941103,0.0641004673481174,-0.352694583080399,0.0433271702850529,0.0116745283784498,0.0585224749491793,-0.181166187484422,0.335331545707607,0.0391573169212927,-0.0266983870385055,0.0322952570634725,-0.0474058170568486,0.0978684777275684,0.0109826558945625,0.0020883624796689,-0.0401523277330092,0.0432698769195807,-0.0281349248374071,-0.169674825932947
progressive,-0.0088462548494884,-0.126675801998465,-0.472476889173359,-0.160151285163215,-0.16917266671862,-0.0903361410162217,-0.0770943327721874,-0.147125604680988,-0.13121598443934,-0.325693349273691,-0.201359786347236,-0.0360559585433965,-0.452215266290495,-0.301077621524358,-0.159808141248809,-0.139970341683037,-0.182813697750931,-0.125468596682776,-0.167500969487068,0.0256257205171147,-0.0819800608575013,-0.123556873600213,-0.129922736411319,-0.522155567145148,-0.505239698816836,-0.172238329524458,-0.183863599612694,-0.337005753539438,-0.117721295314094,-0.0173740764505571,-0.464634336366419,-0.207353302501036,-0.333591660600349,-0.408490729432551,-0.138153558679118,-0.145296217358899,-0.311314886137477,-0.183821604859311,-0.144434365364973,-0.134637131585735
progressive,-0.0228987612792861,-0.0344655632541567,-0.0510039595665776,-0.0476941720249322,0.0009113366837071,-0.219601315217736,-0.250979287703034,0.051176717396882,-0.0959999347798226,0.0594750861576519,-0.227346477242862,0.0190673342877434,0.132965956397541,-0.159260857932454,-0.261834767265336,-0.236418973313539,-0.125432806814248,-0.0999726296911651,-0.148181887445421,-0.0164395219702631,-0.127150251639553,0.112727656285435,-0.0778150033656021,0.148163374911212,0.411103716706766,-0.0149257254371679,-0.114079705122255,-0.119862782390993,-0.132204861262145,-0.111204764888729,0.0088617393486071,0.0564990181927416,-0.249235176776785,0.0635755798569399,-0.240149729452514,-0.0231321604319246,-0.0899582890660344,-0.0236817443911361,-0.052675624866592,-0.230312135160223
progressive,-0.127896792820703,-0.230736245131749,0.389837613434102,-0.250264822616172,0.189668673213715,-0.319513258336493,-0.0799733213931719,-0.155980791454486,-0.132280968863894,0.189153065463107,-0.0607844057893705,-0.0120771372850098,-0.0437630485323952,-0.108629224352544,-0.0250756639731752,-0.232638530474431,0.239887312862618,-0.110139888256978,-0.087064623924997,0.190891994986458,0.173277218223836,0.280902432527343,-0.0089591397824587,-0.138113379920349,0.197111964417664,-0.237478510820572,-0.158795293453801,0.140875306640077,0.0499479906856079,-0.162618498516882,0.047224661815344,-0.174853878538498,-0.0141915152443383,0.0753321338052697,-0.13148577276198,-0.211459252970308,-0.126226549950665,-0.137854634706458,-0.20849737472704,-0.134348609534081
stable,-0.081762292200379,0.0942062120598443,0.0304624657050918,-0.090068795784588,0.086272214712377,0.106395141809181,-0.0282797236447568,0.133246995106778,0.171901924011361,-0.0131789879368267,-0.0417253447709869,-0.235148823941598,0.0131839705721761,-0.113431389459132,0.198826462231919,0.0751015122429628,-0.0851930452527101,-0.0819879335294932,-0.02862835986321,-0.114820574138472,-0.0056796467774744,-0.0027577767410562,-0.0857387727024266,0.128707319734491,0.0216999576503108,-0.0354898461733981,-0.137838531830351,-0.0702423158904179,-0.248332402613102,-0.0482804147686314,-0.0750660202254421,-0.0676211464868927,-0.0111934731349653,-0.0683377246200982,0.0047682906153255,-0.0486618631598544,-0.0476719646405167,-0.0595122646108352,-0.0920706745659617,0.0088883879507933
stable,-0.0557322576705916,-0.132857416577323,-0.133885125452233,0.0128091059653437,-0.377262471230842,-0.0794057444611406,-0.312204342508728,-0.015528969391952,0.034777355207714,-0.191990890681849,-0.0366063938886316,-0.577567075015794,0.182390865154785,-0.0308896225735775,0.193034516922577,0.114469236357849,-0.448361063577363,-0.0858398314669044,0.0156663411825962,-0.46404752150378,-0.270214355583156,-0.36678253346858,-0.230828275643866,0.039271566113404,-0.146485697071698,-0.0961850244061135,-0.10068265537866,-0.099122153631058,-0.379151786745535,-0.0814822162764016,-0.304156576727261,-0.066866787870974,-0.283069147128392,-0.0047820691104144,-0.0962779080868149,0.0064144101300222,-0.275335361537795,-0.116128640018176,-0.0750927350340322,-0.0260453070044825
stable,-0.215679569726642,-0.0764021116277147,-0.0758546862967236,-0.0903745017644939,-0.20829335402941,-0.109514414075448,-0.423962830827373,-0.0544994084758865,-0.112979615657033,0.0074638182021458,-0.143474514117598,-0.529445221379006,-0.248352454662623,-0.140164416946094,0.310937543135,0.0078731146525313,-0.228185830779185,-0.0771106958146194,0.0021087245746661,-0.528262803308714,-0.178999984052097,-0.25345836301408,-0.153660015666675,-0.0699905705477454,-0.0083541381484963,-0.0849867214382684,-0.0919975430888636,0.0119547037990879,-0.43167989540158,-0.0600539123579319,-0.258444385431841,-0.0732618809438161,-0.199107303841032,-0.2606388853512,-0.107668945533967,-0.104005503650542,-0.13088146595935,-0.0306474450864702,-0.0676570207772402,-0.0522741246619005
stable,0.0998036796964249,0.0819022544564744,-0.128226096445218,0.0666152485051822,-0.164476304055292,0.100611614430472,-0.301957657498634,0.0040171915869384,-0.0596917107708808,-0.186950359813857,-0.0889902764581668,-0.499005089307019,-0.0659460300995342,-0.125237703412017,0.145394506650326,-0.0118676490650427,-0.32484379654624,-0.137877409198231,0.0006155546103595,-0.497481616480352,-0.156194647994148,-0.225854686361075,-0.0842728291771565,-0.100089032001583,0.108890379955327,0.033109682676708,0.00164036570216,-0.148779412895038,-0.358844702099784,0.0307264998592002,-0.289850520123523,-0.0156806382074567,-0.307417580975804,-0.159214863662853,-0.0306195553746735,0.0334303279238152,-0.220687372301573,-0.0308841716622124,-0.0041582758353792,-0.0097203926963437
stable,-0.180508856052043,-0.120607644664406,0.176860946912108,-0.102163892238844,-0.202901454582909,-0.145731925341462,-0.352512019470258,-0.143356293955132,-0.0574910101129306,0.0726840063877433,-0.0655513349003036,-0.531941514187227,0.327116007598906,-0.105521408739201,0.57719254109509,-0.088187676606512,-0.20280764721788,-0.281833653749779,-0.0991433137251218,-0.388020127384136,-0.133576502933901,-0.167783149439769,-0.231690028261575,0.167789427209715,0.399465022154161,-0.18404863740452,-0.10330340525067,0.103901532588214,-0.38628674832518,-0.0835969702094439,-0.147316528478878,-0.132680328072224,0.349807762073271,0.179645065046261,-0.10228482140387,-0.114293002526309,-0.0987725804371196,-0.15566302952899,-0.0968793808711485,0.0305975242463705
