group,CD19,CD269,CD117,CD10,CD49f,CD294,CD31,Podoplanin,TCR,CD32,CD103,CD152,HLA-DR,CD35,CD57,CD366,CD58,CD39,CX3CR1,CD11a,CD169,XCR1,CD54,CD122,CD267,FCERIA,CD41,CD226,CD29,CD28,CD71,CD193,CD204,CD1a,CD36,TCR-Va24-Jz18,CD158f,CD337,CD336,CLEC12A,CD94,Ig-light-chain-2,Mac-2,Ig-light-chain-1,GARP,CD82,NLRP2,Podocalyxin
progressive,0.251159132694176,0.0005947521511828,-0.011700590154603,0.0208132163690066,-0.158039470381591,-0.192280679202344,-0.138123277856616,0.0194020366709616,-0.0222666479059655,0.0557664139077984,-0.0675401230383145,0.0123044986363043,0.165968522616144,0.167132540067277,0.0167571838982787,-0.0977391525395833,-0.0172743465135921,0.108397309936487,-0.0335250514668263,0.0453125722744494,0.0051573735537999,-0.0389000820717315,0.0238040321764464,0.0049348145479639,-0.0007957986643566,0.0855964537904986,-0.127434182474927,-0.142573310157912,0.0496592950875541,-0.118951363221723,-0.115574161574569,0.0457632837162259,-0.0885129303748669,0.0742484975145472,0.0925816094398166,-0.140673190043179,-0.22837131338357,0.0239410982515953,0.0214107322551207,0.181970664559162,0.0756923488388697,0.102972429509914,-0.0073348580727264,0.152682378121875,-0.0944738714230478,0.063882145172255,0.0800181222225773,-0.180538232121178
progressive,-0.0068973494906581,-0.0806127978243889,-0.198786243475203,-0.187982812490411,0.0963641190673003,-0.156996834537628,0.0736291716248006,-0.207233978130358,-0.20828252463396,-0.324920742169137,-0.113729069472967,-0.165874153616309,-0.140794117514122,-0.24102475813957,-0.0639951999957663,-0.0714636348397448,-0.149553202223728,-0.0533187024803409,-0.104213627484772,-0.135289373579768,-0.0252694855098715,-0.242376127047726,-0.212898195207082,-0.192629816561857,-0.21759267220685,-0.10946535642238,0.0717538606335497,-0.113147583621109,0.10169108870838,-0.0692264794569044,0.131698324434566,-0.134011657448928,-0.183200885674214,-0.153220210055982,0.293538961834241,-0.123607275978589,-0.170496835651964,-0.174614238216963,-0.127699499997241,0.0692668255284693,-0.153400961631645,-0.128346980188095,-0.0891478935588572,-0.114913798647524,-0.130784021995511,-0.231822414166046,-0.152925116223301,-0.234176547563929
progressive,-0.123991930086228,-0.20883118341839,-0.170551702187994,-0.26592489892634,-0.269035029306202,-0.229307792275132,-0.168651776141971,-0.274202908922504,-0.264678787675039,-0.251619794950162,-0.0961926555369988,-0.205514424450405,0.168007069329934,-0.522791590159151,-0.159485379745204,-0.150230941684846,-0.28660379836701,-0.125906932834086,-0.274043791080369,-0.0982732465932422,-0.165963425808878,-0.247013661707343,-0.108314120369105,-0.249024330042958,-0.174716465224041,-0.213321066952254,-0.34207117183795,-0.324149301939286,-0.19085217924239,-0.195036948889394,0.183411275262499,-0.16022438274575,-0.207549679869926,-0.217794312842666,-0.252095982614621,-0.237405830376714,-0.262177608599836,-0.238412585098258,-0.215064993514337,-0.111129304069146,-0.178483695847924,-0.0520373049272617,-0.215532736120962,-0.15772500436316,-0.255144203396358,-0.27096726012374,-0.192323196809649,-0.266159651312211
progressive,-0.45913576032824,-0.495198306961225,-0.427469889288767,-0.56324099438796,-0.152509035920971,-0.458517487466001,-0.0601968164409454,-0.496901753681134,-0.534463613077041,-0.512400019578228,-0.484358770439233,-0.499495131147108,-0.095404318083541,-0.283980130944662,-0.533284325423866,-0.450111038980845,-0.365767387491244,-0.177035139220271,-0.530955054809057,-0.358012335170709,0.0532308406568048,-0.507864813334736,-0.332142405602821,-0.477546798552087,-0.49719264555892,-0.47488732263687,-0.0082994113142285,-0.507468755935132,-0.262763358920841,-0.456579547984524,0.271987152477499,-0.575038083350311,-0.455221243916479,-0.455033627531788,-0.0698048859576186,-0.453321624314657,-0.4853657386104,-0.490463926227142,-0.472361014941853,-0.169855603595743,-0.517163302406161,-0.149748195827842,-0.477805452781361,-0.133035036011205,-0.470092146516355,-0.494278877191795,-0.459796321313377,-0.455428996052851
progressive,-0.13954417678974,-0.322697656554371,-0.277548746194562,-0.335145015703359,-0.135506421118364,-0.242117899452903,0.0574006025619634,-0.295653892553666,-0.266373315278083,-0.313059644656226,-0.199502816128199,-0.20924294329358,-0.283915746397667,-0.346990622988604,-0.154644444835998,-0.211165891704253,-0.276955791790291,-0.233991157715041,-0.238735758275396,-0.0645586403016243,-0.195935268378822,-0.207638418359424,-0.0611160102610986,-0.0892611981573223,-0.256572067267583,-0.410824969876909,-0.219493941901371,-0.21309643672081,-0.1364244820451,-0.213593240041321,0.158996502961965,-0.168722004941635,-0.242574712217956,-0.178603704051985,-0.0210307418902119,-0.284790851462502,-0.139206408953063,-0.155629514891225,-0.376887494098336,-0.122677238623012,-0.311106086244746,-0.214675265398543,-0.26881672247041,-0.305125341353077,-0.136666560347518,-0.227197880248483,-0.256187365089746,-0.351427723508219
stable,-0.178346601241624,-0.313939215237383,-0.336486446508874,-0.313457272801535,-0.487781869745201,-0.37124895446114,-0.484589671754826,-0.457020892994523,-0.327283779447838,-0.355522821496209,-0.220049714553043,-0.407746994351987,-0.269266264894677,-0.504179846964929,-0.110772037723509,-0.276650601142622,-0.468059605448509,-0.160702984835141,-0.407428252516679,-0.467932526784513,-0.466304548105773,-0.333612241675969,-0.277459387022938,-0.328201148666048,-0.238344504618736,-0.389242732991526,-0.457538953311984,-0.458594732320486,-0.508659173945447,-0.308472288039356,-0.43439933845221,-0.282173604002429,-0.264485951760381,-0.320421738272704,-0.45855270798636,-0.357807733378981,-0.371490523180103,-0.337289126315468,-0.365888716625296,-0.462247469995783,-0.290544590892173,-0.475826544772094,-0.329304396072718,-0.451316100513936,-0.288828333560498,-0.459913153352275,-0.313811776644052,-0.384250088295527
stable,-0.173640256357989,-0.23233223397199,-0.114167982338815,-0.254969610471586,-0.367495320039142,-0.225254450857266,-0.159814771743483,-0.211310087491306,-0.214541515095115,-0.422927878791679,-0.0962540676166217,-0.188482900899489,-0.664078461293588,0.211516472988007,-0.0947851992253061,-0.204659438614096,-0.242265047172402,-0.258849475954514,-0.300055244681788,-0.434828129333713,-0.184489016666374,-0.180638769075935,-0.507563979931834,-0.222156179686347,-0.163249954719048,-0.145196556246261,-0.265389517135701,-0.354347574307021,-0.383539964011094,-0.21855548683418,-0.0736992678362288,-0.181298295280035,-0.214400109388681,-0.251524903222992,0.0233330788642344,-0.281444546861307,-0.229761738381054,-0.170164392037072,-0.243972401976403,-0.238664516025277,-0.213848014476095,-0.0579141715828169,-0.204553892858065,-0.102850675153996,-0.193877363249414,-0.110576344090734,-0.175116027769048,-0.230162671719697
stable,-0.054787312478775,-0.0182120306438469,-0.0426780805010137,-0.0858434765487446,0.0094824167734846,-0.0670594716858307,-0.0191319601814856,-0.0915708446922862,-0.0592787496122206,-0.425377596284855,-0.110036029903147,-0.0660427074681212,-0.443994442794813,-0.210587843332762,0.0165994539220201,-0.0547834583227476,-0.131205175699982,-0.349172733526617,-0.0195658366327762,-0.152147474310935,-0.221923543519404,-0.0466575898750097,-0.312669414424777,0.01607607548139,0.0007255829054357,-0.0514983139400345,-0.0881001299276391,-0.0332344525151948,-0.0410962698979007,0.0595679508353269,0.199686983698214,-0.0940186207293183,-0.0767112629552368,-0.0897035308603054,-0.0567823918912077,-0.0856612548706597,-0.107047839081065,-0.0352945312802613,-0.060720326014392,0.0508106966772276,-0.0138782033646001,-0.156350531128441,-0.0386819449780301,-0.213025424204834,-0.064965106771551,-0.098036129155533,-0.0535318547884657,-0.041488490952508
stable,-0.0862585432098459,-0.140480686857089,-0.14295922654686,-0.0735739325712064,-0.179931282615862,-0.24319044223071,-0.287317440220715,-0.265283093846597,-0.216409858810713,-0.177299898549813,-0.127389599642393,-0.168470506361695,0.117980167649959,-0.573998125114135,-0.0390147238972069,-0.114621791066288,-0.355922793119269,-0.266923625691513,-0.158340086411128,-0.0434522760980413,-0.0924687425844806,-0.174202413492957,0.0765066528443099,-0.0876204438491638,-0.174075397764457,-0.200494788676871,-0.253948306576305,-0.140664282598491,-0.161933359575333,-0.116363220552559,0.0442755194146537,-0.237501377459301,-0.153854689039932,-0.188612428838819,-0.331339232402215,-0.155078513227331,-0.232228597375635,-0.209091358771914,-0.196850945548433,-0.10531981981268,-0.160696666160636,-0.262892142592614,-0.248280611246651,-0.27506162557941,-0.151312321489529,-0.374056252256688,-0.131012169448641,-0.200287826822137
stable,0.0035436071511624,-0.0354942596743186,0.143617525544992,0.0516005047034776,0.0808624824353261,0.0331754184388387,-0.171132558156097,-0.0443319297714927,-0.0209569577753389,0.200408030995558,0.0348971885128745,0.0037147803343267,0.547257014010993,-0.538956384793739,0.0478915176145869,0.11565316061589,-0.0688194091804603,0.127641867092917,0.0362488716339349,0.133624497900658,-0.209268490600568,0.0537094026174284,0.422670448612539,0.0516858816275772,-0.0042160753455145,-0.0577385972347291,0.0769223314004369,0.0475470162545933,0.0533480998429415,0.0240724727693598,-0.678852034952155,-0.0192978914994845,0.0772263756046464,-0.0820553304119642,-0.0890285512508865,-0.0323287543027691,-0.0049522523252941,-0.0072660238600572,-0.0507509064123195,-0.443998019761744,0.0481650312681736,-0.131166223256289,-0.0610055869459105,-0.139460572303269,-0.062529852423378,-0.0871682834708174,-0.0515658025117393,-0.0324412537002022
