group,CD40,CD154,CD19,CD33,HLA,CD45RA,CD49f,CD4,CD14,CD16,CD32,HLA-DR,CD64,CD66b,CD35,CD11a,CD66,CD244,CD169,CD54,CD62P,CD41,CD226,CD29,CD49b,CD18,CD38,CD71,CD36,CD49d,CLEC12A,CD85j,CD88,CD224
progressive,-0.252900239468475,-0.257619458447832,-0.157953417606633,0.43265977280636,-0.122510463152626,-0.0699777306323485,-0.085914074502744,-0.146056739745651,0.0860603148634882,-0.283101332637262,-0.0871646427014951,-0.291301411098487,0.526765085810874,0.090624142623013,0.698941810877916,0.0227253301089097,-0.0923310614168101,-0.208238150788062,0.289289595387473,-0.226752560668585,0.145415856636888,0.138116775221005,-0.112779515234752,0.0841642834358069,0.0882927551732652,0.23930273339013,0.099664671414138,0.486809974215019,0.419408863098453,-0.273936226316172,0.402082359362969,-0.0432859690161697,-0.179757360442286,0.202391281252985
progressive,-0.0882635765836085,-0.0963841722174818,-0.079752594028182,0.298944784054946,-0.267919341494203,-0.0659709538490863,0.0198191890015679,-0.198059825881225,-0.230169261868499,-0.20937169312587,-0.462250908678838,-0.402566165886733,-0.13109625490448,-0.0853626889392455,0.282187562731226,-0.171984317435284,-0.0366965579785128,-0.34344358387842,-0.0701448965151184,-0.600059014280192,-0.12860506936426,-0.217529062124248,-0.131005249987109,-0.0684959820712698,-0.103154791636011,-0.124134706121938,0.353969094142585,0.0379213696775973,0.206163432259937,-0.319654345959331,0.0062462288363693,-0.269426532575932,-0.273471787060759,0.156802513448794
progressive,-0.0517960142071089,0.0189330308887027,-0.0525823418224852,0.0571605231004973,-0.273093456082715,-0.125332797097451,0.217157614139185,-0.376393807797861,-0.127220195490503,-0.169382890888229,-0.313091265976647,-0.625340717867749,-0.113310826303668,0.0365129913932954,0.410035073065574,-0.118362400258127,0.0387204666286618,-0.147724523769955,0.0425028780716092,-0.332337327230235,0.204472545819226,0.215455779477404,0.124699163287137,0.072792942286459,0.127350588595915,0.140479393293386,0.113617311252527,0.210463783076496,0.120324315337982,-0.340407908820727,0.0708091423165598,-0.271094792288712,-0.187370073555434,0.139125973320576
progressive,-0.0794404903460186,0.0787029954000913,-0.18041881740057,0.252246372975819,0.0147415073718485,-0.0183337773500984,0.184681025482929,-0.361657291246996,-0.115466940452859,-0.336056895252432,-0.318815556414536,-0.0412734728953234,0.278994173376361,-0.407577209661485,0.0528494527228062,0.0128219000280254,-0.403008687113611,-0.252252092244137,0.567298830724422,-0.154691209889778,0.0332460603942207,0.184869387024441,-0.12194821262472,0.0828307662526959,0.0408244894193278,0.0734133085918719,0.362552795252536,0.382040254249038,0.0849535705629405,-0.120184182623927,0.0764217202979545,0.0088138327392015,-0.222152583967468,-0.198675282846053
progressive,-0.0652574605802211,0.0231444058536293,0.140707215563278,0.160078954240741,0.0837413922287527,-0.0342495216098231,0.176004591954602,0.13950585744052,0.242158451235643,-0.179500655616951,0.0038817213951414,-0.0332834492106569,-0.0498945731925883,-0.154043086786402,0.0626338575864313,0.0563793186205787,-0.0327363591725148,-0.0110593073388765,-0.0058289652110317,0.0536037267475041,-0.0391866753917894,0.170254081555881,0.16200683352767,0.174075428507663,0.338114376695245,0.0739543848406873,0.192003263758028,-0.0944227609904673,0.349693330074114,0.0858028736118282,-0.0131490667122,-0.11611250986338,-0.0830016472688479,0.0386076018344212
stable,-0.154879769572841,-0.124153075703276,-0.0188604964490803,0.0488199643624419,-0.215923985433304,-0.0648559758737586,-0.08893627218538,-0.374466303005064,-0.146384224658093,0.0324672683781383,-0.110004185815775,-0.364398340481184,0.0184030318359403,0.0630316178183828,0.283616336226365,-0.164130087562374,-0.0463878676741438,-0.184240294641539,-0.0590456220444097,-0.282467360938544,0.0241765948040413,-0.0989227825612949,-0.0945757577142784,-0.11217548294392,-0.141518342281446,0.0414099886386217,-0.0481269364117754,0.215706056330956,-0.0689859461353874,-0.275646726115877,0.0007749346041672,-0.135988739019411,-0.0994219176201953,-0.112883344287053
stable,-0.0515295959380115,-0.0778338964240481,-0.127645992124867,-0.0752028085781068,-0.376872351912195,0.0232073015543678,-0.240257479647373,-0.415521737747671,-0.234852356673843,-0.0727054066773409,-0.337962322063911,-0.631279837375943,0.0860427085824858,-0.0464312145629984,0.196712802736515,-0.371875192703888,-0.0680270839637608,-0.161641081648156,-0.151250331366039,-0.481505988621717,-0.12135409030102,-0.232614860240011,-0.227656331691002,-0.295175277737137,-0.102475138408272,-0.0205472058111827,0.0448899797341434,0.0751527563262124,-0.0827277806336474,-0.410314649444187,-0.102459046673636,-0.200534463748732,-0.196258334326326,-0.0963853678620632
stable,-0.360983705378113,-0.0137199785489099,-0.0760690914158146,0.059119438114069,-0.285870479137417,-0.0788173282634811,-0.10842457488466,-0.372096277049627,-0.0964287050500362,-0.361102705580837,-0.239249018352224,-0.594178648986015,-0.159710502060992,-0.209496908323254,0.384227199211494,-0.159068080408576,-0.0748339665180889,-0.120192303842084,-0.251045108318856,-0.451527299035201,-0.0224019447864729,-0.106596665581639,-0.117833798520984,-0.100091985941087,-0.0475036051860338,0.0705164134331881,0.0417760590125212,0.188738151681652,0.176069171178171,-0.264600927739129,-0.0541156343409247,-0.377647548519128,-0.120355693781726,-0.0480197870725726
stable,-0.0085190044300653,0.126835075196033,0.061526846284198,0.0741824052298985,-0.0625035260364164,-0.0133658963510982,-0.036842079116506,-0.232275105903326,-0.0704196593437752,-0.0045963057644391,-0.396556627590363,-0.337785354381732,0.154269633267301,0.0296167810064259,0.137690676193054,-0.14927741061825,-0.0100900464289958,-0.19288112496636,0.015068315507166,-0.333147719965175,-0.0510481147216561,-0.09133503250614,-0.0158975869068708,-0.0979414999355165,-0.036256022556878,-0.1269756107649,0.14308642305604,0.352640416016053,0.05402719252179,-0.178106400939998,-0.0040295529453107,-0.141857328802979,-0.180494553629306,0.0506189441002132
stable,-0.13985376998585,-0.0498776804367718,0.0185327348361265,0.268930362294024,-0.182632191160434,0.0085262515680852,-0.11376387486663,-0.222825940302657,0.0923687042300784,-0.226895607436104,-0.275025475922899,-0.51601272279753,0.395792482484695,-0.117958427082531,0.564920958369576,-0.0918174274116142,-0.13718138522851,-0.274921411850735,0.232205066587857,-0.421008425407358,-0.0752018455606056,-0.092080522505198,-0.103731883099627,-0.0679234027972902,-0.11989225585358,0.112094945555569,0.217422322806519,0.582631831198271,0.154633774595212,-0.265789980896874,0.453897958285678,-0.177307678084174,-0.223445690824111,0.120290083589158
