group,CD3,HLA,CD45RA,CD7,CD49f,CD4,CD16,CD31,CD5,CD32,CD27,HLA-DR,CD141,CD66b,CD35,CD11a,CD66,CD206,integrin,CD54,CD122,CD226,CD29,CD71,CD49d,CD305,CLEC12A,Ig-light-chain-2,CD85j,CD101
progressive,0.0933356772186152,0.28281790002778,0.138152370919218,0.327938166870026,0.25754458358529,0.24020649837271,0.212773777916245,-0.158552005036498,0.370860098670117,0.189725607656335,0.351934446198849,0.400390628123699,0.0690592175797344,0.0686570508712394,-0.501838273443783,0.143059109331435,0.233529944801824,0.169966781195573,0.0727585266665162,0.256177356269603,-0.0206958733114476,0.193843904248296,0.151964020357993,-0.362313463573962,0.285454022112401,0.0106053361140085,-0.219618406776846,-0.150193066459878,0.15906408778524,0.225996033983753
progressive,0.0618747443931777,0.255062335556313,0.228628602672929,0.0984770989816973,0.26180333895446,0.242988295536028,0.134748422320547,0.348807206705608,0.0860395674564481,0.0069406312320826,0.145999974390324,0.102512575689734,0.216174814087374,0.0428969096420313,-0.257464306444294,0.195939171436217,0.0239598241312287,0.125022030172124,0.118078578225844,0.207276027657836,0.0571167324553237,0.132678362728667,0.357135926945596,0.293254110502824,0.257377009932189,0.299353645796215,0.161961064701762,0.200330276289937,0.189810932246622,0.0806271386325832
progressive,0.201060173603397,0.45674008279622,0.475861043751626,0.279839337543192,0.298763534529336,0.344064276513246,0.292580705865629,0.44279544399963,0.300040819748187,0.177114010399299,0.204952671665178,0.387482221742714,0.261362990253847,0.154051478433728,0.0491800745814684,0.449139883038578,0.14861263716903,0.212910759090834,0.164074329617343,0.275013738088619,0.169629804757932,0.249060740662608,0.473041459252541,0.542539656644876,0.504009616812748,0.478618823480074,0.492082035474351,0.445411858703158,0.392435914888393,0.400195026752363
progressive,0.11606101398466,-0.0274125276311884,0.159427929636472,0.261724608064967,0.119944539965534,0.315861056207515,0.463915164938355,0.114967123314378,0.299681925524356,0.45405233129587,0.249995904332146,-0.006656429850688,0.180618335399753,0.517032015650707,0.505217319467386,0.158420796443314,0.503171783922071,0.24392893925884,0.107420266032565,0.0070919123318478,0.16847522832122,0.241005032451496,0.216063399961714,-0.553463122918944,0.168854594891341,-0.0120292245943924,0.36815348765874,0.0397341738372606,0.12837793940144,0.291536837637498
progressive,0.302456635451787,0.153788002635527,0.0163990646577964,0.0444951733261731,0.0320198791669301,0.0804017570507631,0.385164346655477,0.140117195710836,0.213036898352148,0.310715590901318,0.14580766798249,0.177800978146405,0.189216708011532,0.21993879012391,0.0832853338390716,0.335758590337796,0.349778893281456,0.405887942237094,0.402315665252729,0.341814839997844,0.44794224799207,0.213254376602387,0.232415052933142,0.284797756902427,0.28050001118908,0.0889409728967944,0.226132358100381,0.39816609058216,0.212860422767545,0.224311434891199
stable,0.427562574244829,0.438813054847321,0.326677240839103,0.358642818839634,0.253804706745536,0.429717286462575,0.264914206163979,0.263566522592522,0.420352405348289,0.234802134830565,0.334811401721464,0.443231441262136,0.316822996655028,0.202224308449863,0.0318677202272718,0.448579622493147,0.238924130296069,0.303874468186819,0.317963276182813,0.329953325622849,0.254569476543413,0.340652499932442,0.424717220764887,0.450356861472576,0.405930705488509,0.366689013188845,0.443837996646497,0.408920429245412,0.377450868784057,0.393445389813837
stable,0.210141382402123,0.52658316833299,0.259204762170832,0.19192300017925,0.445170401124598,0.421168050761823,0.293275104908341,0.374486025994418,0.294641079066199,0.382622332951272,0.14068156116832,0.585037453737757,0.415744922393886,0.282595503496942,-0.033067712799486,0.519221919892761,0.187936847479217,0.255618021899082,0.0604105831333311,0.415183727950143,0.230768994959459,0.404929426542702,0.556793278043107,0.292479481450234,0.496478964010552,0.377049685479646,0.511902303345868,0.255098881000707,0.40180953857115,0.460311413126551
stable,0.121612977414927,0.404758124816512,0.130053021449491,-0.0026075501553253,0.114781424274701,0.434847453674042,0.241474435802493,0.133424124462139,0.188846952633125,0.0484185137731119,0.149420761217851,0.531789252452341,0.261096058933552,0.105539435879893,-0.33854430209788,0.242398193823842,0.056672161749991,0.0932721668297831,0.238812522925678,0.423989794469009,0.0675825209038786,0.0923983087462233,0.200338952995209,0.205188516997527,0.460361043878139,0.323388333982327,0.258607677222931,0.304614035712781,0.365477184144489,0.143243720197875
stable,0.110437317968709,0.35557842335296,0.192236234217404,0.117017915715334,0.272470336497456,0.259269076951807,0.16209367382734,0.36190504006161,0.0765007676566953,0.188289462737262,0.0594525380217108,0.540981925628082,0.365399541062906,0.0961452913766867,-0.0774990432947085,0.363154037922231,0.031835176128618,0.107465017412117,0.0736628290391023,0.442154491617359,0.0025184653140074,0.222166349612572,0.445917817723673,0.342620918026633,0.492759865194245,0.503771521187033,0.429978536228054,0.360815951914433,0.333659431547884,0.270087372722204
stable,0.189546496141506,-0.0147211181626844,0.092854736342481,0.123131981244718,-0.0427175645819146,0.11626524854848,0.0031335923549593,0.270590791439387,0.146662080838935,-0.0076071217624094,0.0670772365311473,-0.0503762076727825,0.0838279759491857,0.179499275562166,0.329948607249379,0.236111003663222,0.146684914928075,0.0972720376732892,0.172731316035885,-0.0243770193613071,0.0809544041304398,-0.0031569369954326,0.112743463484924,0.49178681849409,0.107432754095757,0.204896173149914,0.441654182958454,0.400172521957643,0.0890930582660263,0.182658895721577
