group,CD137L,CD30,CD33,HLA,CD10,CD7,CD4,CD16,CD279,CD31,Podoplanin,CD324,CD32,KLRG1,HLA-DR,CD314,CD66b,CD35,CD58,CD11a,CD66,CD169,CD54,CD41,CD83,CD124,CD184,CD29,CD38,CD15,CD71,CD36,CD207,CD49d,TCR-Vr9,CD305,CD307d,CLEC12A,CD94,CD150,Ig-light-chain-2,Mac-2,CD85j,CD328,TCR-Vb13,CD101,CD88,HLA-F
progressive,-0.046017090150921,-0.107981946602132,0.143333240921941,0.0893293096683689,0.0504631070334476,0.0971139258962964,0.171423617122852,-0.431401600415541,-0.0176999083853404,0.0142968087468904,-0.0122605060253513,-0.282910708675127,0.0616708607061099,-0.0426868025991911,0.0288166435418243,-0.03332173472416,-0.0739312625763471,0.352719900984104,0.0520533641609576,0.139705544992447,-0.100034757338703,0.0349959905075563,-0.240662464043612,0.0684265152114738,-0.0758181194072631,0.0377726998119515,-0.0861066386778158,0.153641254827838,0.215135926775426,-0.145029130692841,0.195657201306888,0.328943216394854,0.140386291375077,-0.0604916760762683,-0.0473801952176772,0.0327284375089415,-0.116255420666186,0.192434947904434,0.0634013311550195,0.0910253467948062,0.09356645223753,0.0314029811806178,-0.0318523120543256,0.21134003112233,0.0583798336616928,0.144098237596483,-0.0958688368786237,-0.0174668805574577
progressive,-0.218339688699472,-0.270126987407669,-0.317009448647214,0.0023958871630262,-0.170487534260988,-0.142016873892466,-0.0312061009788593,-0.0412169839807023,-0.279660999302697,0.0807464117925529,-0.288459224682225,0.111724918915019,-0.136884995371016,-0.224714326122717,-0.0512417874203049,-0.30288176768511,-0.127544063991253,-0.471981534675921,-0.263659423622612,-0.141168293261458,-0.143488748818166,-0.194626297635229,0.0333631892781779,0.101121364063127,-0.222693788213177,-0.204320071118293,-0.128693791436243,-0.104756567530912,-0.31962310247503,-0.153616487199883,-0.0841518043161283,-0.0259504178784146,-0.157360810789915,0.0470506804453009,-0.241030582080006,-0.0807442443055931,-0.30559817571084,-0.162631062664874,-0.236281884401748,-0.255979664701167,-0.225730807288149,-0.204365859739928,-0.196188638095553,-0.276072102215421,-0.297182260708136,-0.120130066472286,-0.261513689661385,-0.166490694565906
progressive,-1.27451939343869e-06,-0.0884200482049691,-0.0545137205003322,-0.373579926240066,-0.0301095588750617,-0.115290683681088,-0.42192711306106,-0.262450105645721,0.0592609595419375,-0.0685759823030508,-0.0241878310454489,-0.017203928619141,-0.367889470193155,-0.0405013552906992,-0.662235318347163,-0.0888369611191122,-0.0479868268248778,0.298992396100851,-0.0792606933669674,-0.212775219308631,-0.0026950774853283,-0.022830550539464,-0.394417508667663,0.0945639052099193,0.0321151825287115,-0.0541033604144498,0.0272447613765453,-0.0548728438369297,0.0459199617542085,-0.0483437221884856,0.0999164583783188,-0.004326225772161,-0.0445645717461034,-0.404847667231157,-0.004883933936647,-0.223462228296216,-0.055831466293955,-0.0490471158403522,-0.0806493228634803,-0.0442387453782662,-0.232144033845181,-0.0409835438459399,-0.339170419305273,-0.128239277310734,-0.0044282767850821,-0.0085880963458755,-0.253208347624058,-0.0325077474896141
progressive,-0.0423036930686295,-0.117844699949041,-0.009564933531451,-0.193489050553265,-0.0875949703415773,-0.200488873912168,-0.253579804703597,-0.177026549448056,-0.185917094066844,0.0042897843713255,-0.188502067157735,-0.134945214419003,-0.195509846695111,-0.0591187355183119,-0.108541296508375,-0.0995230230576249,-0.326037415376489,-0.0948359078680322,-0.121250527043906,-0.165904746529995,-0.19153416489088,0.09223215100018,-0.0678784433492258,0.0735851066197415,0.123644231415604,-0.0793825550641856,-0.0354235275105699,-0.125116390962428,0.0235126868910349,-0.138936365790185,-0.0450741467248243,-0.0574043541448617,0.0962301542065024,-0.187380635154379,-0.0305980025592268,-0.127710117374224,-0.0967548011465563,-0.175834434271009,-0.153544504419705,-0.0308378622773982,-0.0542473141506773,-0.0636131386335654,-0.0750123021765207,-0.147099302891565,0.0935714850258589,-0.147705503204283,-0.1415157825436,0.0356670860335774
progressive,-0.404399213152642,-0.207072921648953,0.345545977223304,-0.159349898405865,-0.369484002793787,-0.221480989273646,-0.143301717285347,-0.493322096881575,-0.375105439404449,0.0267932847810448,-0.304840230557986,-0.431990023343457,-0.405762424858728,-0.422486941728354,-0.127760897184336,-0.495649044094337,-0.38440084298489,-0.0959416708538878,-0.404082586934492,-0.118834930241066,-0.44330850823572,-0.248257787213847,0.001104864048652,0.01699575749701,-0.153511104653983,-0.159918370638744,-0.508943867115638,-0.0169622684996469,-0.0678415809556489,-0.450976378216084,-0.0615107478821171,0.206428618939789,-0.139690048346362,-0.274372396245803,-0.41876243507508,0.068299571951735,-0.331716687905392,-0.149488698976116,-0.300251476967581,-0.408776035297115,-0.247943931491124,-0.304114242228289,-0.316870553425442,-0.286138052241098,-0.43676459355541,-0.238611446920357,-0.368172213097092,-0.214347492936912
stable,-0.171338465936446,-0.269623642944098,-0.41065579034286,-0.462319460684199,-0.16022820050166,0.0330216212941351,-0.208553016502185,-0.246502064381988,-0.161415756248756,-0.418729146045127,-0.223775778046975,-0.0395207102453512,-0.311797614744469,-0.199644871691546,-0.547865559200562,-0.112025245271647,-0.210911865420715,-0.194466148746831,-0.292950984898733,-0.492783736724201,-0.178815968256053,-0.278809118444109,-0.601368928275637,-0.409650669344503,-0.008505452385796,-0.14415283450975,-0.158455391906465,-0.498363852996383,-0.251642234390136,-0.184183121311639,-0.270301680479396,-0.435344990540648,-0.121997153180794,-0.543094093586808,-0.231744081839083,-0.436904504244887,-0.193488206218767,-0.493711028576626,-0.207312747095612,-0.21324952759322,-0.497322546054389,-0.235692230437399,-0.394704951922806,-0.405276848287721,-0.218019665809407,-0.422528576405615,-0.286031894649334,-0.18188993989068
stable,-0.306658176987882,-0.335311772881457,-0.0669667508545265,-0.451174595629439,-0.260404443146458,-0.18881646028399,-0.456632080498531,-0.328482723784261,-0.254370641392881,-0.201881674440056,-0.25495503711875,-0.116484835013818,-0.438296214412315,-0.246454981475559,-0.584175027210206,-0.217905350614702,-0.25313783606665,0.099818839919983,-0.268200569474185,-0.502717288188145,-0.231630386169425,-0.197455505287766,-0.543370413139725,-0.31666521580891,-0.160935793278812,-0.169206302921987,-0.234132323760504,-0.460466740036554,-0.0052206827686285,-0.229031856706348,-0.140911039717269,-0.0259825506488094,-0.0913767085119442,-0.480995676139388,-0.106849862367154,-0.26472762783571,-0.198875021280249,-0.310429756599504,-0.255246165573793,-0.281560743901289,-0.15811364772334,-0.267252483521995,-0.35249354545675,-0.429371302827139,-0.179295270443396,-0.381617985424898,-0.392844628436826,-0.274000773190499
stable,-0.0990466116426486,-0.069609750828045,0.0424715056088535,-0.266469658611671,-0.160008526877116,-0.0146877024167604,-0.364801799861751,-0.399926544698537,-0.0312241048479622,0.176702493677432,-0.125590309799949,-0.0127019250329226,-0.349268898385676,-0.1098931553066,-0.633037415923698,-0.164301026392412,-0.279970113322249,0.257666521791424,-0.0581144901205472,-0.170306002676955,-0.0893472964768211,-0.310662103172704,-0.496062482564703,-0.0664591960456907,-0.113295391347547,-0.134830778160106,-0.023810900729967,-0.0940243214110248,0.0241007540693332,-0.113323271965303,0.240517212729835,0.142349037103933,-0.129630754514794,-0.242110790581616,-0.0116879219704473,-0.113272043008462,-0.0889927171132989,-0.0555658040381413,-0.105158520653351,-0.0439424196505685,-0.142137247664705,-0.0861328390284081,-0.408347404926888,-0.18853759951308,-0.120111656845517,0.0438668880931918,-0.207086300092803,-0.0847611403027706
stable,-0.0482152682897573,-0.0758099026433895,-0.0075150872879034,-0.18086788571572,-0.019020080613404,-0.0525000974042976,-0.200478447758849,-0.0941403853061582,-0.0454489121823533,-0.141264067490395,-0.0553017689260309,-0.062415044400631,-0.280032062075355,0.014814875743283,-0.590171335100507,-0.127187896041444,0.0167652250329229,0.286761445453912,-0.0158293349313918,-0.290725959343297,0.072697052901707,-0.0055662208136333,-0.510306419962922,-0.0659466644861414,0.0087513495713491,-0.0218867065102258,-0.0020641947243723,-0.223563253007621,-0.0001869695507325,0.0568782635928182,0.0194620834284365,0.0109437083683395,0.0708708112091934,-0.33359305519914,-0.0239603666910424,-0.290960960436242,-0.087374433280177,-0.104529365070244,-0.0887642067589664,-0.0176384347407029,-0.109899105977155,-0.0087742311534338,-0.270442812182299,-0.186933156934241,0.0095154226596789,-0.0526747959894857,-0.144684742678477,0.0222976717639932
stable,-0.0617247061320748,-0.0238880870340367,0.0674007785369169,-0.343590968500906,-0.0681373003317332,0.0229666284123083,-0.344416887889822,-0.161848445324691,-0.0841967153627697,0.0622624442569578,-0.0325130191996602,-0.0366483808600517,-0.29065561778652,-0.0296876326784949,-0.636793305101814,-0.104967840191507,-0.0496415546145061,0.450683158652202,-0.0576182207354613,-0.291075265561957,-0.148905428583576,-0.0097887914594778,-0.570377587923166,-0.228715118934694,-0.0155568787189659,-0.112197964949497,-0.0022823858606501,-0.244631219086855,0.0937672302378093,-0.127287971720765,0.530623537181954,-0.0160347254352185,0.0929507703605498,-0.431262828234445,-0.14035209221765,-0.203249040854176,-0.124845089371411,0.314135873399733,-0.113296649650519,-0.107216094612072,0.0644192626489391,-0.0264831145413647,-0.256770317471467,-0.207872031987992,-0.0367990208308728,-0.0939596135811099,-0.277276447672155,-0.107859535454833
