group,CD275,CD33,CD10,CD4,CD16,CD279,Podoplanin,CD185,CD107a,HLA-DR,CD66b,CD35,CD122,CD267,CD184,CD15,B7-H4,CD304,CD36,CD207,CD337,CD307d,CD94,CD150,CD85j,CD328,TCR-Vb13,CD88,HLA-F,CD224,CD258
progressive,-0.0212251709535982,0.600927690717202,0.0211907954056181,-0.0062770924683064,-0.202330004340633,-0.0561300339769356,0.0201069663564601,0.0716749330989871,0.102351820427408,0.0234064956379426,0.0847368038071865,0.557709158374977,0.0701561736671768,-0.0424558587434269,0.113354392618634,0.0044286731490909,0.0472216119894446,0.0366955459554506,0.460607514504566,0.139219063545207,-0.0559988288214814,0.0297991064089901,-0.0156293187831676,-0.0489304909303966,0.180759731623029,0.046801146416755,0.123578231426649,-0.027291417035071,-0.128575281257168,0.250847829966158,0.0502349440907628
progressive,-0.0935722951905011,-0.10674618197175,-0.115694928505203,0.0350416244688486,-0.124031097158807,-0.133321199137985,-0.227093764960541,-0.226654315883379,-0.179323201538865,-0.0739922987005799,-0.166674366344473,-0.159111141073052,-0.221605403624977,-0.168032998873802,-0.20707395341061,-0.16940795576392,-0.151770692122626,-0.290362778920028,-0.148089594484544,-0.0762530662491028,-0.233982861512231,-0.198176734611058,-0.181666951390847,-0.163789959101883,-0.142995615183299,-0.059160346553941,-0.230107013016197,-0.0859334349975115,-0.0825104454249644,-0.235962658080953,-0.219594914913731
progressive,0.0424244195746956,-0.0150195522378879,-0.0094974346596978,-0.407241535196727,-0.162510972416374,0.0528838251021055,0.0048519800150931,-0.0109204450891127,-0.0924034105307234,-0.661101551560375,0.0252176984488611,0.319161880192657,0.0162681999613853,-0.0313866054340384,0.0341299799743582,-0.0030278676993415,-0.0064811704038584,0.0047814852186685,0.0654068068798668,-0.0414104757308142,-0.0289857624920234,-0.0459319240377669,-0.0768181632897796,-0.034816649038883,-0.322540165867298,-0.127945135349001,-0.0008202735369026,-0.260280434331439,-0.0347241429056179,0.0816373727373072,0.0185152240923874
progressive,-0.418743472514621,0.103671974047396,-0.342481233013531,-0.166993895180503,-0.401688251813131,-0.306861703136089,-0.455195879987204,-0.255989154297452,-0.153332265993754,-0.0474789251138511,-0.299236298323465,-0.132037954366595,-0.262956186970491,-0.3920307814276,-0.0370731414279961,-0.355618406812629,-0.334478915528743,-0.129093953275841,0.170805141792089,-0.381726598603268,-0.328332278999778,-0.389529853274212,-0.346137081560118,-0.261467337257443,-0.134007245060869,-0.141323270383399,-0.225506962899199,-0.336789432703112,-0.263568744044226,-0.345502031709874,-0.360629561352259
progressive,-0.213881621316193,-0.0804647876065395,-0.147783265233463,0.0275119757318622,-0.165371028444661,-0.0270066722610434,-0.0698438266246746,-0.217635204065329,-0.0065869215230775,-0.105068716990356,-0.127546202710004,0.10936829055219,-0.0557634870867426,-0.0902529741592643,-0.141091765278327,-0.132027263398747,-0.0474925362588559,-0.0871396038465426,0.0168373370028055,-0.136815530252442,-0.0215508941426393,-0.0904667493646048,-0.235792832598481,-0.107576804822136,-0.21243369832935,-0.214577837921398,-0.143272609051195,-0.0736304935449457,0.0579014954341054,-0.141445362858186,-0.339824573747591
stable,-0.0050842720875878,-0.460029003773772,-0.118041625497595,-0.192367416917126,-0.138312096251175,-0.131336650057362,-0.245354157932568,-0.173034951476398,-0.193827033440239,-0.331900065168443,-0.0976699846063714,-0.239286192106143,-0.187748286133209,-0.131077753611759,-0.110186101927204,-0.076804227779258,-0.157472845010908,0.0087507770627123,-0.431978172194245,-0.0313944573934667,-0.182936268162469,-0.186961969172063,-0.199445460993821,-0.25358839343285,-0.311394601411681,-0.300950695827834,-0.160517077245631,-0.297051548882056,-0.22664065423188,-0.202175038433288,-0.136128217871041
stable,-0.0406860448877987,0.109168397943396,0.025481312597411,-0.168812513318159,-0.0091698304714053,0.0615789208105152,0.11804605482972,0.123698585366243,-0.109371282082338,-0.445636034033951,-0.004331340094007,0.316283925424385,0.0408677011899085,0.0490853270987424,0.0463997917417589,0.0189607819610633,0.0454921817940424,-0.0713782292821085,0.120554733219655,-0.0333208953970656,0.0671192007614385,0.0464621479778651,0.0510871933903873,0.0215959058952205,-0.0900431107553374,-0.131757549804881,-0.0205891143850538,-0.0116665460065847,-0.108578180254866,-0.0363479803842193,-0.0547038293321585
stable,0.0429215015901138,0.0092934474648085,-0.114569669993658,-0.396648038578986,-0.310488940192335,0.0014939349392727,-0.0672652773883962,-0.0754701501402282,-0.135764725841314,-0.664832580674523,-0.234015465702881,0.263374600391293,-0.0106908490235519,0.0281686146470301,-0.0192193537644859,-0.0590972400188002,-0.0341278300224396,0.0509840846622409,0.128129774582313,-0.144530374263348,-0.0019231381829162,-0.0282842375812597,-0.0595244084501102,-0.0345932179031114,-0.392355866917853,-0.1730263618376,-0.0850901765187895,-0.148617949757474,-0.0459142767982356,-0.0344345298065814,-0.053729321880213
stable,0.0097137684747809,-0.198128402120342,-0.112782531233739,-0.335531565106631,-0.232054458257635,-0.0722507588981814,-0.21509752422404,-0.109571464180819,-0.209478667054548,-0.664990853067399,-0.174837530754761,0.0606908118637501,-0.0389965682955234,-0.0266437361959139,-0.116393910640226,-0.0632901019465931,-0.130136478913481,-0.105051428411919,-0.236982125341074,-0.0013234926383064,-0.0846633276039398,-0.135047824585307,-0.096718441861619,-0.101628940701811,-0.345311551054625,-0.169408815298064,-0.0942247643827774,-0.233225990342084,-0.0374607580066696,-0.0236630390621056,-0.0765945416658082
stable,-0.0444719158471309,0.164260691627222,-0.0200395407061573,-0.238958273217544,-0.145493154256588,-0.0903731213161543,0.0018315055055666,-0.0378785486707059,-0.210950484598534,-0.598413444049081,-0.0734531072230455,0.55603400626382,-0.0830752882486908,-0.0007076849054363,0.04518483288492,-0.119011820915516,-0.0602260565349413,-0.172160238607035,0.0907475982625755,0.0986112641163433,-0.039827599844665,-0.0635986183537899,-0.0655728215010064,-0.0925662046023026,-0.174591406092736,-0.12303562134444,-0.0147572415782033,-0.228246083220031,0.0018444618021842,0.113877756359102,-0.0177721376079928
