group,CD3,CD33,HLA,CD4,CD16,CD31,TCR,CD32,KLRG1,CD95,HLA-DR,CD64,CD35,CD11a,integrin,CD54,CD29,CD28,CD71,CD36,CD49d,TCR-Vd2,CD305,CLEC12A,Ig-light-chain-2,CD85j,CD328,CD101,NLRP2,CD258
progressive,-0.284075880607398,0.0558215451576193,0.096055219158421,-0.25612790925853,0.259467850062943,0.444131749839343,-0.0773802226016595,0.24002201566737,0.0192169856998215,0.14483695200569,0.218039542722819,0.0485915053088436,-0.0651246030122057,0.22624065617105,-0.195082020977432,0.305363989903897,0.142788561199432,-0.052903361932158,0.173133226774599,0.117281024930809,0.197662380221543,0.161566417147377,0.155225359070186,0.0155550157835117,0.276121342599597,0.192897707119655,-0.026270858980029,0.0279753810753557,-0.0161685422561861,-0.0924093612039604
progressive,0.0278576200458632,0.0224898498930544,0.300680446412397,0.131803102748988,0.0606067682716122,0.183222630835244,0.189371712353075,0.281644334161286,0.0956666577524466,-0.0304401589850134,0.350190071061156,0.292664716775257,-0.171502929761842,0.216689294598692,0.133445045122339,0.436782902627399,0.311605773156776,0.0941191634776645,-0.0010207719940875,0.294160359991196,0.315912816833402,0.020209138424382,0.119131841783961,0.155504462192011,0.208156325877621,0.300451550233915,0.100149672295334,0.0648546782990277,0.23812872760923,0.173685144306673
progressive,0.0151722096537236,0.478603892148224,0.484650816998158,0.346165984197747,0.304734633415028,0.445196970100359,0.228242370361534,0.46683530116272,0.253774054882896,0.389861774633335,0.538456682508633,0.424891755985458,0.22081947934839,0.483412214092809,0.122097140347256,0.570978644608866,0.416655587259697,0.148410925147782,0.175361039611645,0.354227817224695,0.409861496036806,0.0677407604062859,0.503689646882263,0.409888152518466,0.477865825172601,0.496505324812081,0.416408231066389,0.34337378977741,0.228641074589838,0.246291196183605
progressive,-0.185480383520129,0.336206737185416,0.0833562774554434,-0.0860793740377669,-0.0176895782746561,0.181402395891541,-0.187218799016892,-0.0250615495729013,-0.201332665368676,-0.160192611491867,-0.0339946939122539,0.149969922297678,0.269279685904018,0.0607462310047869,-0.031523236811404,0.007601699923132,0.0849184442480687,-0.269251953675161,-0.17339028326205,0.258872383006704,-0.056400897589472,-0.136375519958341,0.068867987615983,0.262333595413021,0.0385529241441524,-0.100073537948785,0.050815548495672,0.0854752579153456,-0.237354744575408,-0.176073035541478
progressive,0.471267866224645,-0.0778298407806001,-0.0021946511800335,0.187326484156519,0.444731901050822,0.0644821093156231,0.421970875776268,0.273550677910361,0.412420646273875,-0.0838532665056178,0.295370800167669,0.258977944151497,0.167471305892681,0.317612569878979,0.400213478209395,0.2930622188403,0.228507059957891,0.409538223250142,0.265440605352101,-0.180846061488033,0.300501164411361,0.40357432529832,0.0872307990227336,0.251320915625042,0.305335143679072,0.275569159421225,0.282959004152191,0.307499650765712,0.449607520389724,0.407469216340805
stable,0.278941561050565,0.389815820816485,0.481769302966183,0.35911475381879,0.23032421525669,0.401332821804225,0.266588889282573,0.285715209895194,0.248589588153151,0.421795689588423,0.551443421107504,0.399060653208269,0.148352903557979,0.50394323942499,0.286034859071179,0.408166385382826,0.532019687647349,0.199463087845531,0.46926434018208,0.334933441861553,0.444498781174499,0.273352676970029,0.459005992924686,0.481674428034289,0.407949724636273,0.410654403944595,0.388239884740482,0.427298363250618,0.227209053109946,0.308125655469041
stable,0.177579832805703,-0.0024403461748211,0.212560832267474,0.292168241493271,0.0505860072332415,0.150829760149784,0.205684734557081,0.313407276612248,0.102737068639401,0.164137264734795,0.305594287721136,0.1072226078991,0.0882613144001512,0.244582743479985,0.0938681284676488,0.321706116997494,0.180279734800008,0.177474957226521,-0.147565331914878,-0.0287858055461662,0.316605499146172,-0.0548255303021986,0.076403210059844,0.0238908825611383,0.18286297863673,0.193985957030065,0.311881948295371,0.230172676085126,0.141724243671677,0.144084879476532
stable,0.074560787306642,0.157297729945453,0.459415813197427,0.513205232182767,0.319989698483734,0.0815349999413165,0.0702951803103656,0.320838781485989,0.170855919456598,0.174104534056091,0.738332480252011,0.362791736340468,-0.197933802552635,0.266442128890949,0.162770191180957,0.617277328872474,0.278282598336136,0.155229384383914,-0.0636076698388715,0.107058213518371,0.503451749225055,0.0206955532958871,0.369247678389957,0.202302778274346,0.364130380253388,0.548169224733391,0.20655966843587,0.0998853530582986,0.124659988186044,0.108813070769461
stable,-0.0420670842680911,0.427454050197806,0.416098988160941,0.234634446692809,0.115346339860899,0.40203823430358,0.179604657715286,0.227243040699112,0.128216008309285,0.265019387143237,0.461345119499714,0.300285262788311,0.137542703518571,0.321732712676387,0.0413743164905548,0.474145882102302,0.459049285166739,0.167575947345596,0.282355772579571,0.414554381604998,0.452123815945756,0.137221955513428,0.55045531921653,0.278841481858734,0.43395951182971,0.332054501941778,0.270252728993976,0.238084095896074,0.0876306898976563,0.136489721207956
stable,0.0939782915890942,0.0375873109052276,0.0992845313615953,0.317827444370597,-0.0807916364885315,-0.0945284606098326,-0.0223414222276829,0.0653136846601494,-0.027374346861014,0.109952746495166,0.507144858263143,-0.124968094429032,-0.482106148803525,0.242686982774947,0.0891586577256672,0.372721408558164,0.0499018901226583,0.0153712800296775,-0.338043524107453,-0.065420527030718,0.386528121482974,0.0114171547187015,0.209712948297453,-0.204835548663013,-0.0332865828556843,0.116085202416539,0.178465666233705,0.0408952419389596,-0.0469549856332797,0.0154886822696822
stable,0.0327700161878033,-0.254370416175016,0.119853103000368,0.170182120731157,0.169310331673663,0.0230943169942904,-0.0704149753481004,0.0684970727270234,-0.119076808428614,0.0668204641003331,0.393727249412307,-0.258645207756811,-0.456971409268859,0.28387201477252,-0.0774090669454063,0.136728182710801,0.103734367907556,0.134036479490618,0.112521327674021,-0.20382247955573,0.292539065793236,0.112570578067455,0.190694812188338,-0.291557666762618,-0.204290051916524,0.163816396551184,-0.033039025841316,0.0431529214338126,0.0067927593260433,-0.073010824557533
stable,-0.0576540883824306,-0.111626959488618,0.0897711743574361,0.0269950777634067,0.337855781389396,0.144978660881697,-0.0766633159665039,0.0077493081252369,-0.369295860319481,0.202049370715244,0.11586295266539,0.111163092973374,-0.211983562595783,0.286591298380629,0.047109973330293,0.210744263596297,-0.120861862164625,0.0093961437072423,0.132345925283159,-0.0715135639053054,0.111045639787692,0.293963533831855,0.11092681647137,0.118347263417326,-0.117692815425814,0.0040123076511514,0.157827011373597,0.151639469473238,-0.101315468457584,-0.171387028567477
stable,0.19274764093863,0.012806698133889,-0.162059495223075,-0.016817129368622,0.0518419263302388,0.208696462952877,0.171471023977761,0.0166933449595165,0.190979557277612,0.415471537382481,-0.236210315954019,-0.0660080386183839,0.256305271794763,0.0680372844747054,0.293806001586555,-0.18502048435194,0.0571919907854033,0.167867272905983,0.242455575521429,0.216782330183388,-0.279177975550628,0.0551091565220701,-0.0752480031195896,0.230702133781171,0.107861440521083,0.113210142097376,0.132227288806638,0.291031540067998,0.0782367207868447,0.213688299497692
