group,CD52,CD33,CD269,HLA,CD10,CD45RA,CD123,CD49f,CD4,CD14,CD16,CD326,CD31,Podoplanin,CD32,CD185,CD103,CD95,HLA-DR,CD64,CD66b,CD35,CD11a,CD169,XCR1,CD54,CD62P,CD41,CD226,CD29,CD49b,CD18,CD28,CD38,CD15,CD71,CD193,CD36,CD49d,CD305,CLEC12A,CD328,CD101,CD88,CD224,CD258
progressive,-0.296928492274202,0.224445014311504,-0.128499506441679,-0.233738542837135,-0.114201098090921,-0.0906070038245437,-0.268105671647269,-0.131964176548153,-0.160214996886414,0.0802511771440961,-0.290706981111304,-0.109810561153446,0.0785862442015132,-0.181173517301,-0.104548861201318,-0.151018406231001,-0.117900796004229,-0.414752736064114,-0.376369042320645,0.137104331975861,-0.102293336020564,0.468809011039491,0.0004339906791632,-0.0319770401346003,-0.0378551631721508,-0.176614822530016,0.110213867678142,0.0457383468838526,-0.116602438125732,-0.0085111427607013,-0.0051427538762297,0.260237813038787,-0.191972718320665,-0.0434664420037219,-0.182580313021177,0.427823333164351,0.0051828776946595,0.147721884481758,-0.245759473278341,0.0448412652900285,0.351819598002463,-0.0391887926480813,-0.134364806986931,-0.138254132172599,0.0433188125544726,-0.126628703859332
progressive,-0.241293434840796,0.12388900679516,-0.0599767370689828,-0.24943950410217,-0.150587545156951,-0.124195102317079,-0.137733386750974,-0.0140873606126769,-0.142769670078482,-0.0351379668652097,-0.269885476907529,-0.257920651733506,-0.244761666140909,-0.16221755000842,-0.188817664300982,-0.027690715008883,-0.103093105736827,-0.0436353532919066,-0.221566674413318,0.0837597154275934,-0.109249240894148,0.106779564897862,-0.252637277071277,-0.200766248610087,-0.0329536622263563,-0.344281302391546,-0.0524013910973747,-0.02025453089412,-0.0692556562087658,-0.17075287553921,-0.118694606030579,0.069311501464237,-0.132368440472616,-0.0171469834839936,-0.0066357199740168,-0.247564670717955,-0.0699018687393952,-0.0913887123291573,-0.334053247672816,-0.188843638635106,-0.138548940789903,-0.0396060578407803,-0.033233967087416,-0.137947538042646,0.0222610071604749,-0.123291531533396
progressive,-0.0959292646877376,-0.26115813528433,-0.0935560344124218,-0.2084993129323,-0.0680160436358259,-0.455039085997879,-0.369708968822513,-0.246556380552027,-0.0954457600915592,0.0317702163138895,-0.179143271619135,-0.0744712868243726,-0.387283269719684,-0.161550910706172,0.119340116642023,-0.145404620989559,-0.107194498677009,-0.133802778792996,-0.0307888562724355,-0.197939152079969,-0.0749319657586363,-0.0939781157358261,-0.272767637215727,-0.223459664099573,0.0182167247747102,-0.0047181883491918,-0.18951783652994,-0.173230777026114,-0.14551195084759,-0.361810328831083,-0.122712098232673,-0.14531770354807,-0.109751260117443,-0.278793470051983,-0.0861857354584386,-0.652795997223508,-0.0381698295654923,-0.192379686955869,-0.330006059144394,-0.300013274179398,-0.399818567822011,-0.0925670577419637,-0.312044279853486,0.0042305516379987,-0.077498524893415,-0.108898065394466
progressive,0.134402217443291,-0.100736202369426,0.350231781982409,-0.146179096662217,0.318292470170161,0.120038668967386,-0.167053282988058,0.136091440911019,0.323300796148257,0.284221071913181,0.580680810980215,0.357226882220297,0.0026749128624564,0.351404921059373,0.560146825700475,0.177072712098292,0.441516962671796,0.290910690076095,-0.0637547078585213,-0.264478042104735,0.466288928139243,0.358564597500568,0.031838346694063,-0.362971526447981,0.36134549778147,0.0989709750229506,0.191803151742871,-0.0045195707265527,0.382507360176204,0.0722029972784115,0.348463594695932,0.0536978822106455,0.434583691976766,-0.262856652469845,0.378200363000525,-0.502740008778978,0.366076925802398,0.0341917138083183,0.0498548491997994,-0.124957744154952,0.113237069063828,0.192409570402891,0.126485521751576,0.388107450790483,0.391640235633689,0.350787810140902
progressive,-0.171609145400334,0.347805068270768,-0.228201807580921,-0.14939870027546,-0.381628666554062,0.0086749884252839,-0.020880729933866,0.191332710879346,-0.214285898012236,0.104476994103277,-0.293947062612059,-0.0668375445904364,0.164668795468071,-0.163275798576571,-0.146366985559367,-0.441807760587646,-0.0395323344443603,0.114383666369679,-0.240155935316418,-0.240895211253372,-0.157401233206486,0.0682628464272906,-0.0989883368712352,-0.298490514076916,-0.129940076069224,0.108142033837237,0.0073539402959718,0.158919623136731,-0.104465386172107,0.0516368243527766,0.032827138240436,-0.0338792019598608,-0.18194493456284,0.0596967413906596,-0.290607230607496,-0.0597061304926009,-0.165425503831651,0.254818042289148,-0.107227162355109,0.0264679235624991,-0.0566791902663419,-0.146912352914601,-0.0633325760716624,-0.253542428375766,-0.0668366462199002,-0.163583946303861
stable,-0.1058097744122,0.050012922687211,-0.0152920609717058,-0.249297131982737,-0.109182349841259,-0.0460753971389252,0.0106162506820033,-0.183754661562636,-0.30321522584009,-0.189744847170479,-0.101683677568411,-0.043108093851172,0.0038156794975644,-0.0193889447775168,-0.108301773798889,-0.0182733483029184,-0.0283114816522899,-0.0950667650625974,-0.378282500763472,-0.0955513222157192,-0.0393581094507937,0.306915175096942,-0.19561587880806,0.0949301635955482,-0.0354248589573022,-0.324314910787153,-0.0529406105200803,-0.181069941521654,-0.162219585602574,-0.192096586651795,-0.124722054127384,0.10579312400873,-0.0477696675327104,-0.0172345508762206,-0.028525807152743,-0.0324644327020618,0.0141697716090947,-0.0333075109211448,-0.278468928106032,-0.12898054173029,-0.193940752885562,-0.138032172402925,-0.159701913953531,-0.12167919713611,-0.122586580260353,-0.0938535116654124
stable,-0.303820280441048,-0.138031767100069,-0.2140391777155,-0.536095734262047,-0.192946127019676,-0.181249397410439,-0.132876982319631,-0.336247759411334,-0.381868390886268,-0.157422669288434,-0.172509669064074,-0.153591611702402,-0.290915575714848,-0.146782600062036,-0.29643871824639,-0.083615532586398,-0.0718439846547405,-0.0878290934865769,-0.595628299421573,-0.0615486326642205,-0.191069935119001,0.154742187476358,-0.475736615927839,-0.171841835657289,-0.115359116341825,-0.442545017704229,-0.262086356757892,-0.232676542184426,-0.319904182165345,-0.464273479664133,-0.187644614780474,-0.0393605537166062,-0.21293427450554,-0.101512647337818,-0.121011218369009,-0.212948702154868,-0.108352862364249,-0.195672982707763,-0.514349565925622,-0.320733823192169,-0.396501041126806,-0.365838510320684,-0.354540678555093,-0.20838620747871,-0.209793698423784,-0.257970886084729
stable,-0.323691855268043,-0.147670265365362,-0.150489459358309,-0.333567969172008,-0.0478763876990404,-0.219321726124843,-0.320990724576311,-0.267968591021088,-0.290187991471029,-0.0456917065302763,-0.123832993969396,-0.0012314819722223,-0.229192397220765,-0.0878711142479371,0.105647046172684,-0.133694764260584,-0.0870513142824811,-0.0698115631618464,-0.231192528354079,-0.216057151093249,0.0747741761223989,0.32740222093358,-0.221398075441814,-0.0200383450918496,-0.10420516818697,-0.277531923415732,-0.245103440799282,-0.269851942791753,-0.186915518568132,-0.329169312526644,-0.14329204394904,0.0931282371978473,-0.27797125021476,-0.113469340169032,-0.0644125682585887,-0.36885429488608,-0.0621882630808633,-0.123606971105807,-0.475735175331918,-0.372438468373484,-0.221808787223807,-0.117291967003917,-0.236569892173364,0.053346560550114,-0.0604377938928034,-0.105897475976716
stable,-0.141982247007763,0.188958859573451,0.102113493996249,-0.060984424072771,0.0234202236973233,-0.156059587643167,-0.134201031185169,0.0475605767384015,-0.0045465570004159,0.265454949835331,-0.110009369933706,0.0202973074435295,0.104581475038857,0.117633974517198,0.117926874928257,0.0063244839051228,0.0986499269929259,0.0828454791875017,-0.38477763871192,0.14286607023927,0.0131749129108514,0.618991415849435,-0.046649240288434,-0.0171461322390255,0.0753551823060699,-0.14804880018005,0.0808950161078374,0.0972069771409919,0.0007008066548421,-0.0164081501101261,0.147911878457425,0.280772635225305,0.016415639812195,0.0716243689132679,0.0925225570079558,-0.118010958319407,0.110297652839227,0.186546881018105,-0.233977675804805,-0.181629157124054,0.0763892356089513,0.0385251244120229,0.0761095151555331,0.110398522876596,0.220117119554272,0.0897569850035614
stable,-0.241178456178627,0.22369415996097,-0.0347004429192642,-0.276763566506679,-0.0571364041534492,-0.0018680618129137,-0.0996720870961809,-0.116295335209697,-0.274048683671757,0.0812975997568461,-0.177686768026616,-0.043323510145518,0.179246200344735,-0.0550317889822222,-0.270055442650209,-0.0709937182525817,-0.0885097567130696,-0.127141866100551,-0.596467807300951,0.369606137507301,-0.113051595669686,0.584826761119105,-0.134020511259537,0.119854416574044,-0.104593778390532,-0.472182700991911,-0.0547904080993663,-0.110737851741824,-0.127149331642625,-0.0912089789216633,-0.107492534977745,0.119755279351976,-0.0880275880099828,0.151159853785223,-0.179032765491934,0.569403638654629,-0.0598724683283127,0.121862392027119,-0.307948536749276,-0.136691371266367,0.464484213073449,-0.130495403107976,-0.0715913843494324,-0.229485746167681,0.0976453878529407,-0.0861331085595829
