group,CD274,CD273,CD275,CD252,CD137L,CD33,CD10,CD45RA,CD49f,CD16,CD279,Podoplanin,CD324,CD185,KLRG1,CD107a,HLA-DR,CD314,CD35,CD58,CX3CR1,CD24,IgA,CD66,CD54,CD62P,CD122,FCERIA,CD41,CD29,CD81,IgG-Fc,CD22,CD71,CD36,CD49d,CD158f,CD336,CD307d,CD319,Ig-light-chain-2,CD85j,Ig-light-chain-1,HLA-A2,TCR-Vb13,CD360,CD88,HLA-F,CD224
progressive,-0.189492965476639,-0.168904241219453,-0.201635798272446,-0.136302949033005,-0.178608035203145,0.299940394917456,-0.0875320945576236,0.0297681303424765,-0.039679508529256,-0.414675758749681,-0.241493826492864,-0.236487439164971,-0.289088622133444,-0.142093926799151,-0.247265153112858,-0.293780804180985,-0.336196379278864,-0.185622170929049,0.514518563749532,-0.111003305520485,-0.251898937789542,-0.217218679262896,-0.296252472891045,-0.246498277210133,-0.26959849760771,0.10091896048117,-0.101447384096312,-0.262940282285123,0.0968212811428222,0.0799350216157675,-0.323545727625364,-0.0785522933085277,0.0372571381318697,0.330734957026053,0.293261888385048,-0.304298305084661,-0.213161922179417,-0.0853724915520726,-0.288112980133126,-0.235904884506872,-0.0728864574512527,-0.190666268023475,-0.093158111336393,-0.272167086596022,-0.21798303191245,-0.206429944221902,-0.310092637165491,-0.117501464098295,0.0146172211839086
progressive,0.0117416954781183,0.0777079477816743,-0.0697229051427512,0.160952536973136,0.0851402137732266,0.148232282508391,0.036475327688734,-0.0700999677237082,0.0131181916735045,-0.140515838936866,0.051559740035188,0.0472874016950728,7.71426713685965e-05,0.142292147267582,0.0124227008189937,-0.0356847339059931,-0.255174916503547,0.186240549198534,0.412565167157114,0.03532419394906,0.0014283284446859,0.0088102578173928,0.0123400837788125,0.0558157829506519,-0.425878618551648,-0.0547660304569145,0.0880862693010862,0.0392939910768827,-0.0558601608366752,-0.0782290451305784,-0.0922216139791642,0.172986772872163,-0.0558382016313212,0.178846691030227,-0.122600876421381,-0.245779674625724,0.0184936182376247,0.0762473276099278,0.109345711262771,0.0700559015313898,-0.0405203907510395,-0.106109328339066,-0.0333805285118825,0.0191681022315729,0.143673725301061,-0.0020248130406137,-0.0327911743654803,0.0551249490080237,0.211859513040641
progressive,-0.127593119012086,-0.159870581771575,-0.0929391591800349,-0.189413049223637,-0.203517073880851,-0.263559350339683,-0.168184631387854,-0.476944074294899,-0.152051271941379,-0.374849935109557,-0.153746046500181,-0.249829939370249,-0.104958985718001,-0.198372999443886,-0.258337831007091,-0.286737358120928,-0.527151698492644,-0.241112520291867,0.0752036318565043,-0.26075336226164,-0.212771179687585,-0.142541216464538,-0.221369287723172,-0.141278129385876,-0.322537272974326,-0.136277946834263,-0.135299929357909,-0.199202572528587,-0.108353777878127,-0.36213674356674,-0.289086468780828,-0.166063723125448,-0.0568919141547281,-0.358927195764891,-0.176141865784966,-0.533749422824154,-0.225386770971427,-0.197514170730592,-0.211206682560294,-0.158830310355147,-0.415479771953174,-0.446619251280504,-0.310323861961725,-0.167557696460024,-0.189178241656323,-0.236066728342964,-0.281850528731463,-0.202579986039456,-0.117117782953714
progressive,-0.191231722833302,-0.204712767803438,-0.111609845898816,-0.144120798730195,-0.171558955138347,-0.20860213595678,-0.219068808607435,-0.126323751322435,-0.0537508180677566,-0.272526824308861,-0.0492670359119488,-0.182136101365639,-0.0183643429548651,-0.0549268246067686,-0.128969489446468,-0.0510340666427578,-0.0686613444964269,-0.0297858158093206,-0.464975978503365,-0.299593019438198,-0.160510908940722,-0.159174374419427,-0.205112397548382,-0.338398130333655,-0.0922129058924747,-0.165800999845584,-0.117407614994866,-0.182945318516564,-0.0587318666970488,-0.10619201829163,-0.146284325947887,-0.131844815145142,0.0706307189956606,0.545444212408899,-0.257897668715745,-0.0726394375174444,-0.173871512661892,-0.145895919748052,-0.0716799231530515,-0.159105044349829,-0.0544952864144977,-0.0532979773011286,-0.12649425199465,-0.0266445475104071,-0.10021227503276,-0.0662460486726859,-0.286846930523698,0.0320353310727116,-0.267600680652272
progressive,-0.500090105917762,-0.532134019840318,-0.539371148106208,-0.502005315112375,-0.458302492183006,0.116210650327804,-0.387214019281783,-0.250677970818122,0.103415395447915,-0.356269874455442,-0.462806784057296,-0.48168020047599,-0.53254552886591,-0.47411560372468,-0.459368928107866,-0.486356776948869,-0.299638213834321,-0.549318911028495,-0.11353571737823,-0.47475030330876,-0.468431995754598,-0.49624169846329,-0.58855032182502,-0.47478455336188,-0.162300172652165,0.162480080666442,-0.554405937156897,-0.575832407719107,0.118211245619468,-0.134048106518736,-0.450266214284227,-0.499574655963077,-0.29068831875831,0.0467298794428739,0.134312408962541,-0.280235714592323,-0.463270391635109,-0.54908260746042,-0.467161703075719,-0.470620547597581,-0.475077183385654,-0.503483472091771,-0.520340441818821,-0.45947237439844,-0.466188518178282,-0.457671471575253,-0.474990728511264,-0.457006530302005,-0.346753607187775
stable,-0.0535719593396613,-0.156637613553583,-0.221963280091348,-0.132598526892038,-0.207494660419718,-0.004134347133083,-0.211989952835798,-0.159349861943539,-0.190869738924849,-0.120420053099359,-0.107055562752566,-0.145396526061828,-0.0928333347282222,-0.115230602848192,-0.156414182265247,-0.187320660228658,-0.473330912536735,-0.122245057990289,0.226939589884924,-0.172685458431248,-0.254142362787275,-0.146115964885857,-0.134051082150599,-0.185687009681612,-0.314559346746394,-0.0941048289896549,-0.0420096891892333,-0.218158036474936,-0.176630076055174,-0.244118395398224,-0.193980517630027,-0.0727644233345078,-0.253168886343959,0.0013013124623458,-0.0903273921656688,-0.330985509931812,-0.107479062255784,-0.225339918424398,-0.130172623815382,-0.224930625531954,-0.104787442419851,-0.219667745199553,-0.0685140103066631,-0.167598025943077,-0.135665483656315,-0.237377629411686,-0.185670145989451,-0.132633721221041,-0.247831167245941
stable,-0.0254107493631511,-0.0472614267091085,-0.204517678555026,-0.13385606888423,-0.0589310497868838,0.255717778481281,-0.156537746702356,-0.129208407332832,-0.0551238033955514,-0.135916136227177,-0.0237726350698576,-0.0416160432045907,0.0602035176028921,-0.0364236917907277,-0.119777876643085,-0.254397598579808,-0.36117785451143,-0.104594931118227,0.385896236387485,0.019366417276414,-0.117183823579363,-0.0936050648442795,-0.162795090659214,-0.186708020841821,-0.143657703433486,0.0776816431008864,0.0260900012864658,0.0185536767578926,0.094798803294403,-0.0117105047092604,-0.14794881272831,-0.0310299542801562,-0.154969302970946,0.0616682942234696,0.282082989920854,-0.234123575537364,-0.104019706782234,-0.130229379182949,-0.0332917997555823,-0.0908392423073669,0.0364735984036925,-0.121167364893041,-0.0410624091400498,-0.0213997193828342,-0.0931739133449126,-0.161928451865013,-0.0925837994764764,-0.0797216209125171,-0.0780151018508305
stable,-0.0420373256371771,-0.0820978365891167,-0.0110980430616677,-0.023720818017527,-0.0488415135880385,0.147056078369149,-0.107801820941834,0.247067507974681,0.201556384031328,-0.269267074251412,-0.0002437911605117,-0.0664961947925571,0.0923364678938242,-0.151423580126434,-0.0302452650163178,-0.0238154205721042,-0.05292249151987,-0.0582156943857776,0.0686497094140217,0.0487232225191091,-0.0642851154359095,-0.176908961436119,-0.0337623200608012,-0.159424003907457,0.0747912142708916,0.29077440531102,-0.0334243724423422,-0.0349390607258321,0.198026608256847,0.180372253811386,0.0803464719349413,0.0070769656608558,0.0832480892160465,0.16015245030983,0.211919935975234,0.133666083531582,-0.0415822335096709,0.0230899941977656,-0.0261133675173399,0.0483272571213906,0.184387058279002,0.0357082725037865,0.0929591477177287,-0.0002985892364837,-0.0165118085974042,-0.0219414913791878,-0.0974091904408592,-0.11953410467234,-0.0489875079663443
stable,-0.0421387657827294,0.0148405726075906,0.0952388145009147,-0.0134823793755771,-0.0307829035350139,0.112024587140039,-0.0208650393037058,-0.140685608190195,0.0260498284341894,-0.20082339991195,-0.0085962489820858,-0.0345914551287177,0.0310712464952396,0.0135775982984599,0.0178369927460717,-0.0331317746537439,-0.32392673248739,-0.136241164515208,0.152704238035407,0.0547666021693879,-0.0724725558989967,-0.0746019171462978,-0.073302896842248,-0.0085751537705194,-0.252421838707951,-0.0259739012980432,-0.0266299995799865,-0.0613608986268912,0.0100822590320248,-0.0797843608980618,0.0311303818026631,0.0672115351979133,-0.0611530519159633,0.0677177049972749,0.199246923485479,-0.0853767654706061,0.0105687743556032,-0.0054476872624227,-0.0467503428968563,-0.109702628171592,0.0868233867511185,-0.136561536168325,0.0708667066808529,-0.0507403235932076,-0.0632267092078536,-0.0920271920466561,-0.167882206019723,0.0071993447113644,0.0119483301188973
stable,0.0321017418877502,-0.103601494162166,-0.102332715498951,-0.0163967113932608,-0.0451028155683774,-0.0139273742894687,-0.03923255240774,0.0026747603455883,-0.0919010781156298,-0.107914658442578,-0.0707861506584439,-0.0346118821596188,-0.0586722629448205,-0.02951873356604,0.0060813294413749,-0.28918789688843,-0.672809400370188,-0.0937826338402902,0.453565072705345,-0.0339188810076218,-0.105400890988946,-0.0558203561928443,-0.0461337657266315,-0.208935261367438,-0.580639417949019,-0.0446265134545204,-0.0852629727110101,-0.0019769740034104,-0.0605014478239118,-0.152985241716067,-0.0293404144896434,-0.0942499523446112,0.0017646138879882,0.485352584135923,0.0054335427108838,-0.431478957648544,-0.0375740316553528,-0.0099401423492675,-0.11351601897541,-0.077245004957435,-0.0142908114068203,-0.238677094880051,0.0345904329236972,-0.112553951205552,-0.0218452643511103,-0.198368968448943,-0.237800245649654,-0.109862502334984,0.0299194216300462
