group,CD274,CD252,CD137L,CD40,CD33,HLA,CD117,CD10,CD4,CD16,CD25,CD326,Podoplanin,TCR,CD195,CD32,CD103,HLA-DR,CD66b,CD35,CD366,CD278,CD96,CX3CR1,CD24,IgA,CD79b,CD66,XCR1,CD54,CD106,FCERIA,CD15,CD71,CD49d,LOX-1,CD94,CD85j,GARP,CD328,CD88,HLA-F,CD224,CD258
progressive,0.0676232670642237,0.0328296878743224,0.0184384901206614,0.0833428187086254,0.157318256481599,-0.0949144521566769,0.243299146527277,-0.116890520702575,0.153427517807697,-0.0036349073226593,0.0746907245606659,0.10299506489716,0.0713296607933791,0.130498884726239,0.030743181823807,-0.0883231517722898,0.165586744365534,0.0003637630008722,0.237853762371094,0.0404414445487834,-0.0037978793364284,-0.153718817830445,0.0818685560340508,0.06673395313593,0.116675295243682,0.233246229406627,0.0381804973890725,0.200609306519685,-0.0144833695574791,-0.226290218201229,0.200987117601378,0.165300206167512,0.275086702157785,0.204890180303838,-0.17738999684779,0.295801700431024,0.119070470830988,0.005088207732588,0.239715240251621,0.0557382474646525,0.154394642199129,0.01014163314729,0.23546093511955,0.142815665639299
progressive,-0.162895549952433,-0.105533475198697,-0.147340062926736,-0.140514466597663,-0.0745870872186677,-0.0746995886758905,-0.0298054295515197,-0.0039258047737365,-0.031744351938661,-0.0665127289800336,-0.0723528006079854,-0.14497882131355,-0.118044391753861,-0.0842074604609407,-0.237678615588144,0.149386768263276,-0.0664859022044361,0.0125009095662355,-0.145885292831877,-0.0571916194113062,-0.044605450460218,-0.0954477264760536,-0.083210267008404,-0.147303829264028,-0.0956748180894239,-0.0467158283121746,0.0004038875739922,-0.0811035644799382,0.0762946652108003,0.165736169732939,0.0019312269505408,-0.14140579391994,-0.0695052247992963,-0.125066214791149,0.0806460292871613,-0.138550066165893,-0.0957511421951367,-0.0125556768209149,-0.0967314123643614,0.0235121382563947,0.0433995392718645,0.0011247503314944,-0.173164922592185,-0.0816790195869698
progressive,-0.0522734562259211,-0.166634850466045,-0.159176077279975,-0.150802073650878,-0.146617250753276,-0.413794432154933,-0.146030125922037,-0.161770419659657,-0.481447697624015,-0.299198405683895,-0.0932329896540103,-0.0741412805285968,-0.17088091338753,-0.180474386105611,-0.121933262108238,-0.585516513231222,-0.139715125390339,-0.750119386335782,-0.133433761181357,0.14681691362755,-0.17063470648475,-0.18753415312616,-0.176812790701879,-0.149506665561597,-0.0952654362529962,-0.242217320524838,-0.190230288415928,-0.0931773573362412,-0.179578565997169,-0.524171785868156,-0.196567867913049,-0.151338650873437,-0.171787637844164,0.249464898314093,-0.349911066132284,-0.102339128927132,-0.226368652621488,-0.477912582056265,-0.172143411133542,-0.291679799133486,-0.448194910959148,-0.183512371731535,-0.103594260903884,-0.150676281090985
progressive,-0.475096976934782,-0.42593504578965,-0.432756933620706,-0.290467842896905,-0.0240543872969164,0.0371244203397532,-0.410299148767486,-0.38774360774717,-0.312527871808533,-0.632455406379043,-0.151783251723929,-0.420466835526468,-0.434315873122696,-0.461212712917138,-0.436100508289848,-0.571865963401082,-0.430417907444968,0.0765083552960186,-0.682411548642209,-0.503733746946413,-0.449431455127326,-0.447123729787666,-0.457426189043808,-0.449754463167245,-0.530398798562039,-0.4048521485578,-0.407640415445358,-0.589753367220088,-0.409497130466692,-0.0682393549182765,-0.489007214813646,-0.406260784681758,-0.509890819218225,0.472735805550754,-0.120487072984499,-0.466225415998486,-0.464808521265819,-0.14323605866599,-0.429547563044212,-0.313128649823566,-0.430441771538014,-0.202262552092895,-0.467579506457949,-0.446606125235797
progressive,0.0558775175051038,-0.0306672122449433,-0.080928108318908,0.071839484163303,0.180145696434682,-0.174201427781218,0.016408909185971,-0.0698029954064394,-0.0101463173489359,-0.140426817283241,0.203924888082591,0.0783778102910943,-0.100393833269579,0.0050873678419115,-0.0766113239518233,-0.036184600459394,0.121455198349345,-0.169935782112697,-0.0297560285383435,-0.110960208098061,-0.0031222103443252,-0.0759625372201296,0.0313341677315002,-0.145710440723989,-0.0153860097828191,0.0227440561587487,0.0283053220697356,-0.0442183369828406,-0.034091967429574,-0.200851611769109,-0.100191856356912,-0.0596298692495457,-0.131073297743081,-0.119691450671024,-0.0749382504343661,0.0482476813272293,-0.0535763245649696,-0.141170717150736,0.01071039637041,-0.105070702570305,-0.199455904396598,-0.0413377928181504,-0.0225579604826323,0.0086157164023038
stable,-0.140757459014198,-0.28400501100652,-0.315072303908922,-0.194274037706079,-0.194469751325725,-0.334148585422909,-0.20357001480993,-0.215816699053477,-0.273110392998425,-0.287672826287604,-0.161803351778333,-0.222753012847541,-0.334741062441038,-0.352399961739903,-0.124110210779864,-0.406438061255406,-0.284718608209939,-0.501210704599245,-0.242749184574252,-0.0135288483310041,-0.274952450865395,-0.232926244282386,-0.335636836211483,-0.32086075279246,-0.211632295390672,-0.352955385151433,-0.258458480995098,-0.215186731992501,-0.230231354344826,-0.535421987862558,-0.248646412994206,-0.299683947676217,-0.193871040103446,0.0364426082646655,-0.413938861810392,-0.177205760321019,-0.295114362664689,-0.417972937291082,-0.267600615514434,-0.338585107823021,-0.396220620083704,-0.321980745912169,-0.333373743176666,-0.313378593711201
stable,-0.252218894187474,-0.251563552139949,-0.235790915776433,-0.106799327405061,0.177872859340153,-0.211140247286526,-0.161325645473726,-0.270734793204431,-0.370049477954362,-0.268315069114222,-0.157849572428368,-0.196088340933417,-0.19400373703961,-0.182795851597731,-0.133548477751697,-0.409919521279579,-0.0368269982328787,-0.557569523014532,-0.229192796745351,0.222251883640975,-0.127676289070107,-0.0416541156412927,-0.147985694415957,-0.25104751380196,-0.243486880986196,-0.246699244182491,-0.15183354044449,-0.226098127403133,-0.112859723007268,-0.364142353455213,-0.250649305082758,-0.0752137169801152,-0.19436108491436,0.0027014331531008,-0.325612508881757,-0.147779305041899,-0.174341220057716,-0.250272546162299,-0.202943226500118,-0.234695496920992,-0.275445205291239,-0.25094763200057,-0.220636148746152,-0.247467116489239
stable,-0.0909975949842189,-0.0604681968676135,-0.132772258065721,-0.406784652718071,-0.0669429433453995,-0.410032279851648,-0.111377254646482,-0.195097053071065,-0.462931573866154,-0.411011455910071,-0.106229483249027,-0.0595688321198352,-0.143994989854345,-0.0919725868365089,-0.120008461883483,-0.367534907880382,-0.0727442231479464,-0.714302069176868,-0.285188932631645,0.201827160141979,-0.173111348071356,-0.0378310161477808,-0.0762680292688681,-0.146984809717042,-0.0952911872164222,-0.160415121223279,-0.145422348920373,-0.11583571383464,-0.151122939696874,-0.536030262912397,-0.0822664717061949,-0.107743095095676,-0.141708742183225,0.187522956464695,-0.347006233265217,-0.211423449544877,-0.133254042676821,-0.48406675435132,-0.145127761003136,-0.178456586382011,-0.215822380681022,-0.109653799016159,-0.0870681361902665,-0.117146938885075
stable,-0.0331257369906804,-0.0014735534629399,-0.0943492295934292,-0.0693362768247571,0.119885735978959,-0.155352903392425,-0.0116215788411927,-0.102759304707179,-0.239808839616367,-0.161105692584174,0.0219297342219891,-0.0169250930362182,-0.0703153059991278,-0.088336146660991,-0.0509581193846177,-0.318002069268293,-0.0241759979608421,-0.630733641612728,-0.0885386760692478,0.466275749633551,-0.126115631454262,-0.185824280192297,-0.0399657896180376,-0.155959583656055,-0.0584841136391314,-0.0647141319100351,-0.0644368488560008,-0.0470450134408309,-0.090746694310211,-0.484566498874305,-0.0275070054622513,-0.0742550142644758,0.0136262543768139,-0.0074926593048508,-0.335108188740053,-0.0719016845122406,-0.0890515400557843,-0.283531015099536,-0.0951894493875124,-0.127823660533605,-0.160326407369963,-0.0105253548609448,0.0617513073549,-0.0142413345717845
stable,0.0282235199613233,-0.0185425965660866,-0.0551147349257147,-0.205019559954095,-0.0431611893469112,-0.380671126367425,-0.171271794224759,-0.090160395782214,-0.375732231252807,-0.181521387035857,-0.0495440125246245,-0.0551446018633475,-0.0624898855869584,-0.0423993174051562,-0.0279608129249318,-0.290670161930021,-0.07576997650369,-0.698187480225214,-0.127252744742635,0.41872946388912,-0.161006784517472,-0.0223548141248743,-0.141233001649726,-0.121187950863659,-0.0618170432573611,-0.063471522458788,-0.0723050538268512,-0.216042400506379,-0.114975343180613,-0.579564388489701,-0.010644633542196,-0.0054239229721384,-0.153766512561789,0.464284629485165,-0.447280574419622,-0.114577487534147,-0.127038507407617,-0.273868425653641,-0.0300183272027134,-0.19935100051855,-0.287659119419331,-0.105016652853063,0.0087394788274678,-0.0703825974994682
