group,CD80,CD252,CD47,CD154,CD52,CD33,HLA,CD10,CD49f,CD4,CD14,CD16,TIGIT,Podoplanin,CD146,CD5,CD32,KLRG1,HLA-DR,CD64,CD141,CD66b,CD35,CD278,CD58,CD24,CD66,CD244,CD169,CD54,CD62P,CD41,CD254,CD28,CD15,CD71,CD204,CD36,CD49d,CLEC12A,CD150,Ig-light-chain-2,Mac-2,CD85j,Ig-light-chain-1,CD328,CD82,CD101,CD88,Podocalyxin,CD224
progressive,0.0532277585607165,-0.147967951742421,-0.359938738317159,0.0376466283605352,0.0061299570448965,-0.256727750323276,-0.298683133589609,0.0230720663950509,-0.105487014871401,-0.118946593816007,-0.219138753556472,-0.194349012175664,-0.107685516985078,-0.161870302548566,0.193476804610958,-0.186206443992946,-0.209321525291311,-0.121337764690213,-0.27743211995614,0.0465616076126653,-0.0763268622937959,-0.219084161465542,0.0514380448554293,-0.146378537416593,-0.190083618683851,-0.0116083237470907,-0.247564532701052,-0.158238737308348,-0.172232442878183,-0.412488739590296,-0.0893365832151551,-0.166254842990248,-0.203495553759527,-0.269952313580646,-0.187676592122594,0.146723073537796,0.0524692091371063,-0.0656541708807813,-0.257987998111591,-0.0906531850080939,-0.023822550750701,-0.19338820824152,0.10190095430703,-0.211288978018557,-0.116045982060545,0.082173876006774,-0.208714234609176,-0.140937177587968,-0.0612444148804391,0.0343829056105347,-0.0394441306114833
progressive,-0.092499444145145,-0.11146407897652,-0.176988756459434,-0.088797176256423,-0.216988096979049,0.0876601629370744,-0.330930785493609,-0.185731604782553,-0.100611245205856,-0.23270299499412,-0.322319642298928,-0.248358121886944,-0.159977252497068,-0.189009131783297,-0.122241381127652,-0.143825659370606,-0.508060725665215,-0.124961669202608,-0.434670246194227,-0.198373683586483,-0.21538977663983,-0.0913654001205539,0.177366055863902,-0.163901500771521,-0.206555971703114,-0.14117710680072,-0.0908891406450823,-0.390207567057326,-0.115673969497649,-0.616193279341666,-0.176551991695459,-0.341868860910481,-0.152813060851628,-0.0348422912691117,-0.0584622136296384,0.0057198989678969,-0.189372160203332,0.0290477498674187,-0.348707277377723,-0.0967034122627941,-0.169255807283727,-0.261220256052077,-0.176439853346275,-0.395099287915212,-0.218773352063693,-0.101684042092126,-0.135630790287998,-0.0675799644053536,-0.345339272132621,-0.172871621586746,0.0400206575169587
progressive,-0.10263143129897,-0.122372669506636,-0.238651290135392,-0.0849164724662887,-0.381502026816934,-0.100054923041337,-0.424479223206359,-0.103809539667053,0.0647031208983421,-0.496688648628661,-0.291205897349121,-0.267859822641546,-0.208185949361734,-0.12773026857675,-0.0979444038546767,-0.165112534087037,-0.497811185147361,-0.142849105969646,-0.751277180919625,-0.24402771709586,-0.334477046220345,-0.0753625808356825,0.251905502043366,-0.156709674116247,-0.181058418367329,-0.0676185383918939,-0.0644603064823153,-0.273904808371432,-0.0776109664730815,-0.485487891373061,0.0353605096991745,0.0490116755890458,-0.145484530593229,-0.0642512835553235,-0.115217277928287,0.155798894300515,-0.155754098166569,-0.0506064314708123,-0.425297384668609,-0.0726640034898941,-0.15369143714279,-0.288896215429734,-0.152212955867631,-0.449549850927696,-0.202286743836783,-0.231077592346693,0.0154389108286755,-0.0832370844714368,-0.366960732036647,-0.134871042976502,-0.03058724868501
progressive,-0.202677861768414,-0.252739858773562,-0.350572458634819,0.0358456494052101,-0.328938997992578,-0.120542514519418,-0.0552580983185877,-0.36873169227869,-0.11294709839905,-0.467568434062969,-0.378145028434396,-0.447005677676066,-0.0677217770389043,-0.383758103692343,-0.275164353842804,-0.38627223180671,-0.556783040889143,-0.256574318025663,-0.119937501273069,0.146750637197625,-0.287865432777213,-0.531562252760726,-0.433663128698999,-0.350667006907635,-0.326718467430502,-0.411375377517253,-0.474222310735141,-0.298630726736371,0.387451605664326,-0.235896312926204,-0.272701748069817,-0.0497784256868621,-0.17456934018208,-0.283324766292083,-0.351347609020996,0.617618929791474,-0.200596783267464,-0.237239140826807,-0.212642595376402,-0.274972103997313,-0.231938459180929,-0.0534267513867625,-0.302757525389005,-0.131264762816532,-0.104386402018693,-0.360884706100069,-0.343679621317272,-0.265224962654481,-0.405799742288572,-0.189353490004681,-0.346264311156851
progressive,-0.428866430128197,-0.353001631237345,-0.0853434383350037,-0.351796592289622,-0.136300818725516,-0.0185474935735794,-0.0255633286367445,-0.225918573321257,0.111427282260823,-0.102284008160445,-0.125110104216701,-0.36477782360695,-0.140114483965547,-0.241448571658496,-0.181451216248746,-0.333778346536141,-0.285935029367569,-0.370045429317352,-0.113349956139198,-0.31627570563922,-0.372310915053198,-0.390032074363853,-0.300066581977679,-0.24739687456062,-0.396264872002261,-0.286035376060995,-0.254889570428601,-0.117442529371829,-0.0786910303489287,-0.147596372606843,0.119228134399832,0.151447657175031,-0.362481205678968,-0.374611702345605,-0.235732434406236,-0.157600554532855,-0.279751384524677,0.112580775087349,-0.0878399904576023,-0.318843150093096,-0.251348783908752,-0.213755521782077,-0.400703548433563,-0.13702990963936,-0.246508689035855,-0.256328545347727,-0.32895630709536,-0.370377819160295,-0.370893125408836,-0.155386384980932,-0.206496960384433
stable,-0.200988216387152,-0.242918849662981,-0.232919272460816,-0.323476594220148,-0.0744661411832631,-0.222445660482312,-0.298199687189762,-0.14045455257478,-0.234383539552101,-0.0730334098923901,-0.27761728549875,-0.326943403813772,0.0163806685778841,-0.231125595079194,-0.0930886181400478,0.009273927708917,-0.265410374847788,-0.186074072550375,-0.37360641588067,-0.238659008372836,-0.183850210828035,-0.305728367504158,-0.176970528306003,-0.113069364779932,-0.243981114138799,-0.125890131991444,-0.217131080423113,-0.201063849621149,-0.214286968057251,-0.366875156560243,-0.269456831063985,-0.365091758504815,-0.19623937716366,-0.129393094552764,-0.222023635543925,-0.118685278020309,-0.170750421225629,-0.24495703935076,-0.327660720708046,-0.346786660025462,-0.237314404203296,-0.32635635581281,-0.221157693950197,-0.308092148704078,-0.295835661744962,-0.267305592842039,-0.226738712971981,-0.250122316378605,-0.246017460698137,-0.222208110496515,-0.246906763360536
stable,0.113160249302156,-0.128471183932279,0.093779464456778,-0.106041846942156,0.173199169841338,0.0370119661476493,0.220331458732593,-0.0168834165020077,0.0964193357608635,0.156853733355043,0.0956314534026819,-0.0880696199078511,-0.0019939287058619,-0.128514916857984,0.0092194844533411,0.148338940250991,0.0689451801379174,-0.0035367072496203,0.535306699418831,-0.028542272776547,-0.0578072186955796,-0.112763021035947,-0.351745885591697,-0.0953059138281015,-0.0115175072704674,-0.0197929326322338,-0.107421073545561,0.150194225680226,-0.0069292414072385,0.274822828877982,0.0353053286192815,-0.0324610824175029,-0.0261615669132522,0.0349583007116119,-0.129967113662575,0.124969133157234,0.0868066016845858,0.13555471735871,0.293600757221766,0.0421594009418494,0.0222536079863146,-0.0294778760016324,-0.0130997015298198,0.0742978963672735,-0.0897775990732684,0.0643169019975143,-0.106716769840758,0.0973001395079743,-0.0349131852831254,-0.0220901780855483,-0.057868395844197
stable,-0.0509454888274349,-0.018032711766754,0.173759531771075,0.0027416366198585,0.233779430809577,-0.0691403108963316,0.292005550942932,0.019162616960238,0.142463913025896,0.334137315495922,-0.041122350507836,0.190448701308347,0.0914907911738526,-0.0249476590965303,0.020053414208288,0.153397967966989,-0.051882275639659,0.0479546361894659,0.39554129808491,0.127405490592615,0.170316602199626,0.0408833295302977,-0.531826098847746,0.0271270515517054,-0.0608297770101487,-0.103623161783077,-0.0277499626432041,-0.019582165100163,0.0734306647418133,0.314619966065652,0.117270742352833,0.125048849589749,0.0425007303799749,0.16512850360804,-0.0196901515872187,0.0744050991306231,0.0535194486808932,-0.155441179238595,0.291274434888499,0.0515295719379896,0.0073638206656877,0.103793171503749,0.0200917750043967,0.259051614052171,0.0484486791269833,0.0783611947638082,-0.100508370765048,0.0063198589865293,-0.0700315241685974,-0.0011821796096367,-0.0521983578446288
stable,-0.0711810139329168,-0.26266591381925,-0.156751869043389,-0.20015125476891,-0.0915800345086347,-0.305151623015704,-0.164797860198198,-0.160135097623431,-0.240987827933436,-0.10785322127083,-0.333893357605057,-0.173270613852675,-0.131839696972563,-0.337567333946231,0.0518508804484177,-0.0560952558006731,-0.304124722305726,-0.25572200685515,0.0350483665018347,-0.241386411258659,-0.077457489021989,-0.217435448272084,-0.489956027979131,-0.115990655072589,-0.329778924422177,-0.197773257537076,-0.170460814108444,-0.311764545526883,-0.0930921655513962,-0.102940582298761,-0.305029244135237,-0.305911129610165,-0.172634892989899,-0.166182888078704,-0.283710263276899,0.0723931550324602,-0.230447545283485,-0.243323981031613,0.0391817869578517,-0.134879027535055,-0.284865493883466,-0.223870601410933,-0.283254741971153,-0.179875138053399,-0.240055744278132,-0.22413115136404,-0.375957070766806,-0.171640361934475,-0.349237110840261,-0.262088975927403,-0.323552660034375
stable,-0.133664040969564,-0.0209844067452578,-0.128473246739112,-0.0112800026516737,-0.223062192503739,0.216971772039242,-0.214668063258019,-0.0773348573328852,-0.13241470888277,-0.306216259703792,0.104758126006545,-0.18596179323635,-0.0727865039440105,-0.040934672070025,0.0094530665136772,-0.11726734336302,-0.284820421859958,-0.0181291390236185,-0.591656756863356,0.354614880920081,-0.185438372312007,-0.102316247860628,0.522276791782478,-0.0129754420648479,-0.0108852314523617,-0.0351587825653231,-0.186616016136459,-0.312616782214497,0.138422911287565,-0.486802008061255,-0.0629218233227627,-0.114076800737281,-0.0623321082598963,-0.0586166934433233,-0.161221061320605,0.632823530650411,-0.143904913675754,0.139722975509217,-0.324049640998738,0.445086832474165,-0.118388230357352,0.146191630544895,-0.0072951517285615,-0.217194387486217,0.123865484169723,-0.135683188047262,0.0141165838037924,-0.0634335595708206,-0.229658548317547,-0.0323288755430414,0.0688985164378241
