group,CD273,CD70,CD40,CD33,CD117,CD49f,CD4,CD25,CD31,Podoplanin,TCR,CD103,HLA-DR,CD1c,CD64,CD35,CD366,CD58,CD79b,CD206,CD169,XCR1,CD54,CD62P,CD122,CD267,CD41,CD226,CD29,CD49b,CD18,CD28,CD38,CD71,CD204,CD36,CD49d,TCR-Va7-2,LOX-1,CD158f,CD337,CD336,CLEC12A,CD85j,Ig-light-chain-1,TCR-Vb13,CD82,CD101,CD360,NLRP2,CD224
progressive,-0.124238660636169,0.316314966493726,0.195641088850314,-0.453525363347112,0.0933321506707228,-0.0555236423517465,-0.0122625354449492,0.0396884820489343,-0.21094723487621,-0.0203111983214176,0.0014747868512525,0.0369005538735585,0.102429047172879,-0.0169560257166616,-0.416354571905018,-0.511374798829331,0.11788643926332,-0.0814625278063836,0.0218456782367725,0.0409698172841738,-0.265574945747279,-0.118895898586465,-0.0455473379269629,-0.127498439784852,-0.114008730218402,0.0374555904690527,-0.129922180046102,0.0984550692215632,-0.158107302690679,-0.108361393692845,-0.305215627198123,0.140050398559408,-0.138152871399978,-0.338507314435082,0.105941098660036,-0.323715931504447,0.0448157832970882,0.149159713240145,-0.367640020121748,0.0705557732223826,0.115881245324095,0.157651852011596,-0.398228135578979,-0.0432003976054017,-0.357191692512391,-0.0583402675256971,-0.0354226131975919,0.0718943585686578,0.193490973209964,0.117164210123264,-0.285358155047519
progressive,-0.0930989337549135,-0.0519611000802862,0.0799896968582686,-0.234327724097618,-0.0790880221976079,0.040925784312535,0.202998465494531,-0.0244836907009591,0.182761557409854,-0.0373203484210949,-0.0684638274497355,-0.0958370932178968,0.243726644209404,0.0345016417334937,0.0515607131539051,-0.429804319532828,-0.0486401683434767,-0.0279638832090167,-0.0541119066196418,-0.126341019676173,0.0010032742834087,-0.0602646661960588,0.531842981986728,0.215097010594701,-0.0744656626568139,-0.143823729393785,0.340448250549917,0.0051004848455449,0.0912740632928826,0.0124614913222785,0.0170364007652072,-0.0699994783876679,-0.409862436920832,0.0294473887742279,-0.0450277193304994,-0.0505011543427031,0.27695223312969,-0.0435108001863093,-0.157864808199002,-0.0655561719601907,-0.0532982454480257,-0.0601512142228784,-0.0524091490943276,0.129147283725449,-0.010038671909709,-0.0918750599969039,-0.110288136686088,-0.114312628822244,0.0487107789096073,-0.0333523966280671,-0.245677858901909
progressive,-0.217167614307263,-0.17702133863011,-0.0982045060552921,-0.296316936981153,-0.167348654119414,-0.47388795527403,0.0520241466922915,-0.198726057786857,-0.400385838862979,-0.326836769273838,-0.260570672440709,-0.157811108231794,0.312429425774311,-0.113340737247361,-0.102624130737778,-0.513641204507712,-0.228111332785397,-0.284493298219422,-0.237590899332098,-0.191416400540596,-0.24642152656132,-0.166247552557086,0.0832650642349377,-0.450886668829811,-0.247878181519479,-0.209612050702566,-0.443337039447016,-0.397654495331178,-0.442026416322711,-0.365771720810718,-0.327850232621867,-0.260998956505467,-0.292108474372062,-0.477859905091783,-0.227939251491961,-0.349733076974719,-0.0317098772155861,-0.0814066456802785,-0.206903274272773,-0.292792466645971,-0.249900623541196,-0.236682178483789,-0.401497293838322,-0.0661341526260301,-0.245920977545732,-0.256592526557658,-0.391611032452259,-0.392201177019314,-0.192496444460817,-0.183171827600029,-0.335688526894122
progressive,0.37728620611032,0.179512361956388,0.252059814958855,-0.215344038658109,0.358691785897325,0.0180643172354623,0.233019891165232,0.327733340045109,-0.0372232393608603,0.253862624514287,0.353722723447365,0.367055119190582,-0.0132136446223009,0.392993486961843,-0.0955174983052048,-0.0396506175590132,0.374409928257836,0.246176405727666,0.39873781977951,0.173942494490799,-0.1541456486868,0.404924626798765,0.108435880921307,0.0764609680399911,0.258582319539956,0.511312983738352,0.0130039145755005,0.364378643085812,-0.0190190621695085,0.270213643320002,-0.144712313896298,0.339992440687325,-0.0991989502494315,-0.0979139275984067,0.373811531865677,-0.123698463628563,0.0531278733946357,0.270527420359763,0.25311569632852,0.359523659524536,0.369509860666559,0.373751323431702,-0.12014022876506,0.14041689517469,0.157443437606778,0.237456773333099,0.27922925816565,0.104742369661565,0.361924078960555,0.415043264482816,0.288849784052907
progressive,-0.334830447324926,-0.417978019949097,-0.368625945304796,-0.173597893135989,-0.0794269532564964,-0.0312846986305705,0.0067788931617003,-0.230416823980169,-0.196175163603062,-0.251836048051338,-0.226895815171502,-0.402860778558223,0.0694514640195706,-0.333234271970286,-0.0959377065226643,-0.248508994363016,-0.20111341114481,-0.244372757462022,-0.25474789862762,-0.455202099835471,-0.0861866478351147,-0.110406106631978,-0.210656785190121,0.020877107445838,-0.358685011716601,-0.0611122981727106,0.0223447363045128,-0.176209577378487,-0.225866204098859,-0.335877332538226,-0.340219365988778,-0.36965857345551,-0.210787325068914,-0.287342833893471,-0.228776775361401,-0.057309866794554,-0.0718276827956092,-0.308432475153039,-0.144562024667053,-0.250231622680819,-0.0766570647850577,-0.233977156174727,-0.162918121164762,-0.124591682496408,-0.298564484100731,-0.204468995145364,-0.271752531645825,-0.254412979969432,-0.281596940175264,-0.289062225221001,-0.223138985152257
stable,-0.265942669794633,-0.108533321964344,-0.12239875902183,-0.283480604820859,-0.285854856041807,-0.171899987650198,-0.0102065745282559,-0.314241911967859,-0.202318732907148,-0.360899521749448,-0.323404645727593,-0.203186469223349,-0.0469335333461511,-0.184527402128973,-0.277616448183473,-0.493006419757835,-0.281700834981616,-0.363448896212401,-0.343725677544681,-0.249136610663469,-0.395119607041968,-0.222245187161674,0.0231428823705678,-0.135756856948834,-0.249039789794072,-0.238490887450146,-0.185458111447846,-0.285290859452235,-0.198629843808735,-0.24002682436349,-0.356758972904159,-0.16600313474747,-0.270893529389326,-0.123194235396338,-0.256324664833151,-0.11871948422235,-0.0623573258343175,-0.210594505910739,-0.249037174358842,-0.294238145697078,-0.212458610601723,-0.280821012249014,-0.213775666107996,-0.288843129262819,-0.281633650062618,-0.381764197738609,-0.313334923020426,-0.182391006610351,-0.249559956973975,-0.308812942937908,-0.321971279543776
stable,-0.0848332927607343,-0.129365764057506,-0.0576771097183527,0.0099684586766474,-0.0786980998488336,0.117399524371952,0.0630919346525539,0.0086650421988299,0.0376776983751672,-0.144101197333592,-0.11877695757323,-0.128394015188385,0.415528877434833,-0.122408864551306,-0.168361302228227,-0.261766327529704,-0.0242604654703438,-0.0715672963586061,-0.0717463963629387,-0.0914198847915659,-0.0087641248272488,0.075817009522353,0.334740135566528,0.0772491546760723,-0.0417515487223592,-0.0553103670069266,0.0129307785292275,-0.0322468180031226,0.103994565639473,0.0171493176798483,-0.14199628063292,-0.0415129076497839,0.0411410946975492,0.0019634127556042,0.0089551504292105,0.0375879313790134,0.179363237920249,-0.17550349222869,-0.182413598838919,-0.0934427721898926,-0.082713292616559,-0.0071316852665309,0.0231968782027802,0.0710045376027525,-0.106656913833115,-0.0530671908577828,-0.167031743969417,0.060158873253462,-0.0348461928780331,-0.172351548926029,-0.112030490538714
stable,0.104816030081273,0.129491781018029,0.320733979805085,-0.0536662378336072,0.0776515985924187,0.093912597422644,0.39933698472391,0.0299313498598073,-0.137120535084697,0.0263421444388957,-0.0106066459735321,0.0378759785538806,0.571315814480711,0.213467457882018,0.181508074018766,-0.45673999007539,0.109632816172224,-0.0195427046557394,0.0657782747181882,0.0971542664895353,0.178956818151157,0.0748062934265869,0.412131072815304,0.0504965702340816,0.0675798965997426,-0.0508345654220258,0.0918346514439484,0.0658777999156726,0.1008125454802,-0.0047885292086118,-0.183481659718473,0.146805685948432,0.0076767694923239,0.0016032485538944,0.0623203295352941,-0.144391118267733,0.326495928490068,0.0562703421650992,0.196116162615326,-0.0277679293673045,0.0019039109138718,0.0308383278640899,0.0618600167635261,0.370473230993013,0.132195691883158,0.0583565299275175,-0.0616202188276731,-0.0048415239953906,0.096677995380807,0.0754062321091166,-0.0091678362224137
stable,-0.0291983490928543,0.0250777767788874,0.0234967946877673,-0.0695162149855922,-0.0586702310769592,0.0426076379921959,0.231331320026755,-0.149591530903757,0.0546385283434099,-0.0390126841033308,0.0212917392666112,-0.126696821701046,0.574074719141541,0.202688088109375,-0.0511615413553753,-0.440452860602866,0.0589451047471715,-0.0770951389339481,0.0009719627186881,-0.0022412372410713,-0.0121232564734932,-0.0144433627445832,0.50258196432807,-0.0135755775432577,0.0223559320317396,-0.0311338209279206,-0.0002050625600804,0.0366914670710523,0.141145909797033,0.0082770040117266,-0.0641421559440937,0.0181277062135203,-0.0317761423638782,0.0501176405775715,-0.0363997134661581,-0.085270193716633,0.307558416494815,0.0353287637238649,-0.0088404515091737,-0.0260450772217862,-0.0430946132376319,-0.0019510637975529,0.0423150307444341,0.200203883500158,-0.0124953403365508,-0.0599660630427122,-0.125866592832256,0.038769571096381,0.0299975234591008,-0.0077687480236286,-0.0987825647786583
stable,0.0229115392316533,0.0397438961963642,0.0801140997057566,-0.255233545003016,0.0683836913146554,-0.0866446141659594,0.221311231580364,0.001432284629528,-0.27171728764497,-0.101977512170832,-0.060734356749355,0.0383245715836888,0.547625416704041,0.100510067103894,-0.341479412039322,-0.629252548381507,0.0267047940098142,-0.162802505449765,0.0060903484677358,-0.0026625188460418,-0.2557159703597,-0.0043530978087938,0.383041133857582,-0.144762146088493,0.0486265759823832,-0.0461478592548945,-0.109845690216424,-0.0752052332778332,-0.0825442108455835,-0.0798870771642348,-0.169079463866874,-0.0316468799297086,-0.23502823091284,-0.657301649962082,0.0393140340311752,-0.215088177717988,0.290904498107686,0.111086838448561,-0.0069452801760597,-0.048448136307793,-0.0352375179401416,-0.101483700476588,-0.513194935743744,0.0765417834232731,-0.203419726190542,-0.0440931915887489,-0.200904154553201,-0.0538002446640762,-0.0015343315168789,-0.0862267071446611,-0.231758422868798
